"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"CIN192004140","19200414",0,"Wednesday",0,"F","D","CHN","CIN","CIN07","alexg102","ruetd101","riglc901","morac102","(none)","(none)","","",24822,"489","Cliff Blau","Cliff Blau","2015/01/20 1:33PM","",1,0,0,0,-1,0,1,1,103,9,3,7,8,12,0,0,5,7,"ruetd101","alexg102","","","flacm101",9,"hollc101",6,"herzb101",4,"barbt101",3,"paskd101",8,"dealc102",5,"twomb101",7,"killb101",2,"alexg102",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"wingi101",2,"ruetd101",1,"","","","",,,51,,,,002010000,30000130x,32,2,1,0,3,0,0,2,1,0,3,0,2,1,0,1,7,7,0,0,24,10,0,0,0,34,1,0,1,7,0,0,0,4,0,5,1,2,0,0,1,3,3,0,0,27,12,0,1,0,,,,,,,,,,,"Dutch Ruether","Grover Clevelan Alexander","(none)","ruetd101","Dutch Ruether","Max Flack","Charlie Hollocher","Buck Herzog","Turner Barber","Dode Paskert","Charlie Deal","Babe Twombly","Bill Killefer","Grover Clevelan Alexander","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Ivey Wingo","Dutch Ruether",,
"CIN192004150","19200415",0,"Thursday",0,"F","D","CHN","CIN","CIN07","vaugh101","ringj101","morac102","riglc901","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/21 9:14PM","",1,0,0,0,-1,0,0,0,105,9,3,4,6,4,6,0,6,6,"ringj101","vaugh101","","","flacm101",9,"hollc101",6,"herzb101",4,"barbt101",3,"paskd101",8,"dealc102",5,"robed103",7,"killb101",2,"vaugh101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"rarib101",2,"ringj101",1,"","","","",,,51,,,,002010000,12000001x,32,0,0,0,3,0,0,1,3,0,2,0,0,0,0,1,1,1,0,0,23,14,0,0,0,29,2,0,0,1,0,0,0,5,0,1,3,1,0,0,1,3,3,0,0,27,8,0,0,0,,,,,,,,,,,"Jimmy Ring","Hippo Vaughn","(none)","","(none)","Max Flack","Charlie Hollocher","Buck Herzog","Turner Barber","Dode Paskert","Charlie Deal","Dave Robertson","Bill Killefer","Hippo Vaughn","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Bill Rariden","Jimmy Ring",,
"CIN192004170","19200417",0,"Saturday",0,"F","D","CHN","CIN","CIN07","tylel101","luqud101","riglc901","morac102","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/20 3:59PM","",1,0,0,0,-1,0,1,2,145,9,6,11,9,12,4,4,11,6,"elleh101","marts102","","","flacm101",9,"hollc101",6,"herzb101",4,"barbt101",3,"paskd101",8,"dealc102",5,"robed103",7,"killb101",2,"tylel101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"rarib101",2,"luqud101",1,"hendc101","elleh101","","",,,51,,,,200000400,00301061x,36,0,0,0,5,1,0,0,7,0,1,0,1,1,0,3,9,9,0,0,24,12,0,0,0,36,3,0,0,9,1,0,0,4,0,2,0,0,0,0,3,4,4,0,0,27,11,0,2,0,,,,,,,,,,,"Hod Eller","Speed Martin","(none)","duncp101","Pat Duncan","Max Flack","Charlie Hollocher","Buck Herzog","Turner Barber","Dode Paskert","Charlie Deal","Dave Robertson","Bill Killefer","Lefty Tyler","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Bill Rariden","Dolf Luque",,
"CIN192004180","19200418",0,"Sunday",0,"F","D","PIT","CIN","CIN07","adamb104","ruetd101","morac102","riglc901","(none)","(none)","","",14511,"489","Cliff Blau","Cliff Blau","2015/01/22 1:19PM","",1,0,0,0,-1,0,4,0,99,9,2,1,5,6,0,1,4,4,"adamb104","ruetd101","","","bigbc101",7,"carem101",8,"soutb101",9,"whitp102",5,"cutsg101",4,"grimc101",3,"catoh101",6,"lee-c101",2,"adamb104",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"wingi101",2,"ruetd101",1,"","","","",,,54,,,,200000000,000010000,28,2,0,0,1,1,1,0,3,0,7,0,2,0,0,1,1,1,0,0,27,11,0,0,0,32,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,27,12,0,1,0,,,,,,,,,,,"Babe Adams","Dutch Ruether","(none)","","(none)","Carson Bigbee","Max Carey","Billy Southworth","Possum Whitted","George Cutshaw","Charlie Grimm","Howdy Caton","Cliff Lee","Babe Adams","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Ivey Wingo","Dutch Ruether",,
"CIN192004210","19200421",0,"Wednesday",0,"F","D","PIT","CIN","CIN07","coopw101","ringj101","riglc901","morac102","(none)","(none)","","",0,"137","D Lamoureaux","D Lamoureaux","2006/03/23 2:18PM","",0,0,0,0,-1,0,0,0,120,9,5,3,8,13,3,2,4,9,"coopw101","ringj101","","","bigbc101",7,"carem101",8,"soutb101",9,"whitp102",5,"cutsg101",4,"grimc101",3,"catoh101",6,"lee-c101",2,"coopw101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"rarib101",2,"ringj101",1,"","fishr101","","",,,54,,,,400000100,001100001,31,1,0,0,5,0,1,0,4,0,2,2,2,0,0,1,2,2,0,0,27,12,0,1,0,38,1,1,0,3,0,1,0,0,0,4,0,1,0,0,2,5,5,0,0,27,18,0,0,0,,,,,,,,,,,"Wilbur Cooper","Jimmy Ring","(none)","soutb101","Billy Southworth","Carson Bigbee","Max Carey","Billy Southworth","Possum Whitted","George Cutshaw","Charlie Grimm","Howdy Caton","Cliff Lee","Wilbur Cooper","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Bill Rariden","Jimmy Ring",,
"CIN192004250","19200425",0,"Sunday",0,"F","D","SLN","CIN","CIN07","goodm102","ringj101","klemb901","emslb101","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/22 3:57PM","",1,0,0,0,-1,0,0,0,121,9,5,7,7,15,1,2,10,9,"ringj101","goodm102","","","shotb101",7,"heatc101",9,"stocm101",5,"hornr101",4,"fourj101",3,"mchea101",8,"janvh101",6,"clemv101",2,"goodm102",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"wingi101",2,"ringj101",1,"sherb101","","","",,,51,,,,000000032,41000011x,36,3,0,0,5,0,0,0,6,0,4,0,0,0,0,2,6,6,0,0,24,11,0,1,0,32,0,2,0,6,1,1,1,5,0,4,1,2,1,0,1,3,3,1,0,27,11,0,0,0,,,,,,,,,,,"Jimmy Ring","Marv Goodwin","(none)","rouse101","Edd Roush","Burt Shotton","Cliff Heathcote","Milt Stock","Rogers Hornsby","Jack Fournier","Austin McHenry","Hal Janvrin","Verne Clemons","Marv Goodwin","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Ivey Wingo","Jimmy Ring",,
"CIN192004270","19200427",0,"Tuesday",0,"F","D","SLN","CIN","CIN07","hainj101","ruetd101","klemb901","emslb101","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/22 7:46PM","",1,0,0,0,-1,0,0,0,99,9,2,3,5,6,1,0,4,5,"ruetd101","hainj101","","","shotb101",7,"heatc101",9,"stocm101",5,"hornr101",4,"fourj101",3,"mchea101",8,"janvh101",6,"clemv101",2,"hainj101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"wingi101",2,"ruetd101",1,"","","","",,,51,,,,020000000,20100000x,29,2,0,0,2,0,0,0,4,0,2,0,1,1,0,1,2,2,0,0,24,10,0,0,0,25,0,0,0,2,1,1,1,4,0,3,0,2,0,0,1,2,2,0,0,27,16,0,2,0,,,,,,,,,,,"Dutch Ruether","Jesse Haines","(none)","kopfl101","Larry Kopf","Burt Shotton","Cliff Heathcote","Milt Stock","Rogers Hornsby","Jack Fournier","Austin McHenry","Hal Janvrin","Verne Clemons","Jesse Haines","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Ivey Wingo","Dutch Ruether",,
"CIN192005020","19200502",0,"Sunday",0,"F","D","PIT","CIN","CIN07","coopw101","salls101","morac102","riglc901","(none)","(none)","","",0,"137","D Lamoureaux","D Lamoureaux","2006/03/23 3:38PM","",0,0,0,0,-1,0,0,0,78,9,3,0,8,4,0,0,3,1,"coopw101","salls101","","","carem101",8,"bigbc101",7,"whitp102",5,"soutb101",9,"cutsg101",4,"catoh101",6,"grimc101",3,"lee-c101",2,"coopw101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"rarib101",2,"salls101",1,"","","","",,,54,,,,000001002,000000000,29,1,1,0,3,1,2,0,1,0,1,0,2,1,0,1,0,0,0,0,26,12,0,2,0,28,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,3,3,0,0,24,10,0,1,0,,,,,,,,,,,"Wilbur Cooper","Slim Sallee","(none)","whitp102","Possum Whitted","Max Carey","Carson Bigbee","Possum Whitted","Billy Southworth","George Cutshaw","Howdy Caton","Charlie Grimm","Cliff Lee","Wilbur Cooper","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Bill Rariden","Slim Sallee",,
"CIN192005031","19200503",1,"Monday",0,"F","D","CHN","CIN","CIN07","vaugh101","elleh101","riglc901","morac102","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/23 1:19PM","",1,0,0,0,-1,0,1,1,101,9,2,1,6,8,1,1,7,4,"vaugh101","elleh101","","","flacm101",9,"hollc101",6,"herzb101",4,"barbt101",3,"paskd101",8,"dealc102",5,"robed103",7,"killb101",2,"vaugh101",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"rarib101",2,"elleh101",1,"","luqud101","","",,,54,,,,000010100,010000000,33,2,0,0,2,1,0,0,2,0,1,1,0,0,0,1,1,1,0,0,27,19,0,0,0,30,0,0,0,1,1,0,0,1,0,2,0,1,0,0,2,2,2,0,0,27,12,0,0,0,,,,,,,,,,,"Hippo Vaughn","Hod Eller","(none)","vaugh101","Hippo Vaughn","Max Flack","Charlie Hollocher","Buck Herzog","Turner Barber","Dode Paskert","Charlie Deal","Dave Robertson","Bill Killefer","Hippo Vaughn","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Bill Rariden","Hod Eller",,
"CIN192005032","19200503",2,"Monday",0,"F","D","CHN","CIN","CIN07","alexg102","fishr101","morac102","riglc901","(none)","(none)","","",0,"489","Cliff Blau","Cliff Blau","2015/01/23 4:11PM","",1,0,0,0,-1,0,1,1,98,9,5,0,6,6,0,5,7,5,"alexg102","fishr101","","","flacm101",9,"hollc101",6,"herzb101",4,"barbt101",3,"paskd101",8,"dealc102",5,"robed103",7,"killb101",2,"alexg102",1,"rathm101",4,"daubj101",3,"grohh101",5,"rouse101",8,"duncp101",7,"kopfl101",6,"nealg101",9,"wingi101",2,"fishr101",1,"","bresr101","","",,,54,,,,000004010,000000000,30,1,0,1,3,3,0,1,5,0,1,2,1,0,0,1,0,0,0,0,27,10,0,2,0,29,0,0,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,27,20,0,0,0,,,,,,,,,,,"Grover Clevelan Alexander","Ray Fisher","(none)","","(none)","Max Flack","Charlie Hollocher","Buck Herzog","Turner Barber","Dode Paskert","Charlie Deal","Dave Robertson","Bill Killefer","Grover Clevelan Alexander","Morrie Rath","Jake Daubert","Heinie Groh","Edd Roush","Pat Duncan","Larry Kopf","Greasy Neale","Ivey Wingo","Ray Fisher",,
