"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"WS1192704160",7,0,"wheaz101",0,8,11,"bolej101",6,57
"WS1192704160",7,0,"frenw101",0,9,11,"grovl101",1,58
"WS1192704160",7,0,"marbf101",1,9,1,"murrg101",1,58
"WS1192704160",7,1,"gallc101",0,8,6,"wheaz101",11,64
"WS1192704160",7,1,"patej101",0,9,1,"frenw101",11,64
"WS1192704160",7,1,"walbr101",0,9,1,"patej101",1,68
"WS1192704160",7,1,"culln102",1,9,11,"marbf101",1,71
"WS1192704160",8,0,"hadlb101",1,9,1,"culln102",11,72
"WS1192704160",8,0,"burkb102",1,9,1,"hadlb101",1,77
"WS1192704170",4,0,"wests101",1,3,8,"speat101",8,29
"WS1192704170",4,0,"joned103",1,9,1,"braxg101",1,35
"WS1192704170",5,0,"marbf101",1,9,1,"joned103",1,47
"WS1192704170",6,0,"oneim102",1,8,2,"ruelm101",2,51
"WS1192704170",7,1,"tucko101",1,9,11,"marbf101",1,65
"WS1192704170",8,0,"hadlb101",1,9,1,"tucko101",11,67
"WS1192704170",9,1,"tateb101",1,9,11,"hadlb101",1,85
"WS1192704180",7,0,"frenw101",0,8,11,"bolej101",6,57
"WS1192704180",7,0,"wheaz101",0,9,11,"walbr101",1,58
"WS1192704180",7,1,"dykej101",0,5,5,"hales101",5,60
"WS1192704180",7,1,"gallc101",0,8,6,"frenw101",11,60
"WS1192704180",7,1,"willl103",0,9,1,"wheaz101",11,60
"WS1192704180",9,0,"foxxj101",0,6,12,"poolj101",3,75
"WS1192704180",9,0,"brand101",0,8,11,"gallc101",6,76
"WS1192704180",9,0,"bishm102",0,9,11,"willl103",1,77
"WS1192704190",7,0,"braxg101",1,9,1,"crowg102",1,53
"WS1192704190",7,1,"wests101",1,8,11,"ruelm101",2,55
"WS1192704190",7,1,"tucko101",1,9,11,"braxg101",1,56
"WS1192704190",7,1,"tateb101",1,2,11,"harrb106",4,58
"WS1192704190",8,0,"oneim102",1,8,2,"wests101",11,59
"WS1192704190",8,0,"marbf101",1,9,1,"tucko101",11,59
"WS1192704190",8,0,"stews101",1,2,4,"tateb101",11,59
"WS1192704190",8,1,"culln102",1,7,11,"blueo102",5,67
"WS1192704190",9,0,"reevb101",1,7,5,"culln102",11,68
"WS1192704190",9,1,"mcnee101",1,9,11,"marbf101",1,72
"WS1192704240",6,0,"dursc101",0,8,11,"collp101",2,50
"WS1192704240",6,0,"marbf101",1,9,1,"thurs101",1,51
"WS1192704240",6,1,"grabj101",0,8,2,"dursc101",11,53
"WS1192704240",7,1,"culln102",1,9,11,"marbf101",1,64
"WS1192704240",8,0,"burkb102",1,9,1,"culln102",11,68
"WS1192704240",9,1,"wests101",1,9,11,"burkb102",1,83
"WS1192705020",2,1,"tucko101",1,9,11,"coves101",1,19
"WS1192705020",3,0,"braxg101",1,9,1,"tucko101",11,21
"WS1192705020",7,1,"wests101",1,9,11,"braxg101",1,60
"WS1192705020",8,0,"crowg102",1,9,1,"wests101",11,64
"WS1192705020",9,0,"burkb102",1,9,1,"crowg102",1,76
"WS1192705020",9,1,"culln102",1,9,11,"burkb102",1,83
"WS1192705020",9,1,"moorw101",0,9,1,"hoytw101",1,84
"WS1192705030",3,0,"reevb101",1,7,5,"blueo102",5,16
"WS1192705030",7,1,"moorw101",0,9,1,"pipgg101",1,65
"WS1192705030",7,1,"mcnee101",1,4,12,"tucko101",9,67
"WS1192705030",8,0,"mcnee101",1,4,9,"mcnee101",12,70
"WS1192705030",8,0,"morer102",0,8,11,"collp101",2,70
"WS1192705030",8,0,"coves101",1,9,1,"marbf101",1,74
"WS1192705030",8,1,"grabj101",0,8,2,"morer102",11,78
"WS1192705030",8,1,"tateb101",1,9,11,"coves101",1,80
"WS1192705030",9,0,"crowg102",1,9,1,"tateb101",11,81
