GAME_ID,EVENT_ID,COMMENT_TX
"SLN192804160",33,"$Wattie Holm called for obstruction after misplaying the ground ball"
"SLN192804300",0,"$Weather: Clear and warm"
"SLN192804300",57,"$Chick Hafey ran into fence and left injured"
"SLN192805010",0,"$Weather: Clear and warm"
"SLN192805020",0,"$Weather: Clear and warm"
"SLN192805030",0,"$Weather: Clear and Warm"
"SLN192805030",20,"$the ball struck Umpire Lou Jorda"
"SLN192805050",74,"pbp account ends here, rest deduced"
"SLN192805080",86,"pbp account ends here, rest deduced"
"SLN192805090",63,"$Thompson dropped fly - too far for infield fly rule"
"SLN192805090",72,"pbp account ends here, rest deduced"
"SLN192805100",19,"$Sothern ran out of baseline."
"SLN192805110",23,"$Wilson removed due to being traded to Cardinals!"
"SLN192805110",71,"pbp account ends here, rest deduced"
"SLN192805150",56,"Game called due to rain"
"SLN192805180",12,"$Jackson hurt knee during his plate appearance."
"SLN192805180",80,"pbp account ends here, rest deduced"
"SLN192805201",0,"$overflow crowd on the field"
"SLN192805201",7,"$into the overflow crowd"
"SLN192805210",70,"pbp account ends here, rest deduced"
"SLN192805220",35,"$Hit and run."
"SLN192805220",73,"pbp account ends here, rest deduced"
"SLN192805260",64,"$Chuck Dressen muffed Pid Purdy's throw; Val Picinich retrieved ball and threw to Eppa Rixey who threw it to Dressen for tag on runner"
"SLN192805270",0,"$Weather: Clear and cool"
"SLN192807030",44,"$Frisch thought ball was foul and threw ball off grandstand."
"SLN192807120",0,"$Rain through most of the game"
"SLN192807120",30,"$the Cardinals hurried through the third and fourth innings to get the game in"
"SLN192807120",40,"DWV reconstructed top 5 to end"
"SLN192807120",56,"GDP might be jackt101"
"SLN192807120",57,"$Tiny Chaplin (chapt101) entered game as NY1 pitcher just as it was called; he is not shown as appearing; game called for rain and wet grounds"
"SLN192807170",72,"pbp account ends here, rest deduced"
"SLN192807210",33,"Delayed steal."
"SLN192807210",77,"Clearly not a sacrifice.  McKechnie benched for arguing call"
"SLN192807210",82,"pbp account ends here, rest deduced"
"SLN192808110",76,"pbp account ends here, rest deduced"
"SLN192808170",77,"pbp account ends here, rest deduced"
"SLN192808180",43,"$Apparently a ground rule triple which fell between the wall and the screen."
"SLN192808220",53,"$Hidden ball trick."
"SLN192809080",70,"pbp account ended here, rest deduced"
