GAME_ID,EVENT_ID,COMMENT_TX
"CHA193005171",59,"It is unclear exactly when Watwood entered the game"
"CHA193006030",58,"$Bubbles Hargrave injured his ankle sliding into 3B"
"CHA193006040",4,"$Lyn Lary and Earle Combs both ended up at 3B"
"CHA193006070",7,"$lost in the sun"
"CHA193006110",41,"$Joe Cronin rounded 2B too far"
"CHA193006120",2,"$the throw hit Sam Rice"
"CHA193006140",61,"$Bill Cissell failed to touch the 2B bag"
"CHA193006160",49,"$a light rain started"
"CHA193006160",71,"$Bill Cissell held the ball while the runners took a extra base"
"CHA193007050",64,"$Goose Goslin's throw to 3B was wide and Bennie Tate tried to score"
"CHA193007080",39,"$Bennie Tate's sixth consecutive hit"
"CHA193007141",48,"$the White Sox argued about the walk; Greg Mulleavy flipped the ball to the mound; Bennie Tate picked up the ball and threw it away"
"CHA193007170",9,"$Johnny Watwood rounded 3B too far"
"CHA193007180",22,"$over the LF roof; first time ever"
"CHA193007240",26,"$Ad Liska injured when struck by the batted ball, which caromed to the visitor's dugout"
"CHA193007240",42,"$lost in the sun"
"CHA193007260",42,"$Carl Reynolds injured his leg rounding 1B"
"CHA193007301",35,"$wind-blown popup"
"CHA193007302",70,"CC4: reconstructed 9th "
"CHA193009110",5,"$the throw hit Tom Oliver on the back"
"CHA193009120",16,"$Bill Cissell fumbled Carl Reynolds' throw-in"
"CHA193009162",45,"no fielder for SF in CHA193009162"
"CHA193009162",62,"$Ed Walsh injured a finger catching a return throw"
"CHA193009170",51,"$lost in the sun"
"CHA193009200",77,"no fielder for SF in CHA193009200"
