"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"BOS196404170",4,0,"maxwc101",0,9,11,"horlj101",1,30
"BOS196404170",4,1,"kreuf101",0,9,1,"maxwc101",11,31
"BOS196404170",6,0,"mccrt102",0,9,11,"kreuf101",1,46
"BOS196404170",6,1,"wilhh101",0,9,1,"mccrt102",11,48
"BOS196404170",9,0,"minom101",0,9,11,"wilhh101",1,66
"BOS196404180",1,0,"woodw103",1,9,1,"wilse102",1,9
"BOS196404180",3,1,"mejir101",1,9,11,"woodw103",1,30
"BOS196404180",4,0,"spanb101",1,9,1,"mejir101",11,38
"BOS196404180",6,1,"mantf101",1,9,11,"spanb101",1,60
"BOS196404180",7,0,"earla101",1,9,1,"mantf101",11,64
"BOS196404180",7,0,"minom101",0,8,11,"martj107",2,66
"BOS196404180",7,0,"mcnej101",0,9,11,"peteg101",1,67
"BOS196404180",7,1,"mcnej101",0,9,2,"mcnej101",11,68
"BOS196404180",7,1,"fishe102",0,8,1,"minom101",11,68
"BOS196404180",8,1,"nixor101",1,9,11,"earla101",1,77
"BOS196404180",8,1,"mossd101",0,8,1,"fishe102",1,80
"BOS196404180",9,0,"heffb101",1,9,1,"nixor101",11,82
"BOS196404180",9,1,"schic101",1,9,11,"heffb101",1,90
"BOS196404190",6,0,"heffb101",1,9,1,"conne102",1,47
"BOS196404190",6,1,"mantf101",1,9,11,"heffb101",1,50
"BOS196404190",7,0,"charp101",1,9,1,"mantf101",11,54
"BOS196404190",8,1,"martj107",0,8,2,"mcnej101",2,67
"BOS196404190",8,1,"mejir101",1,9,11,"charp101",1,69
"BOS196404190",8,1,"wilhh101",0,9,1,"buzhj101",1,69
"BOS196404190",9,0,"earla101",1,9,1,"mejir101",11,72
"BOS196404200",7,0,"moora101",0,9,11,"meyeb102",1,54
"BOS196404200",7,1,"renih101",0,9,1,"moora101",11,55
"BOS196404200",8,1,"joned102",1,9,11,"monbb101",1,66
"BOS196404200",9,0,"radad101",1,9,1,"joned102",11,69
"BOS196404200",9,0,"blanj101",0,9,11,"renih101",1,73
"BOS196404280",9,1,"joned102",1,9,11,"lamaj101",1,66
"BOS196404280",9,1,"snydr102",0,4,7,"poweb101",7,66
"BOS196404280",10,0,"radad101",1,9,1,"joned102",11,72
"BOS196404280",10,1,"mills101",0,9,1,"rober102",1,76
"BOS196404280",10,1,"willd104",1,9,11,"radad101",1,78
"BOS196404280",11,0,"wilse102",1,9,1,"willd104",11,79
"BOS196404280",11,0,"johnb104",0,7,11,"bowes103",9,82
"BOS196404280",11,0,"heffb101",1,9,1,"wilse102",1,84
"BOS196404280",11,1,"kirkw101",0,7,9,"johnb104",11,86
"BOS196404280",11,1,"halld101",0,9,1,"mills101",1,90
"BOS196404290",6,1,"stocw101",0,9,1,"estrc101",1,50
"BOS196404290",7,0,"radad101",1,9,1,"mored103",1,56
"BOS196404290",7,0,"johnb104",0,9,11,"stocw101",1,57
"BOS196404290",7,1,"haddh101",0,9,1,"johnb104",11,61
"BOS196404290",8,1,"snydr102",0,4,7,"poweb101",7,69
"BOS196404290",9,1,"mantf101",1,9,11,"radad101",1,76
"BOS196405020",7,0,"woodw103",1,9,1,"monbb101",1,54
"BOS196405020",7,0,"heffb101",1,9,1,"woodw103",1,56
"BOS196405020",8,1,"joned102",1,9,11,"heffb101",1,64
"BOS196405020",9,0,"conne102",1,9,1,"joned102",11,67
