"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SLN196410070",6,1,"jamec102",1,8,11,"maxvd101",4,56
"SLN196410070",6,1,"downa101",0,9,1,"fordw101",1,56
"SLN196410070",6,1,"warwc101",1,9,11,"sader101",1,57
"SLN196410070",6,1,"javij101",1,9,12,"warwc101",11,58
"SLN196410070",7,0,"javij101",1,9,4,"javij101",12,60
"SLN196410070",7,0,"schub101",1,8,1,"jamec102",11,60
"SLN196410070",8,0,"blanj101",0,9,11,"downa101",1,69
"SLN196410070",8,0,"hegam101",0,9,12,"blanj101",11,70
"SLN196410070",8,1,"shelr101",0,9,1,"hegam101",12,74
"SLN196410070",8,1,"skinb101",1,9,11,"javij101",4,78
"SLN196410070",8,1,"buchj102",1,9,12,"skinb101",11,79
"SLN196410070",8,1,"mikkp101",0,9,1,"shelr101",1,79
"SLN196410070",9,0,"buchj102",1,9,4,"buchj102",12,83
"SLN196410080",8,1,"warwc101",1,8,11,"maxvd101",4,62
"SLN196410080",8,1,"skinb101",1,9,11,"gibsb101",1,63
"SLN196410080",8,1,"buchj102",1,9,12,"skinb101",11,64
"SLN196410080",9,0,"buchj102",1,9,4,"buchj102",12,69
"SLN196410080",9,0,"schub101",1,8,1,"warwc101",11,69
"SLN196410080",9,0,"richg101",1,8,1,"schub101",1,72
"SLN196410080",9,0,"crair101",1,8,1,"richg101",1,77
"SLN196410080",9,1,"lopeh101",0,4,9,"mantm101",9,78
"SLN196410080",9,1,"jamec102",1,8,11,"crair101",1,81
"NYA196410100",9,0,"warwc101",0,8,11,"maxvd101",4,64
"NYA196410100",9,0,"skinb101",0,9,11,"simmc101",1,65
"NYA196410100",9,1,"buchj102",0,8,4,"warwc101",11,67
"NYA196410100",9,1,"schub101",0,9,1,"skinb101",11,67
"NYA196410110",1,1,"crair101",0,9,1,"sader101",1,8
"NYA196410110",6,0,"warwc101",0,9,11,"crair101",1,41
"NYA196410110",6,1,"taylr101",0,9,1,"warwc101",11,48
"NYA196410110",7,0,"mikkp101",1,9,1,"downa101",1,52
"NYA196410110",7,1,"blanj101",1,9,11,"mikkp101",1,56
"NYA196410110",8,0,"terrr101",1,9,1,"blanj101",11,58
"NYA196410120",7,1,"blanj101",1,8,11,"boyec102",5,55
"NYA196410120",7,1,"lopeh101",1,9,11,"stotm101",1,56
"NYA196410120",8,0,"gonzp101",1,8,5,"blanj101",11,57
"NYA196410120",8,0,"renih101",1,9,1,"lopeh101",11,57
"NYA196410120",8,0,"mikkp101",1,9,1,"renih101",1,60
"NYA196410120",10,1,"hegam101",1,9,11,"mikkp101",1,80
"SLN196410140",7,0,"taylr101",1,9,1,"simmc101",1,51
"SLN196410140",7,1,"warwc101",1,8,11,"maxvd101",4,53
"SLN196410140",7,1,"jamec102",1,9,11,"taylr101",1,54
"SLN196410140",8,0,"buchj102",1,8,4,"warwc101",11,55
"SLN196410140",8,0,"schub101",1,9,1,"jamec102",11,55
"SLN196410140",8,0,"richg101",1,9,1,"schub101",1,61
"SLN196410140",9,0,"humpb102",1,9,1,"richg101",1,68
"SLN196410140",9,1,"skinb101",1,9,11,"humpb102",1,74
"SLN196410140",9,1,"hamis101",0,9,1,"boutj101",1,74
"SLN196410150",5,0,"hegam101",0,9,11,"stotm101",1,37
"SLN196410150",5,1,"downa101",0,9,1,"hegam101",11,39
"SLN196410150",5,1,"shelr101",0,9,1,"downa101",1,42
"SLN196410150",7,0,"lopeh101",0,9,11,"shelr101",1,55
"SLN196410150",7,1,"hamis101",0,9,1,"lopeh101",11,59
"SLN196410150",8,1,"mikkp101",0,9,1,"hamis101",1,69
"SLN196410150",9,0,"blanj101",0,9,11,"mikkp101",1,73
