"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"KCA197804100",7,1,"stodt001",0,0,1,"briln101",1,55
"KCA197804100",9,0,"hraba101",1,0,1,"splip001",1,72
"KCA197804120",6,1,"martt001",0,0,1,"flanm001",1,52
"KCA197804120",9,0,"kellp101",0,8,11,"belam101",6,72
"KCA197804120",9,0,"mings101",1,0,1,"leond001",1,72
"KCA197804120",9,0,"roeng001",0,8,11,"kellp101",11,72
"KCA197804120",9,0,"lopec101",0,9,11,"skagd101",2,73
"KCA197804140",8,0,"mings101",1,0,1,"splip001",1,61
"KCA197804140",8,0,"birdd101",1,0,1,"mings101",1,63
"KCA197804140",9,0,"lacop101",1,7,3,"hurdc001",3,69
"KCA197804140",9,0,"norrj101",0,9,11,"diazb001",2,72
"KCA197804150",4,0,"pattm101",1,0,1,"busbs101",1,34
"KCA197804150",5,1,"zdebj101",1,5,12,"otisa001",8,53
"KCA197804150",6,0,"zdebj101",1,5,7,"zdebj101",12,54
"KCA197804150",6,0,"wilsw001",1,1,8,"wilsw001",7,54
"KCA197804150",6,1,"pruir101",0,9,2,"diazb001",2,57
"KCA197804150",6,1,"paxtm101",0,0,1,"hoodd101",1,58
"KCA197804150",7,1,"portd001",1,5,11,"zdebj101",7,68
"KCA197804150",7,1,"lacop101",1,6,11,"wathj001",2,69
"KCA197804150",8,0,"portd001",1,5,2,"portd001",11,71
"KCA197804150",8,0,"lacop101",1,6,3,"lacop101",11,71
"KCA197804150",8,0,"hurdc001",1,7,7,"hurdc001",3,71
"KCA197804150",8,0,"hraba101",1,0,1,"pattm101",1,72
"KCA197804150",9,0,"cox-t101",0,3,11,"grubj001",7,79
"KCA197804160",7,1,"lacop101",1,1,11,"wilsw001",7,57
"KCA197804160",8,0,"lacop101",1,1,3,"lacop101",11,58
"KCA197804160",8,0,"hurdc001",1,7,7,"hurdc001",3,58
"KCA197804160",8,1,"kernj001",0,0,1,"garlw101",1,64
"KCA197804260",6,0,"upshw001",0,1,12,"boser101",8,40
"KCA197804260",6,1,"upshw001",0,1,7,"upshw001",12,41
"KCA197804260",6,1,"bailb001",0,2,8,"bailb001",9,41
"KCA197804260",6,1,"veleo101",0,5,9,"veleo101",7,41
"KCA197804260",8,1,"murpt101",0,0,1,"undet001",1,54
"KCA197804260",9,1,"hurdc001",1,6,11,"wathj001",3,65
"KCA197804270",7,1,"moorb101",0,0,1,"clanj001",1,57
"KCA197804270",7,1,"zdebj101",1,6,11,"poqut101",7,59
"KCA197804270",8,0,"zdebj101",1,6,7,"zdebj101",11,62
"KCA197804270",8,0,"lacop101",1,7,3,"hurdc001",3,62
"KCA197804270",8,0,"hraba101",1,0,1,"gural001",1,67
"KCA197804270",9,0,"birdd101",1,0,1,"hraba101",1,73
"KCA197804270",9,0,"huttt101",0,8,11,"iorgg001",4,75
"KCA197804270",9,0,"nordt101",0,8,12,"huttt101",11,76
"KCA197804270",9,0,"ewins101",0,9,11,"gomel101",6,76
"KCA197804270",9,0,"mckad101",0,9,12,"ewins101",11,77
"KCA197804270",9,1,"nordt101",0,8,6,"nordt101",12,79
"KCA197804270",9,1,"mckad101",0,9,4,"mckad101",12,79
"KCA197804270",9,1,"willm101",0,0,1,"moorb101",1,79
"KCA197804270",9,1,"otisa001",1,5,11,"portd001",2,81
"KCA197804280",2,0,"colbj101",1,0,1,"busbs101",1,17
"KCA197804280",6,1,"lahoj101",1,9,11,"terrj101",4,60
"KCA197804280",7,0,"whitf001",1,9,4,"lahoj101",11,61
"KCA197804280",7,1,"mcclb001",0,0,1,"sorel001",1,65
"KCA197804280",7,1,"zdebj101",1,1,11,"poqut101",7,65
"KCA197804280",8,0,"zdebj101",1,1,7,"zdebj101",11,70
"KCA197804280",8,1,"wathj001",1,7,11,"hurdc001",3,75
"KCA197804280",8,1,"rodre102",0,0,1,"mcclb001",1,77
"KCA197804280",8,1,"lacop101",1,1,11,"zdebj101",7,79
"KCA197804280",9,0,"wilsw001",1,1,7,"lacop101",11,82
"KCA197804280",9,0,"wathj001",1,7,3,"wathj001",11,82
"KCA197804280",9,0,"pattm101",1,0,1,"colbj101",1,82
"KCA197804280",9,0,"david101",0,8,11,"martb001",2,84
"KCA197804290",2,0,"whitf001",1,3,4,"bretg001",5,13
"KCA197804290",2,0,"terrj101",1,9,5,"terrj101",4,13
"KCA197804290",2,1,"steir101",0,0,1,"auguj001",1,21
"KCA197804290",6,1,"repla101",0,0,1,"steir101",1,57
"KCA197804290",7,1,"david101",0,6,9,"lezcs001",9,69
"KCA197804290",7,1,"gantj001",0,3,5,"coopc001",3,69
"KCA197804290",7,1,"bands101",0,2,3,"bands101",5,69
"KCA197804290",7,1,"wohlj001",0,4,7,"hisll101",7,69
"KCA197804300",7,0,"lacop101",1,7,3,"hurdc001",3,56
"KCA197804300",7,1,"martb001",0,8,2,"moorc001",2,59
"KCA197804300",8,0,"mings101",1,0,1,"galer001",1,63
"KCA197805120",7,0,"blaip101",0,1,12,"rivem001",8,52
"KCA197805120",7,0,"pattm101",1,0,1,"splip001",1,53
"KCA197805120",7,0,"mings101",1,0,1,"pattm101",1,54
"KCA197805120",7,1,"blaip101",0,1,8,"blaip101",12,55
"KCA197805120",8,1,"lahoj101",1,8,11,"patef101",6,63
"KCA197805120",8,1,"lacop101",1,9,11,"whitf001",4,64
"KCA197805120",8,1,"washu001",1,9,12,"lacop101",11,65
"KCA197805120",9,0,"terrj101",1,2,4,"poqut101",9,68
"KCA197805120",9,0,"lahoj101",1,8,9,"lahoj101",11,68
"KCA197805120",9,0,"washu001",1,9,6,"washu001",12,68
"KCA197805120",9,0,"birdd101",1,0,1,"mings101",1,70
"KCA197805120",9,1,"gossr001",0,0,1,"figue101",1,75
"KCA197805130",8,0,"hraba101",1,0,1,"leond001",1,63
"KCA197805130",9,1,"gossr001",0,0,1,"guidr001",1,73
