"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"MIL197804070","19780407",0,"Friday",134,"T","D","BAL","MIL","MIL05","flanm001","auguj001","neudj901","malog901","mckej901","koscg901","","",47824,"Orioles","Ron Fisher","Ron Fisher","1995/04/13 1:05AM","",1,0,0,0,-1,0,0,0,138,9,3,11,9,9,2,0,6,4,"auguj001","flanm001","","","bumba001",8,"dauer001",10,"murre001",5,"may-l101",3,"decid001",4,"roeng001",7,"lopec101",9,"dempr001",2,"belam101",6,"molip001",6,"moned101",5,"bands101",10,"hisll101",7,"lezcs001",9,"coopc001",3,"thomg001",8,"sakal001",4,"etcha101",2,"martt001","rodre102","","",,,51,,,,000000003,03102041x,32,0,0,1,3,0,1,0,3,0,2,0,0,3,0,3,8,8,1,0,24,13,0,1,0,33,2,0,2,11,0,0,1,5,0,9,0,1,1,0,2,3,3,0,0,27,12,0,3,0,,,,,,,,,,,"Jerry Augustine","Mike Flanagan","(none)","etcha101","Andy Etchebarren","Al Bumbry","Rich Dauer","Eddie Murray","Lee May","Doug DeCinces","Gary Roenicke","Carlos Lopez","Rick Dempsey","Mark Belanger","Paul Molitor","Don Money","Sal Bando","Larry Hisle","Sixto Lezcano","Cecil Cooper","Gorman Thomas","Lenn Sakata","Andy Etchebarren",,
"MIL197804080","19780408",0,"Saturday",0,"T","D","BAL","MIL","MIL05","martd001","haasm001","malog901","mckej901","koscg901","neudj901","","",6470,"Orioles","Ron Fisher","Ron Fisher","1995/04/17 10:10AM","",1,0,0,0,-1,0,0,0,174,9,3,16,8,15,4,1,5,11,"haasm001","martd001","","","bumba001",8,"harll101",9,"singk001",10,"murre001",5,"may-l101",3,"kellp101",7,"decid001",4,"dempr001",2,"belam101",6,"molip001",6,"moned101",4,"coopc001",3,"hisll101",7,"oglib001",10,"lezcs001",9,"bands101",5,"thomg001",8,"martb001",2,"stand101","","","",,,51,,,,300000000,80053000x,34,2,0,0,3,0,0,0,1,0,7,0,1,0,0,4,11,11,2,0,24,6,0,1,0,41,1,0,3,15,1,0,0,9,1,4,1,0,1,0,1,3,3,0,1,27,6,0,0,0,,,,,,,,,,,"Moose Haas","Dennis Martinez","(none)","hisll101","Larry Hisle","Al Bumbry","Larry Harlow","Ken Singleton","Eddie Murray","Lee May","Pat Kelly","Doug DeCinces","Rick Dempsey","Mark Belanger","Paul Molitor","Don Money","Cecil Cooper","Larry Hisle","Ben Oglivie","Sixto Lezcano","Sal Bando","Gorman Thomas","Buck Martinez",,
"MIL197804090","19780409",0,"Sunday",0,"T","D","BAL","MIL","MIL05","mcgrs001","sorel001","mckej901","koscg901","neudj901","malog901","","",18514,"Orioles","Ron Fisher","Ron Fisher","1995/04/18 8:06AM","",1,0,39,0,-1,0,0,0,173,9,5,13,10,14,0,2,10,8,"sorel001","mcgrs001","","","bumba001",8,"harll101",9,"singk001",10,"murre001",5,"may-l101",3,"kellp101",7,"decid001",4,"dempr001",2,"belam101",6,"molip001",6,"moned101",5,"bands101",10,"hisll101",7,"lezcs001",9,"coopc001",3,"thomg001",8,"sakal001",4,"moorc001",2,"stodt001","mcclb001","","",,,51,,,,100120001,04060003x,37,1,0,0,5,0,0,0,5,0,2,0,0,1,0,3,13,13,4,0,24,15,0,1,0,36,3,0,1,12,1,0,0,8,2,3,1,0,1,0,2,4,4,1,0,27,16,0,1,0,,,,,,,,,,,"Lary Sorensen","Scott McGregor","(none)","molip001","Paul Molitor","Al Bumbry","Larry Harlow","Ken Singleton","Eddie Murray","Lee May","Pat Kelly","Doug DeCinces","Rick Dempsey","Mark Belanger","Paul Molitor","Don Money","Sal Bando","Larry Hisle","Sixto Lezcano","Cecil Cooper","Gorman Thomas","Lenn Sakata","Charlie Moore",,
"MIL197804110","19780411",0,"Tuesday",600,"T","N","NYA","MIL","MIL05","huntj101","auguj001","clara901","kunkb101","deegb901","coont901","","",8934,"Hunzel","","DMLevine","1996/06/11 6:59PM","",0,0,46,0,-1,0,0,0,154,9,6,9,15,11,1,2,11,2,"auguj001","huntj101","caldm001","","randw001",4,"rivem001",8,"munst101",2,"jackr001",9,"pinil001",7,"chamc001",3,"johnc001",10,"nettg001",5,"dentb001",6,"molip001",6,"moned101",4,"coopc001",3,"hisll101",7,"oglib001",10,"lezcs001",9,"bands101",5,"thomg001",8,"martb001",2,"clayk101","caldm001","","",,,51,,,,100003002,12300210x,42,2,0,1,6,0,0,0,2,0,3,0,0,1,0,3,9,9,0,0,24,12,0,1,0,34,3,0,3,8,0,0,1,0,0,0,0,0,1,0,3,6,6,0,0,27,14,0,1,0,,,,,,,,,,,"Jerry Augustine","Jim Hunter","Mike Caldwell","thomg001","Gorman Thomas","Willie Randolph","Mickey Rivers","Thurman Munson","Reggie Jackson","Lou Piniella","Chris Chambliss","Cliff Johnson","Graig Nettles","Bucky Dent","Paul Molitor","Don Money","Cecil Cooper","Larry Hisle","Ben Oglivie","Sixto Lezcano","Sal Bando","Gorman Thomas","Buck Martinez",,
"MIL197804120","19780412",0,"Wednesday",130,"T","D","NYA","MIL","MIL05","holtk101","haasm001","kunkb101","deegb901","coont901","clara901","","",8751,"Munzel","","DMLevine","1996/06/11 7:58PM","",0,0,62,0,-1,0,0,0,138,9,3,5,5,7,2,0,4,5,"haasm001","gossr001","","","randw001",4,"rivem001",8,"munst101",2,"jackr001",9,"chamc001",3,"nettg001",5,"whitr101",7,"spenj101",10,"dentb001",6,"sakal001",4,"moned101",5,"bands101",10,"hisll101",7,"lezcs001",9,"coopc001",3,"thomg001",8,"martb001",2,"johnt102",6,"gossr001","","","",,,51,,,,002100000,10000220x,30,0,0,2,3,0,1,0,3,0,14,0,1,0,0,2,4,4,0,0,24,13,0,2,0,30,2,0,2,5,0,0,0,4,0,5,0,0,2,0,1,3,3,0,0,27,6,0,0,0,,,,,,,,,,,"Moose Haas","Rich Gossage","(none)","moned101","Don Money","Willie Randolph","Mickey Rivers","Thurman Munson","Reggie Jackson","Chris Chambliss","Graig Nettles","Roy White","Jim Spencer","Bucky Dent","Lenn Sakata","Don Money","Sal Bando","Larry Hisle","Sixto Lezcano","Cecil Cooper","Gorman Thomas","Buck Martinez","Tim Johnson",,
"MIL197804250","19780425",0,"Tuesday",609,"T","N","BOS","MIL","MIL05","lee-b101","auguj001","garcr901","voltv901","chyln901","lucir901","","",9051,"MIL, BOS","David W. Smith","David W. Smith","1996/07/28 11:36AM","",1,0,47,0,-1,0,0,0,137,9,4,3,8,9,1,2,8,7,"lee-b101","auguj001","dragd101","","remyj001",4,"burlr001",6,"ricej001",7,"yastc101",3,"fiskc001",2,"lynnf001",8,"evand002",9,"hobsb101",5,"bailb103",10,"molip001",6,"coopc001",3,"bands101",5,"hisll101",7,"thomg001",8,"david101",10,"wohlj001",9,"sakal001",4,"martb001",2,"dragd101","","","",,,54,,,,220000000,000111000,37,1,0,0,4,0,0,0,2,0,4,2,0,0,0,2,2,2,0,0,27,17,0,1,0,36,1,0,2,2,0,0,0,1,0,2,0,0,1,0,1,3,3,0,0,27,12,0,0,0,,,,,,,,,,,"Bill Lee","Jerry Augustine","Dick Drago","ricej001","Jim Rice","Jerry Remy","Rick Burleson","Jim Rice","Carl Yastrzemski","Carlton Fisk","Fred Lynn","Dwight Evans","Butch Hobson","Bob Bailey","Paul Molitor","Cecil Cooper","Sal Bando","Larry Hisle","Gorman Thomas","Dick Davis","Jim Wohlford","Lenn Sakata","Buck Martinez",,
"MIL197804260","19780426",0,"Wednesday",608,"T","N","BOS","MIL","MIL05","torrm001","caldm001","voltv901","chyln901","lucir901","garcr901","","",8724,"BOS, MIL","David W. Smith","David W. Smith","1996/07/28 11:52AM","",1,0,0,0,-1,0,0,0,151,9,4,6,8,12,1,0,8,4,"caldm001","torrm001","mcclb001","","remyj001",4,"burlr001",6,"ricej001",7,"yastc101",3,"fiskc001",2,"lynnf001",8,"evand002",9,"hobsb101",5,"bailb103",10,"molip001",6,"gantj001",5,"coopc001",3,"hisll101",7,"oglib001",9,"bands101",10,"thomg001",8,"sakal001",4,"moorc001",2,"stanb001","mcclb001","","",,,51,,,,100020100,22100100x,35,2,0,0,4,0,0,1,3,0,4,0,0,0,0,2,6,6,0,0,24,14,0,1,0,33,2,0,2,6,0,0,0,1,0,0,2,1,1,0,3,4,4,0,0,27,9,1,0,0,,,,,,,,,,,"Mike Caldwell","Mike Torrez","Bob McClure","coopc001","Cecil Cooper","Jerry Remy","Rick Burleson","Jim Rice","Carl Yastrzemski","Carlton Fisk","Fred Lynn","Dwight Evans","Butch Hobson","Bob Bailey","Paul Molitor","Jim Gantner","Cecil Cooper","Larry Hisle","Ben Oglivie","Sal Bando","Gorman Thomas","Lenn Sakata","Charlie Moore",,
"MIL197805020","19780502",0,"Tuesday",710,"T","N","CHA","MIL","MIL05","woodw103","sorel001","merrd901","sprim901","barnl901","evanj901","","",7880,"MIL, CHA","David W. Smith","David W. Smith","1996/07/28 12:13PM","",1,0,46,0,-1,0,0,0,130,9,5,3,11,8,1,2,7,7,"woodw103","sorel001","","","molib101",9,"kessd101",6,"ortaj001",4,"johnl101",3,"blomr101",10,"lemoc001",8,"cruzh102",7,"sodee101",5,"nahob001",2,"molip001",6,"david101",10,"bands101",5,"hisll101",7,"lezcs001",9,"thomg001",8,"oglib001",3,"martb001",2,"sakal001",4,"","mcclb001","","",,,54,,,,000101021,001100001,38,0,0,2,5,0,0,0,1,0,3,1,0,1,0,1,3,3,0,0,27,13,0,0,0,33,1,2,0,3,1,1,0,2,1,3,0,1,0,0,2,5,5,0,0,27,10,0,1,0,,,,,,,,,,,"Wilbur Wood","Lary Sorensen","(none)","johnl101","Lamar Johnson","Bob Molinaro","Don Kessinger","Jorge Orta","Lamar Johnson","Ron Blomberg","Chet Lemon","Henry Cruz","Eric Soderholm","Bill Nahorodny","Paul Molitor","Dick Davis","Sal Bando","Larry Hisle","Sixto Lezcano","Gorman Thomas","Ben Oglivie","Buck Martinez","Lenn Sakata",,
"MIL197805030","19780503",0,"Wednesday",737,"T","N","CHA","MIL","MIL05","wortr101","auguj001","sprim901","barnl901","evanj901","merrd901","","",5720,"MIL, CHA","David W. Smith","David W. Smith","1996/07/28 12:24PM","",1,0,50,0,-1,0,0,0,109,9,0,4,3,8,0,0,3,7,"auguj001","wortr101","","","banna001",7,"kessd101",6,"ortaj001",4,"johnl101",3,"nordw101",9,"lemoc001",8,"moorj101",10,"sodee101",5,"nahob001",2,"molip001",6,"david101",7,"bands101",5,"hisll101",10,"lezcs001",9,"thomg001",8,"coopc001",3,"martb001",2,"sakal001",4,"willj102","","","",,,51,,,,000000000,00000031x,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,4,1,0,24,6,0,1,0,30,2,1,0,4,1,0,0,4,0,3,1,0,1,0,1,0,0,0,0,27,12,0,0,0,,,,,,,,,,,"Jerry Augustine","Rich Wortham","(none)","molip001","Paul Molitor","Alan Bannister","Don Kessinger","Jorge Orta","Lamar Johnson","Wayne Nordhagen","Chet Lemon","Junior Moore","Eric Soderholm","Bill Nahorodny","Paul Molitor","Dick Davis","Sal Bando","Larry Hisle","Sixto Lezcano","Gorman Thomas","Cecil Cooper","Buck Martinez","Lenn Sakata",,
"MIL197805050","19780505",0,"Friday",735,"T","N","KCA","MIL","MIL05","colbj101","caldm001","deegb901","coont901","clara901","kunkb101","","",10435,"KC/Mil","Vincent","Vincent","1995/12/18 8:44PM","",1,0,44,0,-1,0,0,4,144,9,0,9,4,14,1,0,3,8,"caldm001","colbj101","","","wilsw001",7,"terrj101",5,"mcrah001",10,"cowea001",9,"otisa001",8,"wathj001",3,"portd001",2,"patef101",6,"whitf001",4,"molip001",6,"bands101",5,"coopc001",3,"hisll101",10,"oglib001",7,"lezcs001",9,"thomg001",8,"martb001",2,"sakal001",4,"mings101","","","",,,51,,,,000000000,02205000x,30,2,0,0,0,0,0,0,0,0,4,0,0,1,0,3,8,8,0,0,24,10,1,1,0,39,3,0,3,9,0,0,0,2,0,6,1,0,1,0,1,0,0,0,0,27,15,0,1,0,,,,,,,,,,,"Mike Caldwell","Jim Colborn","(none)","lezcs001","Sixto Lezcano","Willie Wilson","Jerry Terrell","Hal McRae","Al Cowens","Amos Otis","John Wathan","Darrell Porter","Freddie Patek","Frank White","Paul Molitor","Sal Bando","Cecil Cooper","Larry Hisle","Ben Oglivie","Sixto Lezcano","Gorman Thomas","Buck Martinez","Lenn Sakata",,
