"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TOR197804140",3,0,"moorb101",1,0,1,"garvj101",1,27
"TOR197804140",3,0,"kirkd101",1,0,1,"moorb101",1,30
"TOR197804140",3,1,"wilcm001",0,0,1,"slatj001",1,35
"TOR197804140",6,1,"hillj101",0,0,1,"wilcm001",1,63
"TOR197804140",6,1,"aultd101",1,6,11,"huttt101",7,66
"TOR197804140",7,0,"upshw001",1,6,7,"aultd101",11,70
"TOR197804140",8,0,"mankp101",0,8,11,"rodra101",5,79
"TOR197804140",8,1,"mankp101",0,8,5,"mankp101",11,80
"TOR197804140",8,1,"taylb101",0,0,1,"hillj101",1,80
"TOR197804140",9,0,"wockj001",0,9,11,"trama001",6,83
"TOR197804140",9,0,"murpt101",1,0,1,"kirkd101",1,85
"TOR197804150",6,1,"wooda001",1,8,11,"gomel101",6,53
"TOR197804150",7,0,"nordt101",1,8,6,"wooda001",11,55
"TOR197804150",7,0,"willm101",1,0,1,"undet001",1,55
"TOR197804150",8,1,"foucs101",0,0,1,"billj101",1,68
"TOR197804150",9,0,"murpt101",1,0,1,"willm101",1,76
"TOR197804150",9,0,"corct001",0,6,11,"spikc101",9,77
"TOR197804150",9,1,"corct001",0,6,9,"corct001",11,78
"TOR197804150",9,1,"upshw001",1,8,11,"nordt101",6,78
"TOR197804150",9,1,"aultd101",1,9,11,"ashba001",2,79
"TOR197804160",6,1,"crawj102",0,0,1,"rozed001",1,50
"TOR197804160",7,0,"moorb101",1,0,1,"clanj001",1,55
"TOR197804160",9,1,"aultd101",1,6,11,"huttt101",7,71
"TOR197804170",7,0,"huttt101",1,3,9,"hower001",9,44
"TOR197804170",8,1,"lacop101",0,1,3,"wilsw001",7,61
"TOR197804170",8,1,"hurdc001",0,7,7,"hurdc001",3,61
"TOR197804170",8,1,"birdd101",0,0,1,"gural001",1,61
"TOR197804170",8,1,"upshw001",1,8,11,"iorgg001",4,61
"TOR197804170",8,1,"aultd101",1,9,11,"gomel101",6,62
"TOR197804170",9,0,"nordt101",1,9,6,"aultd101",11,64
"TOR197804170",9,0,"mckad101",1,8,4,"upshw001",11,64
"TOR197804170",9,1,"hraba101",0,0,1,"birdd101",1,71
"TOR197804180",3,0,"kirkd101",1,0,1,"lemad101",1,23
"TOR197804180",6,1,"lacop101",0,7,3,"hurdc001",3,47
"TOR197804180",7,0,"willm101",1,0,1,"kirkd101",1,51
"TOR197804190",5,1,"gossr001",0,0,1,"holtk101",1,42
"TOR197804190",5,1,"huttt101",1,5,11,"aultd101",7,43
"TOR197804190",6,0,"huttt101",1,5,7,"huttt101",11,44
"TOR197804190",7,1,"upshw001",1,9,11,"gomel101",6,56
"TOR197804190",8,0,"nordt101",1,9,6,"upshw001",11,59
"TOR197804190",8,0,"murpt101",1,0,1,"garvj101",1,62
"TOR197804190",9,1,"iorgg001",1,6,12,"maybj101",3,70
"TOR197804210",4,0,"kirkd101",1,0,1,"undet001",1,34
"TOR197804210",6,0,"moorb101",1,0,1,"kirkd101",1,54
"TOR197804210",6,1,"lagrl101",0,0,1,"barrf101",1,59
"TOR197804210",7,1,"upshw001",1,9,11,"gomel101",6,66
"TOR197804210",8,0,"nordt101",1,9,6,"upshw001",11,69
"TOR197804210",8,0,"willm101",1,0,1,"moorb101",1,75
"TOR197804210",8,1,"pryog001",0,1,5,"moorj101",5,76
"TOR197804220",8,1,"huttt101",1,5,12,"aultd101",7,62
"TOR197804220",8,1,"willj102",0,0,1,"woodw103",1,63
"TOR197804220",9,0,"huttt101",1,5,7,"huttt101",12,64
"TOR197804220",9,0,"willm101",1,0,1,"clanj001",1,67
"TOR197804220",9,0,"sodee101",0,6,11,"blomr101",10,67
"TOR197804230",2,1,"hintr101",0,0,1,"stons101",1,19
"TOR197804230",6,1,"schur101",0,0,1,"hintr101",1,46
"TOR197804230",8,1,"torrp101",0,0,1,"schur101",1,60
"TOR197804240",8,1,"veleo101",1,9,11,"gomel101",6,68
"TOR197804240",8,1,"nordt101",1,9,12,"veleo101",11,69
"TOR197804240",8,1,"kernj001",0,0,1,"hoodd101",1,69
"TOR197804240",9,0,"nordt101",1,9,6,"nordt101",12,71
"TOR197804240",9,0,"huttt101",1,6,7,"aultd101",7,71
"TOR197804240",9,0,"murpt101",1,0,1,"lemad101",1,73
"TOR197804250",6,1,"kinnd101",0,0,1,"garlw101",1,54
"TOR197804250",7,0,"willm101",1,0,1,"garvj101",1,58
"TOR197804250",8,1,"grubj001",0,2,7,"cox-t101",7,69
"TOR197804250",8,1,"veleo101",1,6,11,"huttt101",7,69
"TOR197804250",9,0,"bailb001",1,2,7,"bailb001",9,73
"TOR197804250",9,0,"veleo101",1,6,9,"veleo101",11,73
"TOR197804250",9,1,"aultd101",1,9,11,"gomel101",6,76
"TOR197805090",5,1,"laceb001",0,0,1,"brobp101",1,41
"TOR197805090",7,1,"heavd101",0,0,1,"laceb001",1,53
"TOR197805090",8,0,"newmj001",0,2,11,"edwam101",4,60
"TOR197805090",8,1,"perem101",0,2,5,"newmj001",11,62
"TOR197805090",8,1,"stags101",0,7,4,"stags101",5,62
"TOR197805100",3,1,"colej102",0,0,1,"langr001",1,26
"TOR197805100",7,0,"tabbj101",0,2,11,"edwam101",4,54
"TOR197805100",7,1,"perem101",0,2,5,"tabbj101",11,56
"TOR197805100",7,1,"stags101",0,9,4,"stags101",5,56
"TOR197805100",8,0,"dilom001",0,6,12,"reved101",3,63
"TOR197805100",8,1,"thomg101",0,4,3,"thomg101",9,64
"TOR197805100",8,1,"dilom001",0,6,9,"dilom001",12,64
"TOR197805100",8,1,"sosae101",0,0,1,"colej102",1,64
"TOR197805120",3,1,"rawls001",0,0,1,"mitcp101",1,29
"TOR197805120",5,1,"veleo101",1,3,11,"huttt101",7,46
"TOR197805120",5,1,"burks102",0,0,1,"rawls001",1,51
"TOR197805120",6,0,"veleo101",1,3,7,"veleo101",11,54
"TOR197805120",8,1,"houst101",0,0,1,"burks102",1,74
"TOR197805130",1,0,"moorb101",1,0,1,"lemad101",1,7
"TOR197805130",4,0,"robel001",0,8,11,"halej101",9,34
"TOR197805130",4,1,"robel001",0,8,9,"robel001",11,39
"TOR197805130",5,0,"walld103",1,0,1,"moorb101",1,46
"TOR197805130",5,0,"willm101",1,0,1,"walld103",1,51
"TOR197805130",7,1,"mclab102",0,0,1,"poled101",1,70
"TOR197805130",8,1,"romoe101",0,0,1,"mclab102",1,79
"TOR197805130",8,1,"ewins101",1,9,11,"gomel101",6,79
"TOR197805130",9,0,"johnt102",1,9,4,"ewins101",11,81
"TOR197805130",9,0,"mckad101",1,8,6,"mckad101",4,81
"TOR197805150",2,0,"walld103",1,0,1,"garvj101",1,15
"TOR197805150",6,0,"moorb101",1,0,1,"walld103",1,45
"TOR197805150",7,0,"landk001",0,7,12,"rettm101",9,59
"TOR197805150",7,1,"landk001",0,7,9,"landk001",12,60
"TOR197805150",7,1,"hartp001",0,0,1,"bretk101",1,65
"TOR197805150",7,1,"ewins101",1,9,11,"gomel101",6,66
"TOR197805150",7,1,"johnt102",1,9,12,"ewins101",11,67
"TOR197805150",7,1,"larod101",0,0,1,"hartp001",1,69
"TOR197805150",8,0,"johnt102",1,9,6,"johnt102",12,75
"TOR197805150",8,0,"murpt101",1,0,1,"moorb101",1,75
"TOR197805150",8,1,"milld101",0,0,1,"larod101",1,78
"TOR197805150",9,0,"huttt101",1,5,7,"veleo101",7,81
"TOR197805160",7,0,"willm101",1,0,1,"undet001",1,62
"TOR197805160",8,1,"upshw001",1,6,12,"huttt101",7,76
"TOR197805160",8,1,"larod101",0,0,1,"aased001",1,77
"TOR197805160",8,1,"veleo101",1,8,11,"ashba001",2,77
"TOR197805160",8,1,"ceror001",1,8,12,"veleo101",11,78
"TOR197805160",9,0,"upshw001",1,6,7,"upshw001",12,81
"TOR197805160",9,0,"ceror001",1,8,2,"ceror001",12,81
"TOR197805160",9,0,"murpt101",1,0,1,"willm101",1,82
"TOR197805160",9,0,"landk001",0,4,12,"rudij101",10,83
"TOR197805190",3,0,"willm101",1,0,1,"jeffj101",1,25
"TOR197805190",4,1,"blaip101",0,4,9,"jackr001",9,40
"TOR197805190",5,0,"walld103",1,0,1,"willm101",1,48
"TOR197805190",7,1,"johnc001",0,3,2,"munst101",2,67
"TOR197805190",8,1,"eastr101",0,0,1,"tidrd001",1,75
"TOR197805200",4,1,"clayk101",0,0,1,"beatj001",1,37
"TOR197805200",6,1,"lyles101",0,0,1,"clayk101",1,52
"TOR197805200",6,1,"veleo101",1,6,11,"ewins101",10,53
"TOR197805200",7,1,"holtk101",0,0,1,"lyles101",1,66
"TOR197805200",8,0,"huttt101",1,5,3,"huttt101",7,71
"TOR197805200",8,0,"upshw001",1,4,7,"maybj101",3,71
"TOR197805200",8,0,"alstd101",0,9,11,"dentb001",6,73
"TOR197805200",8,1,"stanf101",0,9,6,"alstd101",11,75
"TOR197805200",9,0,"murpt101",1,0,1,"lemad101",1,80
"TOR197805200",9,0,"guidr001",0,8,12,"spenj101",3,85
"TOR197805200",9,0,"johnc001",0,9,11,"stanf101",6,85
"TOR197805211",8,0,"murpt101",1,0,1,"undet001",1,58
"TOR197805211",8,1,"upshw001",1,9,11,"gomel101",6,64
"TOR197805211",9,0,"johnt102",1,9,6,"upshw001",11,67
"TOR197805211",9,1,"lyles101",0,0,1,"figue101",1,72
"TOR197805211",9,1,"kirkd101",1,4,12,"maybj101",3,73
"TOR197805211",9,1,"gossr001",0,0,1,"lyles101",1,74
"TOR197805211",9,1,"veleo101",1,6,11,"ewins101",10,74
"TOR197805211",9,1,"aultd101",1,7,11,"ceror001",2,75
"TOR197805212",4,0,"moorb101",1,0,1,"garvj101",1,34
"TOR197805212",6,0,"blaip101",0,1,11,"rivem001",8,49
"TOR197805212",6,1,"blaip101",0,1,8,"blaip101",11,54
"TOR197805212",8,0,"kirkd101",1,0,1,"moorb101",1,64
"TOR197805212",8,1,"holtk101",0,0,1,"clayk101",1,68
"TOR197805212",8,1,"veleo101",1,5,11,"huttt101",7,70
"TOR197805212",9,0,"veleo101",1,5,7,"veleo101",11,71
"TOR197805212",9,1,"lyles101",0,0,1,"holtk101",1,75
"TOR197805212",9,1,"aultd101",1,6,11,"ewins101",10,75
"TOR197805220",8,1,"burgt001",0,0,1,"ripla101",1,61
"TOR197805220",9,1,"veleo101",1,5,11,"huttt101",7,69
"TOR197805220",9,1,"aultd101",1,6,11,"ewins101",10,70
"TOR197805220",9,1,"stanb001",0,0,1,"burgt001",1,72
"TOR197805220",9,1,"upshw001",1,9,11,"gomel101",6,73
"TOR197805230",9,1,"upshw001",1,4,12,"maybj101",3,66
"TOR197805230",9,1,"cartr101",1,8,11,"mckad101",4,69
"TOR197805230",10,0,"upshw001",1,4,7,"upshw001",12,70
"TOR197805230",10,0,"huttt101",1,5,3,"huttt101",7,70
"TOR197805230",10,0,"johnt102",1,8,4,"cartr101",11,70
"TOR197805230",11,1,"campb001",0,0,1,"wrigj103",1,84
"TOR197805240",7,0,"colej102",1,0,1,"lemad101",1,51
"TOR197805240",7,1,"aultd101",1,9,11,"gomel101",6,58
"TOR197805240",8,0,"johnt102",1,9,6,"aultd101",11,62
"TOR197805240",9,0,"willm101",1,0,1,"colej102",1,71
"TOR197805250",6,0,"kirkd101",1,0,1,"undet001",1,49
"TOR197805250",8,0,"moorb101",1,0,1,"kirkd101",1,65
"TOR197805250",8,1,"burgt001",0,0,1,"ecked001",1,68
"TOR197805250",8,1,"veleo101",1,6,11,"upshw001",10,68
"TOR197805250",8,1,"dragd101",0,0,1,"burgt001",1,73
"TOR197806020",9,0,"lowej001",0,9,11,"masoj101",6,58
"TOR197806030",3,1,"medid101",0,0,1,"umbaj101",1,30
"TOR197806030",6,1,"huttt101",1,6,11,"aultd101",3,51
"TOR197806030",6,1,"maybj101",1,9,11,"gomel101",6,54
"TOR197806030",7,0,"huttt101",1,6,3,"huttt101",11,56
"TOR197806030",7,0,"johnt102",1,9,6,"maybj101",11,56
"TOR197806030",7,0,"murpt101",1,0,1,"undet001",1,61
"TOR197806030",8,0,"thomb106",0,7,12,"hargm001",3,69
"TOR197806030",8,1,"jorgm001",0,7,3,"thomb106",12,70
"TOR197806030",8,1,"morer101",0,0,1,"medid101",1,71
"TOR197806030",8,1,"clevr101",0,0,1,"morer101",1,72
"TOR197806030",9,0,"lowej001",0,9,11,"normn001",6,75
"TOR197806040",3,0,"moorb101",1,0,1,"lemad101",1,23
"TOR197806040",6,0,"colej102",1,0,1,"moorb101",1,49
"TOR197806040",7,0,"thomb106",0,6,12,"ziskr101",9,63
"TOR197806040",7,1,"thomb106",0,6,9,"thomb106",12,65
"TOR197806040",7,1,"comes001",0,0,1,"ellid101",1,65
"TOR197806040",8,0,"willm101",1,0,1,"colej102",1,69
"TOR197806040",8,1,"huttt101",1,9,11,"gomel101",6,76
"TOR197806040",9,0,"johnt102",1,9,6,"huttt101",11,77
"TOR197806131",7,1,"ewins101",1,9,11,"ashba001",2,59
"TOR197806131",8,0,"ceror001",1,9,2,"ewins101",11,61
"TOR197806131",8,0,"colej102",1,0,1,"moorb101",1,61
"TOR197806131",8,0,"carer001",0,6,11,"kusic101",3,63
"TOR197806131",8,1,"carer001",0,6,3,"carer001",11,66
"TOR197806131",9,1,"marsm101",0,0,1,"goltd101",1,75
