"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"NYN197904100",9,0,"huttt101",0,9,11,"lee-b101",1,70
"NYN197904100",9,1,"sosae101",0,9,1,"huttt101",11,71
"NYN197904100",9,1,"boisb101",1,9,11,"swanc001",1,72
"NYN197904100",10,0,"locks101",1,9,1,"boisb101",11,76
"NYN197904100",10,1,"krane101",1,7,11,"madde101",9,85
"NYN197904100",11,0,"florg101",1,7,9,"krane101",11,86
"NYN197904100",11,0,"solat101",0,9,11,"sosae101",1,89
"NYN197904100",11,1,"palmd001",0,9,1,"solat101",11,90
"NYN197904100",11,1,"younj001",1,9,11,"locks101",1,91
"NYN197904100",12,0,"murrd001",1,1,1,"mazzl001",8,93
"NYN197904100",12,0,"younj001",1,9,9,"younj001",11,93
"NYN197904100",12,0,"florg101",1,7,8,"florg101",9,93
"NYN197904100",14,0,"whitj001",0,9,11,"palmd001",1,109
"NYN197904100",14,1,"bahns101",0,9,1,"whitj001",11,114
"NYN197904100",14,1,"hodgr001",1,1,11,"murrd001",1,115
"NYN197904110",9,0,"hodgr001",1,4,2,"steaj001",2,69
"NYN197904110",9,0,"cashd101",0,9,11,"roges001",1,73
"NYN197904110",9,1,"dyerd101",0,6,2,"cartg001",2,74
"NYN197904110",9,1,"sosae101",0,9,1,"cashd101",11,74
"NYN197904110",9,1,"krane101",1,9,11,"falcp001",1,76
"NYN197904110",10,0,"locks101",1,9,1,"krane101",11,77
"NYN197904110",11,1,"florg101",1,8,11,"flynd001",6,95
"NYN197904110",11,1,"boisb101",1,9,11,"locks101",1,96
"NYN197904110",11,1,"frymw101",0,9,1,"sosae101",1,96
"NYN197904110",11,1,"younj001",1,9,11,"boisb101",11,96
"NYN197904110",11,1,"bahns101",0,9,1,"frymw101",1,98
"NYN197904120",7,0,"unsed101",0,9,11,"lercr001",1,55
"NYN197904120",7,1,"mcgrt001",0,9,1,"unsed101",11,60
"NYN197904120",9,0,"mccat101",0,9,11,"mcgrt001",1,70
"NYN197904151",2,0,"boisb101",1,3,9,"hebnr001",5,6
"NYN197904151",2,0,"younj001",1,7,5,"younj001",9,6
"NYN197904151",7,1,"hodgr001",1,9,11,"swanc001",1,59
"NYN197904151",8,0,"murrd001",1,9,1,"hodgr001",11,60
"NYN197904151",8,1,"grosg001",0,4,7,"luzig001",7,63
"NYN197904151",8,1,"mcgrt001",0,9,1,"ruthd001",1,67
"NYN197904151",9,1,"florg101",1,9,11,"murrd001",1,75
"NYN197904152",6,1,"boisb101",1,9,11,"allen001",1,43
"NYN197904152",7,0,"twitw101",1,9,1,"boisb101",11,46
"NYN197904152",8,0,"unsed101",0,4,12,"luzig001",7,58
"NYN197904152",8,0,"bernd101",1,9,1,"twitw101",1,60
"NYN197904152",8,1,"grosg001",0,3,7,"rosep001",3,61
"NYN197904152",8,1,"unsed101",0,4,3,"unsed101",12,61
"NYN197904152",8,1,"mackp101",0,5,5,"schmm001",5,61
"NYN197904152",8,1,"krane101",1,9,11,"bernd101",1,63
"NYN197904152",8,1,"reedr001",0,9,1,"espin101",1,68
"NYN197904152",9,0,"locks101",1,5,1,"montw101",3,70
"NYN197904152",9,0,"krane101",1,9,3,"krane101",11,70
"NYN197904240",5,1,"treva001",1,9,11,"scotm001",1,38
"NYN197904240",6,0,"bernd101",1,9,1,"treva001",11,41
"NYN197904240",7,1,"florg101",1,9,11,"bernd101",1,54
"NYN197904240",7,1,"laveg001",0,9,1,"bluev001",1,57
"NYN197904240",8,0,"florg101",1,9,9,"florg101",11,64
"NYN197904240",8,0,"younj001",1,6,7,"younj001",9,64
"NYN197904240",8,0,"locks101",1,4,1,"hends001",7,64
"NYN197904250",6,0,"tamaj101",0,9,11,"grift101",1,36
"NYN197904250",6,1,"robed101",0,9,1,"tamaj101",11,39
"NYN197904250",8,0,"venam001",0,7,12,"hillm001",2,52
"NYN197904250",8,1,"sadem101",0,7,2,"venam001",12,53
"NYN197904250",9,0,"mccow101",0,9,11,"robed101",1,56
"NYN197904280",2,0,"boisb101",1,2,9,"hebnr001",5,6
"NYN197904280",2,0,"younj001",1,6,5,"younj001",9,6
"NYN197904280",7,1,"thomg101",0,3,9,"smitr101",9,52
"NYN197904280",8,0,"murrd001",1,9,1,"falcp001",1,61
"NYN197904280",8,1,"hodgr001",1,9,11,"murrd001",1,63
"NYN197904280",9,0,"bernd101",1,9,1,"hodgr001",11,66
