"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"PIT198204160",5,1,"tidrd001",0,9,1,"larsd101",1,45
"PIT198204160",6,0,"robid001",1,9,1,"candj001",1,46
"PIT198204160",7,0,"grift101",1,9,1,"robid001",1,57
"PIT198204160",7,0,"molib101",0,9,11,"tidrd001",1,58
"PIT198204160",7,0,"scurr001",1,9,1,"grift101",1,58
"PIT198204160",7,0,"moraj101",0,9,11,"molib101",11,58
"PIT198204160",7,1,"campb001",0,9,1,"moraj101",11,62
"PIT198204160",7,1,"starw101",1,8,11,"berrd001",6,67
"PIT198204160",8,0,"smitj101",1,8,6,"starw101",11,68
"PIT198204160",8,1,"montw101",1,9,11,"scurr001",1,71
"PIT198204160",8,1,"lacyl001",1,9,12,"montw101",11,72
"PIT198204160",9,0,"tekuk001",1,9,1,"lacyl001",12,78
"PIT198204160",10,1,"robib101",1,9,11,"tekuk001",1,91
"PIT198204160",11,0,"romoe101",1,9,1,"robib101",11,94
"PIT198204160",11,1,"brigd101",0,9,7,"campb001",1,97
"PIT198204160",11,1,"hernw001",0,6,1,"hends001",7,97
"PIT198204160",12,1,"nicos001",1,9,11,"romoe101",1,106
"PIT198204170",5,0,"moskp101",1,9,1,"baumr101",1,40
"PIT198204170",7,1,"starw101",1,9,11,"moskp101",1,60
"PIT198204170",8,0,"grift101",1,9,1,"starw101",11,61
"PIT198204170",8,0,"wallt002",0,4,12,"morek001",2,62
"PIT198204170",8,0,"davij001",0,4,11,"wallt002",12,70
"PIT198204170",8,1,"davij001",0,4,2,"davij001",11,71
"PIT198204170",8,1,"hernw001",0,9,1,"noled001",1,71
"PIT198204170",8,1,"lacyl001",1,2,11,"easlm001",7,72
"PIT198204170",9,0,"lacyl001",1,2,7,"lacyl001",11,74
"PIT198204170",9,0,"romoe101",1,9,1,"grift101",1,74
"PIT198204180",3,1,"harpb001",1,9,11,"soloe101",1,28
"PIT198204180",4,0,"robid001",1,9,1,"harpb001",11,30
"PIT198204180",6,1,"martr101",0,9,1,"jenkf101",1,53
"PIT198204180",7,1,"davij001",0,5,2,"morek001",2,60
"PIT198204180",8,1,"montw101",1,9,11,"robid001",1,68
"PIT198204180",9,0,"scurr001",1,9,1,"montw101",11,70
"PIT198204200",6,0,"greed001",0,6,12,"iorgd001",7,43
"PIT198204200",6,1,"greed001",0,6,8,"greed001",12,45
"PIT198204200",6,1,"smitl002",0,1,7,"smitl002",8,45
"PIT198204200",7,0,"scurr001",1,9,1,"rhodr001",1,53
"PIT198204200",8,1,"robib101",1,9,11,"scurr001",1,66
"PIT198204200",8,1,"lapod001",0,9,1,"martj101",1,70
"PIT198204200",8,1,"suttb001",0,9,1,"lapod001",1,71
"PIT198204200",9,0,"tekuk001",1,9,1,"robib101",11,72
"PIT198204200",9,1,"landt001",0,5,9,"hendg001",9,77
"PIT198204200",9,1,"montw101",1,7,11,"berrd001",6,78
