"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SEA198204160",5,1,"murpd002",0,4,8,"armat001",8,44
"SEA198204160",8,1,"mclab101",0,0,1,"norrm101",1,68
"SEA198204160",8,1,"boslt001",1,3,12,"bochb001",7,69
"SEA198204160",8,1,"owchb001",0,0,1,"mclab101",1,72
"SEA198204160",9,0,"boslt001",1,3,7,"boslt001",12,73
"SEA198204170",2,0,"andel001",1,0,1,"moorm001",1,15
"SEA198204170",6,0,"vande001",1,0,1,"andel001",1,50
"SEA198204170",7,0,"stanm001",1,0,1,"vande001",1,58
"SEA198204170",8,0,"caudb001",1,0,1,"stanm001",1,70
"SEA198204170",8,1,"stros101",1,3,11,"bochb001",7,73
"SEA198204170",9,0,"stros101",1,3,7,"stros101",11,75
"SEA198204170",9,0,"bullb101",1,5,2,"essij001",2,75
"SEA198204180",6,0,"stanm001",1,0,1,"nunee001",1,47
"SEA198204180",7,0,"vande001",1,0,1,"stanm001",1,56
"SEA198204180",7,1,"undet001",0,0,1,"mccas001",1,57
"SEA198204180",9,1,"rudij101",0,6,9,"burrj001",9,69
"SEA198204190",7,0,"caudb001",1,0,1,"nelsg001",1,59
"SEA198204190",7,1,"sancl001",0,0,1,"wittm001",1,64
"SEA198204190",8,1,"stros101",1,8,11,"bullb101",2,72
"SEA198204190",8,1,"aased001",0,0,1,"sancl001",1,73
"SEA198204190",9,0,"essij001",1,8,2,"stros101",11,75
"SEA198204190",9,1,"clarb002",0,1,7,"downb001",7,79
"SEA198204190",9,1,"benij001",0,4,9,"jackr001",9,79
"SEA198204200",1,1,"benij001",0,4,9,"jackr001",9,6
"SEA198204200",5,1,"sancl001",0,0,1,"morea101",1,49
"SEA198204200",6,1,"bahns101",0,0,1,"sancl001",1,54
"SEA198204200",7,1,"hassa001",0,0,1,"bahns101",1,66
"SEA198204200",8,0,"stanm001",1,0,1,"perrg101",1,75
"SEA198204200",8,0,"scond001",0,9,11,"fergj101",2,75
"SEA198204200",8,1,"boonb001",0,9,2,"scond001",11,76
"SEA198204210",6,1,"renks101",0,0,1,"kisob001",1,53
"SEA198204210",7,0,"caudb001",1,0,1,"bannf001",1,58
"SEA198204210",7,0,"lynnf001",0,6,11,"clarb002",8,61
"SEA198204210",7,0,"jackr001",0,7,11,"jackr002",3,62
"SEA198204210",7,1,"scond001",0,7,3,"jackr001",11,63
"SEA198204210",7,1,"lynnf001",0,6,8,"lynnf001",11,63
"SEA198204210",7,1,"sancl001",0,0,1,"renks101",1,63
"SEA198204210",7,1,"hassa001",0,0,1,"sancl001",1,68
"SEA198204210",8,1,"aased001",0,0,1,"hassa001",1,74
"SEA198204210",9,0,"carer001",0,2,11,"benij001",9,75
"SEA198204220",3,1,"arrof001",0,0,1,"redfp101",1,30
"SEA198204220",6,0,"andel001",1,0,1,"moorm001",1,55
"SEA198204220",7,0,"stanm001",1,0,1,"andel001",1,62
"SEA198204220",7,1,"castr001",0,0,1,"arrof001",1,69
"SEA198204220",8,0,"wilfr001",0,9,11,"faedl001",6,71
"SEA198204220",8,1,"washr001",0,9,6,"wilfr001",11,74
"SEA198204230",2,0,"andel001",1,0,1,"nunee001",1,22
"SEA198204230",7,0,"vande001",1,0,1,"andel001",1,69
"SEA198204230",7,1,"gaetg001",0,7,5,"castj001",5,74
"SEA198204230",7,1,"hendd001",1,3,12,"bochb001",7,76
"SEA198204230",8,0,"hendd001",1,3,9,"hendd001",12,78
"SEA198204230",8,0,"boslt001",1,6,7,"cowea001",9,78
"SEA198204230",8,1,"hatcm001",0,1,9,"eisej001",8,82
"SEA198204230",8,1,"mitcb101",0,8,8,"mitcb101",9,82
"SEA198204230",8,1,"stros101",1,8,11,"essij001",2,84
"SEA198204230",9,0,"sernp101",1,9,6,"cruzt001",6,85
"SEA198204230",9,0,"bullb101",1,8,2,"stros101",11,85
"SEA198204230",9,0,"randl101",1,1,4,"cruzj002",4,85
"SEA198204230",9,0,"caudb001",1,0,1,"vande001",1,85
"SEA198204240",6,1,"davir001",0,0,1,"haveb001",1,51
"SEA198204240",7,0,"engld001",0,8,11,"hatcm001",9,52
"SEA198204240",7,0,"vande001",1,0,1,"nelsg001",1,55
"SEA198204240",7,0,"gaetg001",0,2,11,"wilfr001",4,55
"SEA198204240",7,1,"engld001",0,8,9,"engld001",11,57
"SEA198204240",7,1,"gaetg001",0,2,5,"gaetg001",11,57
"SEA198204240",7,1,"castj001",0,6,4,"castj001",5,57
"SEA198204240",8,0,"boslt001",1,3,7,"bochb001",7,61
"SEA198204240",8,0,"vegaj101",0,5,11,"johnr101",10,63
"SEA198204240",8,0,"caudb001",1,0,1,"vande001",1,63
"SEA198204250",7,0,"moorm001",1,0,1,"perrg101",1,57
"SEA198204250",7,1,"castr001",0,0,1,"willa001",1,58
"SEA198204250",9,0,"beatj001",1,0,1,"moorm001",1,68
"SEA198204250",9,1,"davir001",0,0,1,"castr001",1,72
"SEA198204250",9,1,"bochb001",1,1,11,"cruzj002",4,75
"SEA198204250",9,1,"randl101",1,1,12,"bochb001",11,76
"SEA198204250",10,0,"randl101",1,1,4,"randl101",12,79
"SEA198204250",10,0,"vande001",1,0,1,"beatj001",1,79
"SEA198204250",10,1,"feltt101",0,0,1,"davir001",1,83
"SEA198204250",10,1,"stros101",1,8,11,"bullb101",2,86
"SEA198204250",11,0,"essij001",1,8,2,"stros101",11,87
"SEA198204250",11,0,"vegaj101",0,5,11,"johnr101",10,89
"SEA198204250",11,0,"caudb001",1,0,1,"vande001",1,91
"SEA198204250",11,0,"engld001",0,7,11,"mitcb101",9,91
"SEA198204250",11,1,"engld001",0,7,9,"engld001",11,92
"SEA198205060",4,1,"may-r101",0,0,1,"alexd001",1,31
"SEA198205060",8,0,"murcb101",0,9,11,"dentb001",6,58
"SEA198205060",8,1,"milbl001",0,9,6,"murcb101",11,66
"SEA198205070",5,1,"frazg001",0,0,1,"morgm001",1,43
"SEA198205070",6,1,"righd001",0,0,1,"frazg001",1,52
"SEA198205070",8,0,"boslt001",1,3,7,"bochb001",7,61
"SEA198205070",8,0,"stanm001",1,0,1,"bannf001",1,63
"SEA198205070",8,0,"vande001",1,0,1,"stanm001",1,64
"SEA198205070",8,1,"colld001",0,2,8,"mumpj001",8,65
"SEA198205070",8,1,"gossr001",0,0,1,"righd001",1,65
"SEA198205070",9,0,"caudb001",1,0,1,"vande001",1,71
"SEA198205070",9,0,"gambo001",0,8,11,"ceror001",2,71
"SEA198205070",9,0,"murcb101",0,9,11,"dentb001",6,72
"SEA198205080",7,0,"andel001",1,0,1,"beatj001",1,62
"SEA198205080",8,1,"rawls001",0,0,1,"guidr001",1,71
"SEA198205080",8,1,"gossr001",0,0,1,"rawls001",1,73
"SEA198205080",9,0,"stanm001",1,0,1,"andel001",1,77
"SEA198205080",9,1,"stros101",1,7,11,"essij001",2,85
"SEA198205090",5,0,"milbl001",0,1,11,"randw001",4,37
"SEA198205090",5,1,"milbl001",0,1,4,"milbl001",11,38
"SEA198205090",7,1,"colld001",0,3,8,"mumpj001",8,54
"SEA198205090",9,0,"caudb001",1,0,1,"nelsg001",1,67
"SEA198205090",9,1,"gossr001",0,0,1,"johnt001",1,70
"SEA198205090",9,1,"simpj101",1,7,11,"cowea001",9,73
"SEA198205100",5,1,"sutcr001",0,0,1,"bohnj101",1,42
"SEA198205100",8,0,"vande001",1,0,1,"moorm001",1,61
"SEA198205100",8,1,"randl101",1,4,12,"ziskr101",10,68
"SEA198205100",8,1,"white001",0,0,1,"sutcr001",1,68
"SEA198205100",9,0,"banna001",0,6,11,"hassr001",2,73
"SEA198205100",9,0,"crair001",0,7,11,"mannr001",8,74
"SEA198205100",9,0,"charj101",0,8,11,"percj001",4,75
"SEA198205100",9,0,"nahob001",0,1,11,"dilom001",7,77
"SEA198205100",9,0,"caudb001",1,0,1,"vande001",1,77
"SEA198205100",9,0,"hayev001",0,1,11,"nahob001",11,77
"SEA198205110",8,1,"stros101",1,8,11,"bullb101",2,57
"SEA198205110",9,0,"essij001",1,3,2,"bochb001",7,63
"SEA198205110",9,0,"stros101",1,8,7,"stros101",11,63
"SEA198205110",9,0,"crair001",0,4,12,"thora001",10,64
"SEA198205110",9,0,"clarb001",1,0,1,"perrg101",1,65
"SEA198205110",9,0,"stanm001",1,0,1,"clarb001",1,67
"SEA198205110",9,0,"banna001",0,8,11,"percj001",4,67
"SEA198205110",9,0,"hayev001",0,9,11,"dybzj001",6,68
"SEA198205110",9,1,"hayev001",0,9,9,"hayev001",11,69
"SEA198205110",9,1,"banna001",0,8,4,"banna001",11,69
"SEA198205110",9,1,"fiscm001",0,5,6,"mcbrb101",9,69
"SEA198205110",9,1,"randl101",1,4,12,"ziskr101",10,70
"SEA198205110",9,1,"spild001",0,0,1,"dennj001",1,74
"SEA198205110",12,0,"caudb001",1,0,1,"stanm001",1,97
"SEA198205110",13,1,"white001",0,0,1,"spild001",1,111
"SEA198205120",1,0,"bullb101",1,8,2,"essij001",2,5
"SEA198205120",2,1,"brent001",0,0,1,"waitr001",1,27
"SEA198205120",5,1,"sutcr001",0,0,1,"brent001",1,56
"SEA198205120",6,0,"andel001",1,0,1,"bannf001",1,62
"SEA198205120",7,0,"hassr001",0,8,11,"nahob001",2,70
"SEA198205120",7,1,"hassr001",0,8,2,"hassr001",11,73
"SEA198205120",8,1,"hayev001",0,5,9,"charj101",9,81
"SEA198205130",7,0,"clarb001",1,0,1,"beatj001",1,52
"SEA198205130",9,0,"vande001",1,0,1,"clarb001",1,70
"SEA198205140",2,0,"andel001",1,0,1,"nelsg001",1,16
"SEA198205140",2,0,"firod001",1,8,2,"bullb101",2,16
"SEA198205140",6,0,"roeng001",0,4,11,"murre001",3,52
"SEA198205140",6,1,"roeng001",0,4,3,"roeng001",11,53
"SEA198205140",6,1,"palmj001",0,0,1,"stews001",1,55
"SEA198205140",7,0,"dwyej001",0,6,12,"lowej001",7,60
"SEA198205140",7,0,"stanm001",1,0,1,"andel001",1,62
"SEA198205140",7,1,"dwyej001",0,6,7,"dwyej001",12,63
"SEA198205140",8,0,"sernp101",1,9,4,"cruzj002",4,66
"SEA198205150",7,0,"vande001",1,0,1,"moorm001",1,55
"SEA198205150",8,0,"ayalb001",0,5,11,"lowej001",7,63
"SEA198205150",8,0,"caudb001",1,0,1,"vande001",1,63
"SEA198205150",8,0,"dwyej001",0,5,11,"ayalb001",11,63
"SEA198205150",8,1,"dwyej001",0,5,7,"dwyej001",11,65
"SEA198205150",9,0,"crowt101",0,9,11,"sakal001",6,70
"SEA198205150",9,1,"bonnb101",0,9,6,"crowt101",11,72
"SEA198205150",9,1,"boslt001",1,6,12,"malej101",3,73
"SEA198205160",6,1,"davis001",0,0,1,"flanm001",1,52
"SEA198205160",7,1,"martt001",0,0,1,"davis001",1,63
"SEA198205160",8,1,"dempr001",0,6,2,"nolaj001",2,69
"SEA198205160",8,1,"randl101",1,3,12,"bochb001",10,70
"SEA198205160",9,0,"dwyej001",0,9,11,"bonnb101",6,77
"SEA198205160",9,1,"sakal001",0,9,6,"dwyej001",11,80
"SEA198205160",10,0,"murre001",0,4,12,"singk001",10,86
"SEA198205160",10,0,"stanm001",1,0,1,"perrg101",1,87
"SEA198205160",10,1,"stodt001",0,0,1,"martt001",1,89
"SEA198205160",10,1,"simpj101",1,6,12,"malej101",3,92
"SEA198205250",6,1,"tobid001",0,0,1,"wilcm001",1,50
"SEA198205250",7,0,"stanm001",1,0,1,"beatj001",1,59
"SEA198205250",7,0,"broot001",0,5,12,"hebnr001",3,61
"SEA198205250",7,1,"broot001",0,5,5,"broot001",12,62
"SEA198205250",7,1,"cabee001",0,2,3,"cabee001",5,62
"SEA198205250",7,1,"jonel001",0,3,9,"turnj101",9,62
"SEA198205250",8,0,"andel001",1,0,1,"stanm001",1,68
"SEA198205250",8,1,"ziskr101",1,1,11,"browb001",8,76
"SEA198205250",8,1,"hendd001",1,1,12,"ziskr101",11,77
"SEA198205250",8,1,"sauck101",0,0,1,"tobid001",1,77
"SEA198205250",8,1,"sosae101",0,0,1,"sauck101",1,79
"SEA198205250",9,0,"hendd001",1,1,8,"hendd001",12,81
"SEA198205250",9,0,"caudb001",1,0,1,"andel001",1,81
"SEA198205250",9,0,"gibsk001",0,5,11,"broot001",5,84
"SEA198205250",9,1,"dejom101",0,5,5,"gibsk001",11,86
"SEA198205250",9,1,"simpj101",1,7,12,"malej101",3,89
"SEA198205260",8,0,"vande001",1,0,1,"perrg101",1,63
"SEA198205260",8,0,"iviem101",0,8,11,"whitl001",4,63
"SEA198205260",8,0,"caudb001",1,0,1,"vande001",1,64
"SEA198205260",8,0,"leacr001",0,9,11,"trama001",6,64
"SEA198205260",8,1,"broot001",0,8,4,"iviem101",11,65
"SEA198205260",8,1,"dejom101",0,9,6,"leacr001",11,65
"SEA198205270",4,1,"rainc001",0,0,1,"torrm001",1,37
"SEA198205270",7,0,"nichr001",0,3,12,"ricej001",7,62
"SEA198205270",7,1,"boggw001",0,5,5,"lansc001",5,64
"SEA198205270",7,1,"nichr001",0,3,7,"nichr001",12,64
"SEA198205270",8,1,"ojedb001",0,0,1,"rainc001",1,70
"SEA198205270",8,1,"lafrr101",0,7,2,"gedmr001",2,70
"SEA198205270",8,1,"valdj101",0,8,6,"hoffg001",6,70
"SEA198205270",9,0,"vande001",1,0,1,"nelsg001",1,78
"SEA198205280",8,1,"cleam001",0,0,1,"ecked001",1,63
"SEA198205290",4,1,"stanb001",0,0,1,"hursb001",1,31
"SEA198205290",6,0,"clarb001",1,0,1,"moorm001",1,46
"SEA198205290",9,0,"peret001",0,9,11,"millr001",8,68
"SEA198205290",9,0,"caudb001",1,0,1,"clarb001",1,71
"SEA198205300",9,1,"randl101",1,4,12,"ziskr101",10,66
"SEA198205300",9,1,"cleam001",0,0,1,"tudoj001",1,66
"SEA198205310",4,0,"randl101",1,9,5,"cruzj002",4,31
"SEA198205310",4,0,"sernp101",1,1,4,"sernp101",5,31
"SEA198205310",8,1,"bernd101",0,0,1,"mcclb001",1,63
"SEA198205310",9,1,"sweer101",1,2,11,"bullb101",2,73
"SEA198205310",9,1,"caldm001",0,0,1,"bernd101",1,74
"SEA198205310",9,1,"simpj101",1,3,12,"bochb001",7,75
"SEA198205310",9,1,"fingr001",0,0,1,"caldm001",1,75
"SEA198205310",10,0,"sweer101",1,2,2,"sweer101",11,76
"SEA198205310",10,0,"simpj101",1,3,8,"simpj101",12,76
"SEA198205310",10,0,"hendd001",1,8,7,"hendd001",8,76
"SEA198205310",10,1,"auguj001",0,0,1,"fingr001",1,79
"SEA198205310",11,0,"vande001",1,0,1,"perrg101",1,84
"SEA198205310",11,0,"piccr001",0,5,12,"simmt001",2,88
"SEA198205310",11,0,"stanm001",1,0,1,"vande001",1,88
"SEA198205310",11,0,"moned101",0,6,11,"hower001",10,88
"SEA198205310",11,1,"yoste001",0,5,2,"piccr001",12,89
"SEA198206010",8,1,"browb001",1,3,12,"bochb001",7,60
"SEA198206010",8,1,"fingr001",0,0,1,"vuckp001",1,60
"SEA198206010",9,0,"browb001",1,3,7,"browb001",12,61
"SEA198206010",9,0,"vande001",1,0,1,"nelsg001",1,62
"SEA198206010",9,0,"stanm001",1,0,1,"vande001",1,64
"SEA198206010",9,0,"moned101",0,6,11,"hower001",10,64
"SEA198206020",8,0,"stanm001",1,0,1,"bannf001",1,60
"SEA198206020",8,0,"clarb001",1,0,1,"stanm001",1,64
"SEA198206140",7,0,"stanm001",1,0,1,"beatj001",1,48
"SEA198206140",8,0,"steib001",0,9,11,"wagnm001",6,56
"SEA198206140",8,0,"boget101",0,1,11,"wrigg001",8,57
"SEA198206140",8,1,"boget101",0,1,8,"boget101",11,59
"SEA198206140",8,1,"flynd001",0,2,6,"flynd001",4,59
"SEA198206140",8,1,"steib001",0,9,4,"steib001",11,59
"SEA198206140",8,1,"darwd001",0,0,1,"matlj101",1,60
"SEA198206150",5,0,"clarb001",1,0,1,"moorm001",1,40
"SEA198206150",5,0,"robel001",0,4,11,"grubj001",7,40
"SEA198206150",5,1,"robel001",0,4,7,"robel001",11,42
"SEA198206150",6,1,"wrigg001",0,1,8,"boget101",8,52
"SEA198206150",7,0,"andel001",1,0,1,"clarb001",1,61
"SEA198206150",7,1,"comes001",0,0,1,"tanaf001",1,64
"SEA198206150",8,1,"sweer101",1,8,11,"bullb101",2,74
"SEA198206150",9,0,"sweer101",1,8,2,"sweer101",11,77
"SEA198206150",9,1,"simpj101",1,3,12,"bochb001",7,83
"SEA198206160",5,1,"butcj001",0,0,1,"hougc001",1,44
"SEA198206160",8,0,"caudb001",1,0,1,"perrg101",1,62
"SEA198206160",8,0,"steib001",0,2,11,"flynd001",4,63
"SEA198206160",8,0,"wrigg001",0,2,12,"steib001",11,64
"SEA198206160",8,1,"richm001",0,2,4,"wrigg001",12,65
"SEA198206160",8,1,"mirap001",0,0,1,"butcj001",1,68
"SEA198206170",5,0,"clarb001",1,0,1,"nelsg001",1,42
"SEA198206170",5,1,"wrigg001",0,1,8,"boget101",8,43
"SEA198206170",9,0,"browb001",1,3,7,"bochb001",7,71
"SEA198206170",9,0,"vande001",1,0,1,"clarb001",1,71
"SEA198206180",7,0,"stanm001",1,0,1,"bannf001",1,53
"SEA198206180",8,0,"geroc101",0,9,11,"conco001",6,57
"SEA198206180",8,1,"washu001",0,9,6,"geroc101",11,60
"SEA198206180",9,0,"simpj101",1,3,7,"bochb001",7,64
"SEA198206180",9,0,"caudb001",1,0,1,"stanm001",1,65
"SEA198206180",9,0,"vande001",1,0,1,"caudb001",1,69
"SEA198206180",9,1,"quisd001",0,0,1,"gural001",1,72
"SEA198206180",9,1,"browb001",1,7,11,"hendd001",8,72
"SEA198206180",9,1,"sweer101",1,8,11,"bullb101",2,73
"SEA198206180",9,1,"randl101",1,9,11,"sernp101",6,74
"SEA198206190",5,1,"jackg101",0,0,1,"creek001",1,42
"SEA198206190",7,1,"wertd101",0,6,3,"aikew001",3,62
"SEA198206190",7,1,"armsm001",0,0,1,"jackg101",1,65
"SEA198206190",8,0,"simpj101",1,3,7,"bochb001",7,69
"SEA198206190",8,0,"vande001",1,0,1,"beatj001",1,69
"SEA198206190",8,1,"poqut101",0,1,7,"wilsw001",7,72
"SEA198206190",9,0,"andel001",1,0,1,"vande001",1,75
"SEA198206190",9,0,"geroc101",0,6,11,"wertd101",3,76
"SEA198206200",6,1,"sernp101",1,8,11,"cruzt001",6,51
"SEA198206200",7,0,"sernp101",1,8,6,"sernp101",11,52
"SEA198206200",7,1,"quisd001",0,0,1,"splip001",1,58
"SEA198206200",8,0,"andel001",1,0,1,"perrg101",1,64
"SEA198206200",8,0,"clarb001",1,0,1,"andel001",1,65
"SEA198206200",8,0,"stanm001",1,0,1,"clarb001",1,66
"SEA198206200",9,0,"cruzj002",1,1,6,"cruzj002",4,71
"SEA198206200",9,0,"randl101",1,8,4,"sernp101",6,71
"SEA198206200",9,0,"caudb001",1,0,1,"stanm001",1,71
"SEA198206200",9,1,"sweer101",1,9,11,"bullb101",2,77
"SEA198206210",4,1,"murrd001",0,0,1,"leall001",1,30
"SEA198206210",9,0,"vande001",1,0,1,"moorm001",1,68
"SEA198206210",9,0,"barfj001",0,6,11,"reved101",10,68
"SEA198206210",9,0,"caudb001",1,0,1,"vande001",1,70
"SEA198206210",9,0,"johnt101",0,8,12,"white002",2,72
"SEA198206210",9,0,"poweh101",0,9,11,"grifa001",6,72
"SEA198206220",4,1,"sents101",0,0,1,"garvj101",1,35
"SEA198206220",5,0,"clarb001",1,0,1,"nelsg001",1,46
"SEA198206220",5,0,"bonnb001",0,7,11,"wooda001",7,46
"SEA198206220",5,0,"martb001",0,8,11,"white002",2,47
"SEA198206220",5,1,"martb001",0,8,2,"martb001",11,48
"SEA198206220",5,1,"bonnb001",0,7,7,"bonnb001",11,48
"SEA198206220",6,0,"iorgg001",0,2,11,"mullr001",5,53
"SEA198206220",6,1,"iorgg001",0,2,5,"iorgg001",11,54
"SEA198206220",6,1,"jackr003",0,0,1,"sents101",1,54
