GAME_ID,EVENT_ID,COMMENT_TX
"HOU198404070",1,"Debut game for Dwight Gooden"
"HOU198404130",0,"ej,rappv801,M,willc901,Balls and strikes Reds manager Vern Rapp ejected by HP umpire Charlie Williams sometime in game"
"HOU198404270",68,"Debut game for Mark Bailey"
"HOU198405270",74,"Debut game for Jim Pankovits"
"HOU198406230",20,"IW by deduction (6/22/91 LK)"
"HOU198407130",5,"ej,cabee001,P,harvd901,Balk call Enos Cabell ejected by 1B umpire Doug Harvey"
"HOU198408090",48,"ej,cabee001,P,tatat901,Fighting with Dusty Baker ej,baked002,P,tatat901,Fighting with Enos Cabell Enos Cabell and Dusty Baker ejected by HP umpire Terry Tata for fighting"
"HOU198408130",2,"$Sandberg injured hip in collision with Cabell, left game at end of inning"
"HOU198409100",1,"Debut game for Zane Smith"
"HOU198409140",44,"$line drive off Mike LaCoss to Craig Reynolds"
