"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SDN198404030",7,1,"browb001",1,9,11,"showe001",1,50
"SDN198404030",8,0,"gossr001",1,9,1,"browb001",11,52
"SDN198404030",8,0,"mazzl001",0,9,11,"rhodr001",1,54
"SDN198404030",8,1,"scurr001",0,9,1,"mazzl001",11,55
"SDN198404050",4,0,"dravd001",1,9,1,"hawka001",1,34
"SDN198404050",4,1,"summc001",1,9,11,"dravd001",1,44
"SDN198404050",4,1,"scurr001",0,9,1,"delej001",1,46
"SDN198404050",4,1,"tunnl001",0,9,1,"scurr001",1,48
"SDN198404050",5,0,"thurm001",1,9,1,"summc001",11,51
"SDN198404050",6,0,"delel001",1,9,1,"thurm001",1,63
"SDN198404050",8,0,"lacyl001",0,9,11,"tunnl001",1,75
"SDN198404050",8,1,"guanc001",0,9,1,"lacyl001",11,78
"SDN198404050",9,0,"gossr001",1,9,1,"delel001",1,81
"SDN198404060",7,0,"dernb001",0,6,12,"davij001",2,53
"SDN198404060",7,0,"cotth001",0,9,11,"sands001",1,54
"SDN198404060",7,0,"leffc001",1,9,1,"lollt001",1,55
"SDN198404060",7,1,"noled001",0,1,1,"woodg001",8,56
"SDN198404060",7,1,"lakes001",0,6,2,"dernb001",12,56
"SDN198404060",7,1,"cotth001",0,9,8,"cotth001",11,56
"SDN198404060",8,0,"delel001",1,9,1,"leffc001",1,59
"SDN198404060",9,0,"durhl001",0,6,11,"lakes001",2,66
"SDN198404060",9,0,"mongs001",1,9,1,"delel001",1,66
"SDN198404060",9,0,"bowal001",0,8,11,"veryt001",6,68
"SDN198404060",9,0,"hebnr001",0,1,11,"noled001",1,70
"SDN198404060",9,1,"smitl001",0,1,1,"hebnr001",11,72
"SDN198404060",9,1,"morek001",0,5,2,"morek001",9,72
"SDN198404060",9,1,"hallm001",0,6,9,"durhl001",11,72
"SDN198404060",9,1,"bowal001",0,8,6,"bowal001",11,72
"SDN198404060",9,1,"summc001",1,9,11,"mongs001",1,74
"SDN198404070",4,1,"bevak001",1,9,11,"white001",1,40
"SDN198404070",5,0,"dravd001",1,9,1,"bevak001",11,42
"SDN198404070",5,0,"morek001",0,6,11,"hallm001",9,44
"SDN198404070",5,1,"morek001",0,6,9,"morek001",11,46
"SDN198404070",5,1,"altap001",0,9,1,"trous001",1,51
"SDN198404070",8,0,"gossr001",1,9,1,"dravd001",1,71
"SDN198404070",8,0,"hebnr001",0,8,11,"bowal001",6,73
"SDN198404070",8,0,"durhl001",0,9,11,"altap001",1,74
"SDN198404070",8,0,"johnj002",0,1,11,"cotth001",8,75
"SDN198404070",8,1,"johnj002",0,1,8,"johnj002",11,76
"SDN198404070",8,1,"veryt001",0,8,6,"hebnr001",11,76
"SDN198404070",8,1,"bordr001",0,9,1,"durhl001",11,76
"SDN198404080",7,0,"leffc001",1,9,1,"showe001",1,58
"SDN198404080",7,1,"flant001",1,9,11,"leffc001",1,60
"SDN198404080",7,1,"stodt001",0,3,1,"mattg001",7,62
"SDN198404080",7,1,"woodg001",0,9,7,"ruthd001",1,62
"SDN198404080",8,0,"delel001",1,9,1,"flant001",11,66
"SDN198404080",8,1,"veryt001",0,3,6,"stodt001",1,72
"SDN198404080",8,1,"smitl001",0,8,1,"bowal001",6,72
"SDN198404080",9,0,"johnj002",0,9,11,"woodg001",7,75
"SDN198404080",9,0,"dernb001",0,9,12,"johnj002",11,76
"SDN198404080",9,0,"morek001",0,4,11,"durhl001",3,79
"SDN198404080",9,0,"mongs001",1,9,1,"delel001",1,79
"SDN198404080",9,0,"dravd001",1,9,1,"mongs001",1,81
"SDN198404080",9,1,"browb001",1,9,11,"dravd001",1,82
"SDN198404080",9,1,"buckb001",0,4,3,"morek001",11,82
"SDN198404080",9,1,"dernb001",0,9,7,"dernb001",12,82
"SDN198404080",9,1,"salal001",1,3,12,"nettg001",5,87
"SDN198404080",10,0,"salal001",1,3,5,"salal001",12,90
"SDN198404080",10,0,"thurm001",1,6,1,"martc001",7,90
"SDN198404080",10,0,"browb001",1,9,7,"browb001",11,90
"SDN198404100",5,1,"summc001",1,9,11,"hawka001",1,38
"SDN198404100",6,0,"dravd001",1,9,1,"summc001",11,41
"SDN198404100",6,1,"lahtj001",0,6,1,"vansa001",5,48
"SDN198404100",6,1,"howea001",0,9,5,"forsb001",1,48
"SDN198404100",8,1,"ruckd001",0,6,1,"lahtj001",1,60
"SDN198404100",9,0,"landt001",0,6,11,"ruckd001",1,63
"SDN198404110",4,1,"hortr001",0,8,1,"smito001",6,40
"SDN198404110",4,1,"ramsm001",0,9,6,"anduj001",1,40
