"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"SEA198404040","19840404",0,"Wednesday",0,"T","N","TOR","SEA","SEA02","clanj001","moorm001","kunkb101","coont901","shulj901","cousd901","","",43200,"","","","","",0,0,0,0,-1,0,0,0,170,10,2,3,7,9,0,1,6,8,"stanm001","lampd001","","","garcd001",4,"mullr001",5,"mosel001",8,"upshw001",3,"johnc001",10,"bellg001",7,"barfj001",9,"white002",2,"grifa001",6,"percj001",4,"bonnb001",5,"thomg001",7,"putnp001",10,"phelk001",3,"cowea001",9,"hendd001",8,"kearb001",2,"owens001",6,"lampd001","stanm001","","",,,58,,,,0010001000,0000001011,34,2,0,1,2,0,0,1,3,1,8,1,0,1,0,2,3,3,0,0,28,14,1,1,0,33,1,0,1,3,1,0,0,5,1,7,1,1,1,0,2,1,1,0,0,30,13,0,1,0,,,,,,,,,,,"Mike Stanton","Dennis Lamp","(none)","bradp001","Phil Bradley","Damaso Garcia","Rance Mulliniks","Lloyd Moseby","Willie Upshaw","Cliff Johnson","George Bell","Jesse Barfield","Ernie Whitt","Alfredo Griffin","Jack Perconte","Barry Bonnell","Gorman Thomas","Pat Putnam","Ken Phelps","Al Cowens","Dave Henderson","Bob Kearney","Spike Owen",,
"SEA198404050","19840405",0,"Thursday",0,"T","N","TOR","SEA","SEA02","leall001","beatj001","coont901","shulj901","cousd901","kunkb101","","",5399,"","","","","",0,0,0,0,-1,0,0,0,179,9,13,5,19,10,0,2,12,5,"leall001","beatj001","","","garcd001",4,"mullr001",5,"mosel001",8,"upshw001",3,"johnc001",10,"bellg001",7,"barfj001",9,"white002",2,"grifa001",6,"percj001",4,"bonnb001",5,"thomg001",7,"putnp001",10,"phelk001",3,"cowea001",9,"hendd001",8,"kearb001",2,"owens001",6,"jackr003","vande001","","",,,54,,,,061230010,001030010,44,2,1,2,11,0,2,1,5,1,6,0,1,0,0,3,5,5,0,0,27,12,0,2,0,35,2,0,2,5,0,0,0,2,0,8,0,0,2,0,6,12,12,0,0,27,6,0,0,0,,,,,,,,,,,"Luis Leal","Jim Beattie","(none)","grifa001","Alfredo Griffin","Damaso Garcia","Rance Mulliniks","Lloyd Moseby","Willie Upshaw","Cliff Johnson","George Bell","Jesse Barfield","Ernie Whitt","Alfredo Griffin","Jack Perconte","Barry Bonnell","Gorman Thomas","Pat Putnam","Ken Phelps","Al Cowens","Dave Henderson","Bob Kearney","Spike Owen",,
"SEA198404060","19840406",0,"Friday",0,"T","N","MIL","SEA","SEA02","haasm001","younm001","shulj901","cousd901","kunkb101","coont901","","",8635,"","","","","",0,0,0,0,-1,0,0,0,172,9,3,6,10,11,0,0,10,5,"younm001","haasm001","vande001","","readr001",5,"moorc001",9,"younr001",6,"coopc001",3,"simmt001",10,"oglib001",7,"sundj001",2,"gantj001",4,"mannr001",8,"percj001",4,"milbl001",5,"thomg001",7,"putnp001",10,"phelk001",3,"cowea001",9,"hendd001",8,"kearb001",2,"owens001",6,"auguj001","vande001","","",,,51,,,,000010002,00400020x,34,4,0,0,3,0,0,0,6,0,10,0,0,2,0,3,6,6,0,0,24,14,0,1,0,31,4,1,0,6,1,1,1,1,0,1,0,0,0,0,4,3,3,0,0,27,8,0,2,0,,,,,,,,,,,"Matt Young","Moose Haas","Ed Vande Berg","kearb001","Bob Kearney","Randy Ready","Charlie Moore","Robin Yount","Cecil Cooper","Ted Simmons","Ben Oglivie","Jim Sundberg","Jim Gantner","Rick Manning","Jack Perconte","Larry Milbourne","Gorman Thomas","Pat Putnam","Ken Phelps","Al Cowens","Dave Henderson","Bob Kearney","Spike Owen",,
"SEA198404070","19840407",0,"Saturday",0,"T","N","MIL","SEA","SEA02","cocaj001","langm001","cousd901","kunkb101","coont901","shulj901","","",17590,"","","","","",0,0,0,0,-1,0,0,0,179,9,2,3,6,7,2,0,6,8,"langm001","tellt001","vande001","","molip001",10,"readr001",5,"younr001",6,"coopc001",3,"broum001",7,"sundj001",2,"moorc001",9,"gantj001",4,"mannr001",8,"percj001",4,"milbl001",5,"thomg001",7,"putnp001",3,"nelsr001",10,"cowea001",9,"hendd001",8,"kearb001",2,"owens001",6,"laddp001","vande001","","",,,51,,,,000020000,00000210x,32,1,0,1,2,0,0,0,3,0,5,0,0,0,0,5,3,3,0,0,24,9,0,2,0,28,0,0,0,3,1,0,0,6,0,5,0,1,2,0,3,2,2,0,0,27,8,0,0,0,,,,,,,,,,,"Mark Langston","Tom Tellmann","Ed Vande Berg","bonnb001","Barry Bonnell","Paul Molitor","Randy Ready","Robin Yount","Cecil Cooper","Mark Brouhard","Jim Sundberg","Charlie Moore","Jim Gantner","Rick Manning","Jack Perconte","Larry Milbourne","Gorman Thomas","Pat Putnam","Ricky Nelson","Al Cowens","Dave Henderson","Bob Kearney","Spike Owen",,
"SEA198404080","19840408",0,"Sunday",0,"T","D","MIL","SEA","SEA02","suttd001","moorm001","kunkb101","coont901","shulj901","cousd901","","",8129,"","","","","",0,0,0,0,-1,0,0,0,158,9,4,5,9,9,2,4,13,7,"moorm001","suttd001","beard001","","jamed001",9,"gantj001",4,"younr001",6,"coopc001",3,"simmt001",10,"oglib001",7,"hower001",5,"schrb001",2,"mannr001",8,"percj001",4,"milbl001",5,"thomg001",7,"putnp001",3,"cowea001",9,"nelsr001",10,"kearb001",2,"bradp001",8,"owens001",6,"fingr001","beard001","","",,,51,,,,100200010,10003010x,36,1,0,0,2,0,0,0,8,1,8,0,0,3,0,4,4,4,1,0,24,8,1,1,0,32,2,0,0,5,0,2,0,2,0,4,3,0,1,0,5,1,1,0,0,27,10,0,3,0,,,,,,,,,,,"Mike Moore","Don Sutton","Dave Beard","thomg001","Gorman Thomas","Dion James","Jim Gantner","Robin Yount","Cecil Cooper","Ted Simmons","Ben Oglivie","Roy Howell","Bill Schroeder","Rick Manning","Jack Perconte","Larry Milbourne","Gorman Thomas","Pat Putnam","Al Cowens","Ricky Nelson","Bob Kearney","Phil Bradley","Spike Owen",,
"SEA198404100","19840410",0,"Tuesday",0,"T","N","BOS","SEA","SEA02","ojedb001","beatj001","clara901","reilm901","denkd901","garcr901","","",7657,"","","","","",0,0,0,0,-1,0,0,0,165,9,1,5,6,11,1,0,8,11,"beatj001","ojedb001","stanm001","","remyj001",4,"evand002",9,"boggw001",5,"ricej001",7,"easlm001",10,"armat001",8,"gedmr001",2,"stapd001",3,"gutij001",6,"percj001",4,"milbl001",5,"bonnb001",3,"thomg001",7,"hends001",10,"hendd001",9,"kearb001",2,"bradp001",8,"owens001",6,"browm003","stanm001","","",,,51,,,,000000010,20010020x,30,0,1,0,0,0,0,0,6,0,6,0,0,2,0,2,5,5,0,0,24,12,0,0,0,31,2,0,1,5,1,0,2,6,0,5,3,3,0,0,3,1,1,0,0,27,11,0,2,0,,,,,,,,,,,"Jim Beattie","Bobby Ojeda","Mike Stanton","bonnb001","Barry Bonnell","Jerry Remy","Dwight Evans","Wade Boggs","Jim Rice","Mike Easler","Tony Armas","Rich Gedman","Dave Stapleton","Jackie Gutierrez","Jack Perconte","Larry Milbourne","Barry Bonnell","Gorman Thomas","Steve Henderson","Dave Henderson","Bob Kearney","Phil Bradley","Spike Owen",,
"SEA198404110","19840411",0,"Wednesday",0,"T","N","BOS","SEA","SEA02","ecked001","younm001","reilm901","denkd901","garcr901","clara901","","",9120,"","","","","",0,0,0,0,-1,0,0,0,151,9,4,5,8,8,0,2,9,5,"younm001","ecked001","thomr001","","remyj001",4,"evand002",9,"boggw001",5,"ricej001",7,"easlm001",10,"armat001",8,"stapd001",3,"hoffg001",6,"alleg001",2,"percj001",4,"bonnb001",5,"thomg001",7,"putnp001",10,"cowea001",9,"davia002",3,"kearb001",2,"bradp001",8,"owens001",6,"cleam001","thomr001","","",,,51,,,,000000013,00030101x,35,2,0,0,2,0,0,0,5,0,10,1,0,1,0,2,5,5,0,0,24,12,0,1,0,31,3,0,2,5,0,0,0,3,1,3,0,0,0,0,5,1,1,0,0,27,11,0,1,0,,,,,,,,,,,"Matt Young","Dennis Eckersley","Roy Thomas","davia002","Alvin Davis","Jerry Remy","Dwight Evans","Wade Boggs","Jim Rice","Mike Easler","Tony Armas","Dave Stapleton","Glenn Hoffman","Gary Allenson","Jack Perconte","Barry Bonnell","Gorman Thomas","Pat Putnam","Al Cowens","Alvin Davis","Bob Kearney","Phil Bradley","Spike Owen",,
"SEA198404160","19840416",0,"Monday",0,"T","N","OAK","SEA","SEA02","warrm001","younm001","mckej901","merrd901","mcclt901","sprim901","","",13912,"","","","","",0,0,0,0,-1,0,0,0,203,9,9,6,12,14,2,2,8,12,"warrm001","younm001","caudb001","","hendr001",7,"morgj001",4,"loped001",9,"lansc001",5,"kingd001",10,"almob001",3,"murpd002",8,"heatm001",2,"hilld001",6,"percj001",4,"bonnb001",5,"thomg001",7,"putnp001",10,"davia002",3,"cowea001",9,"bradp001",8,"kearb001",2,"owens001",6,"caudb001","stanm001","","",,,54,,,,402030000,100200021,38,1,0,4,9,0,0,0,6,0,12,1,1,0,0,3,4,4,0,0,27,8,0,2,0,39,2,0,1,4,0,0,0,6,0,7,0,0,2,0,4,9,9,0,0,27,7,1,1,0,,,,,,,,,,,"Mike Warren","Matt Young","Bill Caudill","kingd001","Dave Kingman","Rickey Henderson","Joe Morgan","Davey Lopes","Carney Lansford","Dave Kingman","Bill Almon","Dwayne Murphy","Mike Heath","Don Hill","Jack Perconte","Barry Bonnell","Gorman Thomas","Pat Putnam","Alvin Davis","Al Cowens","Phil Bradley","Bob Kearney","Spike Owen",,
"SEA198404170","19840417",0,"Tuesday",0,"T","N","OAK","SEA","SEA02","mccas001","moorm001","merrd901","mcclt901","sprim901","mckej901","","",7011,"","","","","",0,0,0,0,-1,0,0,0,192,9,6,2,11,6,0,0,12,9,"mccas001","moorm001","codic001","","hendr001",7,"murpd002",8,"morgj001",4,"lansc001",5,"bochb001",3,"kingd001",10,"davim002",9,"heatm001",2,"hilld001",6,"percj001",4,"milbl001",5,"cowea001",9,"putnp001",10,"davia002",3,"thomg001",7,"bradp001",8,"kearb001",2,"owens001",6,"codic001","beard001","","",,,54,,,,000300111,000101000,36,1,1,1,5,0,1,0,8,1,7,1,0,1,0,2,2,2,0,0,27,10,0,1,0,31,2,0,0,2,1,0,0,6,0,4,1,1,0,0,3,6,6,1,0,27,10,0,1,0,,,,,,,,,,,"Steve McCatty","Mike Moore","Chris Codiroli","hilld001","Don Hill","Rickey Henderson","Dwayne Murphy","Joe Morgan","Carney Lansford","Bruce Bochte","Dave Kingman","Mike Davis","Mike Heath","Don Hill","Jack Perconte","Larry Milbourne","Al Cowens","Pat Putnam","Alvin Davis","Gorman Thomas","Phil Bradley","Bob Kearney","Spike Owen",,
"SEA198404180","19840418",0,"Wednesday",0,"T","D","OAK","SEA","SEA02","sorel001","stodb001","mcclt901","sprim901","mckej901","merrd901","","",8079,"","","","","",0,0,0,0,-1,0,0,0,184,9,4,5,12,9,0,0,10,8,"mirap001","athek001","","","loped001",4,"murpd002",8,"bochb001",3,"lansc001",5,"davim002",9,"kingd001",10,"hancg001",7,"heatm001",2,"hilld001",6,"percj001",4,"bradp001",8,"davia002",3,"putnp001",10,"thomg001",7,"hendd001",9,"milbl001",5,"kearb001",2,"owens001",6,"caudb001","mirap001","","",,,53,,,,000010030,100030001,36,4,0,0,4,0,0,0,5,1,2,0,0,2,0,3,5,5,0,0,26,11,0,0,0,35,3,0,0,5,0,0,1,3,1,5,0,0,0,0,3,4,4,0,0,27,13,0,2,0,,,,,,,,,,,"Paul Mirabella","Keith Atherton","(none)","davia002","Alvin Davis","Davey Lopes","Dwayne Murphy","Bruce Bochte","Carney Lansford","Mike Davis","Dave Kingman","Garry Hancock","Mike Heath","Don Hill","Jack Perconte","Phil Bradley","Alvin Davis","Pat Putnam","Gorman Thomas","Dave Henderson","Larry Milbourne","Bob Kearney","Spike Owen",,
