"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"PHI198604110",3,0,"andel001",1,9,1,"grosk001",1,26
"PHI198604110",4,1,"schur001",1,9,11,"andel001",1,45
"PHI198604110",5,0,"ruckd001",1,9,1,"schur001",11,48
"PHI198604110",5,1,"ojedb001",0,9,1,"darlr001",1,58
"PHI198604110",6,1,"maddg001",1,9,11,"ruckd001",1,64
"PHI198604110",7,0,"carmd001",1,9,1,"maddg001",11,67
"PHI198604110",8,1,"russj002",1,9,11,"carmd001",1,79
"PHI198604110",8,1,"mcdor001",0,9,1,"ojedb001",1,80
"PHI198604110",9,0,"stewd001",1,9,1,"russj002",11,82
"PHI198604110",9,1,"orosj001",0,9,1,"mcdor001",1,88
"PHI198604120",5,1,"agual001",1,3,11,"samuj001",4,41
"PHI198604120",5,1,"lynce001",0,9,1,"ferns001",1,45
"PHI198604120",6,0,"agual001",1,3,4,"agual001",11,48
"PHI198604120",7,0,"mitck001",0,9,11,"lynce001",1,58
"PHI198604120",7,0,"heepd001",0,9,11,"mitck001",11,58
"PHI198604120",7,0,"tekuk001",1,9,1,"carls001",1,58
"PHI198604120",7,0,"carmd001",1,9,1,"tekuk001",1,61
"PHI198604120",7,1,"bereb001",0,9,1,"heepd001",11,62
"PHI198604120",7,1,"hayev001",1,7,11,"schur001",5,65
"PHI198604120",8,0,"schmm001",1,4,5,"schmm001",3,67
"PHI198604120",8,0,"hayev001",1,7,3,"hayev001",11,67
"PHI198604120",8,0,"johnh001",0,9,11,"bereb001",1,72
"PHI198604120",8,0,"stewd001",1,9,1,"carmd001",1,76
"PHI198604120",8,1,"grosg001",1,9,11,"stewd001",1,77
"PHI198604120",8,1,"mcdor001",0,9,1,"johnh001",11,77
"PHI198604120",9,0,"bedrs001",1,9,1,"grosg001",11,82
"PHI198604120",9,1,"lefej001",1,9,11,"bedrs001",1,89
"PHI198604120",9,1,"maddg001",1,9,11,"lefej001",11,89
"PHI198604120",9,1,"teuft001",0,2,5,"teuft001",4,89
"PHI198604120",9,1,"orosj001",0,7,1,"knigr001",5,89
"PHI198604120",9,1,"backw001",0,9,4,"mcdor001",1,89
"PHI198604120",10,0,"ruckd001",1,2,1,"thomm001",8,93
"PHI198604120",10,0,"maddg001",1,9,8,"maddg001",11,93
"PHI198604120",11,0,"andel001",1,2,1,"ruckd001",1,107
"PHI198604120",12,1,"niemr001",0,7,1,"orosj001",1,117
"PHI198604120",13,1,"dauld001",1,2,11,"andel001",1,129
"PHI198604120",14,0,"hudsc001",1,2,1,"dauld001",11,131
"PHI198604130",7,0,"mitck001",0,9,11,"aguir001",1,51
"PHI198604130",7,1,"ojedb001",0,9,1,"mitck001",11,52
"PHI198604130",9,0,"backw001",0,9,11,"ojedb001",1,68
"PHI198604140",6,1,"clemp001",0,9,1,"bielm001",1,49
"PHI198604140",8,1,"guanc001",0,9,1,"clemp001",1,62
"PHI198604140",9,1,"lefej001",1,9,11,"grosk001",1,71
"PHI198604140",9,1,"maddg001",1,9,12,"lefej001",11,72
"PHI198604140",10,0,"mazzl001",0,8,11,"khals001",6,74
"PHI198604140",10,0,"bedrs001",1,9,1,"maddg001",12,74
"PHI198604140",10,0,"kemps001",0,9,11,"guanc001",1,75
"PHI198604140",10,0,"bellr001",0,9,12,"kemps001",11,76
"PHI198604140",10,1,"winnj001",0,8,1,"mazzl001",11,79
"PHI198604140",10,1,"bellr001",0,9,6,"bellr001",12,79
"PHI198604290",2,0,"bailm001",0,9,11,"ryann001",1,19
"PHI198604290",2,1,"solaj001",0,9,1,"bailm001",11,23
"PHI198604290",4,0,"scotm001",0,9,11,"solaj001",1,41
"PHI198604290",4,1,"maddm001",0,9,1,"scotm001",11,44
"PHI198604290",5,0,"pankj001",0,9,11,"maddm001",1,54
"PHI198604290",5,1,"calhj001",0,6,1,"cruzj001",7,55
"PHI198604290",5,1,"pankj001",0,9,7,"pankj001",11,55
"PHI198604290",7,0,"puhlt001",0,6,11,"calhj001",1,70
"PHI198604290",7,0,"walld001",0,9,11,"pankj001",7,73
"PHI198604290",7,0,"tekuk001",1,9,1,"rawls001",1,73
"PHI198604290",7,1,"dipif001",0,6,1,"puhlt001",11,75
"PHI198604290",7,1,"walld001",0,9,7,"walld001",11,75
"PHI198604290",8,1,"kerfc001",0,6,1,"dipif001",1,82
"PHI198604290",9,0,"reync001",0,6,11,"kerfc001",1,88
"PHI198604300",7,1,"grosg001",1,9,11,"grosk001",1,55
"PHI198604300",7,1,"dipif001",0,9,1,"scotm001",1,58
"PHI198604300",7,1,"kerfc001",0,9,1,"dipif001",1,59
"PHI198604300",8,0,"hayev001",1,3,9,"hayev001",7,61
"PHI198604300",8,0,"carmd001",1,5,1,"wilsg001",9,61
"PHI198604300",8,0,"grosg001",1,9,7,"grosg001",11,61
"PHI198604300",8,1,"hatcb001",0,3,7,"cruzj001",7,64
"PHI198604300",8,1,"bassk001",0,5,9,"bassk001",8,64
"PHI198604300",8,1,"walkt001",0,8,8,"puhlt001",9,64
"PHI198604300",9,0,"garnp001",0,6,11,"walld001",5,71
"PHI198604300",9,1,"garnp001",0,6,5,"garnp001",11,72
"PHI198604300",9,1,"smitd001",0,9,1,"kerfc001",1,72
"PHI198605020",4,1,"lefej001",1,9,11,"carls001",1,42
"PHI198605020",5,0,"stewd001",1,9,1,"lefej001",11,44
"PHI198605020",6,1,"jamec001",1,9,11,"stewd001",1,61
"PHI198605020",7,0,"ruckd001",1,9,1,"jamec001",11,63
"PHI198605020",9,0,"bedrs001",1,9,1,"ruckd001",1,79
"PHI198605020",9,1,"folet001",1,9,11,"bedrs001",1,84
"PHI198605030",3,0,"andel001",1,9,1,"rawls001",1,26
"PHI198605030",4,1,"jelts001",1,9,11,"andel001",1,40
"PHI198605030",5,0,"stewd001",1,9,1,"jelts001",11,44
"PHI198605030",6,1,"jamec001",1,9,11,"stewd001",1,63
"PHI198605030",7,0,"tekuk001",1,9,1,"jamec001",11,68
"PHI198605030",7,1,"hudsc001",1,6,12,"lefej001",9,75
"PHI198605030",7,1,"grosg001",1,9,11,"tekuk001",1,77
"PHI198605030",7,1,"wilsg001",1,9,11,"grosg001",11,77
"PHI198605030",7,1,"assep001",0,9,1,"mahlr001",1,77
"PHI198605030",8,0,"ruckd001",1,6,1,"hudsc001",12,78
"PHI198605030",8,0,"wilsg001",1,9,9,"wilsg001",11,78
"PHI198605030",9,1,"agual001",1,6,11,"ruckd001",1,93
"PHI198605040",6,0,"moreo001",0,9,11,"johnj003",1,40
"PHI198605040",6,1,"garbg001",0,9,1,"moreo001",11,44
"PHI198605040",8,0,"chamc001",0,9,11,"garbg001",1,56
"PHI198605040",8,1,"suttb001",0,9,1,"chamc001",11,59
"PHI198605050",6,1,"grosg001",1,9,11,"hudsc001",1,57
"PHI198605050",7,0,"wohlj001",0,9,11,"tibbj001",1,61
"PHI198605050",7,0,"carmd001",1,9,1,"grosg001",11,61
"PHI198605050",7,0,"dawsa001",0,2,11,"winnh001",8,63
"PHI198605050",7,0,"galaa001",0,5,11,"krenw001",3,67
"PHI198605050",7,0,"tekuk001",1,9,1,"carmd001",1,67
"PHI198605050",7,1,"dawsa001",0,2,9,"dawsa001",11,68
"PHI198605050",7,1,"websm001",0,3,8,"websm001",9,68
"PHI198605050",7,1,"galaa001",0,5,3,"galaa001",11,68
"PHI198605050",7,1,"schad001",0,9,1,"wohlj001",11,68
"PHI198605050",8,0,"thomj001",0,8,11,"bilad001",2,73
"PHI198605050",8,0,"ruckd001",1,9,1,"tekuk001",1,73
"PHI198605050",8,0,"fitzm001",0,9,11,"schad001",1,74
"PHI198605050",8,0,"andel001",1,9,1,"ruckd001",1,74
"PHI198605050",8,1,"rearj001",0,8,1,"thomj001",11,77
"PHI198605050",8,1,"fitzm001",0,9,2,"fitzm001",11,77
"PHI198605050",8,1,"lefej001",1,9,11,"andel001",1,79
"PHI198605050",8,1,"folet001",1,9,12,"lefej001",11,80
"PHI198605050",9,0,"bedrs001",1,9,1,"folet001",12,82
"PHI198605060",5,1,"folet001",1,9,11,"carls001",1,40
"PHI198605060",6,0,"stewd001",1,9,1,"folet001",11,43
"PHI198605060",7,1,"websm001",0,2,9,"websm001",8,57
"PHI198605060",7,1,"winnh001",0,3,8,"dawsa001",9,57
"PHI198605060",7,1,"grosg001",1,9,11,"stewd001",1,59
"PHI198605060",8,0,"tekuk001",1,9,1,"grosg001",11,61
