GAME_ID,EVENT_ID,COMMENT_TX
"NYA199204170",36,"$Kenny Lofton forgot that there were zero outs"
"NYA199204170",44,"Debut game for Russ Springer"
"NYA199204200",4,"Pat Kelly left with sprained ligament in left thumb"
"NYA199204200",6,"$ground out on which DP was missed when SS Randy Velarde was off bag; 1B Don Mattingly rolled ball to mound thinking it was inning-ending DP, allowing 2nd run to score (no RBI) and runner from 1B to 3B"
"NYA199204200",16,"Kenny Lofton hurt running out ground ball; left with strained right hamstring"
"NYA199204240",11,"57-minute rain delay"
"NYA199204270",74,"Debut game for Dave Silvestri"
"NYA199205130",18,"$the ball struck the 3B bag"
"NYA199205130",25,"Debut game for Bert Heffernan"
"NYA199205150",39,"ej,hendr001,P,koscg901,Called third strike Rickey Henderson ejected by HP umpire Greg Kosc"
"NYA199205170",22,"ej,showb801,M,clara901,Arguing with LaRussa at plate ej,larut101,M,clara901,Arguing with Showalter at plate $Willie Wilson yedlled at catcher Matt Nokes about inside pitches; he backed away from a ball that struck his bat and turned into an infield single; Athletics manager Tony LaRussa and Yankees manager Buck Showalter yelled at each other across the field and then ran onto the field; both benches cleared and both manager were ejected by HP umpire Al Clark"
"NYA199205190",38,"ej,fitzm001,P,merrd901,Call at 2B ej,rodgb102,M,merrd901,Call at 2B Mike Fitzgerald and Angels manager Buck Rodgers ejected by 2B umpire Durwood Merrill"
"NYA199205220",49,"$broken bat homer"
"NYA199205220",76,"$Steve Howe attempted an appeal play at 3B but threw ball into stands which is a two base advancement for runner"
"NYA199205220",124,"$hit the LF pole"
"NYA199207110",81,"$Edgar Martinez forgot there was only one out"
"NYA199207120",31,"$rain Delay"
"NYA199207120",70,"Debut game for Jerry Nielsen"
"NYA199208030",86,"ej,hillg001,P,shulj901,Call at 1B Glenallen Hill ejected by 1B umpire John Shulock"
"NYA199208040",0,"Debut for umpire Brian O'Nora"
"NYA199208060",49,"$John Valentin called for interference because one of his feet was on the ground outside the batter's box when he bunted the ball"
"NYA199208080",34,"Mel Hall left with injured left knee"
"NYA199208090",1,"Debut game for Sam Militello"
"NYA199208190",45,"Matt Nokes left with a bruised right wrist"
"NYA199208210",0,"ej,lachm101,C,clara901,Bench jockeying Angels coach Marcel Lachemann ejected by 1B umpire Al Clark sometime in game"
"NYA199208210",4,"Debut game for Tim Salmon"
"NYA199208240",1,"Debut game for Bob Wickman"
"NYA199209110",1,"Debut game for Sterling Hitchcock"
"NYA199209110",57,"Kevin McReynolds left with injured left foot"
"NYA199209140",30,"Danny Tartabull left with back spasms"
"NYA199209140",52,"$George Bell swung at an intentional ball"
"NYA199209150",57,"ej,lamog101,M,tscht901,Fan interference call White Sox manager Gene Lamont ejected by HP umpire Tim Tschida arguing the fan inteference call"
"NYA199209150",73,"Debut game for Gerald Williams"
"NYA199209221",54,"$Danny Tartabull pulled a homer back from over the wall"
