GAME_ID,EVENT_ID,COMMENT_TX
"ANA199805020",58,"ej,bellj002,P,joycj901,Balls and strikes ej,manuj101,M,joycj901,Balls and strikes Albert Belle and White Sox manager Jerry Manuel ejected by HP umpire Jim Joyce"
"ANA199805040",61,"ej,thomf001,P,mckej901,Balls and strikes Frank Thomas ejected by HP umpire Jim McKean"
"ANA199805090",22,"ej,higgb001,P,hirsj901,Balls and strikes Bobby Higginson ejected by HP umpire John Hirschbeck for arguing called strike two"
"ANA199805250",0,"ej,collt801,M,merrd901,Balls and strikes Angels manager Terry Collins ejected by HP umpire Durwood Merrill sometime in game"
"ANA199807180",0,"ej,collt801,M,kaisk901,Call at HP Angels manager Terry Collins ejected by HP umpire Ken Kaiser sometime in game"
"ANA199807310",14,"Debut game for Troy Glaus"
"ANA199809060",14,"Debut game for Chris Hatcher"
"ANA199809090",53,"Debut game for A.J. Pierzynski"
"ANA199809090",59,"Debut game for Corey Koskie"
"ANA199809090",68,"Debut game for Benj Sampson"
"ANA199809210",81,"Debut game for Ben Molina"
