"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"MON199804010",7,0,"benns001",1,9,1,"perec001",1,49
"MON199804010",8,0,"santf001",1,2,4,"santf001",8,55
"MON199804010",8,0,"telfa001",1,6,1,"vidrj001",4,55
"MON199804010",8,0,"stovd001",1,9,8,"benns001",1,55
"MON199804010",8,1,"wilkm001",0,9,1,"cordf001",1,58
"MON199804010",9,0,"dehar001",1,6,1,"telfa001",1,61
"MON199804010",9,0,"smitm004",0,9,11,"wilkm001",1,62
"MON199804010",9,1,"loisr001",0,9,1,"smitm004",11,64
"MON199804010",9,1,"livis001",1,6,11,"dehar001",1,69
"MON199804020",6,0,"maddm002",1,9,1,"hermd001",1,45
"MON199804020",7,0,"mordm001",1,6,4,"vidrj001",4,51
"MON199804020",7,0,"wardt001",0,9,11,"schmj001",1,54
"MON199804020",7,0,"dehar001",1,9,1,"maddm002",1,55
"MON199804020",7,1,"wardt001",0,9,7,"wardt001",11,58
"MON199804020",7,1,"livis001",1,9,11,"dehar001",1,58
"MON199804020",7,1,"martj003",0,3,1,"marta001",7,58
"MON199804020",7,1,"chrij002",0,3,1,"martj003",1,63
"MON199804020",8,0,"telfa001",1,9,1,"livis001",11,64
"MON199804020",8,1,"desse001",0,3,1,"chrij002",1,69
"MON199804020",8,1,"may-d001",1,6,11,"mordm001",4,70
"MON199804020",9,0,"santf001",1,2,4,"santf001",8,73
"MON199804020",9,0,"urbiu001",1,6,1,"may-d001",11,73
"MON199804020",9,0,"stovd001",1,9,8,"telfa001",1,73
"MON199804020",9,1,"loisr001",0,3,1,"desse001",1,76
"MON199804020",9,1,"mcgur001",1,9,11,"stovd001",8,76
"MON199804100",1,0,"moort001",1,9,1,"valdm001",1,7
"MON199804100",5,0,"batim001",1,9,1,"moort001",1,43
"MON199804100",7,0,"mcgur001",1,2,7,"santf001",7,58
"MON199804100",7,0,"mordm001",1,1,6,"grudm001",6,58
"MON199804100",7,0,"benns001",1,9,1,"batim001",1,61
"MON199804100",7,0,"miesm001",0,3,12,"sosas001",9,61
"MON199804100",7,0,"alexm001",0,6,11,"blauj001",6,63
"MON199804100",7,1,"alexm001",0,6,6,"alexm001",11,66
"MON199804100",7,1,"miesm001",0,3,9,"miesm001",12,66
"MON199804100",7,1,"browb003",0,1,3,"browb003",8,66
"MON199804100",7,1,"hernj001",0,4,8,"gracm001",3,66
"MON199804100",8,0,"stovd001",1,5,8,"whitr001",8,69
"MON199804100",8,0,"hubbm001",1,8,2,"widgc001",2,69
"MON199804100",8,0,"marta002",0,1,11,"browb003",3,70
"MON199804100",8,1,"marta002",0,1,2,"marta002",11,72
"MON199804100",8,1,"servs002",0,8,3,"servs002",2,72
"MON199804100",8,1,"may-d001",1,9,11,"benns001",1,74
"MON199804100",9,0,"dehar001",1,9,1,"may-d001",11,76
"MON199804110",7,0,"telfa001",1,6,1,"vidrj001",4,55
"MON199804110",7,0,"mordm001",1,9,4,"perec001",1,55
"MON199804110",8,0,"johnl001",0,9,11,"clarm002",1,67
"MON199804110",8,1,"adamt001",0,9,1,"johnl001",11,68
"MON199804110",8,1,"may-d001",1,6,11,"telfa001",1,70
"MON199804110",9,0,"browb003",0,1,11,"hernj001",8,71
"MON199804110",9,0,"urbiu001",1,6,1,"may-d001",11,71
"MON199804110",9,1,"browb003",0,1,8,"browb003",11,76
"MON199804110",10,0,"klins002",1,6,1,"urbiu001",1,79
"MON199804110",10,1,"santf001",1,2,11,"stovd001",7,83
"MON199804120",5,1,"vanrb001",0,9,1,"woodk002",1,39
"MON199804120",5,1,"piscm001",0,9,1,"vanrb001",1,40
"MON199804120",7,0,"mordm001",1,6,4,"vidrj001",4,49
"MON199804120",7,0,"houst001",0,9,11,"piscm001",1,53
"MON199804120",7,0,"dehar001",1,9,1,"hermd001",1,53
