"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SLN200104090",7,0,"bonib001",1,5,3,"bonib001",9,47
"SLN200104090",7,0,"pujoa001",1,7,9,"pujoa001",5,47
"SLN200104090",7,0,"paquc001",1,9,5,"benea001",1,47
"SLN200104090",7,0,"stecg001",1,4,1,"mcgwm001",3,47
"SLN200104090",7,1,"wasdj001",0,9,1,"neagd001",1,50
"SLN200104090",8,0,"nortg001",0,9,11,"wasdj001",1,53
"SLN200104090",8,0,"klins002",1,9,1,"paquc001",5,54
"SLN200104090",8,0,"polap001",1,4,5,"stecg001",1,54
"SLN200104090",8,0,"littm001",0,9,12,"nortg001",11,54
"SLN200104090",8,0,"shumt001",0,2,11,"walkt002",4,55
"SLN200104090",8,1,"shumt001",0,2,4,"shumt001",11,57
"SLN200104090",8,1,"whitg001",0,9,1,"littm001",12,57
"SLN200104090",9,0,"timlm001",1,9,1,"klins002",1,62
"SLN200104090",9,1,"drewj001",1,5,12,"bonib001",3,67
"SLN200104090",9,1,"hollt001",0,9,7,"whitg001",1,68
"SLN200104090",9,1,"jimej001",0,6,1,"gantr001",7,68
"SLN200104090",9,1,"suttl001",1,8,11,"mathm001",2,69
"SLN200104090",9,1,"marre001",1,9,11,"timlm001",1,70
"SLN200104110",7,1,"myerm001",0,9,1,"astap001",1,49
"SLN200104110",8,0,"polap001",1,2,5,"polap001",6,52
"SLN200104110",8,0,"suttl001",1,3,3,"suttl001",9,52
"SLN200104110",8,0,"pujoa001",1,6,9,"pujoa001",5,52
"SLN200104110",8,0,"rente001",1,9,6,"morrm001",1,52
"SLN200104110",8,0,"klins002",1,4,1,"mcgwm001",3,52
"SLN200104110",8,0,"shumt001",0,1,11,"walkt002",4,52
"SLN200104110",8,1,"shumt001",0,1,4,"shumt001",11,56
"SLN200104110",8,1,"davej001",0,9,1,"myerm001",1,56
"SLN200104110",9,0,"jamem001",1,4,1,"klins002",1,60
"SLN200104110",9,0,"vered001",1,4,1,"jamem001",1,61
"SLN200104120",7,0,"pujoa001",1,5,3,"pujoa001",7,46
"SLN200104120",7,0,"drewj001",1,6,7,"drewj001",8,46
"SLN200104120",7,0,"edmoj001",1,4,8,"bonib001",3,46
"SLN200104120",8,0,"suttl001",1,9,3,"hermd001",1,60
"SLN200104120",8,0,"nortg001",0,8,11,"uribj002",6,60
"SLN200104120",8,0,"vered001",1,5,1,"pujoa001",3,60
"SLN200104120",8,0,"shumt001",0,9,11,"hampm001",1,61
"SLN200104120",8,1,"shumt001",0,9,6,"shumt001",11,64
"SLN200104120",8,1,"myerm001",0,8,1,"nortg001",11,64
"SLN200104120",8,1,"wasdj001",0,8,1,"myerm001",1,65
"SLN200104120",9,0,"klins002",1,5,1,"vered001",1,67
"SLN200104120",9,0,"gantr001",0,6,11,"hollt001",7,70
"SLN200104120",9,0,"timlm001",1,5,1,"klins002",1,70
"SLN200104120",9,0,"littm001",0,7,11,"petrb001",2,72
"SLN200104120",9,0,"maynb001",0,8,11,"wasdj001",1,73
"SLN200104120",9,0,"mattm001",1,5,1,"timlm001",1,73
"SLN200104120",9,1,"littm001",0,7,7,"littm001",11,76
"SLN200104120",9,1,"maynb001",0,8,2,"maynb001",11,76
"SLN200104120",9,1,"jimej001",0,6,1,"gantr001",11,76
"SLN200104120",9,1,"lankr001",1,2,11,"rente001",6,78
"SLN200104130",7,0,"paquc001",1,4,3,"mcgwm001",3,49
"SLN200104130",7,1,"suttl001",1,9,11,"kiled001",1,57
"SLN200104130",8,0,"jamem001",1,9,1,"suttl001",11,58
"SLN200104130",8,1,"hidar001",0,5,9,"hidar001",8,62
"SLN200104130",8,1,"barkg001",0,6,8,"merco002",9,62
"SLN200104130",8,1,"jackm001",0,9,1,"bottk001",1,62
"SLN200104130",9,0,"wardd002",0,9,11,"jackm001",1,67
"SLN200104130",9,1,"wagnb001",0,9,1,"wardd002",11,73
"SLN200104130",9,1,"polap001",1,7,11,"drewj001",9,74
"SLN200104130",9,1,"bonib001",1,9,11,"jamem001",1,76
"SLN200104130",9,1,"marre001",1,8,12,"mathm001",2,76
"SLN200104140",6,0,"stecg001",1,9,1,"ankir001",1,45
"SLN200104140",6,1,"paquc001",1,9,11,"stecg001",1,49
"SLN200104140",7,0,"hutcc001",1,9,1,"paquc001",11,52
"SLN200104140",7,0,"timlm001",1,9,1,"hutcc001",1,56
"SLN200104140",8,1,"franw001",0,9,1,"elars001",1,69
"SLN200104140",8,1,"mcgwm001",1,9,11,"timlm001",1,71
"SLN200104140",9,0,"mattm001",1,9,1,"mcgwm001",11,73
"SLN200104140",9,0,"hayec001",0,9,11,"franw001",1,75
"SLN200104140",9,1,"wagnb001",0,9,1,"hayec001",11,77
"SLN200104150",6,0,"wardd002",0,9,11,"limaj001",1,51
"SLN200104150",6,0,"mattm001",1,9,1,"benea001",1,51
"SLN200104150",6,0,"jamem001",1,9,1,"mattm001",1,54
"SLN200104150",6,1,"powej001",0,9,1,"wardd002",11,55
"SLN200104150",6,1,"suttl001",1,9,11,"jamem001",1,57
"SLN200104150",7,0,"stecg001",1,9,1,"suttl001",11,60
"SLN200104150",7,1,"paquc001",1,4,12,"mcgwm001",3,66
"SLN200104150",8,0,"paquc001",1,4,3,"paquc001",12,70
"SLN200104150",8,0,"hayec001",0,9,11,"powej001",1,72
"SLN200104150",8,0,"barkg001",0,9,12,"hayec001",11,73
"SLN200104150",8,1,"bonib001",1,9,11,"stecg001",1,75
"SLN200104150",8,1,"cruzn001",0,9,1,"barkg001",12,75
"SLN200104150",9,0,"vered001",1,9,1,"bonib001",11,79
"SLN200104150",9,0,"klins002",1,9,1,"vered001",1,82
"SLN200104150",9,0,"lugoj001",0,6,11,"merco002",9,84
"SLN200104160",7,0,"delld001",0,9,11,"ellir001",1,54
"SLN200104160",7,1,"broht001",0,9,1,"delld001",11,58
"SLN200104160",8,0,"jamem001",1,9,1,"morrm001",1,62
"SLN200104160",8,0,"mattm001",1,9,1,"jamem001",1,63
"SLN200104160",8,0,"sandr002",0,5,11,"durae001",9,63
"SLN200104160",8,1,"sandr002",0,5,9,"sandr002",11,66
"SLN200104160",8,1,"counc001",0,4,5,"colbg001",5,66
"SLN200104160",8,1,"kim-b001",0,9,1,"broht001",1,66
"SLN200104160",9,0,"timlm001",1,9,1,"mattm001",1,70
"SLN200104160",9,0,"bautd001",0,9,11,"kim-b001",1,71
"SLN200104160",9,1,"suttl001",1,8,11,"mathm001",2,73
