GAME_ID,EVENT_ID,COMMENT_TX
"TEX200404230",63,"$Ibanez left with injured back"
"TEX200405011",0,"$Debut for umpire Ramon Armendariz"
"TEX200405040",46,"$Robert Fick called for interference"
"TEX200405080",13,"ej,herso001,C,hollm901,Balls and strikes Texas pitching coach Orel Hershiser ejected by HP umpire Matt Hollowell"
"TEX200405180",59,"$Relaford left game with injured leg"
"TEX200405200",11,"$Laird left with injured hand/wrist"
"TEX200405210",80,"$Giambi turned ankle rounding 1B - onto DL"
"TEX200405230",15,"$Mench left game with injured chest"
"TEX200405230",56,"$Lofton left game with injured leg"
"TEX200406110",65,"ej,lankr001,P,drakr901,Called third strike Ray Lankford ejected by HP umpire Rob Drake"
"TEX200406130",13,"$Nix left game with injured neck"
"TEX200406270",48,"$Adam Everett called for interference"
"TEX200407220",29,"$Rodriguez left game with injured elbow"
"TEX200407220",55,"$Anderson left game with injured leg"
"TEX200407290",49,"$Duchscherer left game with injured back"
"TEX200407300",1,"Debut game for Sam Narron"
"TEX200407310",64,"ej,nelsj001,P,froeb901,Balls and strikes $Jeff Nelson ran on the field during the 7th inning stretch to argue with HP umpire Bruce Froemming about the strike zone; he was ejected by Froemming and had to be restrained by manager Buck Showalter"
"TEX200408130",10,"$Baldelli left game with injured leg"
"TEX200408140",41,"Debut game for Franklin Nunez"
"TEX200408170",49,"$Hafner left game with injured elbow"
"TEX200408240",1,"Debut game for Chris Young"
"TEX200408240",57,"$Silva left game with injured back"
"TEX200409070",28,"Debut game for Wilson Valdez"
"TEX200409080",47,"$Everett left game with injured leg"
"TEX200409210",72,"Debut game for Joe Blanton"
"TEX200409260",34,"umpchange,5,ump1b,mealj901 umpchange,5,ump2b,(None) $1B umpire and crew chief Ed Montague left the game with high blood pressure; he was taken to a local hospital to be checked"
"TEX200409260",38,"Debut game for Kameron Loe"
"TEX200409260",57,"Debut game for Travis Hughes"
"TEX200409290",62,"$Anderson left game with injured knee"
