"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"CHN200504080",6,0,"wuerm001",1,9,1,"woodk002",1,49
"CHN200504080",6,1,"bottr001",0,9,1,"capuc001",1,54
"CHN200504080",6,1,"hollt001",1,9,11,"wuerm001",1,55
"CHN200504080",7,0,"fox-c001",1,6,1,"duboj001",7,56
"CHN200504080",7,0,"hollt001",1,9,7,"hollt001",11,56
"CHN200504080",7,0,"magrc001",0,9,11,"bottr001",1,56
"CHN200504080",7,0,"remlm001",1,6,1,"fox-c001",1,61
"CHN200504080",7,1,"wisem001",0,9,1,"magrc001",11,62
"CHN200504080",8,1,"macij001",1,6,11,"remlm001",1,70
"CHN200504080",9,0,"hawkl001",1,6,1,"macij001",11,73
"CHN200504080",9,0,"cirij001",0,9,11,"wisem001",1,73
"CHN200504080",9,1,"phelt002",0,9,1,"cirij001",11,78
"CHN200504080",9,1,"glovg001",0,9,1,"phelt002",1,81
"CHN200504080",10,0,"ruscg001",1,3,1,"garcn001",6,83
"CHN200504080",10,0,"peren001",1,6,6,"hawkl001",1,83
"CHN200504080",10,0,"leicj001",1,3,1,"ruscg001",1,86
"CHN200504080",10,0,"hallb001",0,9,11,"glovg001",1,87
"CHN200504080",10,1,"delaj001",0,9,1,"hallb001",11,88
"CHN200504080",12,0,"helmw001",0,9,11,"delaj001",1,103
"CHN200504080",12,0,"wellt002",1,1,1,"hairj002",4,106
"CHN200504080",12,0,"walkt002",1,3,4,"leicj001",1,106
"CHN200504080",12,1,"adamm001",0,9,1,"helmw001",11,108
"CHN200504090",8,0,"fox-c001",1,9,1,"zambc001",1,57
"CHN200504090",8,1,"turnd001",0,9,1,"sheeb001",1,58
"CHN200504090",9,0,"hawkl001",1,9,1,"fox-c001",1,61
"CHN200504090",9,0,"cirij001",0,9,11,"turnd001",1,61
"CHN200504100",5,1,"hairj002",1,9,11,"maddg002",1,41
"CHN200504100",6,0,"wellt002",1,9,1,"hairj002",11,47
"CHN200504100",6,0,"helmw001",0,9,11,"santv001",1,50
"CHN200504100",6,1,"phelt002",0,9,1,"helmw001",11,51
"CHN200504100",6,1,"bottr001",0,9,1,"phelt002",1,54
"CHN200504100",6,1,"peren001",1,9,11,"wellt002",1,55
"CHN200504100",7,0,"wuerm001",1,9,1,"peren001",11,58
"CHN200504100",8,0,"remlm001",1,9,1,"wuerm001",1,66
"CHN200504100",8,1,"wisem001",0,9,1,"bottr001",1,69
"CHN200504100",9,0,"cirij001",0,9,11,"wisem001",1,73
"CHN200504100",9,1,"delaj001",0,9,1,"cirij001",11,75
"CHN200504100",9,1,"duboj001",1,9,11,"remlm001",1,75
"CHN200504100",10,0,"ruscg001",1,9,1,"duboj001",11,78
"CHN200504100",11,0,"macij001",1,2,4,"walkt002",4,89
"CHN200504100",11,0,"magrc001",0,9,11,"delaj001",1,91
"CHN200504100",11,1,"turnd001",0,9,1,"magrc001",11,94
"CHN200504110",7,0,"wuerm001",1,9,1,"dempr002",1,49
"CHN200504110",7,0,"blumg001",0,9,11,"eatoa001",1,50
"CHN200504110",7,1,"lines001",0,9,1,"blumg001",11,52
"CHN200504110",7,1,"macij001",1,9,11,"wuerm001",1,55
"CHN200504110",8,0,"fox-c001",1,9,1,"macij001",11,56
