"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"TEX200904060",6,1,"kobam001",0,0,1,"lee-c003",1,46
"TEX200904060",7,1,"perer002",0,0,1,"kobam001",1,56
"TEX200904060",8,0,"wilsc004",1,0,1,"millk004",1,59
"TEX200904060",8,1,"lewij003",0,0,1,"perer002",1,62
"TEX200904060",9,0,"franf001",1,0,1,"wilsc004",1,69
"TEX200904080",6,0,"jennj001",1,0,1,"padiv001",1,53
"TEX200904080",6,1,"betar001",0,0,1,"carmf001",1,54
"TEX200904080",7,0,"guare001",1,0,1,"jennj001",1,61
"TEX200904080",7,1,"perer002",0,0,1,"betar001",1,63
"TEX200904080",8,0,"wilsc004",1,0,1,"guare001",1,67
"TEX200904080",8,0,"teagt001",1,8,2,"saltj001",2,70
"TEX200904080",8,1,"smitj002",0,0,1,"perer002",1,74
"TEX200904080",9,0,"franf001",1,0,1,"wilsc004",1,76
"TEX200904090",2,1,"jackz001",0,0,1,"pavac001",1,20
"TEX200904090",6,0,"felds001",1,0,1,"mccab001",1,54
"TEX200904090",6,1,"kobam001",0,0,1,"jackz001",1,59
"TEX200904090",7,1,"lewij003",0,0,1,"kobam001",1,69
"TEX200904090",8,0,"rupej001",1,0,1,"felds001",1,76
"TEX200904090",8,1,"woodk002",0,0,1,"lewij003",1,80
"TEX200904090",9,0,"guare001",1,0,1,"rupej001",1,86
"TEX200904130",4,0,"felds001",1,0,1,"padiv001",1,37
"TEX200904130",6,1,"baezd001",0,0,1,"uehak001",1,62
"TEX200904130",7,0,"jennj001",1,0,1,"felds001",1,66
"TEX200904130",8,0,"guare001",1,0,1,"jennj001",1,76
"TEX200904130",8,0,"freer001",0,8,11,"pie-f001",7,78
"TEX200904130",8,1,"freer001",0,8,7,"freer001",11,80
"TEX200904130",8,1,"walkj001",0,0,1,"baezd001",1,80
"TEX200904130",8,1,"johnj010",0,0,1,"walkj001",1,81
"TEX200904130",9,0,"franf001",1,0,1,"guare001",1,83
"TEX200904130",9,1,"sherg001",0,0,1,"johnj010",1,86
"TEX200904130",9,1,"murpd005",1,4,12,"jonea002",10,90
"TEX200904140",2,1,"sarfd001",0,0,1,"simoa001",1,15
"TEX200904140",5,1,"ray-c001",0,0,1,"sarfd001",1,39
"TEX200904140",7,0,"wilsc004",1,0,1,"mccab001",1,50
"TEX200904140",7,0,"freer001",0,8,11,"pie-f001",7,50
"TEX200904140",7,1,"freer001",0,8,7,"freer001",11,53
"TEX200904140",7,1,"walkj001",0,0,1,"ray-c001",1,53
"TEX200904140",8,0,"franf001",1,0,1,"wilsc004",1,61
"TEX200904140",8,1,"johnj010",0,0,1,"walkj001",1,62
"TEX200904140",10,0,"guare001",1,0,1,"franf001",1,71
