"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"WAS201304010",7,1,"qualc001",0,9,1,"nolar001",1,46
"WAS201304010",8,0,"clipt001",1,9,1,"stras001",1,49
"WAS201304010",8,0,"dobbg001",0,9,11,"qualc001",1,52
"WAS201304010",8,1,"dunnm002",0,9,1,"dobbg001",11,53
"WAS201304010",8,1,"lombs002",1,9,11,"clipt001",1,53
"WAS201304010",9,0,"sorir001",1,9,1,"lombs002",11,57
"WAS201304030",5,1,"dobbg001",0,7,3,"kotcc001",3,34
"WAS201304030",6,1,"webbr001",0,9,1,"slowk001",1,46
"WAS201304030",7,0,"mattr001",1,9,1,"gonzg003",1,47
"WAS201304030",7,1,"tracc001",1,9,11,"mattr001",1,52
"WAS201304030",7,1,"bernr001",1,9,12,"tracc001",11,54
"WAS201304030",8,0,"stord001",1,9,1,"bernr001",12,57
"WAS201304030",8,0,"coghc001",0,9,11,"webbr001",1,59
"WAS201304030",8,1,"ramoa001",0,9,1,"coghc001",11,60
"WAS201304030",9,0,"sorir001",1,9,1,"stord001",1,65
"WAS201304040",6,0,"keara001",0,9,11,"leblw001",1,48
"WAS201304040",6,1,"raucj001",0,9,1,"keara001",11,49
"WAS201304040",7,0,"rodrh002",1,9,1,"zimmj003",1,53
"WAS201304040",7,1,"lombs002",1,9,11,"rodrh002",1,57
"WAS201304040",7,1,"dunnm002",0,9,1,"raucj001",1,58
"WAS201304040",8,0,"clipt001",1,9,1,"lombs002",11,64
"WAS201304040",8,1,"cishs001",0,9,1,"dunnm002",1,67
"WAS201304040",9,0,"stamc001",1,9,1,"clipt001",1,70
"WAS201304040",9,0,"coghc001",0,9,11,"cishs001",1,72
"WAS201304090",3,1,"sanca005",0,8,4,"beckg001",4,21
"WAS201304090",5,1,"tracc001",1,9,11,"gonzg003",1,38
"WAS201304090",6,0,"stamc001",1,9,1,"tracc001",11,39
"WAS201304090",6,1,"keppj001",0,2,4,"keppj001",5,51
"WAS201304090",6,1,"jonen001",0,8,1,"sanca005",4,51
"WAS201304090",6,1,"gillc001",0,9,5,"peavj001",1,51
"WAS201304090",7,0,"clipt001",1,9,1,"stamc001",1,53
"WAS201304090",7,1,"lombs002",1,9,11,"clipt001",1,60
"WAS201304090",7,1,"veald001",0,5,1,"vicid001",7,61
"WAS201304090",7,1,"wised001",0,8,7,"jonen001",1,61
"WAS201304090",7,1,"lindm001",0,5,1,"veald001",1,63
"WAS201304090",8,0,"stord001",1,9,1,"lombs002",11,65
"WAS201304090",8,1,"thorm001",0,5,1,"lindm001",1,69
"WAS201304090",8,1,"moort002",1,9,11,"stord001",1,73
"WAS201304090",9,0,"sorir001",1,9,1,"moort002",11,74
"WAS201304100",6,1,"veald001",0,9,1,"floyg001",1,51
"WAS201304100",6,1,"jonen001",0,9,1,"veald001",1,52
"WAS201304100",8,0,"stord001",1,9,1,"zimmj003",1,61
"WAS201304100",8,0,"wised001",0,9,11,"jonen001",1,61
"WAS201304100",8,1,"santh001",0,9,1,"wised001",11,66
"WAS201304100",8,1,"moort002",1,9,11,"stord001",1,68
"WAS201304100",9,0,"sorir001",1,9,1,"moort002",11,69
"WAS201304110",4,1,"santh001",0,9,1,"axeld001",1,48
"WAS201304110",6,0,"mattr001",1,7,1,"espid001",4,56
"WAS201304110",6,0,"lombs002",1,9,4,"hared001",1,56
"WAS201304110",7,1,"lindm001",0,9,1,"santh001",1,71
"WAS201304110",7,1,"tracc001",1,7,11,"mattr001",1,73
"WAS201304110",8,0,"clipt001",1,7,1,"tracc001",11,74
"WAS201304110",8,0,"wised001",0,9,11,"lindm001",1,74
"WAS201304110",8,1,"craij001",0,1,1,"deaza001",8,77
"WAS201304110",8,1,"wised001",0,9,8,"wised001",11,77
"WAS201304110",9,0,"sorir001",1,7,1,"clipt001",1,82
"WAS201304120",7,1,"ayall001",0,9,1,"tehej001",1,56
"WAS201304120",8,0,"clipt001",1,9,1,"detwr001",1,59
"WAS201304120",8,0,"schaj002",0,9,11,"ayall001",1,59
"WAS201304120",8,0,"stord001",1,9,1,"clipt001",1,65
"WAS201304120",8,1,"waldj001",0,9,1,"schaj002",11,66
"WAS201304120",9,0,"penar002",0,8,11,"lairg001",2,72
"WAS201304120",9,0,"dewib001",0,9,11,"waldj001",1,73
"WAS201304120",9,1,"gatte001",0,4,2,"gatte001",3,78
"WAS201304120",9,1,"johnc003",0,7,3,"johnc003",5,78
"WAS201304120",9,1,"penar002",0,8,5,"penar002",11,78
"WAS201304120",9,1,"oflae001",0,9,1,"dewib001",11,78
