"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"OAK201403310",7,0,"gregl001",1,0,1,"grays001",1,49
"OAK201403310",8,0,"dools001",1,0,1,"gregl001",1,55
"OAK201403310",8,1,"rzepm001",0,0,1,"mastj001",1,59
"OAK201403310",8,1,"puntn001",1,9,11,"sogae001",4,60
"OAK201403310",8,1,"allec002",0,0,1,"rzepm001",1,61
"OAK201403310",9,0,"puntn001",1,9,4,"puntn001",11,66
"OAK201403310",9,0,"johnj010",1,0,1,"dools001",1,66
"OAK201403310",9,0,"abadf001",1,0,1,"johnj010",1,71
"OAK201403310",9,1,"axfoj001",0,0,1,"allec002",1,73
"OAK201404021",4,1,"atchs001",0,0,1,"klubc001",1,37
"OAK201404021",6,1,"pestv001",0,0,1,"atchs001",1,49
"OAK201404021",7,1,"woodb004",0,0,1,"pestv001",1,59
"OAK201404021",8,0,"oterd001",1,0,1,"kazms001",1,65
"OAK201404021",8,1,"outmj001",0,0,1,"woodb004",1,67
"OAK201404022",5,0,"pomed001",1,0,1,"lindj004",1,44
"OAK201404022",5,1,"rzepm001",0,0,1,"mcalz001",1,47
"OAK201404022",5,1,"norrd001",1,6,11,"jasoj001",2,49
"OAK201404022",6,0,"norrd001",1,6,2,"norrd001",11,50
"OAK201404022",6,0,"johne002",0,9,11,"chisl001",5,52
"OAK201404022",6,0,"gregl001",1,0,1,"pomed001",1,54
"OAK201404022",6,0,"rabur001",0,1,11,"morgn001",8,54
"OAK201404022",6,1,"rabur001",0,1,7,"rabur001",11,55
"OAK201404022",6,1,"branm003",0,5,8,"branm003",7,55
"OAK201404022",6,1,"johne002",0,9,5,"johne002",11,55
"OAK201404022",7,1,"shawb001",0,0,1,"rzepm001",1,65
"OAK201404022",8,0,"dools001",1,0,1,"gregl001",1,71
"OAK201404022",8,1,"allec002",0,0,1,"shawb001",1,74
"OAK201404022",9,0,"johnj010",1,0,1,"dools001",1,77
"OAK201404022",9,0,"scrie001",1,0,1,"johnj010",1,85
"OAK201404022",9,1,"axfoj001",0,0,1,"allec002",1,86
"OAK201404022",9,1,"gomey001",0,4,2,"santc002",2,86
"OAK201404030",6,1,"mediy001",0,0,1,"eliar001",1,44
"OAK201404030",7,0,"abadf001",1,0,1,"chavj001",1,47
"OAK201404030",7,1,"saunm001",0,7,9,"morrl001",9,51
"OAK201404030",7,1,"bartd001",1,6,12,"calla001",3,54
"OAK201404030",7,1,"furbc001",0,0,1,"mediy001",1,54
"OAK201404030",8,0,"bartd001",1,6,3,"bartd001",12,57
"OAK201404030",8,1,"wilht001",0,0,1,"furbc001",1,61
"OAK201404030",8,1,"jasoj001",1,5,11,"norrd001",2,65
"OAK201404030",8,1,"mossb001",1,6,11,"bartd001",3,66
"OAK201404030",9,0,"jasoj001",1,5,2,"jasoj001",11,67
"OAK201404030",9,0,"mossb001",1,6,3,"mossb001",11,67
"OAK201404030",9,0,"dools001",1,0,1,"abadf001",1,67
"OAK201404030",9,1,"farqd001",0,0,1,"wilht001",1,70
"OAK201404030",10,1,"beimj001",0,0,1,"farqd001",1,82
"OAK201404030",11,0,"gregl001",1,0,1,"dools001",1,83
"OAK201404030",12,0,"pomed001",1,0,1,"gregl001",1,90
"OAK201404030",12,1,"noesh001",0,0,1,"beimj001",1,93
"OAK201404050",7,0,"pomed001",1,0,1,"strad003",1,47
"OAK201404050",8,0,"johnj010",1,0,1,"pomed001",1,54
"OAK201404050",8,1,"saunm001",0,7,9,"morrl001",9,58
"OAK201404050",9,0,"scrie001",1,0,1,"johnj010",1,62
"OAK201404050",9,1,"rodnf001",0,0,1,"hernf002",1,69
"OAK201404060",5,1,"younc003",0,0,1,"ramie004",1,46
"OAK201404060",7,0,"gregl001",1,0,1,"grays001",1,55
"OAK201404060",7,1,"leond003",0,0,1,"younc003",1,59
"OAK201404060",8,0,"dools001",1,0,1,"gregl001",1,64
"OAK201404060",8,1,"mediy001",0,0,1,"leond003",1,67
"OAK201404060",9,0,"johnj010",1,0,1,"dools001",1,71
"OAK201404060",9,0,"norrd001",1,6,2,"jasoj001",2,71
"OAK201404180",1,1,"clemp002",0,0,1,"cosaj001",1,14
"OAK201404180",5,1,"albem001",0,0,1,"clemp002",1,55
"OAK201404180",7,0,"abadf001",1,0,1,"grays001",1,65
"OAK201404180",7,0,"guzmj005",0,5,11,"kraum001",3,66
"OAK201404180",7,1,"guzmj005",0,5,3,"guzmj005",11,69
"OAK201404180",7,1,"valdr002",0,0,1,"albem001",1,69
"OAK201404180",7,1,"gentc001",1,1,11,"crisc001",8,72
"OAK201404180",7,1,"fielj002",0,0,1,"valdr002",1,74
"OAK201404180",8,0,"gentc001",1,1,8,"gentc001",11,76
