GAME_ID,EVENT_ID,COMMENT_TX
"MIN201604110",67,"replay,8,eatoa002,CHA,westj901,MIN04,,Y,M,CHA,C $when Adam Eaton was called out at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay"
"MIN201604140",25,"Twins center fielder Byron Buxton left the game due to an injured hand"
"MIN201604140",62,"replay,8,frazt001,CHA,westj901,MIN04,,N,M,MIN,C $when Todd Frazier was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay"
"MIN201604160",27,"replay,3,pujoa001,ANA,kellj901,MIN04,,N,M,ANA,A $when Albert Pujols was called out at 1B, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay"
"MIN201604170",83,"Twins third baseman Trevor Plouffe left the game due to an injured side"
"MIN201604170",94,"replay,12,buxtb001,MIN,kellj901,MIN04,,N,M,MIN,C $when Joe Mauer was called out at 2B, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay"
"MIN201604180",59,"$Game called for rain after delay of 2:06"
"MIN201604190",36,"$John Ryan Murphy called for interference for running into his own bunt"
"MIN201604250",44,"replay,5,nunee002,MIN,nelsj901,MIN04,,N,M,CLE,A $when Danny Santana was called safe on a pickoff attempt, Indians manager Terry Francona challenged the ruling; the call was upheld by replay; Danny Salazar then made a second pickoff attempt but was called for a balk"
"MIN201604250",53,"replay,6,gomey001,CLE,nelsj901,MIN04,,Y,M,MIN,C $when Yan Gomes was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay"
"MIN201604260",8,"replay,1,sanom001,MIN,nelsj901,MIN04,,N,M,MIN,C $when Brian Dozier was called out at 2B, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay"
"MIN201604260",72,"replay,9,dozib001,CLE,nelsj901,MIN04,,Y,M,CLE,A $when Danny Santana was called safe at 2B, Indians manager Terry Francona challenged the ruling; the call was overturned by replay"
"MIN201604300",30,"replay,4,escoe001,MIN,gormb901,MIN04,,Y,M,MIN,C $when Eduardo Escobar was called out at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay"
"MIN201605010",21,"replay,3,iglej001,DET,gormb901,MIN04,,N,M,DET,C $when Jose Iglesias was called out at 1B, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay"
"MIN201605010",41,"replay,5,mauej001,MIN,gormb901,MIN04,,N,U,,H $Joe Mauer's fly to LF struck near the top of the wall and was ruled in play; crew chief Brian Gorman requested a review, which upheld the call"
