"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"HOU201810050",5,1,"cimba001",0,0,1,"klubc001",1,39
"HOU201810050",6,0,"presr001",1,0,1,"verlj001",1,44
"HOU201810050",6,1,"allec002",0,0,1,"cimba001",1,49
"HOU201810050",7,1,"bauet001",0,0,1,"allec002",1,55
"HOU201810050",8,0,"sprig001",1,1,9,"sprig001",8,59
"HOU201810050",8,0,"marij002",1,5,8,"gonzm002",7,59
"HOU201810050",8,0,"reddj001",1,8,7,"reddj001",9,59
"HOU201810050",8,0,"mccul002",1,0,1,"presr001",1,59
"HOU201810050",8,1,"oterd001",0,0,1,"bauet001",1,62
"HOU201810050",8,1,"stram002",1,7,12,"whitt002",10,64
"HOU201810050",9,0,"osunr001",1,0,1,"mccul002",1,66
"HOU201810060",6,1,"milla002",0,0,1,"carrc003",1,43
"HOU201810060",6,1,"gatte001",1,8,11,"reddj001",9,47
"HOU201810060",6,1,"bauet001",0,0,1,"milla002",1,47
"HOU201810060",7,0,"sprig001",1,1,9,"sprig001",8,49
"HOU201810060",7,0,"marij002",1,8,8,"gatte001",11,49
"HOU201810060",8,0,"presr001",1,0,1,"coleg001",1,56
"HOU201810060",8,0,"osunr001",1,0,1,"presr001",1,59
"HOU201810060",8,1,"handb001",0,0,1,"bauet001",1,60
"HOU201810060",8,1,"stram002",1,5,12,"gonzm002",7,61
"HOU201810060",9,0,"stram002",1,5,7,"stram002",12,66
"CLE201810080",6,0,"bauet001",1,0,1,"clevm001",1,43
"CLE201810080",6,1,"mchuc001",0,0,1,"keucd001",1,47
"CLE201810080",7,0,"milla002",1,0,1,"bauet001",1,57
"CLE201810080",7,0,"whitt002",0,8,11,"mccab002",2,59
"CLE201810080",7,0,"allec002",1,0,1,"milla002",1,59
"CLE201810080",7,1,"maldm001",0,8,2,"whitt002",11,60
"CLE201810080",7,1,"cabrm002",1,7,11,"guyeb001",9,61
"CLE201810080",8,0,"cabrm002",1,7,9,"cabrm002",11,63
"CLE201810080",8,0,"handb001",1,0,1,"allec002",1,69
"CLE201810080",8,0,"gatte001",0,6,11,"reddj001",9,70
"CLE201810080",8,1,"sprig001",0,1,9,"sprig001",8,74
"CLE201810080",8,1,"marij002",0,6,8,"gatte001",11,74
"CLE201810080",8,1,"mccul002",0,0,1,"mchuc001",1,74
"CLE201810080",9,0,"cimba001",1,0,1,"handb001",1,78
"CLE201810080",9,1,"harrw002",0,0,1,"mccul002",1,85
"CLE201810080",9,1,"alleg002",1,6,11,"diazy001",10,87
