"NYA191604120",3,"Into the seats.","FILENAME_TX","LINE_NUMBER_CT"
"NYA191604120",79,"Top of 11th from NY Times.","1916NYA.EVA.regular.comment.csv",2
"NYA191604120",85,"Bottom of 11th from box score.","1916NYA.EVA.regular.comment.csv",3
"NYA191604180",67,"Top of 8th to end from Evening Mail.","1916NYA.EVA.regular.comment.csv",4
"NYA191604280",41,"Into the stands.","1916NYA.EVA.regular.comment.csv",5
"NYA191604280",70,"Into the stands.","1916NYA.EVA.regular.comment.csv",6
"NYA191604280",72,"Used Boston Post/Globe, Times and RBS here to end (11).","1916NYA.EVA.regular.comment.csv",7
"NYA191605090",7,"Into the seats.","1916NYA.EVA.regular.comment.csv",8
"NYA191605090",37,"Tried to advance when Schalk missed pitch.","1916NYA.EVA.regular.comment.csv",9
"NYA191605100",57,"Collins missed bunt attempt.","1916NYA.EVA.regular.comment.csv",10
"NYA191605110",41,"Markle, Mogridge, and Mullen ejected by Nallin.","1916NYA.EVA.regular.comment.csv",11
"NYA191605110",67,"Per Evening Mail.","1916NYA.EVA.regular.comment.csv",12
"NYA191605120",59,"Mogridge had sore arm.","1916NYA.EVA.regular.comment.csv",13
"NYA191605130",35,"Into the seats.","1916NYA.EVA.regular.comment.csv",14
"NYA191605130",74,"Into the seats.","1916NYA.EVA.regular.comment.csv",15
"NYA191605150",53,"IPHR. Maisel injured shoulder.","1916NYA.EVA.regular.comment.csv",16
"NYA191605150",68,"Into the seats.","1916NYA.EVA.regular.comment.csv",17
"NYA191605150",86,"Bottom of 9th from Evening Mail.","1916NYA.EVA.regular.comment.csv",18
"NYA191605200",4,"Cobb tried to advance on wild pickoff throw by Caldwell.","1916NYA.EVA.regular.comment.csv",19
"NYA191605200",51,"Caldwell hurt finger catching return throw from Walters.","1916NYA.EVA.regular.comment.csv",20
"NYA191605220",88,"No PBP for bottom of 9th.","1916NYA.EVA.regular.comment.csv",21
"NYA191605240",43,"Into the seats.","1916NYA.EVA.regular.comment.csv",22
"NYA191605250",54,"Marsans injured ankle.","1916NYA.EVA.regular.comment.csv",23
"NYA191605250",77,"Into the stands.","1916NYA.EVA.regular.comment.csv",24
"NYA191605262",18,"Lewis lost ball in sun.","1916NYA.EVA.regular.comment.csv",25
"NYA191605262",81,"Bottom of ninth to end from Times/Globe/RBS.","1916NYA.EVA.regular.comment.csv",26
"NYA191605262",89,"Boston out in order.","1916NYA.EVA.regular.comment.csv",27
"NYA191605311",75,"Grand Slam IPHR.","1916NYA.EVA.regular.comment.csv",28
"NYA191605311",79,"Hit & run, Malone scoring on Witt's long single.","1916NYA.EVA.regular.comment.csv",29
"NYA191605312",31,"Attempted double steal.","1916NYA.EVA.regular.comment.csv",30
"NYA191605312",74,"Used Times/RBS here to end.","1916NYA.EVA.regular.comment.csv",31
"NYA191606231",38,"Into the seats.","1916NYA.EVA.regular.comment.csv",32
"NYA191606231",44,"Morgan's ankle injured on play.","1916NYA.EVA.regular.comment.csv",33
"NYA191606232",12,"Into the seats.","1916NYA.EVA.regular.comment.csv",34
"NYA191606242",34,"Into the seats.","1916NYA.EVA.regular.comment.csv",35
"NYA191606242",39,"Tried to advance when pitch eluded Walters.","1916NYA.EVA.regular.comment.csv",36
"NYA191606242",63,"Balance of game from NY Times.","1916NYA.EVA.regular.comment.csv",37
"NYA191606242",67,"Into the seats.","1916NYA.EVA.regular.comment.csv",38
"NYA191606270",1,"Moeller hit second pitch of game into stands.","1916NYA.EVA.regular.comment.csv",39
"NYA191606270",24,"Gilhooley in 'pickle play', High out as two men on third.","1916NYA.EVA.regular.comment.csv",40
"NYA191606270",39,"Caldwell spiked Judge.","1916NYA.EVA.regular.comment.csv",41
"NYA191606270",49,"Into the seats.","1916NYA.EVA.regular.comment.csv",42
"NYA191607060",65,"Ninth inning from 109/Evening Mail.","1916NYA.EVA.regular.comment.csv",43
"NYA191607070",46,"73 had 99","1916NYA.EVA.regular.comment.csv",44
"NYA191607070",50,"Attempted sacrifice.","1916NYA.EVA.regular.comment.csv",45
"NYA191607070",58,"73 had D, Felsch had no double in game.","1916NYA.EVA.regular.comment.csv",46
"NYA191607070",67,"Bottom of ninth inning to top of eleventh inning from Mail.","1916NYA.EVA.regular.comment.csv",47
"NYA191607070",79,"Here to end (12) from Times/Tribune/NY Sun/RBS.","1916NYA.EVA.regular.comment.csv",48
"NYA191607070",89,"Attempted double steal.","1916NYA.EVA.regular.comment.csv",49
"NYA191607100",48,"Hit and run.","1916NYA.EVA.regular.comment.csv",50
"NYA191607100",49,"ej,nunal101,P,olous901,Call at HP $Catcher Nunamaker ejected by HP umpire O'Loughlin for arguing runner was out at home","1916NYA.EVA.regular.comment.csv",51
"NYA191607100",58,"Bottom of 7th to end from Evening Mail.","1916NYA.EVA.regular.comment.csv",52
"NYA191607100",65,"Into the seats.","1916NYA.EVA.regular.comment.csv",53
"NYA191607111",8,"Into the seats.","1916NYA.EVA.regular.comment.csv",54
"NYA191607112",64,"Here to bottom of eighth inning from Evening Mail.","1916NYA.EVA.regular.comment.csv",55
