GAME_ID,EVENT_ID,COMMENT_TX
"BOS191610070",1,"Debut game for Hi Myers"
"BOS191610070",2,"Debut game for Jake Daubert"
"BOS191610070",3,"Debut game for Casey Stengel"
"BOS191610070",6,"Debut game for Tilly Walker"
"BOS191610070",8,"Debut game for Zach Wheat"
"BOS191610070",9,"Debut game for George Cutshaw"
"BOS191610070",10,"Debut game for Mike Mowrey"
"BOS191610070",11,"Debut game for Ivy Olson"
"BOS191610070",36,"$Tilly Walker lost the ball in the sun"
"BOS191610070",64,"Debut game for Jimmy Johnston"
"BOS191610070",66,"Debut game for Jeff Pfeffer"
"BOS191610070",80,"Debut game for Carl Mays Debut game for Pinch Thomas"
"BOS191610090",5,"Debut game for Sherry Smith"
"BOS191610090",15,"Debut game for Otto Miller"
"BOS191610090",36,"$Pinch Thomas awarded 3B by 1B umpire Ernie Quigley after Ivy Olson tripped Thomas"
"BOS191610090",75,"$Everett Scott rounded 3B too far"
"BOS191610090",102,"Debut game for Mike McNally"
"BRO191610100",3,"Debut game for Chick Shorten"
"BRO191610110",35,"$Dutch Leonard broke for 2B when the pitch got away from Chief Meyers but Bill Carrigan remained at 2B;  Meyers threw behind the retreating Leonard, who turned back for 2B as Carrigan headed toward 3B"
"BRO191610110",41,"Debut game for Larry Cheney"
"BRO191610110",61,"$Larry Cheney's throw to 1B hit Doc Hoblitzel on the back"
"BRO191610110",63,"Debut game for Ollie O'Mara"
"BRO191610110",66,"Debut game for Nap Rucker"
"BRO191610110",80,"Debut game for Gus Getz"
"BOS191610120",64,"Debut game for Wheezer Dell"
"BOS191610070",1,"Debut game for Hi Myers"
"BOS191610070",2,"Debut game for Jake Daubert"
"BOS191610070",3,"Debut game for Casey Stengel"
"BOS191610070",6,"Debut game for Tilly Walker"
"BOS191610070",8,"Debut game for Zach Wheat"
"BOS191610070",9,"Debut game for George Cutshaw"
"BOS191610070",10,"Debut game for Mike Mowrey"
"BOS191610070",11,"Debut game for Ivy Olson"
"BOS191610070",36,"$Tilly Walker lost the ball in the sun"
"BOS191610070",64,"Debut game for Jimmy Johnston"
"BOS191610070",66,"Debut game for Jeff Pfeffer"
"BOS191610070",80,"Debut game for Carl Mays Debut game for Pinch Thomas"
"BOS191610090",5,"Debut game for Sherry Smith"
"BOS191610090",15,"Debut game for Otto Miller"
"BOS191610090",36,"$Pinch Thomas awarded 3B by 1B umpire Ernie Quigley after Ivy Olson tripped Thomas"
"BOS191610090",75,"$Everett Scott rounded 3B too far"
"BOS191610090",102,"Debut game for Mike McNally"
"BRO191610100",3,"Debut game for Chick Shorten"
"BRO191610110",35,"$Dutch Leonard broke for 2B when the pitch got away from Chief Meyers but Bill Carrigan remained at 2B;  Meyers threw behind the retreating Leonard, who turned back for 2B as Carrigan headed toward 3B"
"BRO191610110",41,"Debut game for Larry Cheney"
"BRO191610110",61,"$Larry Cheney's throw to 1B hit Doc Hoblitzel on the back"
"BRO191610110",63,"Debut game for Ollie O'Mara"
"BRO191610110",66,"Debut game for Nap Rucker"
"BRO191610110",80,"Debut game for Gus Getz"
"BOS191610120",64,"Debut game for Wheezer Dell"
