"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"WS1191604200",5,1,"culln101",0,9,1,"keatr101",1,46,"1916WS1.EVA.regular.sub.csv",2
"WS1191604200",6,1,"loves101",0,9,1,"culln101",1,52,"1916WS1.EVA.regular.sub.csv",3
"WS1191604210",6,0,"gallb103",1,9,1,"dumog101",1,48,"1916WS1.EVA.regular.sub.csv",4
"WS1191604210",7,1,"jamic101",1,7,11,"henrj101",2,63,"1916WS1.EVA.regular.sub.csv",5
"WS1191604210",7,1,"barbt101",1,9,11,"gallb103",1,65,"1916WS1.EVA.regular.sub.csv",6
"WS1191604220",4,0,"mullc101",0,6,11,"pippw101",3,25,"1916WS1.EVA.regular.sub.csv",7
"WS1191604220",4,1,"mullc101",0,6,3,"mullc101",11,26,"1916WS1.EVA.regular.sub.csv",8
"WS1191604220",11,0,"baump101",0,2,11,"highh101",7,79,"1916WS1.EVA.regular.sub.csv",9
"WS1191604220",11,0,"boonl101",0,2,12,"baump101",11,80,"1916WS1.EVA.regular.sub.csv",10
"WS1191604220",11,1,"hartr102",0,2,7,"boonl101",12,81,"1916WS1.EVA.regular.sub.csv",11
"WS1191604220",11,1,"ainse101",1,7,12,"henrj101",2,83,"1916WS1.EVA.regular.sub.csv",12
"WS1191604220",11,1,"willr104",1,9,11,"harph101",1,84,"1916WS1.EVA.regular.sub.csv",13
"WS1191604240",4,1,"shanh101",1,1,11,"moeld101",9,31,"1916WS1.EVA.regular.sub.csv",14
"WS1191604240",4,1,"culln101",0,9,1,"shawb102",1,32,"1916WS1.EVA.regular.sub.csv",15
"WS1191604240",5,0,"shanh101",1,1,9,"shanh101",11,36,"1916WS1.EVA.regular.sub.csv",16
"WS1191604240",6,1,"waltr102",0,8,2,"nunal101",2,48,"1916WS1.EVA.regular.sub.csv",17
"WS1191604240",6,1,"shocu101",0,9,1,"culln101",1,48,"1916WS1.EVA.regular.sub.csv",18
"WS1191605160",1,1,"bolab101",0,9,1,"boehg101",1,7,"1916WS1.EVA.regular.sub.csv",19
"WS1191605160",1,1,"erice101",0,9,1,"bolab101",1,15,"1916WS1.EVA.regular.sub.csv",20
"WS1191605160",4,1,"baked102",0,8,2,"stano101",2,41,"1916WS1.EVA.regular.sub.csv",21
"WS1191605160",6,0,"gharp101",1,7,2,"henrj101",2,54,"1916WS1.EVA.regular.sub.csv",22
"WS1191605160",9,0,"harpg101",0,9,11,"erice101",1,87,"1916WS1.EVA.regular.sub.csv",23
"WS1191605220",6,0,"lynnb101",0,9,11,"wolfm101",1,40,"1916WS1.EVA.regular.sub.csv",24
"WS1191605220",6,1,"russr102",0,9,1,"lynnb101",11,42,"1916WS1.EVA.regular.sub.csv",25
"WS1191605220",9,0,"murpe102",0,9,11,"russr102",1,65,"1916WS1.EVA.regular.sub.csv",26
"WS1191605240",5,1,"moeld101",1,9,11,"gallb103",1,37,"1916WS1.EVA.regular.sub.csv",27
