"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"BSN191704160","19170416",0,"Monday",0,"F","D","PHI","BSN","BOS08","alexg102","barnj102","odayh101","brank101","(none)","(none)","","",0,"286","","Cliff Blau","2016/09/05 7:44PM","",0,0,0,0,-1,0,0,0,88,9,1,3,4,7,0,5,7,4,"barnj102","alexg102","","","paskd101",8,"bancd101",6,"whitp102",7,"ludef101",3,"cravg101",9,"stocm101",5,"dugeo101",4,"killb101",2,"alexg102",1,"marar101",6,"everj102",4,"bailf101",9,"mages101",7,"konee101",3,"smitr108",5,"kellj102",8,"gowdh101",2,"barnj102",1,"oescj101","","","",,,51,,,,000001000,00021000x,32,0,0,0,1,0,1,0,2,0,3,0,0,1,0,2,3,3,0,0,24,9,0,1,0,31,2,3,0,3,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,27,14,0,3,0,,,,,,,,,,,"Jess Barnes","Grover Clevelan Alexander","(none)","bailf101","Fred Bailey","Dode Paskert","Dave Bancroft","Possum Whitted","Fred Luderus","Gavvy Cravath","Milt Stock","Oscar Dugey","Bill Killefer","Grover Clevelan Alexander","Rabbit Maranville","Johnny Evers","Fred Bailey","Sherry Magee","Ed Konetchy","Red Smith","Joe Kelly","Hank Gowdy","Jess Barnes",,
"BSN191704191","19170419",1,"Thursday",0,"F","D","PHI","BSN","BOS08","rixee101","rudod101","odayh101","brank101","(none)","(none)","","",0,"286","Cliff Blau","Cliff Blau","2016/09/06 4:02PM","",0,0,0,0,-1,0,0,0,0,9,3,7,8,12,0,1,9,11,"rudod101","rixee101","","","paskd101",8,"bancd101",6,"whitp102",7,"ludef101",3,"cravg101",9,"stocm101",5,"dugeo101",4,"killb101",2,"rixee101",1,"marar101",6,"massm101",4,"twomg101",9,"mages101",7,"konee101",3,"smitr108",5,"kellj102",8,"gowdh101",2,"rudod101",1,"fittp101","","","",,,51,,,,000000012,10303000x,34,3,0,0,3,0,0,0,5,0,7,0,1,1,0,2,7,7,1,0,24,19,0,5,0,29,2,0,0,6,2,0,2,9,0,1,1,0,4,0,1,3,3,0,0,27,11,0,1,0,,,,,,,,,,,"Dick Rudolph","Eppa Rixey","(none)","twomg101","George Twombly","Dode Paskert","Dave Bancroft","Possum Whitted","Fred Luderus","Gavvy Cravath","Milt Stock","Oscar Dugey","Bill Killefer","Eppa Rixey","Rabbit Maranville","Mike Massey","George Twombly","Sherry Magee","Ed Konetchy","Red Smith","Joe Kelly","Hank Gowdy","Dick Rudolph",,
"BSN191704192","19170419",2,"Thursday",0,"F","D","PHI","BSN","BOS08","oescj101","barnj102","odayh101","brank101","(none)","(none)","","",0,"286","","Cliff Blau","2016/09/06 7:45PM","",0,0,0,0,-1,0,0,0,95,9,2,4,7,5,3,3,7,2,"barnj102","oescj101","","","paskd101",8,"bancd101",6,"whitp102",7,"ludef101",3,"cravg101",9,"stocm101",5,"dugeo101",4,"killb101",2,"oescj101",1,"marar101",6,"massm101",4,"bailf101",9,"mages101",7,"konee101",3,"smitr108",5,"kellj102",8,"gowdh101",2,"barnj102",1,"","","","",,,51,,,,000002000,10010002x,33,1,0,0,2,2,0,0,1,0,3,1,0,0,0,1,0,0,0,0,24,12,0,2,0,27,0,0,0,2,1,0,1,1,0,5,1,1,0,0,1,2,2,0,0,27,13,0,0,0,,,,,,,,,,,"Jess Barnes","Joe Oeschger","(none)","","(none)","Dode Paskert","Dave Bancroft","Possum Whitted","Fred Luderus","Gavvy Cravath","Milt Stock","Oscar Dugey","Bill Killefer","Joe Oeschger","Rabbit Maranville","Mike Massey","Fred Bailey","Sherry Magee","Ed Konetchy","Red Smith","Joe Kelly","Hank Gowdy","Jess Barnes",,
"BSN191705100","19170510",0,"Thursday",0,"F","D","PIT","BSN","BOS08","mamaa101","barnj102","riglc901","harrp901","(none)","(none)","","",0,"Pitt. Post","Cliff Blau","Cliff Blau","2001/05/28 3:50PM","",0,0,0,0,-1,0,0,0,130,9,11,4,9,8,0,4,9,12,"grimb101","nehfa101","","","carem101",8,"bigbc101",4,"baird101",5,"hincb101",7,"brieb101",3,"altej101",9,"wardc102",6,"schmw102",2,"mamaa101",1,"massm101",4,"marar101",6,"twomg101",8,"smitr108",5,"konee101",3,"mages101",7,"gowdh101",2,"wilhj101",9,"barnj102",1,"grimb101","reule101","","",,,54,,,,012115001,001300000,34,3,0,0,9,2,1,0,10,0,3,2,0,0,0,3,4,4,0,0,27,16,1,2,0,32,2,1,0,4,1,1,0,9,0,3,3,0,2,0,3,7,7,0,0,27,17,2,0,0,,,,,,,,,,,"Burleigh Grimes","Art Nehf","(none)","","(none)","Max Carey","Carson Bigbee","Doug Baird","Bill Hinchman","Bunny Brief","Jesse Altenburg","Chuck Ward","Walter Schmidt","Al Mamaux","Mike Massey","Rabbit Maranville","George Twombly","Red Smith","Ed Konetchy","Sherry Magee","Hank Gowdy","Joe Wilhoit","Jess Barnes",,
"BSN191705110","19170511",0,"Friday",0,"F","D","PIT","BSN","BOS08","carlh101","rudod101","ortha101","riglc901","(none)","(none)","","",0,"Pitt. Post","Cliff Blau","Cliff Blau","2001/05/28 6:09PM","",0,0,0,0,-1,0,0,0,120,10,2,3,5,8,1,0,2,9,"rudod101","jacoe101","","","carem101",8,"bigbc101",4,"baird101",5,"hincb101",7,"brieb101",3,"altej101",9,"wardc102",6,"fiscw101",2,"carlh101",1,"collz101",7,"marar101",6,"twomg101",8,"smitr108",5,"konee101",3,"fitze102",4,"gowdh101",2,"wilhj101",9,"rudod101",1,"jacoe101","","","",,,59,,,,0000000200,0000110001,33,1,0,0,2,0,0,0,1,0,2,1,0,0,0,2,3,3,1,0,29,14,0,0,0,35,1,1,0,3,2,0,0,4,3,3,0,0,0,0,1,2,2,0,0,30,17,0,0,0,,,,,,,,,,,"Dick Rudolph","Elmer Jacobs","(none)","konee101","Ed Konetchy","Max Carey","Carson Bigbee","Doug Baird","Bill Hinchman","Bunny Brief","Jesse Altenburg","Chuck Ward","William Fischer","Hal Carlson","Zip Collins","Rabbit Maranville","George Twombly","Red Smith","Ed Konetchy","Ed Fitzpatrick","Hank Gowdy","Joe Wilhoit","Dick Rudolph",,
"BSN191705140","19170514",0,"Monday",0,"F","D","CHN","BSN","BOS08","dougp101","rudod101","odayh101","harrp901","(none)","(none)","","",0,"277","Cliff Blau","Cliff Blau","2017/01/18 3:57PM","",0,0,0,0,-1,0,0,0,110,9,6,0,12,2,1,1,10,2,"dougp101","rudod101","","","wortc101",6,"flacm101",9,"doyll101",4,"merkf101",3,"willc103",8,"mannl101",7,"wilsa102",2,"dealc102",5,"dougp101",1,"bailf101",7,"marar101",6,"twomg101",8,"smitr108",5,"konee101",3,"fitze102",4,"gowdh101",2,"wilhj101",9,"rudod101",1,"","","","",,,54,,,,001002003,000000000,36,1,2,0,6,2,1,0,4,0,3,1,0,0,0,1,0,0,0,0,25,7,0,0,0,29,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,6,6,0,0,26,13,0,0,0,,,,,,,,,,,"Phil Douglas","Dick Rudolph","(none)","merkf101","Fred Merkle","Chuck Wortman","Max Flack","Larry Doyle","Fred Merkle","Cy Williams","Les Mann","Art Wilson","Charlie Deal","Phil Douglas","Fred Bailey","Rabbit Maranville","George Twombly","Red Smith","Ed Konetchy","Ed Fitzpatrick","Hank Gowdy","Joe Wilhoit","Dick Rudolph",,
"BSN191705150","19170515",0,"Tuesday",0,"F","D","CHN","BSN","BOS08","vaugh101","tylel101","odayh101","harrp901","(none)","(none)","","",0,"277","Cliff Blau","Cliff Blau","2017/01/18 7:49PM","",0,0,0,0,-1,0,0,0,0,9,8,1,13,5,3,3,9,9,"vaugh101","tylel101","","","wortc101",6,"flacm101",9,"doyll101",4,"merkf101",3,"willc103",8,"mannl101",7,"wilsa102",2,"dealc102",5,"vaugh101",1,"kellj102",8,"marar101",6,"twomg101",9,"smitr108",5,"konee101",3,"fitze102",4,"gowdh101",2,"mages101",7,"tylel101",1,"","","","",,,54,,,,020020040,001000000,37,3,0,0,5,2,1,0,4,0,1,2,1,0,0,1,1,1,0,0,23,7,0,0,0,34,0,0,0,1,0,0,0,3,0,3,1,0,0,0,1,6,6,1,0,24,7,0,1,0,,,,,,,,,,,"Hippo Vaughn","Lefty Tyler","(none)","wilsa102","Art Wilson","Chuck Wortman","Max Flack","Larry Doyle","Fred Merkle","Cy Williams","Les Mann","Art Wilson","Charlie Deal","Hippo Vaughn","Joe Kelly","Rabbit Maranville","George Twombly","Red Smith","Ed Konetchy","Ed Fitzpatrick","Hank Gowdy","Sherry Magee","Lefty Tyler",,
"BSN191705160","19170516",0,"Wednesday",0,"F","D","CHN","BSN","BOS08","aldrv101","reule101","odayh101","harrp901","(none)","(none)","","",3100,"277","Wayne Townsend","Wayne Townsend","2015/12/22 10:00AM","",1,0,0,0,-1,0,0,0,103,9,8,0,10,5,1,3,7,5,"aldrv101","reule101","","","wortc101",6,"flacm101",9,"doyll101",4,"merkf101",3,"willc103",8,"mannl101",7,"ellir104",2,"dealc102",5,"aldrv101",1,"marar101",6,"everj102",4,"twomg101",8,"smitr108",5,"konee101",3,"bailf101",7,"gowdh101",2,"wilhj101",9,"reule101",1,"","ragap101","","",,,54,,,,104000003,000000000,35,0,2,0,8,1,1,1,4,0,2,2,0,1,0,1,0,0,0,0,27,17,0,0,0,30,1,0,0,0,0,0,0,2,0,2,0,2,0,0,2,7,7,0,0,27,16,0,1,0,,,,,,,,,,,"Vic Aldridge","Ed Reulbach","(none)","willc103","Cy Williams","Chuck Wortman","Max Flack","Larry Doyle","Fred Merkle","Cy Williams","Les Mann","Rowdy Elliott","Charlie Deal","Vic Aldridge","Rabbit Maranville","Johnny Evers","George Twombly","Red Smith","Ed Konetchy","Fred Bailey","Hank Gowdy","Joe Wilhoit","Ed Reulbach",,
"BSN191705170","19170517",0,"Thursday",0,"F","D","CHN","BSN","BOS08","seatt102","allef101","odayh101","harrp901","(none)","(none)","","",2500,"277","Wayne Townsend","Wayne Townsend","2015/12/22 2:42PM","",1,0,0,0,-1,0,0,0,110,9,2,1,6,3,1,1,4,4,"seatt102","allef101","","","zeidr101",6,"flacm101",9,"doyll101",4,"merkf101",3,"willc103",8,"mannl101",7,"ellir104",2,"dealc102",5,"seatt102",1,"marar101",6,"everj102",4,"kellj102",8,"wilhj101",9,"konee101",3,"smitr108",5,"mages101",7,"gowdh101",2,"allef101",1,"","barnj102","","",,,54,,,,000010100,010000000,29,1,0,0,2,1,1,0,2,0,4,0,0,0,0,1,1,1,0,0,27,10,0,1,0,29,0,1,0,1,0,0,0,3,0,6,0,0,0,0,2,1,1,0,0,27,7,0,1,0,,,,,,,,,,,"Tom Seaton","Frank Allen","(none)","dealc102","Charlie Deal","Rollie Zeider","Max Flack","Larry Doyle","Fred Merkle","Cy Williams","Les Mann","Rowdy Elliott","Charlie Deal","Tom Seaton","Rabbit Maranville","Johnny Evers","Joe Kelly","Joe Wilhoit","Ed Konetchy","Red Smith","Sherry Magee","Hank Gowdy","Frank Allen",,
"BSN191705301","19170530",1,"Wednesday",0,"F","D","BRO","BSN","BOS08","coomj101","rudod101","riglc901","ortha101","(none)","(none)","","",0,"Even. Telegram","Cliff Blau","Cliff Blau","2008/01/10 7:44PM","",0,0,0,0,-1,0,0,0,0,9,0,4,5,8,3,1,7,7,"rudod101","coomj101","","","johnj107",8,"daubj101",3,"hickj102",7,"stenc101",9,"cutsg101",4,"mowrm101",5,"olsoi101",6,"millo103",2,"coomj101",1,"twomg101",8,"marar101",6,"wilhj101",9,"mages101",7,"konee101",3,"smitr108",5,"gowdh101",2,"rawlj101",4,"rudod101",1,"","","","",,,51,,,,000000000,00030001x,33,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,1,0,0,24,10,0,1,0,31,2,0,0,3,0,0,0,4,0,3,1,2,0,0,1,0,0,0,0,27,10,0,0,0,,,,,,,,,,,"Dick Rudolph","Jack Coombs","(none)","rawlj101","Johnny Rawlings","Jimmy Johnston","Jake Daubert","Jim Hickman","Casey Stengel","George Cutshaw","Mike Mowrey","Ivy Olson","Otto Miller","Jack Coombs","George Twombly","Rabbit Maranville","Joe Wilhoit","Sherry Magee","Ed Konetchy","Red Smith","Hank Gowdy","Johnny Rawlings","Dick Rudolph",,
