"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"SLN191905040","PIT",1,0,0,0,0,"",0,0,"terrz101","?","terrz101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","","","","S8","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"SLN","PIT","SLN",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","carem101","stenc101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"cruiw101","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",2
"SLN191905040","PIT",1,0,0,0,0,"",0,0,"carem101","?","carem101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","terrz101","","","D8.1-3","F","F",8,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","meadl101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"SLN","PIT","SLN",0,"F","F",0,0,0,1,1,"T","F",1,6,"T","T","stenc101","cutsg101","T","T",6,1,1,0,0,0,0,0,0,"snydf101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"cruiw101","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",3
"SLN191905040","PIT",1,0,0,0,0,"",0,0,"stenc101","?","stenc101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","","carem101","terrz101","FC3.3XH(32);2-3","F","F",9,3,19,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,3,0,"","","","32","F","F","F","F","F","F","F","F","F","","meadl101","meadl101","F","F","F","F","F","","","","",0,2,0,0,3,0,0,0,0,3,"SLN","PIT","SLN",0,"F","F",0,0,0,2,2,"T","F",6,5,"T","T","cutsg101","saiev101","T","T",0,0,0,8,2,2,6,1,1,"","snydf101","snydf101",0,0,0,0,0,0,0,0,0,0,0,0,0,"paulg102","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",4
"SLN191905040","PIT",1,0,1,0,0,"",0,0,"cutsg101","?","cutsg101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","stenc101","","carem101","63.3-H;1-2","F","F",4,4,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,4,"63","","","","F","F","F","F","F","F","F","F","F","meadl101","","meadl101","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,4,"SLN","PIT","SLN",0,"F","F",0,0,0,3,3,"T","F",5,2,"T","T","saiev101","boect101","T","T",9,3,3,0,0,0,8,2,2,"snydf101","","snydf101",0,0,0,0,0,0,0,0,0,0,0,0,1,"hornr101","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",5
"SLN191905040","PIT",1,0,2,0,0,"",1,0,"saiev101","?","saiev101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","","stenc101","","W","F","F",3,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","meadl101","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"SLN","PIT","SLN",0,"F","F",1,0,1,4,4,"T","F",2,3,"T","T","boect101","bigbc101","T","T",0,0,0,9,3,3,0,0,0,"","snydf101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",6
"SLN191905040","PIT",1,0,2,0,0,"",1,0,"boect101","?","boect101","?","meadl101","?","meadl101","?","snydf101","paulg102","milld102","stocm101","hornr101","shotb101","cruiw101","smitj106","saiev101","stenc101","","5(2)/FO","F","F",5,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",1,1,0,0,"","","5","","F","F","F","F","F","F","F","F","F","meadl101","meadl101","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,6,"SLN","PIT","SLN",0,"F","T",1,0,1,5,5,"T","F",3,1,"T","T","bigbc101","schmw102","T","T",3,5,5,9,3,3,0,0,0,"snydf101","snydf101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"stocm101","F","T","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",7
"SLN191905040","PIT",1,1,0,0,0,"",1,0,"shotb101","?","shotb101","?","coopw101","?","coopw101","?","schmw102","saiev101","cutsg101","boect101","terrz101","bigbc101","carem101","stenc101","","","","K","T","F",7,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7,"SLN","SLN","PIT",1,"T","F",0,1,0,0,0,"T","F",0,0,"T","T","smitj106","stocm101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",8
"SLN191905040","PIT",1,1,1,0,0,"",1,0,"smitj106","?","smitj106","?","coopw101","?","coopw101","?","schmw102","saiev101","cutsg101","boect101","terrz101","bigbc101","carem101","stenc101","","","","43","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,8,"SLN","SLN","PIT",1,"F","F",0,1,0,1,1,"T","F",0,0,"T","T","stocm101","hornr101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"cutsg101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",9
"SLN191905040","PIT",1,1,2,0,0,"",1,0,"stocm101","?","stocm101","?","coopw101","?","coopw101","?","schmw102","saiev101","cutsg101","boect101","terrz101","bigbc101","carem101","stenc101","","","","W","F","F",5,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"SLN","SLN","PIT",1,"F","F",0,1,0,2,2,"T","F",0,1,"T","T","hornr101","cruiw101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",10
"SLN191905040","PIT",1,1,2,0,0,"",1,0,"hornr101","?","hornr101","?","coopw101","?","coopw101","?","schmw102","saiev101","cutsg101","boect101","terrz101","bigbc101","carem101","stenc101","stocm101","","","OA.1-2(E2/TH)","F","F",6,4,12,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",1,2,"T",0,"N",0,"N",0,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","coopw101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"SLN","SLN","PIT",1,"F","F",0,1,0,3,3,"T","F",1,2,"T","T","cruiw101","paulg102","T","T",5,3,9,0,0,0,0,0,0,"schmw102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1919SLN.EVN.regular.event.csv",11
