"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"CLE192204120",7,0,"clard101",0,9,11,"oldhr101",1,651922CLE.EVA.regular.sub.csv",2

"CLE192204120",7,1,"olseo101",0,9,1,"clard101",11,661922CLE.EVA.regular.sub.csv",3

"CLE192204120",8,1,"jamic101",1,1,11,"evanj101",7,791922CLE.EVA.regular.sub.csv",4

"CLE192204120",9,0,"jamic101",1,1,7,"jamic101",11,811922CLE.EVA.regular.sub.csv",5

"CLE192204120",9,0,"cobbt101",0,7,11,"rignt101",6,841922CLE.EVA.regular.sub.csv",6

"CLE192204130",3,0,"coves101",1,9,1,"uhleg101",1,231922CLE.EVA.regular.sub.csv",7

"CLE192204130",8,0,"clard101",0,9,11,"ehmkh101",1,731922CLE.EVA.regular.sub.csv",8

"CLE192204130",8,1,"pillh101",0,9,1,"clard101",11,741922CLE.EVA.regular.sub.csv",9

"CLE192204130",8,1,"woodl101",0,8,2,"bassj102",2,741922CLE.EVA.regular.sub.csv",10

"CLE192204150",3,1,"stonl101",0,9,1,"hollc102",1,291922CLE.EVA.regular.sub.csv",11

"CLE192204150",5,1,"manic101",0,8,2,"bassj102",2,501922CLE.EVA.regular.sub.csv",12

"CLE192204150",7,1,"mohaj101",0,6,8,"flagi101",8,691922CLE.EVA.regular.sub.csv",13

"CLE192204180",4,1,"baynb101",0,9,1,"kolpr101",1,361922CLE.EVA.regular.sub.csv",14

"CLE192204180",5,1,"evanj101",1,1,11,"jamic101",7,471922CLE.EVA.regular.sub.csv",15

"CLE192204180",6,0,"evanj101",1,1,7,"evanj101",11,491922CLE.EVA.regular.sub.csv",16

"CLE192204180",7,0,"robeg101",0,7,11,"gerbw101",6,601922CLE.EVA.regular.sub.csv",17

"CLE192204180",7,1,"robeg101",0,7,6,"robeg101",11,621922CLE.EVA.regular.sub.csv",18

"CLE192204180",7,1,"collp101",0,6,2,"seveh101",2,621922CLE.EVA.regular.sub.csv",19

"CLE192204180",8,0,"shorc101",0,9,11,"baynb101",1,691922CLE.EVA.regular.sub.csv",20

"CLE192204180",8,1,"henrd101",0,9,1,"shorc101",11,761922CLE.EVA.regular.sub.csv",21

"CLE192204180",9,0,"bronh101",0,9,11,"henrd101",1,901922CLE.EVA.regular.sub.csv",22

"CLE192204190",8,0,"pottn101",1,9,1,"coves101",1,631922CLE.EVA.regular.sub.csv",23

"CLE192204190",8,1,"granj104",1,9,11,"pottn101",1,741922CLE.EVA.regular.sub.csv",24

"CLE192204190",9,0,"keefd101",1,9,1,"granj104",11,761922CLE.EVA.regular.sub.csv",25

"CLE192204190",9,0,"shing101",1,8,2,"nunal101",2,761922CLE.EVA.regular.sub.csv",26

"CLE192204240",8,1,"granj104",1,9,11,"mailw101",1,761922CLE.EVA.regular.sub.csv",27

"CLE192204240",8,1,"evanj101",1,8,12,"oneis101",2,761922CLE.EVA.regular.sub.csv",28

"CLE192204240",9,0,"mortg101",1,9,1,"granj104",11,791922CLE.EVA.regular.sub.csv",29

"CLE192204240",9,0,"nunal101",1,8,2,"evanj101",12,791922CLE.EVA.regular.sub.csv",30

"CLE192204240",10,1,"guisl101",1,9,11,"mortg101",1,951922CLE.EVA.regular.sub.csv",31

"CLE192204260",8,1,"granj104",1,9,11,"bagbj101",1,741922CLE.EVA.regular.sub.csv",32

