"BRO192504140",7,"Over Burns","FILENAME_TX","LINE_NUMBER_CT"
"BRO192504140",17,"Carlson backed up Williams' throw past Huber, but his throw to catch Stock off 1B sailed over Holke to the stands.","1925BRO.EVN.regular.comment.csv",2
"BRO192504140",18,"Huber first tried to tag Stock, then hurriedly threw high to 1B, pulling Holke off the bag.","1925BRO.EVN.regular.comment.csv",3
"BRO192504140",24,"Startling running catch near the flagpole","1925BRO.EVN.regular.comment.csv",4
"BRO192504140",31,"Mitchell knocked down the drive but threw in time","1925BRO.EVN.regular.comment.csv",5
"BRO192504140",40,"Hit on the arm","1925BRO.EVN.regular.comment.csv",6
"BRO192504140",42,"Spectacular diving catch","1925BRO.EVN.regular.comment.csv",7
"BRO192504140",47,"Hit the YMCA sign in CF","1925BRO.EVN.regular.comment.csv",8
"BRO192504150",5,"Through High's legs","1925BRO.EVN.regular.comment.csv",9
"BRO192504150",6,"A thunderstorm broke out before PHI batted; 20-minute delay. The field became muddy, making handling the ball difficult.","1925BRO.EVN.regular.comment.csv",10
"BRO192504150",9,"Grounder skidded in the mud and went through Sand","1925BRO.EVN.regular.comment.csv",11
"BRO192504150",10,"Past Holke","1925BRO.EVN.regular.comment.csv",12
"BRO192504150",33,"High took throw to 1B but missed bag","1925BRO.EVN.regular.comment.csv",13
"BRO192504150",35,"Bounced over High","1925BRO.EVN.regular.comment.csv",14
"BRO192504150",37,"Sensational running catch","1925BRO.EVN.regular.comment.csv",15
"BRO192504150",41,"Short wild pitch, runner on third held","1925BRO.EVN.regular.comment.csv",16
"BRO192504150",43,"ej,fourj101,P,mclap901,Fighting ej,meyeb103,C,mclap901,Fighting $as Jack Fournier returned to his position, Phillies 1B coach Benny Meyer said something, causing Fournier to rush at Myers; they started fighting and both benches cleared; Fournier and Meyer ejected by HP umpire Peter McLaughlin NL President Heydler was present and witnessed the brawl. Afterwards Fournier said Myers had insulted Dazzy Vance in Tuesday's game, and today directed the insults to him. Game was delayed 10 minutes.","1925BRO.EVN.regular.comment.csv",17
"BRO192504150",51,"Tremendous drive far over RCF wall","1925BRO.EVN.regular.comment.csv",18
"BRO192504150",65,"Past Stock","1925BRO.EVN.regular.comment.csv",19
"BRO192504160",0,"ML debuts for Andy Rush and Dick Cox","1925BRO.EVN.regular.comment.csv",20
"BRO192504160",5,"Over RF wall","1925BRO.EVN.regular.comment.csv",21
"BRO192504160",9,"Missing 1st page of NYEW coverage; 2nd page begins here","1925BRO.EVN.regular.comment.csv",22
"BRO192504160",16,"Too hot for J.Mitchell","1925BRO.EVN.regular.comment.csv",23
"BRO192504160",28,"To the RF exit gate","1925BRO.EVN.regular.comment.csv",24
"BRO192504160",38,"Threw over Johnston.","1925BRO.EVN.regular.comment.csv",25
"BRO192504160",50,"Hit on the left wrist","1925BRO.EVN.regular.comment.csv",26
"BRO192504160",59,"Bounced off Thormahlen's glove","1925BRO.EVN.regular.comment.csv",27
"BRO192504160",80,"Standaert's ML debut","1925BRO.EVN.regular.comment.csv",28
"BRO192504180",0,"In honor of the late Charles Ebbetts both teams and managers lined up around the plate in a crescent for a minute of silence before the game.  The CF flag was at half-mast and all players wore black arm bands.","1925BRO.EVN.regular.comment.csv",29
"BRO192504180",1,"Running catch","1925BRO.EVN.regular.comment.csv",30
"BRO192504180",20,"Diving try by Cox ruled a trap by Ump Klem; arguments ensued","1925BRO.EVN.regular.comment.csv",31
"BRO192504180",21,"Caromed off Petty's left shin","1925BRO.EVN.regular.comment.csv",32
"BRO192504180",22,"Hard slide by Youngs broke up DP possibility; Robins claimed interference.","1925BRO.EVN.regular.comment.csv",33
"BRO192504180",23,"Petty's awkward toss allowed Kelly take 3B","1925BRO.EVN.regular.comment.csv",34
"BRO192504180",24,"Terry wrenched his sore ankle going into 2B and was helped off the field.","1925BRO.EVN.regular.comment.csv",35
"BRO192504180",65,"NYTEM coverage ended here","1925BRO.EVN.regular.comment.csv",36
"BRO192504180",85,"Infield hit","1925BRO.EVN.regular.comment.csv",37
"BRO192504190",10,"Wheat fumbled","1925BRO.EVN.regular.comment.csv",38
"BRO192504190",11,"Over RF wall, just above the sign: 'The hit of Brooklyn'","1925BRO.EVN.regular.comment.csv",39
"BRO192504190",23,"Into the unoccupied LF bleachers","1925BRO.EVN.regular.comment.csv",40
"BRO192504190",29,"Low throw to 1B; Johnston just beat Kelly's throw home","1925BRO.EVN.regular.comment.csv",41
"BRO192504190",66,"Infield hit","1925BRO.EVN.regular.comment.csv",42
"BRO192504260",41,"Grimes was visibly upset","1925BRO.EVN.regular.comment.csv",43
