"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SLN192604130",7,0,"wanep101",0,9,11,"aldrv101",1,58
"SLN192604130",7,1,"sheet102",0,9,1,"wanep101",11,60
"SLN192604130",9,0,"goocj101",0,9,11,"sheet102",1,75
"SLN192604130",9,0,"yde-e101",0,8,12,"smite106",2,75
"SLN192604140",3,0,"bellh101",1,9,1,"hainj101",1,15
"SLN192604140",6,1,"flowj101",1,9,11,"bellh101",1,55
"SLN192604140",7,0,"dyere101",1,9,1,"flowj101",11,57
"SLN192604140",8,0,"mcins101",0,7,11,"grang102",3,68
"SLN192604140",8,0,"reina102",1,9,1,"dyere101",1,73
"SLN192604140",8,1,"mcins101",0,7,3,"mcins101",11,76
"SLN192604160",8,1,"smitj106",1,9,11,"johns101",1,56
"SLN192604160",9,0,"sotha101",1,9,1,"smitj106",11,61
"SLN192604160",9,1,"flowj101",1,8,11,"thevt101",6,67
"SLN192604160",9,1,"topos101",1,7,12,"ofarb101",2,67
"SLN192604160",9,1,"holmw101",1,9,11,"sotha101",1,68
"SLN192604170",9,0,"heatc101",0,6,12,"grimc101",3,70
"SLN192604170",9,0,"tolsc101",0,7,11,"coonj103",6,70
"SLN192604180",3,1,"osbob102",0,9,1,"blaks101",1,38
"SLN192604190",8,0,"kellj101",0,9,11,"rootc101",1,59
"SLN192604190",8,1,"jonep101",0,9,1,"kellj101",11,61
"SLN192604190",11,1,"broom101",0,3,9,"munsj101",9,87
"SLN192604190",14,1,"doutt101",1,9,11,"huntw101",1,111
"SLN192604190",14,1,"flowj101",1,2,11,"muelh102",8,113
"SLN192604200",8,1,"flowj101",1,2,11,"muelh102",8,63
"SLN192604200",9,0,"doutt101",1,2,8,"flowj101",11,66
"SLN192605030",6,0,"lucar102",0,7,11,"emmef101",6,48
"SLN192605030",6,0,"bohns101",0,7,12,"lucar102",11,49
"SLN192605030",6,0,"chric101",0,9,11,"rixee101",1,50
"SLN192605030",6,1,"bohns101",0,7,6,"bohns101",12,54
"SLN192605030",6,1,"maysc101",0,9,1,"chric101",11,54
"SLN192605030",6,1,"topos101",1,9,11,"keenv101",1,56
"SLN192605030",7,0,"hainj101",1,9,1,"topos101",11,59
"SLN192605030",8,1,"flowj101",1,9,11,"hainj101",1,73
"SLN192605030",9,0,"hallb104",1,9,1,"flowj101",11,74
"SLN192605040",3,0,"bellh101",1,9,1,"huntw101",1,18
"SLN192605040",9,0,"chric101",0,7,11,"bohns101",6,71
"SLN192605050",3,0,"sotha101",1,9,1,"johns101",1,20
"SLN192605050",8,1,"holmw101",1,9,11,"sotha101",1,60
"SLN192605050",9,0,"hallb104",1,9,1,"holmw101",11,64
"SLN192605060",2,0,"wittw101",0,9,11,"vancd101",1,15
"SLN192605060",2,1,"mcwed101",0,9,1,"wittw101",11,18
"SLN192605060",2,1,"oneim102",0,8,2,"debeh101",2,18
"SLN192605060",8,0,"jacom102",0,9,11,"mcwed101",1,55
"SLN192605060",8,1,"ehrhr101",0,9,1,"jacom102",11,60
"SLN192605070",5,0,"hainj101",1,9,1,"sherb101",1,37
"SLN192605070",6,0,"vicke101",1,7,2,"ofarb101",2,43
"SLN192605070",8,1,"bladr102",1,9,11,"hainj101",1,60
"SLN192605070",9,0,"dyere101",1,9,1,"bladr102",11,64
"SLN192605080",4,1,"ehrhr101",0,9,1,"barnj102",1,37
"SLN192605080",5,1,"bladr102",1,5,11,"holmw101",7,45
"SLN192605080",6,0,"bladr102",1,5,7,"bladr102",11,52
"SLN192605080",6,0,"debeh101",0,9,11,"ehrhr101",1,56
"SLN192605080",6,1,"mcwed101",0,9,1,"debeh101",11,58
"SLN192605080",8,1,"topos101",1,9,11,"reina102",1,75
