"GAME ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"BRO192804130",34,"$lost in the sun","1928BRO.EVN.regular.comment.csv",2
"BRO192804130",54,"no SH credited","1928BRO.EVN.regular.comment.csv",3
"BRO192804160",0,"Protest=H $Brooklyn protested the game saying that Charlie Robertson used a sticky substance on the ball; HP Umpire Charlie Moran detected nothing on the ball; the protest was denied by NL President John Heydler on 5/5","1928BRO.EVN.regular.comment.csv",4
"BRO192804160",64,"Reconstructed bottom of 8th from NY Times","1928BRO.EVN.regular.comment.csv",5
"BRO192804160",69,"Reconstructed ninth from box score","1928BRO.EVN.regular.comment.csv",6
"BRO192804180",83,"Reconstructed ninth from box score","1928BRO.EVN.regular.comment.csv",7
"BRO192805220",32,"DWS: previous two plays really one, but separated for now","1928BRO.EVN.regular.comment.csv",8
"BRO192805231",66,"ej,freih101,P,quige901,Fair/foul call Howard Freigau ejected by 3B umpire Ernie Quigley","1928BRO.EVN.regular.comment.csv",9
"BRO192805250",11,"$Babe Herman hurt his leg running to 1B last inning","1928BRO.EVN.regular.comment.csv",10
"BRO192805290",62,"$Bounce home run into the bleachers","1928BRO.EVN.regular.comment.csv",11
"BRO192805301",35,"$Hogan twisted his knee when he tripped over the practice pitching rubber backing up first base; carried off field","1928BRO.EVN.regular.comment.csv",12
"BRO192805302",47,"Reconstructed sixth from box score","1928BRO.EVN.regular.comment.csv",13
"BRO192805302",56,"$Game called for rain","1928BRO.EVN.regular.comment.csv",14
"BRO192806030",15,"$Dave Bancroft called for interference for running into his own batted ball","1928BRO.EVN.regular.comment.csv",15
"BRO192806030",80,"$fans threw bottles at the umpire for a no catch call on Pie Traynor's fly; police restored order","1928BRO.EVN.regular.comment.csv",16
"BRO192806080",12,"DWS: Fielding credit on SF invented","1928BRO.EVN.regular.comment.csv",17
"BRO192806110",46,"DWS: previous two plays really one, separated for now","1928BRO.EVN.regular.comment.csv",18
"BRO192806140",27,"$Bounce home run into the bleachers","1928BRO.EVN.regular.comment.csv",19
"BRO192806302",50,"$Lerian batted out of turn, but Dodgers did not object until after he scored when it was too late; Phillies followed correct order for rest of game","1928BRO.EVN.regular.comment.csv",20
"BRO192806302",53,"$Dodgers objected at this point","1928BRO.EVN.regular.comment.csv",21
"BRO192807010",38,"ej,moore102,P,hartb901,Called third strike Eddie Moore ejected by HP Umpire Bob Hart","1928BRO.EVN.regular.comment.csv",22
"BRO192807010",48,"no SH credited","1928BRO.EVN.regular.comment.csv",23
"BRO192807221",33,"$Bounce home run","1928BRO.EVN.regular.comment.csv",24
"BRO192807230",61,"$five consecutive putouts for Lloyd Waner","1928BRO.EVN.regular.comment.csv",25
"BRO192807240",26,"ej,hermb102,P,mages101,Call at 1B Babe Herman ejected by 1B umpire Sherry Magee","1928BRO.EVN.regular.comment.csv",26
"BRO192807250",68,"ej,bancd101,P,mages101,Call at 2B Dave Bancroft ejected by 3B umpire Sherry Magee for continuing to argue the caught stealing in the seventh","1928BRO.EVN.regular.comment.csv",27
"BRO192807260",36,"$Frank Frisch out on appeal for leaving 3B early when apparently he scored on the fly ball","1928BRO.EVN.regular.comment.csv",28
"BRO192807270",14,"$Dave Bancroft dropped the throw at 2B","1928BRO.EVN.regular.comment.csv",29
"BRO192807300",13,"$Jake Flowers called for interference for running into his own batted ball","1928BRO.EVN.regular.comment.csv",30
"BRO192807300",28,"ej,hermb102,P,quige901,Called third strike (Threw cap) Babe Herman ejected by HP umpire Ernie Quigley","1928BRO.EVN.regular.comment.csv",31
"BRO192807300",57,"CC4: bunt assumed","1928BRO.EVN.regular.comment.csv",32
"BRO192808030",16,"$Bounce home run into the bleachers","1928BRO.EVN.regular.comment.csv",33
"BRO192808100",51,"no SB or CS in box","1928BRO.EVN.regular.comment.csv",34
"BRO192808120",63,"Strong wind knocks down Hornsby's apparent homer","1928BRO.EVN.regular.comment.csv",35
"BRO192809240",23,"$Johnny Gooch suffered three broken ribs and a bruised back in a collision with Frank Frisch","1928BRO.EVN.regular.comment.csv",36
"BRO192809260",38,"$blown squeeze; Hank DeBerry made a wild throw 3B","1928BRO.EVN.regular.comment.csv",37
