GAME_ID,EVENT_ID,COMMENT_TX
"BOS193104220",52,"$Babe Ruth collided with Charlie Berry"
"BOS193104220",59,"$Babe Ruth left with severely strained thigh ligament; originally hurt scoring in 6th"
"BOS193104250",96,"$Urbane Pickering scored before Lou Gehrig could tag Muddy Ruel for an inning-ending double play"
"BOS193105022",79,"Home tenth deduced"
"BOS193105280",41,"$Heinie Manush left with upset stomach"
"BOS193105302",13,"all of this a guess"
"BOS193105312",66,"game called for curfew"
"BOS193106080",6,"45 minute rain delay"
"BOS193106080",43,"$Larry Bettencourt rounded 1B too far but got back on the error"
"BOS193107122",58,"Game called for Sunday curfew"
"BOS193107170",64,"$Jack Burns called for interference for running into his own bunt"
"BOS193109150",60,"$Ha; Rhyne did not touch 2B; Billy Sullivan got back to 1B"
"BOS193109220",10,"$Oliver injured on slide"
