"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"PHI193104140","19310414",0,"Tuesday",0,"F","D","NY1","PHI","PHI09","fitzf101","ellih102","riglc901","clarb901","(none)","pfirc901","","",18000,"98","Terry Simpkins","Terry Simpkins","1998/04/03 10:58PM","",0,0,0,0,-1,0,0,0,124,9,9,5,14,9,0,1,8,8,"fitzf101","ellih102","walkb101","","crith101",4,"leacf101",7,"lindf101",9,"terrb101",3,"ott-m101",8,"jackt101",6,"vergj101",5,"hogas101",2,"fitzf101",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"davis101",2,"ellih102",1,"walkb101","wattf101","","",,,54,,,,001100502,003010100,38,0,0,2,9,0,0,0,6,0,6,1,1,2,0,3,5,5,0,0,26,13,0,0,0,36,1,0,2,5,0,0,0,4,0,4,0,0,0,0,3,8,8,0,0,27,12,0,2,0,,,,,,,,,,,"Freddie Fitzsimmons","Hal Elliott","Bill Walker","crith101","Hughie Critz","Hughie Critz","Freddy Leach","Freddy Lindstrom","Bill Terry","Mel Ott","Travis Jackson","Johnny Vergez","Shanty Hogan","Freddie Fitzsimmons","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Spud Davis","Hal Elliott",,,"1931PHI.EVN.regular.game.csv",2
"PHI193104150","19310415",0,"Wednesday",0,"F","D","NY1","PHI","PHI09","schuh103","dudlc101","pfirc901","clarb901","(none)","riglc901","","",7000,"98,589","Terry Simpkins/Smith","Terry Simpkins/Smith","1998/04/08 11:22PM","",0,0,0,0,-1,0,0,0,147,9,7,10,11,13,2,3,10,4,"dudlc101","schuh103","bengr101","","crith101",4,"leacf101",7,"lindf101",9,"terrb101",3,"ott-m101",8,"jackt101",6,"vergj101",5,"ofarb101",2,"schuh103",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"davis101",2,"dudlc101",1,"chapt101","bengr101","","",,,51,,,,100001203,18000100x,37,1,0,1,7,0,0,1,6,0,3,2,1,1,0,5,10,10,0,0,24,9,0,1,0,36,2,1,3,9,0,0,0,2,0,5,0,0,1,0,2,5,5,1,0,27,19,0,1,0,,,,,,,,,,,"Clise Dudley","Hal Schumacher","Ray Benge","hursd101","Don Hurst","Hughie Critz","Freddy Leach","Freddy Lindstrom","Bill Terry","Mel Ott","Travis Jackson","Johnny Vergez","Bob O'Farrell","Hal Schumacher","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Spud Davis","Clise Dudley",,,"1931PHI.EVN.regular.game.csv",3
"PHI193104160","19310416",0,"Thursday",0,"F","D","NY1","PHI","PHI09","mitcc102","ellij103","clarb901","riglc901","(none)","pfirc901","","",8000,"98","Terry Simpkins","Terry Simpkins","1998/04/16 10:16PM","",0,0,0,0,-1,0,0,0,137,9,14,4,20,9,1,4,6,6,"mitcc102","ellij103","","","crith101",4,"allee101",7,"lindf101",9,"terrb101",3,"ott-m101",8,"jackt101",6,"vergj101",5,"hogas101",2,"mitcc102",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"renst101",2,"ellij103",1,"","falle101","","",,,54,,,,000150170,001102000,44,3,1,0,12,0,0,0,3,0,4,1,2,2,0,1,4,4,0,0,27,14,0,0,0,36,4,0,0,4,0,0,0,1,0,2,0,0,0,0,4,12,12,0,0,27,14,0,2,0,,,,,,,,,,,"Clarence Mitchell","Jumbo Elliott","(none)","lindf101","Freddy Lindstrom","Hughie Critz","Ethan Allen","Freddy Lindstrom","Bill Terry","Mel Ott","Travis Jackson","Johnny Vergez","Shanty Hogan","Clarence Mitchell","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Tony Rensa","Jumbo Elliott",,,"1931PHI.EVN.regular.game.csv",4
"PHI193104180","19310418",0,"Saturday",0,"F","D","NY1","PHI","PHI09","walkb101","bengr101","riglc901","pfirc901","(none)","clarb901","","",15000,"98","Terry Simpkins","Terry Simpkins","1998/04/26 11:52AM","",0,0,0,0,-1,0,0,0,137,9,7,1,13,5,0,2,11,8,"walkb101","bengr101","","","crith101",4,"leacf101",7,"lindf101",9,"terrb101",3,"ott-m101",8,"jackt101",6,"vergj101",5,"ofarb101",2,"walkb101",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"renst101",2,"bengr101",1,"","wattf101","","",,,54,,,,000102022,100000000,39,3,0,0,7,0,0,1,5,0,5,1,1,0,0,1,1,1,0,0,27,11,0,0,0,32,2,0,0,1,0,0,0,4,0,5,0,0,0,0,4,5,5,0,0,27,8,0,0,0,,,,,,,,,,,"Bill Walker","Ray Benge","(none)","vergj101","Johnny Vergez","Hughie Critz","Freddy Leach","Freddy Lindstrom","Bill Terry","Mel Ott","Travis Jackson","Johnny Vergez","Bob O'Farrell","Bill Walker","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Tony Rensa","Ray Benge",,,"1931PHI.EVN.regular.game.csv",5
"PHI193104200","19310420",0,"Monday",0,"F","D","BRO","PHI","PHI09","shauj101","dudlc101","clarb901","donnc901","(none)","pfirc901","","",8000,"98","Terry Simpkins","Terry Simpkins","1998/05/04 10:58PM","",0,0,0,0,-1,0,0,0,120,9,10,5,15,11,1,1,9,7,"shauj101","dudlc101","","","fredj101",8,"gilbw101",5,"hermb102",9,"odoul101",7,"finnn101",4,"bissd101",3,"sladg101",6,"lombe101",2,"shauj101",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"renst101",2,"dudlc101",1,"","wattf101","","",,,54,,,,100013311,001120001,41,5,0,0,9,0,0,2,3,0,1,0,0,0,0,1,3,3,0,0,27,15,0,2,0,36,2,0,0,5,0,0,0,3,0,5,0,0,1,0,4,10,10,2,0,27,17,0,0,0,,,,,,,,,,,"Joe Shaute","Clise Dudley","(none)","sladg101","Gordon Slade","Johnny Frederick","Wally Gilbert","Babe Herman","Lefty O'Doul","Neal Finn","Del Bissonette","Gordon Slade","Ernie Lombardi","Joe Shaute","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Tony Rensa","Clise Dudley",,,"1931PHI.EVN.regular.game.csv",6
"PHI193104210","19310421",0,"Tuesday",0,"F","D","BRO","PHI","PHI09","heimf101","ellij103","donnc901","pfirc901","(none)","clarb901","","",5000,"98","Terry Simpkins","Terry Simpkins","1998/05/10 1:06AM","",0,0,0,0,-1,0,0,0,114,9,3,7,9,12,2,1,9,10,"ellij103","heimf101","","","fredj101",8,"gilbw101",5,"hermb102",9,"odoul101",7,"finnn101",4,"bissd101",3,"flowj101",6,"lombe101",2,"heimf101",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"davis101",2,"ellij103",1,"gallp101","","","",,,51,,,,001100001,00400021x,36,1,0,1,3,0,0,0,3,0,5,0,1,0,0,3,5,5,0,0,24,16,0,0,0,37,4,1,1,6,1,0,0,3,0,2,2,0,0,0,1,2,2,0,0,27,9,0,0,0,,,,,,,,,,,"Jumbo Elliott","Fred Heimach","(none)","whitp103","Pinky Whitney","Johnny Frederick","Wally Gilbert","Babe Herman","Lefty O'Doul","Neal Finn","Del Bissonette","Jake Flowers","Ernie Lombardi","Fred Heimach","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Spud Davis","Jumbo Elliott",,,"1931PHI.EVN.regular.game.csv",7
"PHI193104270","19310427",0,"Monday",0,"F","D","BSN","PHI","PHI09","seibs101","bengr101","mcgrt901","morac102","(none)","mageg901","","",2000,"71,163,274,266,115","Rob Wood","Rob Wood","2020/01/08 7:55PM","",1,0,45,0,-1,0,0,0,110,9,2,0,6,4,0,1,11,5,"seibs101","bengr101","","","wilsc101",5,"marar101",6,"richl103",9,"bergw101",8,"sheee101",3,"clare103",7,"spoha101",2,"maguf101",4,"seibs101",1,"fribb101",4,"bartd101",6,"kleic101",8,"whitp103",5,"arleb101",9,"lee-h101",7,"hursd101",3,"davis101",2,"bengr101",1,"","ellij103","","",,,54,,,,002000000,000000000,30,1,0,0,2,2,0,0,8,0,6,0,1,0,0,1,0,0,0,0,14,4,0,1,0,30,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,2,2,0,0,13,2,0,0,0,,,,,,,,,,,"Socks Seibold","Ray Benge","(none)","marar101","Rabbit Maranville","Charlie Wilson","Rabbit Maranville","Lance Richbourg","Wally Berger","Earl Sheely","Earl Clark","Al Spohrer","Freddie Maguire","Socks Seibold","Bernie Friberg","Dick Bartell","Chuck Klein","Pinky Whitney","Buzz Arlett","Hal Lee","Don Hurst","Spud Davis","Ray Benge",,,"1931PHI.EVN.regular.game.csv",8
"PHI193104280","19310428",0,"Tuesday",0,"F","D","BSN","PHI","PHI09","cantb102","ellih102","morac102","mageg901","(none)","mcgrt901","","",2500,"71,163,274,266,115","Rob Wood","Rob Wood","2020/01/09 5:45PM","",1,0,50,0,-1,0,0,0,145,9,8,9,11,16,3,2,7,12,"ellij103","cunnb104","","","wilsc101",5,"marar101",6,"richl103",9,"bergw101",8,"sheee101",3,"clare103",7,"spoha101",2,"maguf101",4,"cantb102",1,"fribb101",4,"bartd101",6,"kleic101",8,"arleb101",9,"hursd101",3,"whitp103",5,"lee-h101",7,"davis101",2,"ellih102",1,"cunnb104","ellij103","","",,,53,,,,132011000,241000101,36,5,0,0,8,1,0,0,5,0,0,2,1,1,0,3,7,7,0,0,12,9,0,1,0,41,6,2,0,7,0,0,0,6,2,0,0,1,1,0,4,6,6,0,0,15,7,0,1,0,,,,,,,,,,,"Jumbo Elliott","Bruce Cunningham","(none)","bartd101","Dick Bartell","Charlie Wilson","Rabbit Maranville","Lance Richbourg","Wally Berger","Earl Sheely","Earl Clark","Al Spohrer","Freddie Maguire","Ben Cantwell","Bernie Friberg","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Pinky Whitney","Hal Lee","Spud Davis","Hal Elliott",,,"1931PHI.EVN.regular.game.csv",9
"PHI193105080","19310508",0,"Friday",0,"F","D","BRO","PHI","PHI09","shauj101","boles101","mcgrt901","mageg901","(none)","morac102","","",2000,"98","Terry Simpkins","Terry Simpkins","1998/10/03 2:38AM","",0,0,0,0,-1,0,0,0,114,9,4,3,4,9,1,0,4,7,"shauj101","boles101","quinj102","","thomf106",4,"odoul101",7,"hermb102",9,"bissd101",3,"wrigg102",6,"fredj101",8,"lombe101",2,"gilbw101",5,"shauj101",1,"fribb101",4,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"whitp103",5,"lee-h101",8,"davis101",2,"boles101",1,"quinj102","falle101","","",,,54,,,,000301000,000002001,27,1,1,0,4,0,0,0,8,0,4,0,2,1,0,2,3,3,0,0,27,11,0,0,0,36,3,0,0,3,0,0,0,1,0,6,0,1,0,0,2,4,4,1,0,27,14,0,2,0,,,,,,,,,,,"Joe Shaute","Stew Bolen","Jack Quinn","fredj101","Johnny Frederick","Fresco Thompson","Lefty O'Doul","Babe Herman","Del Bissonette","Glenn Wright","Johnny Frederick","Ernie Lombardi","Wally Gilbert","Joe Shaute","Bernie Friberg","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Pinky Whitney","Hal Lee","Spud Davis","Stew Bolen",,,"1931PHI.EVN.regular.game.csv",10
"PHI193105091","19310509",1,"Saturday",0,"F","D","BRO","PHI","PHI09","luqud101","ellij103","pfirc901","clarb901","(none)","rearb901","","",0,"98","Terry Simpkins","Terry Simpkins","1998/10/05 11:17PM","",0,0,0,0,-1,0,0,0,101,9,8,3,11,8,0,0,5,6,"luqud101","ellij103","","","fredj101",8,"gilbw101",5,"hermb102",9,"bresr101",7,"bissd101",3,"wrigg102",6,"thomf106",4,"lopea102",2,"luqud101",1,"kostf102",8,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"malll101",5,"fribb101",4,"mccuh101",2,"ellij103",1,"","wattf101","","",,,54,,,,301040000,001001001,36,4,0,1,8,0,0,1,3,0,5,2,1,1,0,1,3,3,0,0,27,10,0,0,0,34,3,1,1,3,0,0,0,2,0,3,0,0,0,0,3,8,8,0,0,27,12,0,1,0,,,,,,,,,,,"Dolf Luque","Jumbo Elliott","(none)","bissd101","Del Bissonette","Johnny Frederick","Wally Gilbert","Babe Herman","Rube Bressler","Del Bissonette","Glenn Wright","Fresco Thompson","Al Lopez","Dolf Luque","Fred Koster","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Les Mallon","Bernie Friberg","Harry McCurdy","Jumbo Elliott",,,"1931PHI.EVN.regular.game.csv",11
"PHI193105092","19310509",2,"Saturday",0,"F","D","BRO","PHI","PHI09","gallp101","bengr101","clarb901","rearb901","(none)","pfirc901","","",18000,"98","Terry Simpkins","Terry SImpkins","1998/10/07 12:04AM","",0,0,0,0,-1,0,0,0,102,9,1,5,6,8,3,0,6,7,"bengr101","gallp101","","","fredj101",8,"gilbw101",5,"hermb102",9,"odoul101",7,"bissd101",3,"wrigg102",6,"thomf106",4,"piciv101",2,"gallp101",1,"kostf102",8,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"malll101",5,"fribb101",4,"davis101",2,"bengr101",1,"heimf101","","","",,,51,,,,010000000,50000000x,31,3,0,1,1,0,0,0,3,0,5,0,0,2,0,3,5,5,0,0,24,8,0,1,0,32,1,0,0,4,0,0,0,4,0,3,1,0,1,0,1,1,1,0,0,27,11,0,2,0,,,,,,,,,,,"Ray Benge","Phil Gallivan","(none)","","(none)","Johnny Frederick","Wally Gilbert","Babe Herman","Lefty O'Doul","Del Bissonette","Glenn Wright","Fresco Thompson","Val Picinich","Phil Gallivan","Fred Koster","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Les Mallon","Bernie Friberg","Spud Davis","Ray Benge",,,"1931PHI.EVN.regular.game.csv",12
"PHI193105110","19310511",0,"Monday",0,"F","D","SLN","PHI","PHI09","hallb104","collp102","rearb901","pfirc901","(none)","clarb901","","",3000,"412","Comly","Comly","2012/10/21 2:22AM","",1,0,0,0,-1,0,0,0,111,9,1,2,7,5,0,1,7,6,"collp102","hallb104","","","adams101",5,"orsae101",7,"frisf101",4,"bottj101",3,"watkg101",9,"gelbc101",6,"martp103",8,"wilsj105",2,"hallb104",1,"kostf102",8,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"malll101",5,"fribb101",4,"davis101",2,"collp102",1,"lindj102","","","",,,51,,,,001000000,00000200x,34,1,1,0,1,0,0,0,1,0,2,1,1,0,0,2,2,2,0,0,24,9,0,0,0,28,1,0,1,2,0,0,0,4,0,4,1,0,0,0,1,1,1,0,0,27,10,0,0,0,,,,,,,,,,,"Phil Collins","Bill Hallahan","(none)","malll101","Les Mallon","Sparky Adams","Ernie Orsatti","Frankie Frisch","Jim Bottomley","George Watkins","Charlie Gelbert","Pepper Martin","Jimmy Wilson","Bill Hallahan","Fred Koster","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Les Mallon","Bernie Friberg","Spud Davis","Phil Collins",,,"1931PHI.EVN.regular.game.csv",13
"PHI193105151","19310515",1,"Friday",0,"F","D","CIN","PHI","PHI09","lucar102","boles101","stard901","klemb901","(none)","scotj104","","",0,"506","Cliff Blau","Cliff Blau","2015/04/12 1:47PM","",1,0,0,0,-1,1,1,1,130,9,10,5,15,10,1,1,6,8,"lucar102","boles101","","","rouse101",8,"roetw101",9,"strij101",5,"hendh101",3,"culln102",7,"cucct101",4,"durol101",6,"asbjc101",2,"lucar102",1,"kostf102",8,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"whitp103",5,"fribb101",4,"mccuh101",2,"boles101",1,"","wattf101","","",,,54,,,,000015031,201000200,38,5,0,1,10,2,0,0,3,0,4,0,1,2,0,1,5,5,0,0,27,9,0,0,0,37,3,0,1,5,1,0,0,2,0,3,0,0,0,0,4,10,10,1,0,27,13,0,2,0,,,,,,,,,,,"Red Lucas","Stew Bolen","(none)","culln102","Nick Cullop","Edd Roush","Wally Roettger","Joe Stripp","Harvey Hendrick","Nick Cullop","Tony Cuccinello","Leo Durocher","Casper Asbjornson","Red Lucas","Fred Koster","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Pinky Whitney","Bernie Friberg","Harry McCurdy","Stew Bolen",,,"1931PHI.EVN.regular.game.csv",14
"PHI193105152","19310515",2,"Friday",0,"F","D","CIN","PHI","PHI09","kolpr101","bengr101","klemb901","scotj104","(none)","stard901","","",5000,"506","Cliff Blau","Cliff Blau","2015/04/12 7:26PM","",1,0,0,0,-1,0,1,1,135,9,7,5,14,10,0,4,11,8,"kolpr101","bengr101","bentl101","","rouse101",8,"roetw101",9,"strij101",5,"hendh101",3,"culln102",7,"cucct101",4,"durol101",6,"styll101",2,"kolpr101",1,"kostf102",8,"bartd101",6,"kleic101",7,"arleb101",9,"hursd101",3,"whitp103",5,"fribb101",4,"davis101",2,"bengr101",1,"bentl101","wattf101","","",,,54,,,,002000410,102000200,42,4,0,0,5,0,0,0,3,0,7,0,0,1,0,2,5,5,2,0,27,8,0,1,0,36,4,0,2,5,0,0,2,2,0,3,2,0,0,0,4,6,6,0,0,27,12,0,1,0,,,,,,,,,,,"Ray Kolp","Ray Benge","Larry Benton","lucar102","Red Lucas","Edd Roush","Wally Roettger","Joe Stripp","Harvey Hendrick","Nick Cullop","Tony Cuccinello","Leo Durocher","Lena Styles","Ray Kolp","Fred Koster","Dick Bartell","Chuck Klein","Buzz Arlett","Don Hurst","Pinky Whitney","Bernie Friberg","Spud Davis","Ray Benge",,,"1931PHI.EVN.regular.game.csv",15
"PHI193105161","19310516",1,"Saturday",0,"F","D","CHN","PHI","PHI09","rootc101","dudlc101","scotj104","stard901","(none)","klemb901","","",0,"111,266","Dick Cramer","Dick Cramer","2019/11/29 11:00AM","",0,0,0,0,-1,0,0,0,127,9,1,5,12,8,1,1,13,9,"dudlc101","rootc101","","","moorj104",8,"englw101",6,"hornr101",4,"wilsh102",7,"cuylk101",9,"grace101",2,"belll101",5,"grimc101",3,"rootc101",1,"bricf101",8,"malll101",4,"kleic101",7,"arleb101",9,"hursd101",3,"whitp103",5,"fribb101",6,"davis101",2,"dudlc101",1,"teacb101","","","",,,51,,,,100000000,30011000x,38,3,0,0,1,0,0,1,2,0,4,0,0,1,0,3,5,5,1,0,9,3,0,0,0,32,3,0,0,5,0,0,1,5,0,5,0,0,0,0,1,1,1,0,0,9,4,0,1,0,,,,,,,,,,,"Clise Dudley","Charlie Root","(none)","hursd101","Don Hurst","Johnny Moore","Woody English","Rogers Hornsby","Hack Wilson","Kiki Cuyler","Earl Grace","Les Bell","Charlie Grimm","Charlie Root","Fred Brickell","Les Mallon","Chuck Klein","Buzz Arlett","Don Hurst","Pinky Whitney","Bernie Friberg","Spud Davis","Clise Dudley",,,"1931PHI.EVN.regular.game.csv",16
