"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"DET193204130","19320413",0,"Wednesday",0,"F","D","CLE","DET","DET04","ferrw101","sorrv101","nalld901","ormsr901","(none)","guthb901","","",12000,"39","D Lamoureaux","D Lamoureaux","2004/08/11 5:47PM","",0,0,0,0,-1,0,0,0,167,11,6,5,11,14,1,5,11,11,"ferrw101","hogsc101","","","portd101",9,"hodaj101",4,"avere101",8,"morge102",3,"vosmj101",7,"kammw101",5,"sewel101",2,"monte101",6,"ferrw101",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rogeb102",6,"lawrb101",8,"richn101",5,"ruelm101",2,"sorrv101",1,"","hogsc101","","",,,66,,,,01002110001,12010010000,44,1,0,0,5,2,0,0,4,0,2,0,0,1,0,1,4,4,0,0,33,16,0,1,0,46,2,1,1,5,0,0,0,3,0,4,0,1,1,0,2,1,1,0,0,33,11,0,1,0,,,,,,,,,,,"Wes Ferrell","Chief Hogsett","(none)","avere101","Earl Averill","Dick Porter","Johnny Hodapp","Earl Averill","Ed Morgan","Joe Vosmik","Willie Kamm","Luke Sewell","Ed Montague","Wes Ferrell","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rogell","Bill Lawrence","Nolen Richardson","Muddy Ruel","Vic Sorrell",,
"DET193204140","19320414",0,"Thursday",0,"F","D","CLE","DET","DET04","hudlw101","wyatw101","ormsr901","guthb901","(none)","nalld901","","",0,"39","D Lamoureaux","D Lamoureaux","2004/08/11 5:54PM","",0,0,0,0,-1,0,0,0,104,9,1,3,4,7,1,1,1,9,"wyatw101","hudlw101","","","portd101",9,"hodaj101",4,"avere101",8,"morge102",3,"vosmj101",7,"kammw101",5,"sewel101",2,"monte101",6,"hudlw101",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rogeb102",6,"lawrb101",8,"richn101",5,"ruelm101",2,"wyatw101",1,"","","","",,,51,,,,000100000,02000100x,28,0,0,0,1,0,0,0,1,0,7,0,0,2,0,1,3,3,0,0,24,13,0,0,0,31,1,0,1,3,1,0,1,3,0,3,1,0,0,0,1,1,1,0,0,27,16,0,2,0,,,,,,,,,,,"Whit Wyatt","Willis Hudlin","(none)","ruelm101","Muddy Ruel","Dick Porter","Johnny Hodapp","Earl Averill","Ed Morgan","Joe Vosmik","Willie Kamm","Luke Sewell","Ed Montague","Willis Hudlin","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rogell","Bill Lawrence","Nolen Richardson","Muddy Ruel","Whit Wyatt",,
"DET193204150","19320415",0,"Friday",0,"F","D","CLE","DET","DET04","browc103","white102","guthb901","nalld901","(none)","ormsr901","","",4500,"39","D Lamoureaux","D Lamoureaux","2004/08/11 6:01PM","",0,0,0,0,-1,0,0,0,111,9,2,3,3,7,0,1,4,5,"white102","browc103","","","seedb101",9,"hodaj101",4,"avere101",8,"morge102",3,"vosmj101",7,"kammw101",5,"sewel101",2,"monte101",6,"browc103",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rogeb102",6,"lawrb101",8,"richn101",5,"ruelm101",2,"white102",1,"","","","",,,53,,,,010100000,000100011,26,1,0,0,2,3,0,0,4,0,2,0,1,1,0,1,3,3,0,0,26,11,0,0,0,32,2,0,0,2,1,0,0,1,1,4,0,0,0,0,1,2,2,0,0,27,17,0,1,0,,,,,,,,,,,"Earl Whitehill","Clint Brown","(none)","","(none)","Bob Seeds","Johnny Hodapp","Earl Averill","Ed Morgan","Joe Vosmik","Willie Kamm","Luke Sewell","Ed Montague","Clint Brown","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rogell","Bill Lawrence","Nolen Richardson","Muddy Ruel","Earl Whitehill",,
"DET193204160","19320416",0,"Saturday",0,"F","D","SLA","DET","DET04","hebew101","uhleg101","nalld901","ormsr901","(none)","guthb901","","",0,"412","Cliff Blau","Cliff Blau","2012/10/01 3:50PM","",0,0,0,0,-1,0,0,0,0,12,2,3,10,10,3,2,10,10,"uhleg101","hebew101","","","schuf101",8,"burnj105",3,"melis101",4,"goslg101",7,"ferrr101",2,"kresr101",5,"jenkt101",9,"levej101",6,"hebew101",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rogeb102",6,"lawrb101",8,"richn101",5,"ruelm101",2,"uhleg101",1,"","","","",,,70,,,,010000000001,000000100002,45,1,0,0,2,2,0,0,1,0,3,1,0,0,0,1,1,1,0,0,34,12,0,0,0,44,2,0,0,3,0,0,0,2,0,2,0,1,0,1,1,2,2,0,0,36,14,0,0,0,,,,,,,,,,,"George Uhle","Wally Hebert","(none)","davih103","Harry Davis","Fred Schulte","Jack Burns","Ski Melillo","Goose Goslin","Rick Ferrell","Red Kress","Tom Jenkins","Jim Levey","Wally Hebert","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rogell","Bill Lawrence","Nolen Richardson","Muddy Ruel","George Uhle",,
"DET193204180","19320418",0,"Monday",0,"F","D","SLA","DET","DET04","grays102","wyatw101","guthb901","nalld901","(none)","ormsr901","","",0,"412","Cliff Blau","Cliff Blau","2012/10/01 7:54PM","",0,0,0,0,-1,0,0,0,0,9,7,14,12,16,6,3,9,8,"wyatw101","grays102","","","schuf101",8,"burnj105",3,"melis101",4,"goslg101",7,"ferrr101",2,"kresr101",5,"jenkt101",9,"levej101",6,"grays102",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rhieb101",5,"rogeb102",6,"walkg101",8,"haywr101",2,"wyatw101",1,"polll101","","","",,,51,,,,002002021,31053011x,40,1,0,0,6,0,0,0,3,0,2,0,0,1,0,3,9,9,0,0,24,10,0,0,0,42,1,2,1,13,1,0,0,3,1,3,1,1,0,0,1,4,4,0,0,27,16,0,1,0,,,,,,,,,,,"Whit Wyatt","Sam Gray","(none)","davih103","Harry Davis","Fred Schulte","Jack Burns","Ski Melillo","Goose Goslin","Rick Ferrell","Red Kress","Tom Jenkins","Jim Levey","Sam Gray","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rhiel","Billy Rogell","Gee Walker","Ray Hayworth","Whit Wyatt",,
"DET193204190","19320419",0,"Tuesday",0,"F","D","SLA","DET","DET04","stewl101","white102","nalld901","ormsr901","(none)","guthb901","","",0,"412","Cliff Blau","Cliff Blau","2012/10/02 1:18PM","",0,0,0,0,-1,0,0,0,0,9,0,8,6,11,1,1,5,3,"white102","stewl101","","","schuf101",8,"burnj105",3,"melis101",4,"goslg101",7,"ferrr101",2,"kresr101",5,"bettl101",9,"levej101",6,"stewl101",1,"johnr102",9,"davih103",3,"stonj102",7,"gehrc101",4,"rhieb101",5,"rogeb102",6,"walkg101",8,"haywr101",2,"white102",1,"polll101","","","",,,51,,,,000000000,50003000x,31,1,0,0,0,0,0,0,1,0,1,0,0,3,0,3,7,7,1,0,23,8,0,1,0,33,2,2,0,7,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,27,13,0,3,0,,,,,,,,,,,"Earl Whitehill","Lefty Stewart","(none)","gehrc101","Charlie Gehringer","Fred Schulte","Jack Burns","Ski Melillo","Goose Goslin","Rick Ferrell","Red Kress","Larry Bettencourt","Jim Levey","Lefty Stewart","Roy Johnson","Harry Davis","John Stone","Charlie Gehringer","Billy Rhiel","Billy Rogell","Gee Walker","Ray Hayworth","Earl Whitehill",,
"DET193205230","19320523",0,"Monday",0,"F","D","SLA","DET","DET04","stewl101","hogsc101","morig101","dinnb101","(none)","(none)","","",0,"412","Cliff Blau","Cliff Blau","2012/10/05 7:51PM","",0,0,0,0,-1,0,1,1,0,9,7,6,13,10,0,2,7,6,"stewl101","hogsc101","kimsc101","","schuf101",8,"burnj105",3,"campb102",9,"goslg101",7,"ferrr101",2,"melis101",4,"grime101",5,"levej101",6,"stewl101",1,"davih103",3,"rogeb102",6,"stonj102",7,"gehrc101",4,"walkg101",8,"johnr102",9,"richn101",5,"haywr101",2,"hogsc101",1,"kimsc101","herra101","","",,,54,,,,010010500,003010020,36,1,1,0,6,0,0,0,5,0,3,0,0,3,0,3,6,6,0,0,27,14,0,1,0,34,3,1,2,6,2,0,0,3,0,2,0,0,1,0,2,6,6,0,0,27,20,0,3,0,,,,,,,,,,,"Lefty Stewart","Chief Hogsett","Chad Kimsey","goslg101","Goose Goslin","Fred Schulte","Jack Burns","Bruce Campbell","Goose Goslin","Rick Ferrell","Ski Melillo","Ed Grimes","Jim Levey","Lefty Stewart","Harry Davis","Billy Rogell","John Stone","Charlie Gehringer","Gee Walker","Roy Johnson","Nolen Richardson","Ray Hayworth","Chief Hogsett",,
"DET193205240","19320524",0,"Tuesday",0,"F","D","SLA","DET","DET04","coffd101","goldi101","dinnb101","morig101","(none)","(none)","","",0,"412","Cliff Blau","Cliff Blau","2012/10/06 8:45AM","",0,0,0,0,-1,0,0,0,0,9,5,6,10,6,1,1,11,4,"goldi101","coffd101","wyatw101","","schuf101",8,"burnj105",3,"campb102",9,"goslg101",7,"ferrr101",2,"melis101",4,"storl101",5,"levej101",6,"coffd101",1,"davih103",3,"rogeb102",6,"stonj102",7,"gehrc101",4,"whitj104",8,"johnr102",9,"richn101",5,"haywr101",2,"goldi101",1,"grays102","wyatw101","","",,,51,,,,110010020,00220020x,37,1,1,1,4,0,0,0,6,0,4,1,0,0,0,2,5,5,0,0,24,12,0,1,0,28,0,0,1,5,1,0,1,4,0,2,1,0,1,0,2,5,5,1,0,27,11,0,0,0,,,,,,,,,,,"Izzy Goldstein","Dick Coffman","Whit Wyatt","johnr102","Roy Johnson","Fred Schulte","Jack Burns","Bruce Campbell","Goose Goslin","Rick Ferrell","Ski Melillo","Lin Storti","Jim Levey","Dick Coffman","Harry Davis","Billy Rogell","John Stone","Charlie Gehringer","Jo-jo White","Roy Johnson","Nolen Richardson","Ray Hayworth","Izzy Goldstein",,
"DET193205260","19320526",0,"Thursday",0,"F","D","CHA","DET","DET04","carap101","bridt101","morig101","dinnb101","(none)","(none)","","",0,"277","Cliff Blau","Cliff Blau","2012/08/11 1:15PM","",0,0,0,0,-1,0,0,0,0,9,2,11,7,12,2,2,10,10,"bridt101","carap101","","","funkl101",8,"selpc101",5,"seedb101",9,"kresr101",6,"bluel101",3,"hodaj101",7,"appll101",4,"grubf101",2,"carap101",1,"davih103",3,"rogeb102",6,"stonj102",7,"gehrc101",4,"walkg101",8,"johnr102",9,"richn101",5,"ruelm101",2,"bridt101",1,"fiebc101","","","",,,51,,,,100000010,02230301x,36,0,0,1,1,0,0,0,3,0,2,2,0,0,0,3,8,8,0,0,24,12,0,0,0,35,2,0,1,9,1,0,0,9,1,1,7,0,0,0,1,2,2,0,0,27,5,0,0,0,,,,,,,,,,,"Tommy Bridges","Pat Caraway","(none)","ruelm101","Muddy Ruel","Liz Funk","Carey Selph","Bob Seeds","Red Kress","Lu Blue","Johnny Hodapp","Luke Appling","Frank Grube","Pat Caraway","Harry Davis","Billy Rogell","John Stone","Charlie Gehringer","Gee Walker","Roy Johnson","Nolen Richardson","Muddy Ruel","Tommy Bridges",,
"DET193205270","19320527",0,"Friday",0,"F","D","CHA","DET","DET04","lyont102","sorrv101","dinnb101","morig101","(none)","(none)","","",0,"277","Cliff Blau","Cliff Blau","2012/08/12 1:21PM","",0,0,0,0,-1,0,0,0,0,9,5,7,11,10,1,2,7,5,"sorrv101","lyont102","hogsc101","","funkl101",8,"selpc101",5,"bluel101",3,"kresr101",6,"fothb101",9,"hodaj101",7,"appll101",4,"grubf101",2,"lyont102",1,"davih103",3,"rogeb102",6,"stonj102",7,"gehrc101",4,"walkg101",8,"johnr102",9,"richn101",5,"haywr101",2,"sorrv101",1,"mckah101","hogsc101","","",,,51,,,,200000021,10033000x,35,4,0,0,4,2,0,0,2,0,2,1,1,1,0,3,5,5,0,0,24,11,0,2,0,33,2,0,0,7,0,0,0,3,1,1,0,0,2,0,2,4,4,0,0,27,14,0,2,0,,,,,,,,,,,"Vic Sorrell","Ted Lyons","Chief Hogsett","sorrv101","Vic Sorrell","Liz Funk","Carey Selph","Lu Blue","Red Kress","Bob Fothergill","Johnny Hodapp","Luke Appling","Frank Grube","Ted Lyons","Harry Davis","Billy Rogell","John Stone","Charlie Gehringer","Gee Walker","Roy Johnson","Nolen Richardson","Ray Hayworth","Vic Sorrell",,
