"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"CHN193604170",5,1,"gillj105",1,9,11,"carlt101",1,39,"1936CHN.EVN.regular.sub.csv",2
"CHN193604170",6,0,"shouc101",1,9,1,"gillj105",11,40,"1936CHN.EVN.regular.sub.csv",3
"CHN193604170",6,0,"englw101",1,8,6,"jurgb101",6,40,"1936CHN.EVN.regular.sub.csv",4
"CHN193604170",6,0,"bryac101",1,9,1,"shouc101",1,47,"1936CHN.EVN.regular.sub.csv",5
"CHN193604170",6,1,"odeak101",1,4,11,"hartg103",2,55,"1936CHN.EVN.regular.sub.csv",6
"CHN193604170",7,0,"odeak101",1,4,2,"odeak101",11,56,"1936CHN.EVN.regular.sub.csv",7
"CHN193604170",7,1,"cavap101",1,6,11,"grimc101",3,62,"1936CHN.EVN.regular.sub.csv",8
"CHN193604170",8,0,"cavap101",1,6,3,"cavap101",11,65,"1936CHN.EVN.regular.sub.csv",9
"CHN193604180",7,0,"chapc101",0,9,11,"stinl101",1,53,"1936CHN.EVN.regular.sub.csv",10
"CHN193604180",7,0,"walkh101",0,2,11,"kampa101",4,55,"1936CHN.EVN.regular.sub.csv",11
"CHN193604180",7,1,"thevt101",0,2,4,"walkh101",11,57,"1936CHN.EVN.regular.sub.csv",12
"CHN193604180",7,1,"nelse101",0,9,1,"chapc101",11,57,"1936CHN.EVN.regular.sub.csv",13
"CHN193604180",8,0,"kowaf101",1,9,1,"warnl101",1,66,"1936CHN.EVN.regular.sub.csv",14
"CHN193604180",9,1,"brend101",0,9,1,"nelse101",1,77,"1936CHN.EVN.regular.sub.csv",15
"CHN193604180",9,1,"odeak101",1,8,11,"jurgb101",6,78,"1936CHN.EVN.regular.sub.csv",16
"CHN193604180",9,1,"gillj105",1,9,11,"kowaf101",1,79,"1936CHN.EVN.regular.sub.csv",17
"CHN193604190",4,1,"hilcw101",0,9,1,"schog101",1,35,"1936CHN.EVN.regular.sub.csv",18
