"SLA193905030",31,"pbp account ends here, rest deduced"FILENAME_TX","LINE_NUMBER_CT"

"WS1193905160",26,"$Krakauskas stepped off first but did not run"1939.EDA.regular.comment.csv",2

"CHA193905110",59,"$Major League debut for Finney"1939.EDA.regular.comment.csv",3

"DET193906110",28,"$30 minute rain delay"1939.EDA.regular.comment.csv",4

"DET193906110",42,"$Tebbetts trapped in rundown but safe back at 2nd when Travis dropped throw"1939.EDA.regular.comment.csv",5

"WS1193907250",63,"$Bloodworth passed Travis and was out"1939.EDA.regular.comment.csv",6

"SLA193907042",39,"$Sullivan left with injury after being hit by pitch"1939.EDA.regular.comment.csv",7

"DET193908130",65,"ej,hanef101,M,rue-j901,Call at 1B $St. Louis manager Haney ejected by HP umpire Rue for arguing that Higgins was out at 1st to complete DP"1939.EDA.regular.comment.csv",8

"SLA193907231",28,"$Peacock evaded tag, all safe"1939.EDA.regular.comment.csv",9

"SLA193907231",29,"$Ball was caught by fan leaning over wall; Browns argued it should have been ruled a double"1939.EDA.regular.comment.csv",10

"SLA193907231",75,"$Hoag tagged out when he turned toward second"1939.EDA.regular.comment.csv",11

"SLA193907232",20,"$Dickman entered with 3-0 count, walk charged to Wade"1939.EDA.regular.comment.csv",12

"SLA193907232",66,"$Whitehead fielded Dickman's grounder with his bare hand and immediately left game with injured hand"1939.EDA.regular.comment.csv",13

"DET193908300",55,"$Hit in right leg"1939.EDA.regular.comment.csv",14

"DET193908310",88,"$Doerr injured wrist batting in 7th inning"1939.EDA.regular.comment.csv",15

"CHA193909032",25,"$Hayes injured leg sliding into second"1939.EDA.regular.comment.csv",16

"BOS193909171",35,"$Vosmik injured in collision with Cramer trying for Bejma's triple"1939.EDA.regular.comment.csv",17

"BOS193909172",23,"$Cramer and Doerr collided and Doerr was slightly injured"1939.EDA.regular.comment.csv",18

"BOS193909172",75,"$Peacock injured sliding into home"1939.EDA.regular.comment.csv",19

"DET193910012",1,"$Newsom has boil on leg and is advised not to pitch, but insists on it (in pain) to win his 20th game and get a bonus"1939.EDA.regular.comment.csv",20

"DET193910012",6,"Don't know when McCosky's two SBs were"1939.EDA.regular.comment.csv",21

"DET193910012",23,"Pytlak rounds third too far and gets caught in rundown"1939.EDA.regular.comment.csv",22

"DET193910012",44,"Game called for darkness but CPD says plenty of light left"1939.EDA.regular.comment.csv",23

"SLA193909261",29,"$Hutchinson injured his pitching hand stopping Laabs' hit"1939.EDA.regular.comment.csv",24

"SLA193909262",62,"$Game called after seven innings due to darkness"1939.EDA.regular.comment.csv",25

"DET193909291",67,"$Rain delay of 31 minutes"1939.EDA.regular.comment.csv",26

