"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"PHI194104150","19410415",0,"Tuesday",0,"F","D","BSN","PHI","PHI11","errid101","blanc101","pineb101","balll901","(none)","barla901","","",10590,"71,163,274,266,119","Dick Cramer","Dick Cramer","2017/06/11 1:30PM","",0,0,0,0,-1,0,0,0,123,9,5,6,4,11,1,1,1,6,"blanc101","errid101","","","sists101",5,"coonj101",8,"roweb101",4,"westm102",7,"mille104",6,"moorg104",9,"dahlb101",3,"berrr101",2,"errid101",1,"bragb101",6,"martj102",8,"benjs101",9,"etten101",3,"litwd101",7,"nageb101",4,"livim101",2,"may-p101",5,"blanc101",1,"tobij103","","","",,,51,,,,000000203,00203010x,31,0,0,2,5,0,0,0,2,0,3,0,0,1,0,2,5,5,0,0,8,4,0,2,0,34,0,1,2,6,0,0,0,2,0,4,0,0,2,0,1,2,2,0,0,9,5,0,1,0,,,,,,,,,,,"Cy Blanton","Dick Errickson","(none)","martj102","Joe Marty","Sibby Sisti","Johnny Cooney","Bama Rowell","Max West","Eddie Miller","Gene Moore","Babe Dahlgren","Ray Berres","Dick Errickson","Bobby Bragan","Joe Marty","Stan Benjamin","Nick Etten","Danny Litwhiler","Bill Nagel","Mickey Livingston","Pinky May","Cy Blanton",,
"PHI194104160","19410416",0,"Wednesday",0,"F","D","BSN","PHI","PHI11","salvm101","peari101","balll901","barla901","(none)","pineb101","","",3516,"266,119,71,163,274","Tom Thress","David W. Smith","2017/06/03 3:57PM","",1,0,0,0,-1,0,0,0,106,9,4,1,6,3,0,1,5,5,"salvm101","peari101","","","sists101",5,"roweb101",4,"moorg104",9,"avere101",8,"westm102",7,"mille104",6,"dahlb101",3,"berrr101",2,"salvm101",1,"bragb101",6,"martj102",8,"benjs101",9,"etten101",3,"litwd101",7,"nageb101",4,"livim101",2,"may-p101",5,"peari101",1,"","brunr101","","",,,54,,,,300000010,000000001,34,0,1,0,4,0,0,1,1,0,5,0,0,0,0,1,1,1,0,0,13,4,0,1,0,29,0,0,0,1,0,0,1,3,0,4,0,0,1,0,2,4,4,1,0,16,5,0,0,0,,,,,,,,,,,"Manny Salvo","Ike Pearson","(none)","moorg104","Gene Moore","Sibby Sisti","Bama Rowell","Gene Moore","Earl Averill","Max West","Eddie Miller","Babe Dahlgren","Ray Berres","Manny Salvo","Bobby Bragan","Joe Marty","Stan Benjamin","Nick Etten","Danny Litwhiler","Bill Nagel","Mickey Livingston","Pinky May","Ike Pearson",,
"PHI194104170","19410417",0,"Thursday",0,"F","D","BSN","PHI","PHI11","sullj102","meltr101","barla901","pineb101","(none)","balll901","","",0,"266,119,71,163,274","Tom Thress","David W. Smith","2017/06/21 4:40PM","",1,0,0,0,-1,0,0,0,139,9,7,5,11,12,1,3,6,9,"ferrw101","beckb104","","","sists101",5,"roweb101",4,"moorg104",9,"avere101",8,"westm102",7,"mille104",6,"dahlb101",3,"masip101",2,"sullj102",1,"bragb101",6,"martj102",8,"benjs101",9,"etten101",3,"litwd101",7,"nageb101",4,"warrb102",2,"may-p101",5,"meltr101",1,"ferrw101","johns103","","",,,54,,,,103000021,000203000,40,2,0,3,6,0,0,0,0,0,4,1,0,0,0,3,5,5,0,0,12,5,1,2,0,37,3,2,0,5,0,0,0,4,0,3,0,0,2,0,3,4,4,1,0,7,0,0,0,0,,,,,,,,,,,"Wes Ferrell","Boom-Boom Beck","(none)","dahlb101","Babe Dahlgren","Sibby Sisti","Bama Rowell","Gene Moore","Earl Averill","Max West","Eddie Miller","Babe Dahlgren","Phil Masi","Joe Sullivan","Bobby Bragan","Joe Marty","Stan Benjamin","Nick Etten","Danny Litwhiler","Bill Nagel","Bennie Warren","Pinky May","Rube Melton",,
"PHI194104250","19410425",0,"Friday",0,"F","D","NY1","PHI","PHI11","schuh103","blanc101","dunnt901","mageg901","(none)","stewb901","","",1000,"270","Dick Cramer","Dick Cramer","2013/10/25 8:55PM","",0,0,0,0,-1,0,0,0,131,9,7,4,9,8,0,0,7,6,"schuh103","blanc101","browj110","","ruckj101",8,"whitb101",4,"dannh101",2,"ott-m101",9,"younb102",3,"moorj103",7,"orenj101",5,"jurgb101",6,"schuh103",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"nageb101",4,"livim101",2,"bragb101",6,"blanc101",1,"browj110","tamuv101","","",,,54,,,,000010015,211000000,34,2,1,0,7,0,0,0,7,0,3,0,0,1,0,2,4,4,0,0,27,9,0,0,0,33,2,0,0,4,2,0,0,2,0,6,0,0,0,0,2,7,7,1,0,27,15,0,1,0,,,,,,,,,,,"Hal Schumacher","Cy Blanton","Jumbo Brown","arnom101","Marty Arnovich","Johnny Rucker","Burgess Whitehead","Harry Danning","Mel Ott","Babe Young","Jo-Jo Moore","Joe Orengo","Billy Jurges","Hal Schumacher","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Bill Nagel","Mickey Livingston","Bobby Bragan","Cy Blanton",,
"PHI194104260","19410426",0,"Saturday",0,"F","D","NY1","PHI","PHI11","gumbh101","johns103","mageg901","stewb901","(none)","dunnt901","","",2265,"99","Dick Cramer","Dick Cramer","2017/06/13 8:40AM","",0,0,0,0,-1,0,0,0,197,11,6,7,16,13,0,2,11,15,"podgj101","meltc101","","","ruckj101",8,"whitb101",4,"dannh101",2,"ott-m101",9,"younb102",3,"moorj103",7,"orenj101",5,"jurgb101",6,"gumbh101",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"livim101",2,"marnh101",4,"bragb101",6,"johns103",1,"meltc101","podgj101","","",,,65,,,,10000010400,00030012001,48,1,0,1,6,1,0,0,1,1,5,0,0,2,0,5,7,7,0,0,27,7,0,0,0,43,1,0,0,7,2,0,0,9,2,5,0,0,0,0,3,5,5,0,0,26,11,0,2,0,,,,,,,,,,,"Johnny Podagjny","Cilff Melton","(none)","podgj101","Johnny Podagjny","Johnny Rucker","Burgess Whitehead","Harry Danning","Mel Ott","Babe Young","Jo-Jo Moore","Joe Orengo","Billy Jurges","Harry Gumbert","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Mickey Livingston","Hal Marnie","Bobby Bragan","Si Johnson",,
"PHI194104290","19410429",0,"Tuesday",0,"F","D","PIT","PHI","PHI11","butcm101","croub103","jordl901","searz901","(none)","barrg901","","",800,"137,140,266,119","Tom Thress","David W. Smith","2017/06/24 10:36PM","",1,0,0,0,-1,0,0,0,141,9,2,6,4,12,3,0,3,13,"croub103","butcm101","","","garmd101",5,"vauga101",6,"flete101",3,"vanrm101",7,"ellib103",9,"dimav101",8,"gustf101",4,"davis101",2,"butcm101",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"livim101",2,"muelh101",4,"bragb101",6,"croub103",1,"lannj101","","","",,,51,,,,200000000,01300110x,29,1,0,0,2,0,0,0,3,0,4,0,0,1,0,3,5,5,0,0,11,4,0,0,0,37,1,0,0,5,0,0,0,6,0,5,0,0,0,0,1,2,2,0,0,9,4,0,1,0,,,,,,,,,,,"Bill Crouch","Max Butcher","(none)","muelh101","Heinie Mueller","Debs Garms","Arky Vaughan","Elbie Fletcher","Maurice Van Robays","Bob Elliott","Vince DiMaggio","Frankie Gustine","Spud Davis","Max Butcher","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Mickey Livingston","Heinie Mueller","Bobby Bragan","Bill Crouch",,
"PHI194105010","19410501",0,"Thursday",0,"F","D","PIT","PHI","PHI11","bauer101","johns103","searz901","jordl901","(none)","barrg901","","",1500,"286","Bob Kapla","Bob Kapla","2013/04/21 4:16PM","",0,0,0,0,-1,0,0,0,129,9,15,2,23,5,1,1,13,4,"bauer101","johns103","","","handl101",5,"marts103",4,"garmd101",7,"vauga101",6,"flete101",3,"stewb101",9,"wanel101",8,"lopea102",2,"bauer101",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"warrb102",2,"muelh101",4,"bragb101",6,"johns103",1,"","brunr101","","",,,54,,,,016410210,000020000,48,5,1,1,15,0,0,0,7,0,2,0,2,1,0,1,2,2,0,0,27,7,0,1,0,31,0,0,0,2,0,0,0,2,0,3,0,0,1,0,3,15,15,0,1,27,14,1,1,0,,,,,,,,,,,"Russ Bauers","Si Johnson","(none)","lopea102","Al Lopez","Lee Handley","Stu Martin","Debs Garms","Arky Vaughan","Elbie Fletcher","Bud Stewart","Lloyd Waner","Al Lopez","Russ Bauers","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Bennie Warren","Heinie Mueller","Bobby Bragan","Si Johnson",,
"PHI194105020","19410502",0,"Friday",0,"F","D","SLN","PHI","PHI11","krish101","podgj101","pineb101","balll901","(none)","barla901","","",1000,"102","Dick Cramer","Dick Cramer","2013/10/29 7:25PM","",0,0,0,0,-1,0,0,0,113,9,4,2,9,5,1,0,6,5,"krish101","podgj101","","","browj107",5,"moort102",8,"padgd101",7,"mizej101",3,"slaue101",9,"mancg101",2,"marim101",6,"cresc101",4,"krish101",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"warrb102",2,"muelh101",4,"bragb101",6,"podgj101",1,"","tamuv101","","",,,54,,,,012000001,000000002,32,0,1,0,4,2,0,1,2,0,1,0,0,1,0,1,2,2,0,0,27,10,0,1,0,32,0,1,0,2,0,0,1,1,0,4,0,0,1,0,3,4,4,0,0,27,19,0,2,0,,,,,,,,,,,"Howie Krist","Johnny Podgajny","(none)","cresc101","Creepy Crespi","Jimmy Brown","Terry Moore","Don Padgett","Johnny Mize","Enos Slaughter","Gus Mancuso","Marty Marion","Creepy Crespi","Howie Krist","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Bennie Warren","Heinie Mueller","Bobby Bragan","Johnny Podgajny",,
"PHI194105030","19410503",0,"Saturday",0,"F","D","SLN","PHI","PHI11","gornh101","croub103","balll901","barla901","(none)","pineb101","","",2000,"102","Dick Cramer","Dick Cramer","2013/10/30 8:25AM","",0,0,0,0,-1,0,0,0,115,9,6,0,12,1,0,1,5,5,"gornh101","croub103","","","browj107",5,"moort102",8,"padgd101",7,"mizej101",3,"slaue101",9,"mancg101",2,"marim101",6,"cresc101",4,"gornh101",1,"may-p101",5,"benjs101",9,"martj102",8,"kleic101",7,"etten101",3,"muelh101",4,"warrb102",2,"bragb101",6,"croub103",1,"","beckb104","","",,,54,,,,000100401,000000000,35,2,0,2,6,1,0,0,2,1,4,0,1,2,0,1,0,0,0,0,27,6,0,1,0,27,0,0,0,0,0,0,0,5,0,5,0,0,1,0,2,6,6,0,0,27,14,0,3,0,,,,,,,,,,,"Hank Gornicki","Bill Crouch","(none)","padgd101","Don Padgett","Jimmy Brown","Terry Moore","Don Padgett","Johnny Mize","Enos Slaughter","Gus Mancuso","Marty Marion","Creepy Crespi","Hank Gornicki","Pinky May","Stan Benjamin","Joe Marty","Chuck Klein","Nick Etten","Heinie Mueller","Bennie Warren","Bobby Bragan","Bill Crouch",,
"PHI194105040","19410504",0,"Sunday",0,"F","D","CIN","PHI","PHI11","thomj102","hught101","stewb901","dunnt901","(none)","mageg901","","",6471,"523","DWV","DWV","2015/02/11 9:29AM","",1,0,0,0,-1,4,1,1,98,9,0,3,3,6,0,2,5,3,"hught101","thomj102","","","freyl101",4,"joose101",6,"goodi101",9,"mccof101",3,"werbb101",5,"westd101",2,"crafh101",8,"mccom101",7,"thomj102",1,"may-p101",5,"benjs101",9,"martj102",8,"litwd101",7,"etten101",3,"muelh101",4,"warrb102",2,"bragb101",6,"hught101",1,"hutcj101","","","",,,51,,,,000000000,01020000x,30,0,0,0,0,0,0,0,2,0,3,0,0,2,0,3,3,3,0,0,24,10,0,2,0,28,2,0,0,2,0,0,0,2,0,2,1,0,2,0,1,0,0,0,0,27,15,0,2,0,,,,,,,,,,,"Tommy Hughes","Junior Thompson","(none)","muelh101","Heinie Mueller","Lonny Frey","Eddie Joost","Ival Goodman","Frank McCormick","Billy Werber","Dick West","Harry Craft","Mike McCormick","Junior Thompson","Pinky May","Stan Benjamin","Joe Marty","Danny Litwhiler","Nick Etten","Heinie Mueller","Bennie Warren","Bobby Bragan","Tommy Hughes",,
