"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"CIN194204140",9,1,"alenc101",1,9,11,"waltb102",1,73,"1942CIN.EVN.regular.sub.csv",2
"CIN194204140",9,1,"koy-e101",1,9,12,"alenc101",11,74,"1942CIN.EVN.regular.sub.csv",3
"CIN194204150",1,0,"starr101",1,9,1,"ridde101",1,8,"1942CIN.EVN.regular.sub.csv",4
"CIN194204150",7,0,"phelb101",0,1,11,"coscp101",6,62,"1942CIN.EVN.regular.sub.csv",5
"CIN194204150",7,1,"andea102",0,1,6,"phelb101",11,63,"1942CIN.EVN.regular.sub.csv",6
"CIN194204150",9,1,"alenc101",1,9,11,"starr101",1,80,"1942CIN.EVN.regular.sub.csv",7
"CIN194204160",3,1,"lannj101",0,9,1,"hamll101",1,31,"1942CIN.EVN.regular.sub.csv",8
"CIN194204160",4,0,"ridde101",1,9,1,"thomj102",1,40,"1942CIN.EVN.regular.sub.csv",9
"CIN194204160",8,1,"alenc101",1,9,11,"ridde101",1,77,"1942CIN.EVN.regular.sub.csv",10
"CIN194204160",9,0,"beggj101",1,9,1,"alenc101",11,80,"1942CIN.EVN.regular.sub.csv",11
"CIN194204160",9,1,"klinb101",0,9,1,"lannj101",1,87,"1942CIN.EVN.regular.sub.csv",12
"CIN194204160",10,0,"phelb101",0,9,11,"klinb101",1,90,"1942CIN.EVN.regular.sub.csv",13
"CIN194204160",10,1,"strin101",0,9,1,"phelb101",11,93,"1942CIN.EVN.regular.sub.csv",14
"CIN194204160",12,0,"leipe101",0,8,12,"lopea102",2,105,"1942CIN.EVN.regular.sub.csv",15
"CIN194204160",12,0,"marts103",0,9,11,"strin101",1,105,"1942CIN.EVN.regular.sub.csv",16
"CIN194204160",12,1,"bakeb101",0,8,2,"leipe101",12,107,"1942CIN.EVN.regular.sub.csv",17
"CIN194204160",12,1,"wilkl101",0,9,1,"marts103",11,107,"1942CIN.EVN.regular.sub.csv",18
"CIN194204160",12,1,"gleej101",1,9,11,"beggj101",1,111,"1942CIN.EVN.regular.sub.csv",19
"CIN194204160",12,1,"butcm101",0,9,1,"wilkl101",1,112,"1942CIN.EVN.regular.sub.csv",20
"CIN194204250",11,0,"ridde101",1,9,1,"derrp101",1,86,"1942CIN.EVN.regular.sub.csv",21
"CIN194204250",11,0,"gilbc101",0,8,11,"hernc101",2,86,"1942CIN.EVN.regular.sub.csv",22
"CIN194204250",11,0,"lowrp101",0,8,12,"gilbc101",11,87,"1942CIN.EVN.regular.sub.csv",23
"CIN194204250",11,1,"scheb101",0,8,2,"lowrp101",12,89,"1942CIN.EVN.regular.sub.csv",24
"CIN194204250",11,1,"gleej101",1,9,11,"ridde101",1,91,"1942CIN.EVN.regular.sub.csv",25
"CIN194204260",6,0,"thomj102",1,9,1,"waltb102",1,45,"1942CIN.EVN.regular.sub.csv",26
"CIN194204260",6,1,"flemb101",0,9,1,"mootj101",1,51,"1942CIN.EVN.regular.sub.csv",27
"CIN194204260",6,1,"prest101",0,9,1,"flemb101",1,55,"1942CIN.EVN.regular.sub.csv",28
"CIN194204260",7,0,"lowrp101",0,9,11,"prest101",1,58,"1942CIN.EVN.regular.sub.csv",29
"CIN194204260",7,1,"eavev101",0,9,1,"lowrp101",11,63,"1942CIN.EVN.regular.sub.csv",30
"CIN194204260",9,0,"russr101",0,8,11,"hernc101",2,75,"1942CIN.EVN.regular.sub.csv",31
"CIN194204260",9,0,"gilbc101",0,9,11,"eavev101",1,76,"1942CIN.EVN.regular.sub.csv",32
"CIN194204260",9,0,"mccuc101",0,9,12,"gilbc101",11,77,"1942CIN.EVN.regular.sub.csv",33
"CIN194204270",6,1,"ericp101",0,9,1,"bithh101",1,54,"1942CIN.EVN.regular.sub.csv",34
"CIN194204270",9,1,"dalld101",0,5,7,"novil101",7,80,"1942CIN.EVN.regular.sub.csv",35
"CIN194204270",11,1,"gleej101",1,9,11,"vandj101",1,94,"1942CIN.EVN.regular.sub.csv",36
"CIN194204280",2,0,"riggl101",0,9,11,"wyatw101",1,15,"1942CIN.EVN.regular.sub.csv",37
"CIN194204280",2,0,"beggj101",1,9,1,"ridde101",1,16,"1942CIN.EVN.regular.sub.csv",38
"CIN194204280",2,1,"caseh101",0,9,1,"riggl101",11,19,"1942CIN.EVN.regular.sub.csv",39
"CIN194204280",9,1,"koy-e101",1,9,11,"beggj101",1,74,"1942CIN.EVN.regular.sub.csv",40
"CIN194204290",8,0,"riggl101",0,9,11,"higbk101",1,56,"1942CIN.EVN.regular.sub.csv",41
"CIN194204290",8,1,"kimbn101",0,9,1,"riggl101",11,58,"1942CIN.EVN.regular.sub.csv",42
"CIN194204290",8,1,"owenm101",0,7,2,"sullb103",2,58,"1942CIN.EVN.regular.sub.csv",43
"CIN194204290",9,1,"mccom101",1,7,12,"secof101",7,67,"1942CIN.EVN.regular.sub.csv",44
"CIN194204290",9,1,"alenc101",1,9,11,"starr101",1,68,"1942CIN.EVN.regular.sub.csv",45
"CIN194204290",10,0,"mccom101",1,7,8,"mccom101",12,69,"1942CIN.EVN.regular.sub.csv",46
"CIN194204290",10,0,"walkg101",1,6,7,"walkg101",8,69,"1942CIN.EVN.regular.sub.csv",47
"CIN194204290",10,0,"waltb102",1,9,1,"alenc101",11,69,"1942CIN.EVN.regular.sub.csv",48
"CIN194204290",10,0,"bordf101",0,9,11,"kimbn101",1,72,"1942CIN.EVN.regular.sub.csv",49
"CIN194204290",10,1,"allej102",0,9,1,"bordf101",11,77,"1942CIN.EVN.regular.sub.csv",50
"CIN194204300",5,0,"thomj102",1,9,1,"derrp101",1,40,"1942CIN.EVN.regular.sub.csv",51
"CIN194204300",5,1,"heade101",0,9,1,"kehnc101",1,47,"1942CIN.EVN.regular.sub.csv",52
"CIN194204300",5,1,"caseh101",0,9,1,"heade101",1,49,"1942CIN.EVN.regular.sub.csv",53
"CIN194204300",5,1,"kimbn101",0,9,1,"caseh101",1,54,"1942CIN.EVN.regular.sub.csv",54
