GAME_ID,EVENT_ID,COMMENT_TX
"NY1194204200",77,"pbp account ends here, rest deduced"
"NY1194204240",30,"Lined at least 12 rows up into lower RF seats"
"NY1194204240",40,"Waner sustained a charley-horse trying to beat it out"
"NY1194204240",55,"Off Miller's glove"
"NY1194204261",46,"Just missed HR near 300' sign"
"NY1194204261",61,"Hit in the back"
"NY1194204261",69,"Off Fernandez's shins"
"NY1194204261",70,"Through Fernandez"
"NY1194204261",73,"Cooney: leaping catch & tag of Miller's high throw"
"NY1194205130",54,"ej,frisf101,M,rearb901,Call at HP $Pirates manager Frankie Frisch ejected by umpire Reardon for  continuing dispute of out call at home plate in the top half of the inning."
"NY1194205130",69,"pbp account ends here, rest deduced"
"NY1194205150",48,"ej,mckeb101,M,dunnt901,Stalling Reds Manager Bill McKechnie ejected by HP umpire Tom Dunn"
"NY1194205160",9,"rain started to fall"
"NY1194205160",47,"4 minute rain delay"
"NY1194205171",67,"$Cooper rounded first too far"
"NY1194205180",84,"pbp account ends here, rest deduced"
"NY1194205190",87,"pap account here, rest deduced"
"NY1194206191",2,"$Mize dropped the ball while tagging Merullo."
"NY1194206192",14,"$no one covered first"
"NY1194206192",26,"pbp account ends here, rest deduced"
"NY1194206240",50,"$the lights were turned on"
"NY1194206300",31,"$The lights were turned on during Danning's at bat."
"NY1194207042",42,"ej,westm102,P,rearb901,Call at 1B $West was ejected in 5th for disputing earlier play at 1b"
"NY1194207210",35,"ej,frisf101,M,balll901,Call at HP Manager Frisch ejected by Ballanfant for abusive talk."
"NY1194207261",9,"ej,ott-m101,P,conlj102,Called third strike Mel Ott ejected by HP umpire Jocko Conlan; fans threw fruits and vegetables onto the field in protest; coach Dolph Luque ran the Giants in the absence of manager Ott"
"NY1194207262",0,"$Mel Ott not eligible to play in this game because he was ejected from the first game of the double header"
"NY1194207262",20,"$squeeze not on but Gee Walker thought it was"
"NY1194207262",73,"$Johnny Mize left with an injured right leg"
"NY1194208012",71,"$off RF pole"
"NY1194208012",75,"PBP account ends here, rest deduced"
"NY1194208021",49,"$single hit off Marion's head; he was stunned, but stayed in game after receiving first aid"
"NY1194208030",73,"$Game called for darkness; partial 9th inning negated; lights were shut off at predetermined time due to wartime dimout restrictions in New York"
"NY1194208040",71,"$Game called for darkness; Pee Wee Reese lost IPHR grand slam in 10th when game reverted to 9th; lights were shut off at predetermined time due to wartime dimout restrictions in New York"
"NY1194208160",68,"$May tried for third during the rundown on Glossop"
"NY1194208160",76,"$Scheduled second game was postponed due to rain"
"NY1194209131",70,"ej,frisf101,M,dunnt901,Call at 2B Pirates Manager Frankie Frisch ejected by 1B umpire Tom Dunn"
"NY1194209140",68,"pbp account ends here, rest deduced"
"NY1194209242",21,"ej,podgj101,P,searz901,Balls and strikes $Johnny Podgajny and Bennie Warren ejected by HP umpire Ziggy Sears for arguing balls and strikes"
"NY1194209251",53,"pbp account ends here, rest deduced"
"NY1194209262",0,"Forfeit=V"
"NY1194209262",67,"$game called, forfeit for visitors as youngsters, allowed in free for scrap drive reward, swarm field"
