"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"CHN194404231","19440423",1,"Sunday",0,"F","D","SLN","CHN","CHI11","lanim101","wyseh101","pineb101","balll901","(none)","boggd901","","",0,"253","D Lamoureaux","D Lamoureaux","2007/05/05 8:58PM","",0,0,0,0,-1,0,0,0,123,9,11,3,18,12,0,1,8,8,"lanim101","wyseh101","","","verbe101",4,"hoppj102",8,"musis101",9,"coopw102",2,"sandr102",3,"kurow101",5,"litwd101",7,"marim101",6,"lanim101",1,"johnd101",4,"cavap101",3,"nichb101",9,"pafka101",8,"ostrj102",7,"yorkt102",5,"schub102",6,"eastr102",2,"wyseh101",1,"","miklh101","","",,,54,,,,103320020,010001100,41,4,0,0,9,1,0,0,4,0,1,1,0,2,0,1,3,3,0,0,27,12,0,2,0,37,3,0,1,3,0,0,0,1,0,6,0,0,2,0,3,9,9,1,0,27,15,0,2,0,,,,,,,,,,,"Max Lanier","Hank Wyse","(none)","","(none)","Emil Verban","Johnny Hopp","Stan Musial","Walker Cooper","Ray Sanders","Whitey Kurowski","Danny Litwhiler","Marty Marion","Max Lanier","Don Johnson","Phil Cavarretta","Bill Nicholson","Andy Pafko","Johnny Ostrowski","Tony York","Bill Schuster","Roy Easterwood","Hank Wyse",,1944CHN.EVN.regular.game.csv",2

"CHN194405030","19440503",0,"Wednesday",0,"F","D","CIN","CHN","CHI11","delat102","derrp101","searz901","conlj102","(none)","(none)","","",2721,"130","D Lamoureaux","D Lamoureaux","2007/11/30 7:04PM","",0,0,0,0,-1,0,0,0,116,9,10,4,17,8,0,3,8,4,"delat102","derrp101","","","clayd101",8,"willw101",4,"crist101",9,"mccof101",3,"tipte101",7,"fausb101",5,"mille104",6,"muelr101",2,"delat102",1,"schub102",6,"hughr101",5,"cavap101",3,"nichb101",9,"sauee101",7,"pafka101",8,"johnd101",4,"holmb101",2,"derrp101",1,"","vandh101","","",,,54,,,,012320020,210100000,42,1,0,1,9,0,0,0,3,0,4,0,1,1,0,1,4,4,0,0,27,15,0,0,0,34,2,0,1,4,0,0,0,1,0,1,0,0,0,0,3,8,8,0,0,27,15,0,1,0,,,,,,,,,,,"Tommy de la Cruz","Paul Derringer","(none)","mille104","Eddie Miller","Dain Clay","Woody Williams","Tony Criscola","Frank McCormick","Eric Tipton","Buck Fausett","Eddie Miller","Ray Mueller","Tommy de la Cruz","Bill Schuster","Roy Hughes","Phil Cavarretta","Bill Nicholson","Eddie Sauer","Andy Pafko","Don Johnson","Billy Holm","Paul Derringer",,1944CHN.EVN.regular.game.csv",3

"CHN194405141","19440514",1,"Sunday",0,"F","D","BRO","CHN","CHI11","ostef101","passc101","mageg901","stewb901","(none)","dunnt901","","",0,"348","Dick Cramer","Dick Cramer","2011/10/05 7:40PM","",0,0,0,0,-1,0,0,0,136,9,4,2,11,12,1,1,7,10,"ostef101","passc101","","","bordf101",5,"walkd101",9,"olmol101",8,"galaa101",7,"schuh101",3,"hartb101",6,"owenm101",2,"ankep101",4,"ostef101",1,"johnd101",4,"cavap101",3,"novil101",7,"nichb101",9,"pafka101",8,"yorkt102",5,"merul101",6,"holmb101",2,"passc101",1,"","ericp101","","",,,54,,,,001021000,110000000,35,3,1,0,4,2,0,0,1,0,4,1,0,1,0,1,2,2,0,0,27,6,0,0,0,38,1,1,0,1,1,0,0,0,0,6,0,0,0,0,3,4,4,0,0,27,11,0,1,0,,,,,,,,,,,"Fritz Ostermueller","Claude Passeau","(none)","walkd101","Dixie Walker","Frenchy Bordagaray","Dixie Walker","Luis Olmo","Augie Galan","Howie Schultz","Bill Hart","Mickey Owen","Pat Ankenman","Fritz Ostermueller","Don Johnson","Phil Cavarretta","Lou Novikoff","Bill Nicholson","Andy Pafko","Tony York","Lennie Merullo","Billy Holm","Claude Passeau",,1944CHN.EVN.regular.game.csv",4

"CHN194405142","19440514",2,"Sunday",0,"F","D","BRO","CHN","CHI11","chipb101","vandh101","dunnt901","mageg901","(none)","stewb901","","",33366,"348","Dick Cramer","Dick Cramer","2011/10/05 9:00PM","",0,0,0,0,-1,0,0,0,177,9,7,8,11,12,1,4,9,10,"hanye101","floww101","","","bordf101",5,"walkd101",9,"olmol101",8,"galaa101",7,"schuh101",3,"hartb101",6,"bragb101",2,"ankep101",4,"chipb101",1,"johnd101",4,"cavap101",3,"novil101",7,"nichb101",9,"pafka101",8,"hughr101",5,"merul101",6,"kreim101",2,"vandh101",1,"webbl102","hanye101","","",,,51,,,,100100050,001000052,38,4,1,0,7,1,0,0,4,1,7,0,0,1,0,4,8,8,1,0,24,12,0,0,0,37,5,0,0,8,0,0,0,5,1,4,0,0,0,0,3,1,1,1,0,27,10,0,1,0,,,,,,,,,,,"Ed Hanyzewski","Wes Flowers","(none)","hughr101","Roy Hughes","Frenchy Bordagaray","Dixie Walker","Luis Olmo","Augie Galan","Howie Schultz","Bill Hart","Bobby Bragan","Pat Ankenman","Bob Chipman","Don Johnson","Phil Cavarretta","Lou Novikoff","Bill Nicholson","Andy Pafko","Roy Hughes","Lennie Merullo","Mickey Kreitner","Hy Vandenberg",,1944CHN.EVN.regular.game.csv",5

"CHN194405150","19440515",0,"Monday",0,"F","D","BRO","CHN","CHI11","gregh102","hanye101","stewb901","mageg901","(none)","dunnt901","","",3081,"348","Dick Cramer","Dick Cramer","2011/10/06 8:00AM","",0,0,0,0,-1,0,0,0,149,9,14,3,17,5,0,2,7,8,"gregh102","hanye101","","","bordf101",5,"walkd101",9,"olmol101",8,"galaa101",7,"schuh101",3,"hartb101",6,"bragb101",2,"ankep101",4,"gregh102",1,"schub102",6,"cavap101",3,"goodi101",7,"nichb101",9,"dalld101",8,"hughr101",5,"johnd101",4,"holmb101",2,"hanye101",1,"","miklh101","","",,,54,,,,110007311,100020000,43,1,1,1,14,1,0,0,4,1,1,0,0,1,0,1,3,3,0,0,27,13,0,1,0,31,2,0,0,3,0,0,0,7,2,4,0,0,1,0,4,11,11,0,0,27,15,1,1,0,,,,,,,,,,,"Hal Gregg","Ed Hanyzewski","(none)","bragb101","Bobby Bragan","Frenchy Bordagaray","Dixie Walker","Luis Olmo","Augie Galan","Howie Schultz","Bill Hart","Bobby Bragan","Pat Ankenman","Hal Gregg","Bill Schuster","Phil Cavarretta","Ival Goodman","Bill Nicholson","Dom Dallessandro","Roy Hughes","Don Johnson","Billy Holm","Ed Hanyzewski",,1944CHN.EVN.regular.game.csv",6
