"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"PIT194404210",9,1,"zak-f101",1,8,12,"lopea102",2,71,"1944PIT.EVN.regular.sub.csv",2
"PIT194404210",9,1,"barrj106",1,9,11,"sewer101",1,71,"1944PIT.EVN.regular.sub.csv",3
"PIT194405020",4,0,"coscp101",1,2,4,"handl101",4,27,"1944PIT.EVN.regular.sub.csv",4
"PIT194405020",8,1,"rubea101",1,8,11,"lopea102",2,64,"1944PIT.EVN.regular.sub.csv",5
"PIT194405020",8,1,"colmf101",1,9,11,"roe-p101",1,65,"1944PIT.EVN.regular.sub.csv",6
"PIT194405020",8,1,"zak-f101",1,9,12,"colmf101",11,66,"1944PIT.EVN.regular.sub.csv",7
"PIT194405020",8,1,"mungr101",0,9,1,"juria101",1,67,"1944PIT.EVN.regular.sub.csv",8
"PIT194405020",9,0,"davis101",1,8,2,"rubea101",11,71,"1944PIT.EVN.regular.sub.csv",9
"PIT194405020",9,0,"cuccc101",1,9,1,"zak-f101",12,71,"1944PIT.EVN.regular.sub.csv",10
"PIT194405030",9,1,"obrit103",1,9,11,"sewer101",1,62,"1944PIT.EVN.regular.sub.csv",11
"PIT194405040",7,0,"garmd101",0,9,11,"coopm101",1,53,"1944PIT.EVN.regular.sub.csv",12
"PIT194405040",7,1,"brech101",0,9,1,"garmd101",11,56,"1944PIT.EVN.regular.sub.csv",13
"PIT194405040",8,1,"wilkt101",0,9,1,"brech101",1,68,"1944PIT.EVN.regular.sub.csv",14
"PIT194405040",9,0,"berga102",0,9,11,"wilkt101",1,72,"1944PIT.EVN.regular.sub.csv",15
"PIT194405100",8,0,"etchb101",0,9,11,"javea101",1,56,"1944PIT.EVN.regular.sub.csv",16
"PIT194405100",8,0,"clemc102",0,9,12,"etchb101",11,57,"1944PIT.EVN.regular.sub.csv",17
"PIT194405100",8,1,"phild104",0,6,5,"gladr101",5,60,"1944PIT.EVN.regular.sub.csv",18
"PIT194405100",8,1,"barrr101",0,9,1,"clemc102",12,60,"1944PIT.EVN.regular.sub.csv",19
"PIT194405100",8,1,"obrit103",1,9,11,"strin101",1,60,"1944PIT.EVN.regular.sub.csv",20
"PIT194405100",8,1,"colmf101",1,2,11,"rubea101",4,62,"1944PIT.EVN.regular.sub.csv",21
"PIT194405100",8,1,"zak-f101",1,2,12,"colmf101",11,63,"1944PIT.EVN.regular.sub.csv",22
"PIT194405100",9,0,"coscp101",1,2,4,"zak-f101",12,66,"1944PIT.EVN.regular.sub.csv",23
"PIT194405100",9,0,"cuccc101",1,9,1,"obrit103",11,66,"1944PIT.EVN.regular.sub.csv",24
"PIT194405100",9,0,"tobij103",0,6,11,"phild104",5,68,"1944PIT.EVN.regular.sub.csv",25
"PIT194405141",9,0,"hausg101",0,5,12,"lombe101",2,66,"1944PIT.EVN.regular.sub.csv",26
"PIT194405141",9,1,"mancg101",0,5,2,"hausg101",12,68,"1944PIT.EVN.regular.sub.csv",27
"PIT194405141",9,1,"meadc101",0,6,7,"reyen101",7,68,"1944PIT.EVN.regular.sub.csv",28
"PIT194405141",9,1,"colmf101",1,8,11,"cameh101",2,69,"1944PIT.EVN.regular.sub.csv",29
"PIT194405141",10,0,"lopea102",1,8,2,"colmf101",11,71,"1944PIT.EVN.regular.sub.csv",30
"PIT194405142",5,1,"feldh101",0,9,1,"pylee101",1,39,"1944PIT.EVN.regular.sub.csv",31
"PIT194405142",6,0,"meadc101",0,9,11,"feldh101",1,44,"1944PIT.EVN.regular.sub.csv",32
"PIT194405142",6,1,"sewaf101",0,9,1,"meadc101",11,47,"1944PIT.EVN.regular.sub.csv",33
"PIT194405142",8,0,"ott-m101",0,9,11,"sewaf101",1,63,"1944PIT.EVN.regular.sub.csv",34
"PIT194405142",8,0,"hausg101",0,9,12,"ott-m101",11,64,"1944PIT.EVN.regular.sub.csv",35
"PIT194405142",8,1,"bronk101",0,9,1,"hausg101",12,67,"1944PIT.EVN.regular.sub.csv",36
"PIT194405142",9,0,"lombe101",0,9,11,"bronk101",1,76,"1944PIT.EVN.regular.sub.csv",37
"PIT194405150",2,0,"cuccc101",1,9,1,"butcm101",1,15,"1944PIT.EVN.regular.sub.csv",38
"PIT194405150",2,1,"adama101",0,9,1,"fiscr101",1,23,"1944PIT.EVN.regular.sub.csv",39
"PIT194405150",7,1,"obrit103",1,8,11,"cameh101",2,67,"1944PIT.EVN.regular.sub.csv",40
"PIT194405150",7,1,"rubea101",1,9,11,"cuccc101",1,68,"1944PIT.EVN.regular.sub.csv",41
"PIT194405150",8,0,"lopea102",1,8,2,"obrit103",11,70,"1944PIT.EVN.regular.sub.csv",42
"PIT194405150",8,0,"rescx101",1,9,1,"rubea101",11,70,"1944PIT.EVN.regular.sub.csv",43
"PIT194405150",8,1,"polll101",0,9,1,"adama101",1,78,"1944PIT.EVN.regular.sub.csv",44
"PIT194405150",8,1,"colmf101",1,8,11,"lopea102",2,80,"1944PIT.EVN.regular.sub.csv",45
"PIT194405150",9,0,"davis101",1,8,2,"colmf101",11,81,"1944PIT.EVN.regular.sub.csv",46
"PIT194405150",9,1,"sewer101",1,9,11,"rescx101",1,86,"1944PIT.EVN.regular.sub.csv",47
"PIT194405150",9,1,"zak-f101",1,2,12,"coscp101",4,89,"1944PIT.EVN.regular.sub.csv",48
"PIT194405170",6,1,"gregh102",0,9,1,"mclic101",1,55,"1944PIT.EVN.regular.sub.csv",49
"PIT194405170",6,1,"colmf101",1,9,11,"roe-p101",1,56,"1944PIT.EVN.regular.sub.csv",50
"PIT194405170",6,1,"obrit103",1,2,11,"coscp101",4,58,"1944PIT.EVN.regular.sub.csv",51
"PIT194405180",8,1,"rubea101",1,8,11,"cameh101",2,58,"1944PIT.EVN.regular.sub.csv",52
"PIT194405180",8,1,"obrit103",1,9,11,"rescx101",1,59,"1944PIT.EVN.regular.sub.csv",53
"PIT194405180",8,1,"colmf101",1,2,11,"coscp101",4,61,"1944PIT.EVN.regular.sub.csv",54
"PIT194405180",9,0,"butcm101",1,2,1,"colmf101",11,62,"1944PIT.EVN.regular.sub.csv",55
"PIT194405180",9,0,"rubea101",1,8,4,"rubea101",11,62,"1944PIT.EVN.regular.sub.csv",56
"PIT194405180",9,0,"davis101",1,9,2,"obrit103",11,62,"1944PIT.EVN.regular.sub.csv",57
"PIT194405180",9,1,"zak-f101",1,5,12,"gustf101",6,69,"1944PIT.EVN.regular.sub.csv",58
"PIT194405180",9,1,"lohrb101",0,9,1,"meltr101",1,71,"1944PIT.EVN.regular.sub.csv",59
"PIT194405190",7,0,"rubea101",1,2,4,"coscp101",4,55,"1944PIT.EVN.regular.sub.csv",60
"PIT194405190",7,1,"zak-f101",1,8,12,"cameh101",2,60,"1944PIT.EVN.regular.sub.csv",61
"PIT194405190",7,1,"ostef101",0,9,1,"webbl102",1,62,"1944PIT.EVN.regular.sub.csv",62
"PIT194405190",7,1,"lohrb101",0,9,1,"ostef101",1,67,"1944PIT.EVN.regular.sub.csv",63
"PIT194405190",8,0,"davis101",1,8,2,"zak-f101",12,70,"1944PIT.EVN.regular.sub.csv",64
"PIT194405190",9,0,"ellib103",1,4,6,"ellib103",5,79,"1944PIT.EVN.regular.sub.csv",65
"PIT194405190",9,0,"obrit103",1,5,5,"gustf101",6,79,"1944PIT.EVN.regular.sub.csv",66
"PIT194405190",9,0,"warrt101",0,9,11,"lohrb101",1,80,"1944PIT.EVN.regular.sub.csv",67
"PIT194406070",8,1,"lohrb101",0,9,1,"delat102",1,71,"1944PIT.EVN.regular.sub.csv",68
"PIT194406070",9,0,"rescx101",1,9,1,"sewer101",1,72,"1944PIT.EVN.regular.sub.csv",69
"PIT194406080",2,0,"cuccc101",1,9,1,"roe-p101",1,14,"1944PIT.EVN.regular.sub.csv",70
"PIT194406080",5,1,"vandh101",0,9,1,"wyseh101",1,48,"1944PIT.EVN.regular.sub.csv",71
"PIT194406080",5,1,"coscp101",1,7,12,"davis101",2,51,"1944PIT.EVN.regular.sub.csv",72
"PIT194406080",5,1,"colmf101",1,8,11,"zak-f101",6,51,"1944PIT.EVN.regular.sub.csv",73
"PIT194406080",5,1,"obrit103",1,9,11,"cuccc101",1,52,"1944PIT.EVN.regular.sub.csv",74
"PIT194406080",6,0,"butcm101",1,9,1,"obrit103",11,53,"1944PIT.EVN.regular.sub.csv",75
