"CHN194604300",32,"$Hank Borowy left with blister on right middle finger","FILENAME_TX","LINE_NUMBER_CT"
"CHN194604300",61,"$Stan Hack thought Pee Wee Reese caught the ball so he slid back into 2B","1946CHN.EVN.regular.comment.csv",2
"CHN194604300",63,"previous two plays really one play","1946CHN.EVN.regular.comment.csv",3
"CHN194605020",67,"$Billy Herman limped off","1946CHN.EVN.regular.comment.csv",4
"CHN194605040",3,"$Don Johnson injured his finger catching the throw","1946CHN.EVN.regular.comment.csv",5
"CHN194605040",23,"$Don Johnson left with injured finger","1946CHN.EVN.regular.comment.csv",6
"CHN194605080",50,"pbp account ends here, rest deduced","1946CHN.EVN.regular.comment.csv",7
"CHN194605090",14,"Diving catch by Rowell as Pafko had gone past third","1946CHN.EVN.regular.comment.csv",8
"CHN194605090",37,"Great running catch by Pafko","1946CHN.EVN.regular.comment.csv",9
"CHN194605090",43,"Hopp's throw to second hit Lowery and went into center field","1946CHN.EVN.regular.comment.csv",10
"CHN194605090",57,"Wallace slipped fielding the bunt, threw late to second","1946CHN.EVN.regular.comment.csv",11
"CHN194605090",79,"Waitkus trapped bunt pop, threw late to second Waitkus throw to second is late","1946CHN.EVN.regular.comment.csv",12
"CHN194605090",97,"Squeeze but Fernandez does not bunt. McCullough throws to Lowrey who has ball stick in his glove and does not throw H","1946CHN.EVN.regular.comment.csv",13
"CHN194605090",102,"pbp account ends here, rest deduced","1946CHN.EVN.regular.comment.csv",14
"CHN194605120",0,"Weather: cold wind blowing in from Lake Michigan","1946CHN.EVN.regular.comment.csv",15
"CHN194605120",44,"Wind-aided double","1946CHN.EVN.regular.comment.csv",16
"CHN194605280",58,"$Terry Moore made a sliding catch and was injured","1946CHN.EVN.regular.comment.csv",17
"CHN194606040",32,"$Bob Carpenter left with a torn ligament in his elbow","1946CHN.EVN.regular.comment.csv",18
"CHN194606050",67,"DWS: pbp ends here, rest deduced","1946CHN.EVN.regular.comment.csv",19
"CHN194606060",3,"ej,jonnb101,C,dunnt901,Call at 1B $New York 1B coach Jonnard ejected by 1B umpire Dunn for arguing play at 1st","1946CHN.EVN.regular.comment.csv",20
"CHN194606060",22,"$Buddy Kerr lost the infield fly in the sun","1946CHN.EVN.regular.comment.csv",21
"CHN194606060",71,"DWS: pbp ends here, rest deduced","1946CHN.EVN.regular.comment.csv",22
"CHN194606060",106,"$Kerr's throw trying for the DP went into the Giant dugout","1946CHN.EVN.regular.comment.csv",23
"CHN194607031",66,"Single off Gerheauser's glove, Cox gets Waitkus rounding 3rd","1946CHN.EVN.regular.comment.csv",24
"CHN194607032",32,"pbp account ends here, rest deduced","1946CHN.EVN.regular.comment.csv",25
"CHN194607070",12,"$onto Sheffield Avenue","1946CHN.EVN.regular.comment.csv",26
"CHN194607140",85,"$Hank Borowy left with a blister on his index finger","1946CHN.EVN.regular.comment.csv",27
"CHN194607160",47,"McCullough's foul tip splits Cooper's right middle finger","1946CHN.EVN.regular.comment.csv",28
"CHN194607180",39,"$McCullough out on appeal for leaving third too soon","1946CHN.EVN.regular.comment.csv",29
"CHN194607180",63,"$Could have been a double, but Lee sat on first base","1946CHN.EVN.regular.comment.csv",30
"CHN194607190",12,"$A light drizzle began to fall","1946CHN.EVN.regular.comment.csv",31
"CHN194607211",67,"Rickert dropped it after nearly colliding with Pafko","1946CHN.EVN.regular.comment.csv",32
"CHN194607212",33,"Pafko goes towards third, but Waitkus is still there. Waitkus finally runs towards plate and scores when Hughes's throw is wild.","1946CHN.EVN.regular.comment.csv",33
"CHN194607212",43,"CS may have been with Hemsley batting","1946CHN.EVN.regular.comment.csv",34
"CHN194608120",14,"$Claude Passeau injured fielding the slow roller","1946CHN.EVN.regular.comment.csv",35
"CHN194608130",58,"$Clyde McCullough suffered broken right little finger when struck by foul ball","1946CHN.EVN.regular.comment.csv",36
"CHN194608140",25,"ej,cavap101,P,conlj102,Called third strike Phil Cavarretta ejected by HP umpire Jocko Conlan","1946CHN.EVN.regular.comment.csv",37
"CHN194608151",74,"$400 feet","1946CHN.EVN.regular.comment.csv",38
