"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"SLN194610060","19461006",0,"Sunday",0,"F","D","BOS","SLN","STL07","hught102","pollh101","balll901","hubbc901","barla901","berrc103","","",36218,"Cohen/Neft","John Booth","John Booth","1994/06/12 8:05AM","",0,0,0,0,-1,0,0,0,159,10,3,2,9,7,2,0,10,8,"johne105","pollh101","","","mcbrt101",9,"peskj101",6,"dimad101",8,"willt103",7,"yorkr101",3,"doerb101",4,"higgm101",5,"wagnh102",2,"hught102",1,"schor101",4,"moort102",8,"musis101",3,"slaue101",9,"kurow101",5,"garaj101",2,"walkh102",7,"marim101",6,"pollh101",1,"johne105","","","",,,60,,,,0100000011,0000010100,38,0,0,1,3,0,0,1,4,0,3,0,0,0,0,2,2,2,0,0,30,12,0,0,0,35,2,1,0,2,2,0,1,2,1,6,1,0,0,0,1,3,3,0,0,30,13,0,0,0,,,,,,,,,,,"Earl Johnson","Howie Pollet","(none)","yorkr101","Rudy York","Tom McBride","Johnny Pesky","Dom DiMaggio","Ted Williams","Rudy York","Bobby Doerr","Mike Higgins","Hal Wagner","Tex Hughson","Red Schoendienst","Terry Moore","Stan Musial","Enos Slaughter","Whitey Kurowski","Joe Garagiola","Harry Walker","Marty Marion","Howie Pollet",,1946WS.EVE.post.game.csv",2

"SLN194610070","19461007",0,"Monday",0,"F","D","BOS","SLN","STL07","harrm101","brech101","hubbc901","barla901","berrc103","balll901","","",35815,"Cohen/Neft","John Booth","John Booth","1994/06/12 8:13AM","",0,0,0,0,-1,0,0,0,116,9,0,3,4,6,1,0,6,7,"brech101","harrm101","","","mcbrt101",9,"peskj101",6,"dimad101",8,"willt103",7,"yorkr101",3,"doerb101",4,"higgm101",5,"partr101",2,"harrm101",1,"schor101",4,"moort102",8,"musis101",3,"kurow101",5,"slaue101",9,"dusae101",7,"marim101",6,"riced101",2,"brech101",1,"dobsj101","","","",,,51,,,,000000000,00102000x,30,0,0,0,0,0,0,0,3,1,4,0,0,1,0,2,1,1,0,0,24,11,0,0,0,30,2,0,0,3,1,0,0,3,1,3,0,0,0,0,1,0,0,0,0,27,10,0,1,0,,,,,,,,,,,"Harry Brecheen","Mickey Harris","(none)","brech101","Harry Brecheen","Tom McBride","Johnny Pesky","Dom DiMaggio","Ted Williams","Rudy York","Bobby Doerr","Mike Higgins","Roy Partee","Mickey Harris","Red Schoendienst","Terry Moore","Stan Musial","Whitey Kurowski","Enos Slaughter","Erv Dusak","Marty Marion","Del Rice","Harry Brecheen",,1946WS.EVE.post.game.csv",3

"BOS194610090","19461009",0,"Wednesday",0,"F","D","SLN","BOS","BOS07","dickm101","ferrd101","barla901","berrc103","balll901","hubbc901","","",34500,"Cohen/Neft","John Booth","John Booth","1994/06/12 8:20AM","",0,0,0,0,-1,0,0,0,114,9,0,4,6,8,1,0,4,8,"ferrd101","dickm101","","","schor101",4,"moort102",8,"musis101",3,"slaue101",9,"kurow101",5,"garaj101",2,"walkh102",7,"marim101",6,"dickm101",1,"mosew101",9,"peskj101",6,"dimad101",8,"willt103",7,"yorkr101",3,"doerb101",4,"higgm101",5,"wagnh102",2,"ferrd101",1,"wilkt101","","","",,,51,,,,000000000,30000001x,30,1,1,0,0,0,0,0,1,0,2,1,0,1,0,2,3,3,0,0,24,10,1,0,0,32,2,0,1,3,1,0,0,3,1,4,0,0,0,0,1,0,0,0,0,27,15,0,2,0,,,,,,,,,,,"Dave Ferriss","Murry Dickson","(none)","yorkr101","Rudy York","Red Schoendienst","Terry Moore","Stan Musial","Enos Slaughter","Whitey Kurowski","Joe Garagiola","Harry Walker","Marty Marion","Murry Dickson","Wally Moses","Johnny Pesky","Dom DiMaggio","Ted Williams","Rudy York","Bobby Doerr","Mike Higgins","Hal Wagner","Dave Ferriss",,1946WS.EVE.post.game.csv",4

"BOS194610100","19461010",0,"Thursday",0,"F","D","SLN","BOS","BOS07","mungr101","hught102","berrc103","balll901","hubbc901","barla901","","",35645,"Cohen/Neft","John Booth","John Booth","1994/06/12 7:38PM","",0,0,0,0,-1,0,0,0,151,9,12,3,20,9,1,4,10,8,"mungr101","hught102","","","schor101",4,"moort102",8,"musis101",3,"slaue101",9,"kurow101",5,"garaj101",2,"walkh102",7,"marim101",6,"mungr101",1,"mosew101",9,"peskj101",6,"dimad101",8,"willt103",7,"yorkr101",3,"doerb101",4,"higgm101",5,"wagnh102",2,"hught102",1,"","dreic101","","",,,54,,,,033010104,000100020,41,6,0,1,11,4,0,0,4,2,3,0,1,1,0,1,1,1,0,0,27,8,0,2,0,35,1,0,1,3,0,0,0,3,0,2,0,0,0,0,6,9,9,0,0,27,14,0,2,0,,,,,,,,,,,"Red Munger","Tex Hughson","(none)","slaue101","Enos Slaughter","Red Schoendienst","Terry Moore","Stan Musial","Enos Slaughter","Whitey Kurowski","Joe Garagiola","Harry Walker","Marty Marion","Red Munger","Wally Moses","Johnny Pesky","Dom DiMaggio","Ted Williams","Rudy York","Bobby Doerr","Mike Higgins","Hal Wagner","Tex Hughson",,1946WS.EVE.post.game.csv",5

"BOS194610110","19461011",0,"Friday",0,"F","D","SLN","BOS","BOS07","pollh101","dobsj101","balll901","hubbc901","barla901","berrc103","","",35982,"Cohen/Neft","John Booth","John Booth","1994/06/13 2:44AM","",0,0,0,0,-1,0,0,0,143,9,3,6,4,11,1,3,5,11,"dobsj101","braza101","","","schor101",4,"moort102",8,"musis101",3,"slaue101",9,"kurow101",5,"garaj101",2,"walkh102",7,"marim101",6,"pollh101",1,"guttd101",4,"peskj101",6,"dimad101",8,"willt103",7,"yorkr101",3,"higgm101",5,"culbl101",9,"partr101",2,"dobsj101",1,"beazj101","","","",,,51,,,,010000002,11000130x,33,2,0,0,3,0,0,1,1,0,8,1,1,0,0,3,5,5,1,0,24,12,0,1,0,33,2,0,1,5,2,0,0,6,4,5,2,1,1,0,1,0,0,0,0,27,8,0,1,0,,,,,,,,,,,"Joe Dobson","Al Brazle","(none)","guttd101","Don Gutteridge","Red Schoendienst","Terry Moore","Stan Musial","Enos Slaughter","Whitey Kurowski","Joe Garagiola","Harry Walker","Marty Marion","Howie Pollet","Don Gutteridge","Johnny Pesky","Dom DiMaggio","Ted Williams","Rudy York","Mike Higgins","Leon Culberson","Roy Partee","Joe Dobson",,1946WS.EVE.post.game.csv",6
