"DET194704210",5,"$Ralph Hodgin was hit on the head and knocked out"FILENAME_TX","LINE_NUMBER_CT"

"DET194704230",65,"pbp account ends here rest deduced"1947DET.EVA.regular.comment.csv",2

"DET194704250",64,"Stephens, trying to dodge a pitch, tapped to Cullenbine whose throw to the plate was too late to catch Dillenger."1947DET.EVA.regular.comment.csv",3

"DET194704290",14,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",4

"DET194704290",73,"$There was an overthrow to allow the second run to score, but no error was charged and the batter was credited with two RBI"1947DET.EVA.regular.comment.csv",5

"DET194704300",14,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",6

"DET194704300",26,"$Cullenbine and Webb collided on the popup, allowing  Williams to score and DiMaggio to take second"1947DET.EVA.regular.comment.csv",7

"DET194705040",53,"game called for rain"1947DET.EVA.regular.comment.csv",8

"DET194705060",21,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",9

"DET194705060",75,"$This contradicts a picture in the Free Press"1947DET.EVA.regular.comment.csv",10

"DET194705230",48,"end of pbp account, rest deduced"1947DET.EVA.regular.comment.csv",11

"DET194705240",34,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",12

"DET194705240",77,"$Throw to 3rd went to stands and Appling did not notice Trout coming over to cover the base"1947DET.EVA.regular.comment.csv",13

"DET194706030",21,"Wakefield fumbled"1947DET.EVA.regular.comment.csv",14

"DET194706030",52,"Henrich: leaping backhanded catch"1947DET.EVA.regular.comment.csv",15

"DET194706050",19,"$light rain began to fall"1947DET.EVA.regular.comment.csv",16

"DET194706050",24,"pbp account ends here, rest deduced $rain squall delayed game for 7 minutes"1947DET.EVA.regular.comment.csv",17

"DET194706050",27,"ej,hutcf101,P,berrc103,Fighting ej,houkr101,P,berrc103,Fighting $Johnson crashed into Wagner to score, but thought he had missed plate, so he went back to tag and gave a football block to Wagner; the dugouts emptied and several fights broke out with Hutchinson of the Tigers and Houk of the Yankees ejected"1947DET.EVA.regular.comment.csv",18

"DET194706050",39,"$Keller pulled a back muscle while scoring and left game"1947DET.EVA.regular.comment.csv",19

"DET194706270",76,"$game called due to darkness"1947DET.EVA.regular.comment.csv",20

"DET194706280",11,"Lehner made a thrilling running catch."1947DET.EVA.regular.comment.csv",21

"DET194706280",18,"ej,oneis101,M,summb901,Balls and strikes $Detroit manager O'Neill ejected by 1B umpire Rue for arguing foul tip off bat of Kramer that was ruled not a clean catch by catcher Wagner"1947DET.EVA.regular.comment.csv",22

"DET194706280",41,"$rough collision at plate almost led to fight; great picture in Detroit Free Press"1947DET.EVA.regular.comment.csv",23

"DET194706291",62,"$Hoot Evers struck above the left ear by the pitch; taken to the hospital for treatment"1947DET.EVA.regular.comment.csv",24

"DET194707100",67,"$Game called for darkness"1947DET.EVA.regular.comment.csv",25

"DET194707112",19,"Off Kell's glove"1947DET.EVA.regular.comment.csv",26

"DET194707112",20,"Mullin: leaping backhanded stab at the wall"1947DET.EVA.regular.comment.csv",27

"DET194707112",26,"$Doerr rounded 1B on wide throw, but Wagner backed it up and got him tring to get back."1947DET.EVA.regular.comment.csv",28

"DET194707112",45,"Off Jones' glove"1947DET.EVA.regular.comment.csv",29

"DET194707112",47,"Attempted double steal"1947DET.EVA.regular.comment.csv",30

"DET194707112",48,"Evers: nifty catch"1947DET.EVA.regular.comment.csv",31

"DET194707112",50,"Evers: another nifty catch"1947DET.EVA.regular.comment.csv",32

"DET194707112",52,"Hit RF upper deck railing"1947DET.EVA.regular.comment.csv",33

"DET194707180",23,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",34

"DET194707190",0,"$Dizzy Trout: 95 pitches; Allie Reynolds: 118 pitches"1947DET.EVA.regular.comment.csv",35

"DET194708050",35,"ej,metkg101,P,mckib901,Bench jockeying $Metkovich of the Indians ejected by 1B umpire McKinley for arguing ball 4 call"1947DET.EVA.regular.comment.csv",36

"DET194708080",41,"$Bob Kennedy headed for 3B but Don Kolloway held at 3B; Bob Swift ran and tagged out Kennedy"1947DET.EVA.regular.comment.csv",37

"DET194708200",44,"Tremendous homer onto RF roof"1947DET.EVA.regular.comment.csv",38

"DET194708200",95,"Brown: fine catch"1947DET.EVA.regular.comment.csv",39

"DET194708200",114,"Johnson: great play"1947DET.EVA.regular.comment.csv",40

"DET194709011",2,"$Don Kolloway rounded 2B too far"1947DET.EVA.regular.comment.csv",41

"DET194709011",65,"$Dave Philley called for interference for running into his own batted ball"1947DET.EVA.regular.comment.csv",42

"DET194709040",30,"$busted squeeze play leading to two rundowns pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",43

"DET194709060",40,"pbp account ends here, rest deduced"1947DET.EVA.regular.comment.csv",44

"DET194709202",78,"$game called for darkness"1947DET.EVA.regular.comment.csv",45

