"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"BRO194804230",5,1,"rackm101",1,9,11,"hattj101",1,44,"1948BRO.EVN.regular.sub.csv",2
"BRO194804230",6,0,"kingc101",1,9,1,"rackm101",11,47,"1948BRO.EVN.regular.sub.csv",3
"BRO194804230",6,0,"mikse101",1,1,4,"robij103",4,47,"1948BRO.EVN.regular.sub.csv",4
"BRO194804230",7,1,"jorgs101",1,8,11,"hodgg101",2,59,"1948BRO.EVN.regular.sub.csv",5
"BRO194804230",7,1,"snidd101",1,9,11,"kingc101",1,60,"1948BRO.EVN.regular.sub.csv",6
"BRO194804230",8,0,"hallj106",1,9,1,"snidd101",11,63,"1948BRO.EVN.regular.sub.csv",7
"BRO194804230",8,0,"campr102",1,8,2,"jorgs101",11,63,"1948BRO.EVN.regular.sub.csv",8
"BRO194804230",9,1,"hermg101",1,9,11,"hallj106",1,77,"1948BRO.EVN.regular.sub.csv",9
"BRO194804240",2,1,"juddo101",0,9,1,"dubim101",1,20,"1948BRO.EVN.regular.sub.csv",10
"BRO194804240",2,1,"furic101",1,4,11,"snidd101",8,21,"1948BRO.EVN.regular.sub.csv",11
"BRO194804240",3,0,"furic101",1,4,8,"furic101",11,22,"1948BRO.EVN.regular.sub.csv",12
"BRO194804240",3,0,"sloal101",1,9,1,"barnr103",1,26,"1948BRO.EVN.regular.sub.csv",13
"BRO194804240",3,0,"palie101",1,9,1,"sloal101",1,30,"1948BRO.EVN.regular.sub.csv",14
"BRO194804240",5,1,"grasl101",0,9,1,"juddo101",1,55,"1948BRO.EVN.regular.sub.csv",15
"BRO194804240",6,1,"cabap101",0,2,4,"verbe101",4,65,"1948BRO.EVN.regular.sub.csv",16
"BRO194804240",6,1,"lakea101",0,8,2,"semia101",2,65,"1948BRO.EVN.regular.sub.csv",17
"BRO194804240",7,0,"bragb101",1,6,2,"edwab101",2,68,"1948BRO.EVN.regular.sub.csv",18
"BRO194804240",9,0,"mikse101",1,5,6,"reesp101",6,82,"1948BRO.EVN.regular.sub.csv",19
"BRO194804240",9,0,"blatj101",0,9,11,"grasl101",1,83,"1948BRO.EVN.regular.sub.csv",20
"BRO194804250",5,0,"ramsw101",1,9,1,"branr103",1,43,"1948BRO.EVN.regular.sub.csv",21
"BRO194804250",5,1,"hermg101",1,9,11,"ramsw101",1,48,"1948BRO.EVN.regular.sub.csv",22
"BRO194804250",5,1,"jorgs101",1,1,11,"maucg101",4,49,"1948BRO.EVN.regular.sub.csv",23
"BRO194804250",6,0,"roe-p101",1,9,1,"hermg101",11,52,"1948BRO.EVN.regular.sub.csv",24
