"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"BRO194904190","19490419",0,"Tuesday",0,"F","D","NY1","BRO","NYC15","jansl101","hattj101","pineb101","gorea901","robbs901","dascf901","","",34530,"27","","Alan Boodman","1994/11/16 7:23PM","",1,1,0,0,-1,0,0,0,191,9,3,10,10,11,1,0,8,7,"hattj101","jansl101","","","rignb101",4,"lockw101",7,"gords101",5,"mizej101",3,"thomb105",8,"marsw101",9,"coopw102",2,"kerrb101",6,"jansl101",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"hattj101",1,"behrh101","","","",,,51,,,,100200000,01040140x,33,1,0,1,3,1,0,0,4,0,2,0,0,2,0,2,8,8,2,0,24,8,0,0,0,36,0,1,3,6,0,0,0,5,0,5,2,0,0,0,1,3,3,0,0,27,16,0,2,0,,,,,,,,,,,"Joe Hatten","Larry Jansen","(none)","campr102","Roy Campanella","Bill Rigney","Whitey Lockman","Sid Gordon","Johnny Mize","Bobby Thomson","Willard Marshall","Walker Cooper","Buddy Kerr","Larry Jansen","Cal Abrams","Peewee Reese","Duke Snider","Jackie Robinson","Carl Furillo","Billy Cox","Gil Hodges","Roy Campanella","Joe Hatten",,
"BRO194904200","19490420",0,"Wednesday",0,"F","D","NY1","BRO","NYC15","jones103","branr103","gorea901","robbs901","dascf901","pineb101","","",21864,"27","","Alan Boodman","1994/11/17 8:40AM","",1,1,0,0,-1,0,0,0,145,9,2,6,4,4,4,2,5,7,"branr103","jones103","","","rignb101",4,"lockw101",7,"gords101",5,"mizej101",3,"thomb105",8,"marsw101",9,"coopw102",2,"kerrb101",6,"jones103",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"branr103",1,"webbr101","","","",,,51,,,,100001000,01121010x,30,1,0,1,2,0,0,0,4,0,6,0,0,1,0,3,2,2,2,0,24,8,0,2,0,29,3,0,0,5,1,0,0,7,0,2,2,0,2,0,1,2,2,0,0,27,7,0,1,0,,,,,,,,,,,"Ralph Branca","Sheldon Jones","(none)","robij103","Jackie Robinson","Bill Rigney","Whitey Lockman","Sid Gordon","Johnny Mize","Bobby Thomson","Willard Marshall","Walker Cooper","Buddy Kerr","Sheldon Jones","Cal Abrams","Peewee Reese","Duke Snider","Jackie Robinson","Carl Furillo","Billy Cox","Gil Hodges","Roy Campanella","Ralph Branca",,
"BRO194904210","19490421",0,"Thursday",0,"F","D","NY1","BRO","NYC15","hartc102","roe-p101","robbs901","dascf901","pineb101","gorea901","","",22436,"27","","Alan Boodman","1994/11/17 9:49AM","",1,1,0,0,-1,0,0,0,127,9,4,1,7,4,1,2,5,5,"hartc102","roe-p101","","","rhawr101",4,"lockw101",7,"gords101",9,"mizej101",3,"thomb105",8,"lohrj101",5,"livim101",2,"kerrb101",6,"hartc102",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"roe-p101",1,"","bantj101","","",,,54,,,,000002200,100000000,34,0,0,2,4,1,0,0,1,0,2,0,0,0,0,1,1,1,0,0,27,17,0,1,0,30,0,0,0,1,0,0,0,3,0,6,0,0,1,0,2,3,3,0,0,27,7,0,0,0,,,,,,,,,,,"Clint Hartung","Preacher Roe","(none)","gords101","Sid Gordon","Rocky Rhawn","Whitey Lockman","Sid Gordon","Johnny Mize","Bobby Thomson","Jack Lohrke","Mickey Livingston","Buddy Kerr","Clint Hartung","Cal Abrams","Peewee Reese","Duke Snider","Jackie Robinson","Carl Furillo","Billy Cox","Gil Hodges","Roy Campanella","Preacher Roe",,
"BRO194904250","19490425",0,"Monday",0,"F","D","BSN","BRO","NYC15","voisb101","martm101","conlj102","warnl101","(none)","stewb901","","",10048,"27","","Alan Boodman","1994/11/17 12:49PM","",1,1,0,0,-1,0,0,0,125,9,3,0,6,6,1,3,6,8,"voisb101","martm101","","","stane101",4,"darka101",6,"torge101",3,"ellib103",5,"russj102",8,"conac101",7,"holmt101",9,"masip101",2,"voisb101",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"martm101",1,"","mcglp101","","",,,54,,,,002010000,000000000,32,1,0,1,3,0,0,0,4,0,2,0,1,1,0,1,0,0,0,0,27,9,0,0,0,34,2,0,0,0,0,0,0,1,0,5,0,0,0,0,3,3,3,0,0,27,10,0,1,0,,,,,,,,,,,"Bill Voiselle","Morrie Martin","(none)","russj102","Jim Russell","Eddie Stanky","Al Dark","Earl Torgeson","Bob Elliott","Jim Russell","Clint Conatser","Tommy Holmes","Phil Masi","Bill Voiselle","Cal Abrams","Peewee Reese","Duke Snider","Jackie Robinson","Carl Furillo","Billy Cox","Gil Hodges","Roy Campanella","Morrie Martin",,
"BRO194904260","19490426",0,"Tuesday",0,"F","D","BSN","BRO","NYC15","sainj101","roe-p101","warnl101","stewb901","(none)","conlj102","","",10019,"27","","Alan Boodman","1994/11/17 2:44PM","",1,1,0,0,-1,0,0,0,104,9,2,5,7,9,1,0,3,5,"roe-p101","sainj101","","","stane101",4,"darka101",6,"torge101",3,"ellib103",5,"russj102",8,"conac101",7,"holmt101",9,"masip101",2,"sainj101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"roe-p101",1,"","","","",,,51,,,,100000001,10021010x,31,0,0,2,2,0,0,0,1,0,2,0,0,1,0,1,3,3,0,0,24,11,0,0,0,33,1,1,2,3,1,0,0,0,0,1,0,0,0,0,1,2,2,0,0,27,11,0,1,1,,,,,,,,,,,"Preacher Roe","Johnny Sain","(none)","","(none)","Eddie Stanky","Al Dark","Earl Torgeson","Bob Elliott","Jim Russell","Clint Conatser","Tommy Holmes","Phil Masi","Johnny Sain","Peewee Reese","Gene Hermanski","Duke Snider","Jackie Robinson","Carl Furillo","Billy Cox","Gil Hodges","Roy Campanella","Preacher Roe",,
"BRO194904290","19490429",0,"Friday",0,"F","D","PHI","BRO","NYC15","heink101","hattj101","warnl101","stewb901","(none)","conlj102","","",8090,"27","","Alan Boodman","1994/11/17 6:34PM","",1,1,0,0,-1,0,0,0,135,9,5,2,5,8,0,1,5,7,"heink101","hattj101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"blatj101",9,"jonew101",5,"mille104",4,"semia101",2,"heink101",1,"reesp101",6,"mccom101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"hattj101",1,"","podbb101","","",,,54,,,,302000000,000100001,30,0,0,1,4,0,0,0,7,0,6,0,1,1,0,1,2,2,0,0,27,9,0,2,0,33,1,0,2,2,0,0,0,3,0,3,0,0,2,0,4,3,3,0,0,27,9,0,1,0,,,,,,,,,,,"Ken Heintzelman","Joe Hatten","(none)","jonew101","Willie Jones","Richie Ashburn","Granny Hamner","Eddie Waitkus","Del Ennis","Johnny Blatnik","Willie Jones","Eddie Miller","Andy Seminick","Ken Heintzelman","Peewee Reese","Mike McCormick","Duke Snider","Jackie Robinson","Roy Campanella","Billy Cox","Gil Hodges","Carl Furillo","Joe Hatten",,
"BRO194904300","19490430",0,"Saturday",0,"F","D","PHI","BRO","NYC15","boroh101","bantj101","stewb901","conlj102","(none)","warnl101","","",19572,"27","","Alan Boodman","1994/11/17 6:57PM","",1,1,0,0,-1,0,0,0,159,9,12,4,8,10,1,0,3,7,"boroh101","bantj101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"nichb101",9,"jonew101",5,"mille104",4,"semia101",2,"boroh101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"bantj101",1,"","podbb101","","",,,54,,,,000624000,101000002,33,0,1,2,12,1,0,1,7,0,6,0,0,0,0,1,4,4,0,0,27,12,0,2,0,34,1,1,2,4,0,0,0,4,0,0,1,1,1,0,5,12,12,0,0,27,7,0,1,0,,,,,,,,,,,"Hank Borowy","Jack Banta","(none)","semia101","Andy Seminick","Richie Ashburn","Granny Hamner","Eddie Waitkus","Del Ennis","Bill Nicholson","Willie Jones","Eddie Miller","Andy Seminick","Hank Borowy","Peewee Reese","Gene Hermanski","Duke Snider","Jackie Robinson","Roy Campanella","Billy Cox","Gil Hodges","Carl Furillo","Jack Banta",,
"BRO194905010","19490501",0,"Sunday",0,"F","D","PHI","BRO","NYC15","meyer101","roe-p101","conlj102","warnl101","(none)","stewb901","","",20507,"27","","Alan Boodman","1994/11/17 8:11PM","",1,1,0,0,-1,0,0,0,137,9,4,2,10,8,0,0,6,6,"meyer101","roe-p101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"holls101",9,"jonew101",5,"mille104",4,"semia101",2,"meyer101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"roe-p101",1,"","bantj101","","",,,54,,,,200110000,000002000,35,3,0,2,4,1,0,0,1,0,7,0,0,1,0,1,2,2,0,0,27,9,0,1,0,34,3,0,1,2,0,0,0,1,0,4,1,0,1,0,3,4,4,0,0,27,11,0,1,0,,,,,,,,,,,"Russ Meyer","Preacher Roe","(none)","waite101","Eddie Waitkus","Richie Ashburn","Granny Hamner","Eddie Waitkus","Del Ennis","Stan Hollmig","Willie Jones","Eddie Miller","Andy Seminick","Russ Meyer","Peewee Reese","Gene Hermanski","Duke Snider","Jackie Robinson","Roy Campanella","Billy Cox","Gil Hodges","Carl Furillo","Preacher Roe",,
"BRO194905030","19490503",0,"Tuesday",0,"F","D","CIN","BRO","NYC15","raffk101","branr103","barla901","barrg901","(none)","balll901","","",6883,"27","","Alan Boodman","1994/11/18 8:33AM","",1,1,0,0,-1,0,0,0,140,9,0,3,6,12,0,1,12,10,"branr103","raffk101","","","hattg101",5,"wyroj101",9,"merrl102",8,"litwd101",7,"klust101",3,"blooj101",4,"stalv101",6,"muelr101",2,"raffk101",1,"reesp101",6,"mccom101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"branr103",1,"eraue101","","","",,,51,,,,000000000,20000010x,32,1,0,0,0,1,0,0,6,0,7,0,0,0,0,2,3,3,1,0,24,10,0,1,0,33,0,0,1,3,2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,27,7,0,0,0,,,,,,,,,,,"Ralph Branca","Ken Raffensberger","(none)","campr102","Roy Campanella","Grady Hatton","Johnny Wyrostek","Lloyd Merriman","Danny Litwhiler","Ted Kluszewski","Jimmy Bloodworth","Virgil Stallcup","Ray Mueller","Ken Raffensberger","Peewee Reese","Mike McCormick","Duke Snider","Jackie Robinson","Roy Campanella","Billy Cox","Gil Hodges","Carl Furillo","Ralph Branca",,
"BRO194905040","19490504",0,"Wednesday",0,"F","D","CIN","BRO","NYC15","fox-h101","hattj101","barrg901","balll901","(none)","barla901","","",9229,"27","","Alan Boodman","1994/11/18 8:50AM","",1,1,0,0,-1,0,0,0,110,9,1,5,7,10,0,0,7,6,"hattj101","fox-h101","","","hattg101",5,"wyroj101",8,"litwd101",9,"saueh101",7,"blooj101",4,"stalv101",6,"klust101",3,"howed102",2,"fox-h101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"hattj101",1,"fanof101","","","",,,51,,,,000100000,00020300x,33,2,0,0,1,0,0,0,2,0,0,0,0,1,0,3,5,5,0,0,24,11,0,1,0,32,2,0,1,5,0,0,0,3,0,5,1,1,1,0,1,1,1,0,0,27,12,0,1,0,,,,,,,,,,,"Joe Hatten","Howie Fox","(none)","cox-b101","Billy Cox","Grady Hatton","Johnny Wyrostek","Danny Litwhiler","Hank Sauer","Jimmy Bloodworth","Virgil Stallcup","Ted Kluszewski","Dixie Howell","Howie Fox","Peewee Reese","Gene Hermanski","Duke Snider","Jackie Robinson","Roy Campanella","Billy Cox","Gil Hodges","Carl Furillo","Joe Hatten",,
