"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"CHN194904190",9,0,"cassj101",0,3,12,"walkd101",9,611949CHN.EVN.regular.sub.csv",2

"CHN194904190",9,0,"fleml101",0,7,11,"bocke101",5,641949CHN.EVN.regular.sub.csv",3

"CHN194904190",9,1,"beart101",0,3,9,"cassj101",12,661949CHN.EVN.regular.sub.csv",4

"CHN194904190",9,1,"basgm101",0,7,5,"fleml101",11,661949CHN.EVN.regular.sub.csv",5

"CHN194904190",9,1,"scheh103",1,5,12,"scheb101",2,671949CHN.EVN.regular.sub.csv",6

"CHN194904190",9,1,"burgs101",1,8,11,"verbe101",4,691949CHN.EVN.regular.sub.csv",7

"CHN194904210",7,1,"walkr101",1,9,11,"dubim101",1,571949CHN.EVN.regular.sub.csv",8

"CHN194904210",8,0,"kushe101",1,9,1,"walkr101",11,601949CHN.EVN.regular.sub.csv",9

"CHN194904210",9,0,"fleml101",0,9,11,"muncb101",1,701949CHN.EVN.regular.sub.csv",10

"CHN194904270",4,1,"liveb101",0,9,1,"vandj101",1,391949CHN.EVN.regular.sub.csv",11

"CHN194904270",4,1,"burgs101",1,9,11,"leond103",1,401949CHN.EVN.regular.sub.csv",12

"CHN194904270",5,0,"kushe101",1,9,1,"burgs101",11,471949CHN.EVN.regular.sub.csv",13

"CHN194904270",5,0,"baumf101",0,9,11,"liveb101",1,511949CHN.EVN.regular.sub.csv",14

"CHN194904270",5,1,"baumf101",0,9,9,"baumf101",11,521949CHN.EVN.regular.sub.csv",15

"CHN194904270",5,1,"eraue101",0,1,1,"merrl102",8,521949CHN.EVN.regular.sub.csv",16

"CHN194904270",5,1,"wyroj101",0,2,8,"wyroj101",9,521949CHN.EVN.regular.sub.csv",17

"CHN194904270",6,0,"adamb103",0,1,11,"eraue101",1,561949CHN.EVN.regular.sub.csv",18

"CHN194904270",6,1,"burkk101",0,1,1,"adamb103",11,611949CHN.EVN.regular.sub.csv",19

"CHN194904270",8,0,"kresc101",0,1,11,"burkk101",1,731949CHN.EVN.regular.sub.csv",20

"CHN194904270",8,1,"cresw101",0,1,1,"kresc101",11,771949CHN.EVN.regular.sub.csv",21

"CHN194904280",8,1,"jeffh101",1,9,11,"dubim101",1,551949CHN.EVN.regular.sub.csv",22

"CHN194904280",9,0,"sloal101",1,9,1,"jeffh101",11,591949CHN.EVN.regular.sub.csv",23

"CHN194904280",9,1,"kresc101",0,5,3,"klust101",3,641949CHN.EVN.regular.sub.csv",24

"CHN194904290",5,1,"wilkt101",0,9,1,"mungr101",1,421949CHN.EVN.regular.sub.csv",25

"CHN194904290",7,0,"dierc101",0,8,12,"riced101",2,521949CHN.EVN.regular.sub.csv",26

"CHN194904290",7,0,"kurow101",0,9,11,"wilkt101",1,521949CHN.EVN.regular.sub.csv",27

"CHN194904290",7,1,"garaj101",0,8,2,"dierc101",12,571949CHN.EVN.regular.sub.csv",28

"CHN194904290",7,1,"johnk101",0,9,1,"kurow101",11,571949CHN.EVN.regular.sub.csv",29

"CHN194904290",9,1,"maddc101",1,9,11,"schmj101",1,741949CHN.EVN.regular.sub.csv",30

"CHN194904290",9,1,"aberc101",1,1,11,"walkh102",9,751949CHN.EVN.regular.sub.csv",31

"CHN194904290",10,0,"novor101",1,1,2,"aberc101",11,761949CHN.EVN.regular.sub.csv",32

"CHN194904290",10,0,"jeffh101",1,6,9,"scheb101",2,761949CHN.EVN.regular.sub.csv",33

"CHN194904290",10,0,"chipb101",1,9,1,"maddc101",11,761949CHN.EVN.regular.sub.csv",34

"CHN194904290",11,1,"stalg103",0,9,1,"johnk101",1,911949CHN.EVN.regular.sub.csv",35

