"PHA195204160",57,"$Jackie Jensen rounded 3B too far after Mickey Mantle was forced"FILENAME_TX","LINE_NUMBER_CT"

"PHA195204300",10,"ej,tebbb101,P,grieb901,Call at 2B Birdie Tebbetts ejected by 2B umpire Bill Grieve"1952PHA.EVA.regular.comment.csv",2

"PHA195204300",41,"Debut game for Quincy Trouppe"1952PHA.EVA.regular.comment.csv",3

"PHA195205041",58,"ej,hutcf101,P,hurle901,Balls and strikes $Pitcher Hutchinson ejected by HP umpire Hurley for arguing 1st pitch ball call to Philley; McLeland entered with 1-0 count"1952PHA.EVA.regular.comment.csv",4

"PHA195205100",26,"$Morrie Martin left with jammed right middle finger"1952PHA.EVA.regular.comment.csv",5

"PHA195205110",80,"$Julio Moreno hurt elbow fielding the bunt"1952PHA.EVA.regular.comment.csv",6

"PHA195206082",65,"$the first 2 pitches to Eddie Joost were thrown at his head; the Athletics ran onto the field but umpires kept peace; Mickey Harris warned by HP umpire Charlie Berry"1952PHA.EVA.regular.comment.csv",7

"PHA195207061",35,"$Bobby Shantz left with pain in chest"1952PHA.EVA.regular.comment.csv",8

"PHA195207061",40,"ej,berry101,P,honoj901,Balls and strikes ej,stenc101,M,honoj901,Balls and strikes Yogi Berra and Yankees Manager Casey Stengel ejected by HP umpire Jim Honochick"1952PHA.EVA.regular.comment.csv",9

"PHA195207062",0,"Protest=H"1952PHA.EVA.regular.comment.csv",10

"PHA195207062",63,"Atletics Manager Jimmy Dykes protested game when umpires ruled two instead of three bases for Ed Wright"1952PHA.EVA.regular.comment.csv",11

"PHA195207062",89,"$game ended at 6:59pm, one minute before 7:00pm curfew"1952PHA.EVA.regular.comment.csv",12

"PHA195207172",36,"$Ned Garver left with sore elbow"1952PHA.EVA.regular.comment.csv",13

"PHA195207202",23,"$Billy Hitchcock caught Fred Hatfield with the hidden ball trick"1952PHA.EVA.regular.comment.csv",14

"PHA195207202",80,"Fowler, Goldak, and Wright pitched in 10th sequence was K,W,3/G,W,S7, Souchak pinch walk for Mullin,9 scoring 2 Tiger runs $game called due to 7 PM curfew in middle of the 10th"1952PHA.EVA.regular.comment.csv",15

"PHA195208071",27,"450+ feet"1952PHA.EVA.regular.comment.csv",16

"PHA195208221",1,"Debut game for Charlie Bishop"1952PHA.EVA.regular.comment.csv",17

"PHA195208230",46,"$Elmer Valo ran into the wall and was knocked unconcious"1952PHA.EVA.regular.comment.csv",18

"PHA195208230",81,"$Vic Wertz twisted ankle sliding into 3B"1952PHA.EVA.regular.comment.csv",19

"PHA195208242",0,"Protest=H"1952PHA.EVA.regular.comment.csv",20

"PHA195208242",6,"$Dave Philley batted out of order in Allie Clark's spot; Gus Zernial then doubled (out of turn); White Sox manager Paul Richards spoke with HP umpire Bill McKinley; the umpires read the rules and declared Cass Michaels out since he was the proper batter after Philley; Athletics manager Jimmy Dykes protested the game; 15 minute delay"1952PHA.EVA.regular.comment.csv",21

"PHA195208280",15,"21 minute rain delay with 2-2 count on Mickey McDermott"1952PHA.EVA.regular.comment.csv",22

"PHA195208280",37,"$Ray Murray dropped the wet ball, allowing Mickey McDermott to score"1952PHA.EVA.regular.comment.csv",23

"PHA195208280",38,"$Red Sox manager Boudreau thought the game was about to be called due to rain, so he brought in Al Benton to close"1952PHA.EVA.regular.comment.csv",24

"PHA195208280",42,"ej,joose101,P,soarh901,Obstruction non-call ej,dykej101,M,soarh901,Obstruction non-call Eddie Joost and Athletics Manager Jimmy Dykes ejected by 2B umpire Hank Soar arguing that Johnny Lipon had stood in the baseline between 2B and 3B and obstructed Joost"1952PHA.EVA.regular.comment.csv",25

"PHA195208280",48,"$now raining extremely hard; Red Sox manager Lou Boudreau had been going out every half inning to plead with HP umpire Bill McGowan to call the game; Boudreau made two trips this time, and McGowan ordered the ground crew to spread sand on the mound and batter's boxes"1952PHA.EVA.regular.comment.csv",26

"PHA195208280",57,"$the ball hit Dick Gernert's bat as he was ducking an inside pitch"1952PHA.EVA.regular.comment.csv",27

"PHA195208280",65,"ej,hitcb101,P,mcgob901,Fighting ej,whits103,P,mcgob901,Field conditions $as Cass Michaels' double was clearing the bases, Sammy White had words with HP umpire Bill McGowan about his failure to call the game despite the horrible field conditions; McGowan ejected White; as White and McGowan argued, Billy Hitchcock was smiling as he came up to HP; White thought Hitchcock was laughing at him, and White took a swing at him; Hitchcock punched White, which led to a bench-clearing brawl Hitchcock ejected by McGowan"1952PHA.EVA.regular.comment.csv",28

"PHA195208280",70,"$this was originally scheduled as a doubleheader, but the umpires called off the second game when they judged the field to be unplayable"1952PHA.EVA.regular.comment.csv",29

"PHA195208292",67,"ej,fainf101,P,soarh901,Called third strike Ferris Fain ejected by HP umpire Hank Soar"1952PHA.EVA.regular.comment.csv",30

"PHA195208292",68,"$Dave Philley called for interference for being out of the batter's box"1952PHA.EVA.regular.comment.csv",31

"PHA195209030",35,"ej,hitcb101,P,hurle901,Call at 2B Billy Hitchcock ejected by 2B umpire Eddie Hurley"1952PHA.EVA.regular.comment.csv",32

"PHA195209040",67,"Debut game for Tom Hamilton"1952PHA.EVA.regular.comment.csv",33

"PHA195209280",41,"$Andy Carey left with 2 inch spike wound to hand"1952PHA.EVA.regular.comment.csv",34

