"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"NYA195504130",4,1,"abert101",0,9,1,"mcdem102",1,361955NYA.EVA.regular.sub.csv",2

"NYA195504130",5,0,"paulc101",0,9,11,"abert101",1,421955NYA.EVA.regular.sub.csv",3

"NYA195504130",5,1,"currb101",0,9,1,"paulc101",11,431955NYA.EVA.regular.sub.csv",4

"NYA195504130",6,0,"colej106",1,1,4,"mcdog101",4,501955NYA.EVA.regular.sub.csv",5

"NYA195504130",7,0,"roigt101",0,9,11,"currb101",1,681955NYA.EVA.regular.sub.csv",6

"NYA195504130",7,1,"gonzv101",0,9,1,"roigt101",11,691955NYA.EVA.regular.sub.csv",7

"NYA195504130",7,1,"oldib101",0,7,2,"fitze101",2,691955NYA.EVA.regular.sub.csv",8

"NYA195504130",7,1,"huntb105",1,8,11,"rizzp101",6,751955NYA.EVA.regular.sub.csv",9

"NYA195504130",8,0,"huntb105",1,8,6,"huntb105",11,761955NYA.EVA.regular.sub.csv",10

"NYA195504200",2,0,"konsj101",1,9,1,"grimb102",1,171955NYA.EVA.regular.sub.csv",11

"NYA195504200",3,1,"robie101",1,9,11,"konsj101",1,261955NYA.EVA.regular.sub.csv",12

"NYA195504200",3,1,"lejaf101",1,9,12,"robie101",11,271955NYA.EVA.regular.sub.csv",13

"NYA195504200",4,0,"schaa102",1,9,1,"lejaf101",12,291955NYA.EVA.regular.sub.csv",14

"NYA195504200",5,1,"abrac101",0,2,9,"abrac101",8,431955NYA.EVA.regular.sub.csv",15

"NYA195504200",5,1,"dierc101",0,3,8,"coang101",7,431955NYA.EVA.regular.sub.csv",16

"NYA195504200",5,1,"woodg101",0,4,7,"woodg101",9,431955NYA.EVA.regular.sub.csv",17

"NYA195504200",5,1,"collj101",1,9,11,"schaa102",1,441955NYA.EVA.regular.sub.csv",18

"NYA195504200",6,0,"sturt101",1,9,1,"collj101",11,461955NYA.EVA.regular.sub.csv",19

"NYA195504200",7,1,"slaue101",1,9,11,"sturt101",1,601955NYA.EVA.regular.sub.csv",20

"NYA195504200",8,0,"morgt101",1,9,1,"slaue101",11,611955NYA.EVA.regular.sub.csv",21

"NYA195504200",8,1,"moorr101",0,9,1,"palie101",1,681955NYA.EVA.regular.sub.csv",22

"NYA195504200",9,1,"cervb101",1,7,11,"colej106",4,761955NYA.EVA.regular.sub.csv",23

"NYA195504200",9,1,"howae101",1,8,11,"rizzp101",6,771955NYA.EVA.regular.sub.csv",24

"NYA195504200",9,1,"byrnt101",1,9,11,"morgt101",1,781955NYA.EVA.regular.sub.csv",25

"NYA195504210",4,1,"kuzab101",0,9,1,"kretl101",1,351955NYA.EVA.regular.sub.csv",26

"NYA195504210",5,1,"marsf101",0,1,6,"marsf101",5,451955NYA.EVA.regular.sub.csv",27

"NYA195504210",5,1,"pybuj101",0,8,5,"miraw101",6,451955NYA.EVA.regular.sub.csv",28

"NYA195504210",8,0,"maxwc101",0,9,11,"kuzab101",1,661955NYA.EVA.regular.sub.csv",29

"NYA195504210",8,1,"alexb101",0,9,1,"maxwc101",11,711955NYA.EVA.regular.sub.csv",30

"NYA195504210",9,0,"waite101",0,9,11,"alexb101",1,821955NYA.EVA.regular.sub.csv",31

"NYA195504220",4,0,"mcdog101",1,7,4,"colej106",4,231955NYA.EVA.regular.sub.csv",32

"NYA195504220",7,0,"meles101",0,9,11,"sullf101",1,501955NYA.EVA.regular.sub.csv",33

"NYA195504220",7,1,"suscg101",0,9,1,"meles101",11,511955NYA.EVA.regular.sub.csv",34

"NYA195504230",6,0,"morgt101",1,9,1,"kuckj101",1,471955NYA.EVA.regular.sub.csv",35

"NYA195504230",7,1,"kinde101",0,9,1,"deloi101",1,571955NYA.EVA.regular.sub.csv",36

"NYA195505100",3,1,"hegaj101",0,8,2,"narah101",2,211955NYA.EVA.regular.sub.csv",37

"NYA195505100",4,0,"fordw101",1,9,1,"larsd102",1,251955NYA.EVA.regular.sub.csv",38

"NYA195505100",4,1,"robie101",1,8,11,"huntb105",6,351955NYA.EVA.regular.sub.csv",39

"NYA195505100",4,1,"rizzp101",1,8,12,"robie101",11,361955NYA.EVA.regular.sub.csv",40

"NYA195505100",5,0,"rizzp101",1,8,6,"rizzp101",12,381955NYA.EVA.regular.sub.csv",41

"NYA195505100",6,0,"sturt101",1,9,1,"fordw101",1,501955NYA.EVA.regular.sub.csv",42

"NYA195505100",6,0,"dents101",0,4,12,"kiner101",7,541955NYA.EVA.regular.sub.csv",43

"NYA195505100",6,1,"dents101",0,4,5,"dents101",12,571955NYA.EVA.regular.sub.csv",44

"NYA195505100",6,1,"smita102",0,1,7,"smita102",5,571955NYA.EVA.regular.sub.csv",45

"NYA195505100",7,1,"slaue101",1,9,11,"sturt101",1,631955NYA.EVA.regular.sub.csv",46

"NYA195505100",8,0,"konsj101",1,9,1,"slaue101",11,671955NYA.EVA.regular.sub.csv",47

"NYA195505100",8,1,"byrnt101",1,8,11,"rizzp101",6,761955NYA.EVA.regular.sub.csv",48

"NYA195505100",8,1,"mossd101",0,9,1,"lemob101",1,761955NYA.EVA.regular.sub.csv",49

