"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"WS1195604170",0,"Debut for umpire Frank Tabacchi","1956WS1.EVA.regular.comment.csv",2
"WS1195605010",33,"ej,snydj105,P,runge901,Balls and strikes Jerry Snyder ejected by HP umpire Ed Runge arguing the first strike","1956WS1.EVA.regular.comment.csv",3
"WS1195606101",61,"$After pitch hit Luttrell, the ball hit catcher Wilson, injuring his finger and causing him to leave game","1956WS1.EVA.regular.comment.csv",4
"WS1195607042",48,"$30 minute rain delay","1956WS1.EVA.regular.comment.csv",5
"WS1195607042",58,"ej,courc101,P,hurle901,Batter didn't avoid HBP $Clint Courtney was hit by a pitch but HP umpire Eddie Hurley ruled Courtney didn't get out of way; Courtney ejected by Hurley","1956WS1.EVA.regular.comment.csv",6
"WS1195607042",61,"$Game called for rain with Roy Sievers at bat in top of 7th with one run in, Runnels on 3rd and no outs; plays were washed out and score reverted to 7-4 at end of 6th","1956WS1.EVA.regular.comment.csv",7
"WS1195607140",89,"ej,harrb106,M,berrc103,Balls and strikes Tigers Manager Bucky Harris ejected by HP umpire Charlie Berry arguing ball four","1956WS1.EVA.regular.comment.csv",8
"WS1195608110",54,"$Don Buddin called for interference","1956WS1.EVA.regular.comment.csv",9
"WS1195608120",75,"ej,pierj102,P,romme101,Called third strike (Threw bat) Jim Piersall ejected by HP umpire Eddie Rommel","1956WS1.EVA.regular.comment.csv",10
"WS1195608250",2,"DIFF: Official daily totals show this as IW","1956WS1.EVA.regular.comment.csv",11
