GAME_ID,EVENT_ID,COMMENT_TX
"BRO195704211",14,"$Vern Law pulled muscle"
"BRO195704212",24,"$lights turned on"
"BRO195704220",0,"$this game played in Jersey City"
"BRO195704300",29,"may be BPDP and not BG/DP"
"BRO195704300",80,"$Gil Hodges fell rounding 3B"
"BRO195705030",0,"$this game played in Jersey City"
"BRO195705040",16,"official have no assist for LF"
"BRO195705070",77,"$Don Hoak called out for passing Whisenant after Furillo deked Whisenant into thinking he had caught the ball, but Hoak kept running and passed him"
"BRO195705080",53,"$Sandy Amoros overslid 2B"
"BRO195706040",26,"$hit on ribs"
"BRO195706050",0,"$this game played in Jersey City"
"BRO195706070",57,"ej,tebbb101,M,venzt901,Balk call Reds Manager Birdie Tebbetts ejected by HP umpire Tony Venzon"
"BRO195706092",3,"$Ed Roebuck let Gus Bell's popup fall"
"BRO195706092",6,"$Sandy Amoros rounded 2B too far"
"BRO195706092",57,"$lights turned on"
"BRO195706100",0,"$this game played in Jersey City"
"BRO195706110",15,"$Del Crandall struck by foul ball and suffered split finger"
"BRO195706110",24,"$Roger Craig running on pitch lost track of ball"
"BRO195706130",16,"ej,drysd101,P,delmv901,Fighting ej,logaj101,P,delmv901,Fighting $Johnny Logan charged the mound; both benches cleared and Eddie Mathews fought with Don Drysdale; Drysdale and Logan ejected by HP umpire Vic Delmore"
"BRO195706161",83,"ej,alstw101,M,secof101,Called third strike ej,reesp101,P,secof101,Called third strike Pee Wee Reese  and Dodgers Manager Walter Alston ejected by HP umpire Frank Secory"
"BRO195706162",12,"$lights turned on"
"BRO195706162",18,"20 minute rain delay"
"BRO195706162",45,"$John Roseboro and Jim Gilliam collide"
"BRO195707110",17,"$Roy Campanella dropped the third strike and Pete Whisenant called for interference for running into the ball"
"BRO195707110",41,"$jim Gilliam and Raul Sanchez arrived at the bag at the same time"
"BRO195707110",54,"ej,zimmd101,P,donaa901,Call at 1B Don Zimmer ejected by 1B umpire Augie Donatelli"
"BRO195707110",59,"ej,gillj102,P,conlj102,Fighting ej,sancr101,P,conlj102,Fighting ej,nealc101,P,conlj102,Fighting ej,hoakd101,P,conlj102,Fighting $Raul Sanchez threw at Jim Gilliam, which started a bench-clearing brawl; Gilliam, Sanchez, Charlie Neal and Don Hoak ejected by HP umpire Jocko Conlan"
"BRO195707120",0,"$this game played in Jersey City"
"BRO195707160",33,"ej,hutcf101,M,craws901,Runner placement $Gino Cimoli had rounded 3B but held up while Gil Hodges had rounded 2B; Wally Moon's throw home was up the 3B line and catcher Hal Smith expected Stan Musial to cut it off; Musial allowed the throw to go through and it bounced into the Cardinals dugout; this was ruled a two-base error and Cimoli was allowed to score; Dodgers manager Walter Alston talked to the umpires and they sent Hodges across the plate; Cardinals Manager Fred Hutchinson ejected by 3B umpire Shag Crawford"
"BRO195707160",52,"$Hal Smith injured by foul ball in previous inning"
"BRO195707160",64,"$the ball landed on top of the scoreboard and stayed there"
"BRO195707170",30,"missing play in BRO195707170"
"BRO195707170",32,"missing play in BRO195707170"
"BRO195707200",33,"$John Roseboro left injured"
"BRO195707212",10,"$lights turned on"
"BRO195707212",39,"$Don Newcombe left with sore finger"
"BRO195708060",3,"$Ray Jablonski called for interference for running into his own bunt"
"BRO195708070",0,"$this game played in Jersey City"
"BRO195708160",0,"$this game played in Jersey City"
"BRO195708170",61,"ej,podrj101,P,bakeb101,Bench jockeying Johnny Podres ejected by HP umpire Bill Baker with 2-2 count on Jim Gilliam"
"BRO195708170",62,"ej,newcd101,P,bakeb101,Bench jockeying Don Newcombe ejected by HP umpire Bill Baker one pitch later"
"BRO195708182",14,"$Dick Groat allowed the popup to drop"
"BRO195708182",48,"$lights turned on"
"BRO195708210",15,"$Gil Hodges allowed popup to drop"
"BRO195708220",28,"ej,newcd101,P,secof101,Bench jockeying Don Newcombe ejected by HP umpire Frank Secory"
"BRO195708250",36,"$lights turned on"
"BRO195708250",60,"fan interference"
"BRO195708250",80,"ej,darka101,P,donaa901,Call at 1B (Threw helmet) Al Dark ejected by HP umpire Augie Donatelli"
"BRO195708310",18,"$John Roseboro slipped after rounding 1B"
"BRO195709021",28,"$Roy Campanella left with injured finger"
"BRO195709030",0,"$this game played in Jersey City"
"BRO195709030",50,"$Charlie Neal called out on appeal for missing 3B"
"BRO195709030",66,"ej,hemus101,P,venzt901,Bench jockeying ej,wyatw101,C,venzt901,Bench jockeying $Granny Hamner tried to pull the hidden ball trick on Peewee Reese but HP umpire Tony Venzon called time before Gil Hodges stepped to HP (not realizing Hamner had the ball); Hamner yelled for a bit then Solly Hemus and Phillies Coach Whit Wyatt ejected by Venzon for yelling from the bench"
