"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"DET195804180","19580418",0,"Friday",0,"F","D","CLE","DET","DET04","scorh101","hoefb101","chyln901","berrc103","mckib901","flahr901","","",46698,"Middlesworth","","Elliott","1998/01/08 7:31AM","",0,0,0,0,-1,0,0,0,192,9,7,5,16,5,4,2,12,6,"scorh101","morgt101","","","carrc105",6,"avilb101",5,"minom101",7,"colar101",3,"browd102",2,"marir101",9,"harrb103",4,"hardc101",8,"scorh101",1,"bollf101",4,"martb105",6,"kuenh101",8,"kalia101",9,"boonr101",3,"zerng101",7,"bertr101",5,"hegaj101",2,"hoefb101",1,"","sleal101","","",,,54,,,,021011020,200111000,40,0,0,1,7,2,1,0,3,0,6,0,0,0,0,1,4,4,1,0,27,11,0,1,0,30,0,1,1,4,0,0,0,8,0,7,0,2,0,0,5,6,6,0,0,27,6,0,1,0,,,,,,,,,,,"Herb Score","Tom Morgan","(none)","minom101","Minnie Minoso","Chico Carrasquel","Bobby Avila","Minnie Minoso","Rocky Colavito","Dick Brown","Roger Maris","Billy Harrell","Carroll Hardy","Herb Score","Frank Bolling","Billy Martin","Harvey Kuenn","Al Kaline","Ray Boone","Gus Zernial","Reno Bertoia","Jim Hegan","Billy Hoeft",,1958DET.EVA.regular.game.csv",2

"DET195804190","19580419",0,"Saturday",0,"F","D","CLE","DET","DET04","mossd101","foytp101","berrc103","mckib901","flahr901","chyln901","","",11007,"Middlesworth","","Elliott","1998/01/09 8:55AM","",0,0,0,0,-1,0,0,0,150,9,1,9,6,19,3,1,8,11,"foytp101","mossd101","","","carrc105",6,"avilb101",5,"minom101",7,"colar101",3,"marir101",9,"geigg101",8,"nixor101",2,"morab101",4,"mossd101",1,"bollf101",4,"martb105",6,"kuenh101",8,"kalia101",9,"boonr101",3,"zerng101",7,"bertr101",5,"wilsr102",2,"foytp101",1,"lemob101","","","",,,51,,,,000000010,00332001x,32,0,0,0,1,0,0,1,2,0,7,0,0,1,1,5,8,8,0,0,24,14,0,1,0,43,3,0,1,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,27,7,0,1,0,,,,,,,,,,,"Paul Foytack","Don Mossi","(none)","kalia101","Al Kaline","Chico Carrasquel","Bobby Avila","Minnie Minoso","Rocky Colavito","Roger Maris","Gary Geiger","Russ Nixon","Billy Moran","Don Mossi","Frank Bolling","Billy Martin","Harvey Kuenn","Al Kaline","Ray Boone","Gus Zernial","Reno Bertoia","Red Wilson","Paul Foytack",,1958DET.EVA.regular.game.csv",3

"DET195804200","19580420",0,"Sunday",0,"F","D","CLE","DET","DET04","narlr101","bunnj101","mckib901","flahr901","chyln901","berrc103","","",19063,"Middlesworth","","Elliott","1998/01/11 8:13AM","",0,0,0,0,-1,0,0,0,158,9,4,2,7,6,1,0,6,8,"narlr101","bunnj101","scorh101","","carrc105",6,"avilb101",5,"minom101",7,"marir101",9,"nixor101",2,"colar101",3,"geigg101",8,"morab101",4,"narlr101",1,"bollf101",4,"martb105",6,"kuenh101",8,"kalia101",9,"boonr101",3,"maxwc101",7,"bertr101",5,"thomt106",2,"bunnj101",1,"scorh101","speng102","","",,,54,,,,010100011,000002000,32,0,0,4,4,0,0,1,4,0,2,0,1,0,0,2,2,2,0,0,27,9,0,2,0,31,0,0,1,2,0,0,0,6,0,4,0,0,2,0,2,4,4,0,0,27,12,0,0,0,,,,,,,,,,,"Ray Narleski","Jim Bunning","Herb Score","minom101","Minnie Minoso","Chico Carrasquel","Bobby Avila","Minnie Minoso","Roger Maris","Russ Nixon","Rocky Colavito","Gary Geiger","Billy Moran","Ray Narleski","Frank Bolling","Billy Martin","Harvey Kuenn","Al Kaline","Ray Boone","Charlie Maxwell","Reno Bertoia","Tim Thompson","Jim Bunning",,1958DET.EVA.regular.game.csv",4

"DET195804210","19580421",0,"Monday",0,"F","D","CHA","DET","DET04","donod101","laryf101","flahr901","chyln901","berrc103","mckib901","","",5334,"Middlesworth","","Elliott","1998/01/11 8:26AM","",0,0,0,0,-1,0,0,0,161,9,1,2,3,9,0,0,10,8,"valev101","donod101","","","aparl101",6,"fox-n101",4,"torge101",3,"lolls101",2,"frant101",9,"smita102",7,"philb102",5,"landj103",8,"donod101",1,"bollf101",4,"martb105",6,"kuenh101",8,"kalia101",9,"boonr101",3,"maxwc101",7,"bertr101",5,"hegaj101",2,"laryf101",1,"moorr101","valev101","","",,,51,,,,000001000,000000011,30,2,0,0,1,0,0,2,6,0,4,0,0,0,0,2,2,2,0,0,24,12,0,2,0,31,1,0,0,2,0,0,0,3,1,2,0,0,2,0,2,1,1,0,0,27,11,0,0,0,,,,,,,,,,,"Vito Valentinetti","Dick Donovan","(none)","mcdem102","Mickey McDermott","Luis Aparicio","Nellie Fox","Earl Torgeson","Sherm Lollar","Tito Francona","Al Smith","Bubba Phillips","Jim Landis","Dick Donovan","Frank Bolling","Billy Martin","Harvey Kuenn","Al Kaline","Ray Boone","Charlie Maxwell","Reno Bertoia","Jim Hegan","Frank Lary",,1958DET.EVA.regular.game.csv",5

"DET195804220","19580422",0,"Tuesday",0,"F","D","CHA","DET","DET04","wynne101","hoefb101","chyln901","berrc103","mckib901","flahr901","","",6688,"Middlesworth","","Elliott","1998/01/12 7:25AM","",0,0,0,0,-1,0,0,0,136,9,2,8,9,8,1,0,10,3,"hoefb101","wynne101","","","aparl101",6,"fox-n101",4,"smita102",7,"lolls101",2,"jackr101",3,"frant101",9,"philb102",5,"landj103",8,"wynne101",1,"bollf101",4,"martb105",6,"kuenh101",8,"kalia101",9,"boonr101",3,"maxwc101",7,"bertr101",5,"hegaj101",2,"hoefb101",1,"moorr101","","","",,,51,,,,001000100,41000021x,36,2,1,1,2,0,0,0,3,0,6,0,0,0,0,2,8,8,1,1,24,11,0,0,0,30,3,1,1,8,1,1,0,3,0,4,0,1,0,0,1,2,2,0,0,27,8,0,0,0,,,,,,,,,,,"Billy Hoeft","Early Wynn","(none)","kalia101","Al Kaline","Luis Aparicio","Nellie Fox","Al Smith","Sherm Lollar","Ron Jackson","Tito Francona","Bubba Phillips","Jim Landis","Early Wynn","Frank Bolling","Billy Martin","Harvey Kuenn","Al Kaline","Ray Boone","Charlie Maxwell","Reno Bertoia","Jim Hegan","Billy Hoeft",,1958DET.EVA.regular.game.csv",6
