"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"KC1195904100","19590410",0,"Friday",0,"F","D","CLE","KC1","KAN05","bellg102","grimb102","papaj901","hurle901","runge901","tabaf901","","",22630,"Plain Dealer","Ron Rakowski","Ron Rakowski","1996/06/25 7:21PM","",1,0,0,0,-1,0,0,0,161,9,6,4,11,9,0,3,10,7,"bellg102","grimb102","brodd101","","pierj102",8,"martb105",4,"minom101",7,"colar101",9,"nixor101",2,"powev101",3,"heldw101",5,"strig102",6,"bellg102",1,"tuttb101",8,"marir101",9,"lopeh101",4,"cervb101",7,"smith106",5,"hadlk101",3,"housf103",2,"demaj101",6,"grimb102",1,"brodd101","meyer101","","",,,54,,,,110110002,000200002,36,2,0,0,5,5,0,0,2,1,4,1,0,0,0,3,4,4,1,0,27,14,0,1,0,35,0,1,1,3,0,0,0,3,0,3,0,0,0,0,3,4,4,0,0,27,12,1,0,0,,,,,,,,,,,"Gary Bell","Bob Grim","Dick Brodowski","","(none)","Jim Piersall","Billy Martin","Minnie Minoso","Rocky Colavito","Russ Nixon","Vic Power","Woodie Held","George Strickland","Gary Bell","Bill Tuttle","Roger Maris","Hector Lopez","Bob Cerv","Hal Smith","Kent Hadley","Frank House","Joe DeMaestri","Bob Grim",,
"KC1195904110","19590411",0,"Saturday",0,"F","D","CLE","KC1","KAN05","ferrd102","garvn102","hurle901","runge901","tabaf901","papaj901","","",8181,"Plain Dealer","Ron Rakowski","Ron Rakowski","1996/06/25 8:03PM","",1,0,0,0,-1,0,0,0,160,9,3,2,11,4,0,1,8,7,"ferrd102","garvn102","brodd101","","pierj102",8,"martb105",4,"minom101",7,"colar101",9,"nixor101",2,"powev101",3,"heldw101",5,"strig102",6,"ferrd102",1,"tuttb101",8,"marir101",9,"lopeh101",4,"cervb101",7,"smith106",5,"chith101",2,"willd104",3,"demaj101",6,"garvn102",1,"brodd101","tomad101","","",,,54,,,,000001110,000001010,37,2,0,0,2,0,0,0,1,0,4,0,1,0,0,2,2,2,1,0,27,11,0,2,0,28,0,0,2,2,1,0,2,5,0,3,0,0,1,0,3,2,2,0,0,27,15,0,0,0,,,,,,,,,,,"Don Ferrarese","Ned Garver","Dick Brodowski","ferrd102","Don Ferrarese","Jim Piersall","Billy Martin","Minnie Minoso","Rocky Colavito","Russ Nixon","Vic Power","Woodie Held","George Strickland","Don Ferrarese","Bill Tuttle","Roger Maris","Hector Lopez","Bob Cerv","Hal Smith","Harry Chiti","Dick Williams","Joe DeMaestri","Ned Garver",,
"KC1195904210","19590421",0,"Tuesday",0,"F","N","CHA","KC1","KAN05","pierb101","grimb102","nappl901","ricej901","romme101","stevj901","","",6569,"White Sox","Ron Fisher","Ron Fisher","1995/09/10 2:44PM","",1,0,0,0,-1,0,0,0,117,9,3,8,4,9,3,1,3,5,"grimb102","pierb101","","","aparl101",6,"fox-n101",4,"landj103",8,"lolls101",2,"cashn101",3,"smita102",9,"callj101",7,"philb102",5,"pierb101",1,"tuttb101",8,"willd104",3,"lopeh101",4,"marir101",9,"cervb101",7,"smith106",5,"demaj101",6,"housf103",2,"grimb102",1,"stalg103","","","",,,51,,,,000002100,14010110x,30,1,0,1,3,0,0,0,3,0,5,0,0,1,0,4,5,5,0,0,24,10,0,1,0,32,3,0,0,5,1,1,0,3,0,5,0,2,0,0,1,3,3,0,0,27,9,0,1,0,,,,,,,,,,,"Bob Grim","Billy Pierce","(none)","marir101","Roger Maris","Luis Aparicio","Nellie Fox","Jim Landis","Sherm Lollar","Norm Cash","Al Smith","Johnny Callison","Bubba Phillips","Billy Pierce","Bill Tuttle","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Hal Smith","Joe DeMaestri","Frank House","Bob Grim",,
"KC1195904220","19590422",0,"Wednesday",0,"F","N","CHA","KC1","KAN05","wynne101","garvn102","ricej901","romme101","stevj901","nappl901","","",7446,"White Sox","David W. Smith","David W. Smith","1996/06/25 3:48PM","",1,0,0,0,-1,0,0,0,192,9,20,6,16,9,0,4,11,7,"shawb103","daleb102","","","goodb101",5,"fox-n101",4,"landj103",8,"lolls101",2,"cashn101",3,"rivej101",9,"callj101",7,"aparl101",6,"wynne101",1,"tuttb101",8,"herzw101",7,"lopeh101",4,"marir101",9,"hadlk101",3,"smith106",5,"housf103",2,"demaj101",6,"garvn102",1,"shawb103","brung101","","",,,54,,,,011312(11)01,150000000,40,5,0,1,18,3,1,1,13,1,5,1,0,0,0,2,6,6,0,0,27,11,0,0,0,36,2,0,1,6,0,0,0,4,0,8,1,0,0,0,6,11,11,0,0,27,14,0,0,0,,,,,,,,,,,"Bob Shaw","Bud Daley","(none)","","(none)","Billy Goodman","Nellie Fox","Jim Landis","Sherm Lollar","Norm Cash","Jim Rivera","Johnny Callison","Luis Aparicio","Early Wynn","Bill Tuttle","Whitey Herzog","Hector Lopez","Roger Maris","Kent Hadley","Hal Smith","Frank House","Joe DeMaestri","Ned Garver",,
"KC1195904240","19590424",0,"Friday",0,"F","N","DET","KC1","KAN05","hoefb101","terrr101","romme101","stevj901","nappl901","ricej901","","",8727,"Det Free Press","Ron Fisher","Ron Fisher","1993/07/03 10:14AM","",1,0,0,0,-1,0,0,0,154,9,1,10,8,12,1,0,12,3,"terrr101","hoefb101","","","yoste101",5,"bollf101",4,"kuenh101",8,"harrg101",3,"kalia101",9,"bridr101",6,"chrin101",7,"wilsr102",2,"hoefb101",1,"tuttb101",8,"willd104",3,"lopeh101",4,"marir101",9,"cervb101",7,"smith106",5,"housf103",2,"demaj101",6,"terrr101",1,"suscg101","","","",,,51,,,,100000000,00061030x,34,1,1,0,1,0,0,0,6,0,8,1,0,1,0,4,10,10,0,1,24,9,1,2,0,34,5,0,0,8,0,0,1,2,0,3,0,0,1,0,1,1,1,0,0,27,9,0,1,0,,,,,,,,,,,"Ralph Terry","Billy Hoeft","(none)","cervb101","Bob Cerv","Eddie Yost","Frank Bolling","Harvey Kuenn","Gail Harris","Al Kaline","Rocky Bridges","Neil Chrisley","Red Wilson","Billy Hoeft","Bill Tuttle","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Hal Smith","Frank House","Joe DeMaestri","Ralph Terry",,
"KC1195904250","19590425",0,"Saturday",0,"F","N","DET","KC1","KAN05","foytp101","garvn102","stevj901","nappl901","ricej901","romme101","","",9499,"Det Free Press","Ron Fisher","Ron Fisher","1993/07/03 11:35PM","",1,0,0,0,-1,0,0,0,160,9,7,8,13,13,1,0,10,11,"garvn102","foytp101","tomad101","","yoste101",5,"bridr101",6,"kuenh101",8,"harrg101",3,"kalia101",9,"dobyl101",7,"bollf101",4,"berbl101",2,"foytp101",1,"tuttb101",8,"willd104",3,"lopeh101",4,"marir101",9,"cervb101",7,"smith106",5,"housf103",2,"demaj101",6,"garvn102",1,"aguih101","tomad101","","",,,51,,,,200001013,03301100x,39,2,1,0,7,0,1,1,3,0,3,0,0,0,0,5,8,8,0,0,24,8,0,0,0,37,3,1,1,8,0,0,1,5,0,4,1,0,0,0,3,7,7,0,0,27,10,0,0,0,,,,,,,,,,,"Ned Garver","Paul Foytack","Dick Tomanek","garvn102","Ned Garver","Eddie Yost","Rocky Bridges","Harvey Kuenn","Gail Harris","Al Kaline","Larry Doby","Frank Bolling","Lou Berberet","Paul Foytack","Bill Tuttle","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Hal Smith","Frank House","Joe DeMaestri","Ned Garver",,
"KC1195904260","19590426",0,"Sunday",0,"F","D","DET","KC1","KAN05","bunnj101","grimb102","nappl901","ricej901","romme101","stevj901","","",7430,"Det Free Press","Ron Fisher","Ron Fisher","1993/07/04 12:55AM","",1,0,0,0,-1,0,0,0,164,9,3,4,16,9,0,2,15,7,"grimb102","bunnj101","daleb102","","yoste101",5,"bollf101",4,"kuenh101",8,"harrg101",3,"kalia101",9,"dobyl101",7,"bridr101",6,"berbl101",2,"bunnj101",1,"tuttb101",8,"willd104",3,"lopeh101",4,"marir101",9,"cervb101",7,"smith106",5,"housf103",2,"demaj101",6,"grimb102",1,"morgt101","daleb102","","",,,51,,,,100100001,01300000x,41,2,0,0,3,0,0,0,4,0,6,0,0,2,0,3,4,4,0,0,24,11,0,0,0,33,1,0,1,4,0,0,1,1,0,5,0,0,0,0,2,2,2,0,0,27,9,0,4,0,,,,,,,,,,,"Bob Grim","Jim Bunning","Bud Daley","cervb101","Bob Cerv","Eddie Yost","Frank Bolling","Harvey Kuenn","Gail Harris","Al Kaline","Larry Doby","Rocky Bridges","Lou Berberet","Jim Bunning","Bill Tuttle","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Hal Smith","Frank House","Joe DeMaestri","Bob Grim",,
"KC1195904280","19590428",0,"Tuesday",0,"F","N","WS1","KC1","KAN05","kemmr101","herbr101","mckib901","soarh901","chyln901","summb901","","",7566,"Senators","Ron Rakowski","Ron Rakowski","1996/09/11 8:38PM","",1,0,0,0,-1,0,0,0,161,9,8,3,14,8,0,1,8,4,"kemmr101","herbr101","","","bertr101",4,"allib103",8,"sievr101",7,"lemoj101",9,"killh102",5,"zaucn101",3,"portj101",2,"samfr101",6,"kemmr101",1,"tuttb101",8,"willd104",3,"lopeh101",4,"marir101",9,"cervb101",7,"smith106",5,"housf103",2,"demaj101",6,"herbr101",1,"","coler101","","",,,54,,,,300003020,011000001,39,3,1,1,7,0,0,0,4,0,9,0,1,0,0,1,3,3,0,0,27,12,1,1,0,34,2,1,1,2,0,0,0,0,0,3,0,0,1,0,4,8,8,0,0,27,5,0,1,0,,,,,,,,,,,"Russ Kemmerer","Ray Herbert","(none)","sievr101","Roy Sievers","Reno Bertoia","Bob Allison","Roy Sievers","Jim Lemon","Harmon Killebrew","Norm Zauchin","Jay Porter","Ron Samford","Russ Kemmerer","Bill Tuttle","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Hal Smith","Frank House","Joe DeMaestri","Ray Herbert",,
"KC1195904290","19590429",0,"Wednesday",0,"F","D","WS1","KC1","KAN05","ramop101","terrr101","soarh901","chyln901","summb901","mckib901","","",4769,"Senators","Ron Rakowski","Ron Rakowski","1996/09/11 8:55PM","",1,0,0,0,-1,0,0,0,156,9,6,7,11,13,0,1,8,7,"gormt102","valev101","","","bertr101",4,"allib103",8,"sievr101",7,"lemoj101",9,"fitze101",2,"killh102",5,"zaucn101",3,"samfr101",6,"ramop101",1,"herzw101",8,"willd104",5,"lopeh101",4,"marir101",9,"cervb101",7,"simph101",3,"housf103",2,"demaj101",6,"terrr101",1,"valev101","gormt102","","",,,52,,,,002001003,210100201,36,1,0,1,6,0,0,0,5,0,6,0,1,1,0,4,7,7,0,0,25,11,0,1,0,32,2,1,2,7,3,2,2,0,0,4,0,0,1,0,3,6,6,0,0,27,11,0,2,0,,,,,,,,,,,"Tom Gorman","Vito Valentinetti","(none)","lopeh101","Hector Lopez","Reno Bertoia","Bob Allison","Roy Sievers","Jim Lemon","Ed Fitzgerald","Harmon Killebrew","Norm Zauchin","Ron Samford","Pedro Ramos","Whitey Herzog","Dick Williams","Hector Lopez","Roger Maris","Bob Cerv","Harry Simpson","Frank House","Joe DeMaestri","Ralph Terry",,
"KC1195904300","19590430",0,"Thursday",0,"F","N","BAL","KC1","KAN05","harsj101","garvn102","romme101","stevj901","nappl901","ricej901","","",8446,"Orioles","Ron Rakowski","Ron Rakowski","1996/09/11 9:05PM","",1,0,0,0,-1,0,0,0,134,9,3,4,8,8,0,0,7,8,"garvn102","loesb101","","","carrc105",6,"boydb102",3,"tasbw101",8,"woodg101",9,"niemb101",7,"triag101",2,"robib104",5,"gardb101",4,"harsj101",1,"tuttb101",8,"herzw101",3,"lopeh101",4,"marir101",9,"cervb101",7,"willd104",5,"housf103",2,"demaj101",6,"garvn102",1,"loesb101","","","",,,51,,,,000010110,200100001,34,2,0,0,3,0,0,0,3,0,1,0,1,0,0,3,4,4,0,0,24,11,0,1,0,29,2,0,1,4,1,1,0,5,1,5,0,0,0,0,1,3,3,0,0,27,12,0,0,0,,,,,,,,,,,"Ned Garver","Billy Loes","(none)","simph101","Harry Simpson","Chico Carrasquel","Bob Boyd","Willie Tasby","Gene Woodling","Bob Nieman","Gus Triandos","Brooks Robinson","Billy Gardner","Jack Harshman","Bill Tuttle","Whitey Herzog","Hector Lopez","Roger Maris","Bob Cerv","Dick Williams","Frank House","Joe DeMaestri","Ned Garver",,
