"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"KC1196004220",3,1,"stigd101",0,9,1,"hawkw101",1,281960KC1.EVA.regular.sub.csv",2

"KC1196004220",6,0,"pierj102",0,9,11,"stigd101",1,411960KC1.EVA.regular.sub.csv",3

"KC1196004220",6,1,"tiefb101",0,2,1,"dilld101",9,471960KC1.EVA.regular.sub.csv",4

"KC1196004220",6,1,"pierj102",0,9,9,"pierj102",11,471960KC1.EVA.regular.sub.csv",5

"KC1196004220",8,0,"haleb101",0,2,11,"tiefb101",1,591960KC1.EVA.regular.sub.csv",6

"KC1196004220",8,1,"brigj101",0,2,1,"haleb101",11,631960KC1.EVA.regular.sub.csv",7

"KC1196004220",8,1,"snydr102",1,5,12,"cervb101",7,661960KC1.EVA.regular.sub.csv",8

"KC1196004220",9,0,"snydr102",1,5,7,"snydr102",12,671960KC1.EVA.regular.sub.csv",9

"KC1196004220",9,0,"throm101",1,4,3,"siebn101",3,671960KC1.EVA.regular.sub.csv",10

"KC1196004220",9,0,"kuenh101",0,8,11,"philb102",5,701960KC1.EVA.regular.sub.csv",11

"KC1196004230",1,0,"trowb101",1,9,1,"halld101",1,41960KC1.EVA.regular.sub.csv",12

"KC1196004230",5,1,"herzw101",1,9,11,"trowb101",1,441960KC1.EVA.regular.sub.csv",13

"KC1196004230",6,0,"brung101",1,9,1,"herzw101",11,501960KC1.EVA.regular.sub.csv",14

"KC1196004230",7,1,"granj101",0,9,1,"latmb101",1,641960KC1.EVA.regular.sub.csv",15

"KC1196004230",8,0,"kuenh101",0,9,11,"granj101",1,701960KC1.EVA.regular.sub.csv",16

"KC1196004230",8,0,"hardc101",0,9,12,"kuenh101",11,711960KC1.EVA.regular.sub.csv",17

"KC1196004230",8,1,"grimb102",0,9,1,"hardc101",12,741960KC1.EVA.regular.sub.csv",18

"KC1196004230",8,1,"throm101",1,9,11,"brung101",1,771960KC1.EVA.regular.sub.csv",19

"KC1196004230",9,0,"kutym101",1,9,1,"throm101",11,781960KC1.EVA.regular.sub.csv",20

"KC1196004230",9,0,"haleb101",0,8,11,"philb102",5,821960KC1.EVA.regular.sub.csv",21

"KC1196004230",9,1,"strig102",0,8,5,"haleb101",11,831960KC1.EVA.regular.sub.csv",22

"KC1196004240",5,1,"herzw101",1,9,11,"larsd102",1,411960KC1.EVA.regular.sub.csv",23

"KC1196004240",6,0,"kuckj101",1,9,1,"herzw101",11,431960KC1.EVA.regular.sub.csv",24

"KC1196004240",6,0,"dalep101",1,6,2,"chith101",2,471960KC1.EVA.regular.sub.csv",25

