"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"LAN196004120",3,1,"lillb101",1,2,12,"nealc101",4,26
"LAN196004120",4,0,"gillj102",1,1,4,"gillj102",5,27
"LAN196004120",4,0,"lillb101",1,2,5,"lillb101",12,27
"LAN196004120",7,1,"larkn101",1,2,11,"lillb101",5,58
"LAN196004120",8,0,"larkn101",1,2,3,"larkn101",11,60
"LAN196004120",8,0,"hodgg101",1,5,5,"hodgg101",3,60
"LAN196004120",9,0,"tayls102",0,8,11,"neemc101",2,69
"LAN196004120",9,0,"norei101",0,9,11,"andeb102",1,70
"LAN196004120",9,1,"riced101",0,8,2,"tayls102",11,71
"LAN196004120",9,1,"elstd101",0,9,1,"norei101",11,71
"LAN196004120",11,1,"essec101",1,9,11,"drysd101",1,90
"LAN196004130",9,1,"amors101",1,7,11,"demed101",8,72
"LAN196004130",9,1,"larkn101",1,8,11,"willm102",6,73
"LAN196004130",9,1,"lillb101",1,8,12,"larkn101",11,74
"LAN196004130",9,1,"essec101",1,9,11,"sherl101",1,74
"LAN196004140",7,1,"larkn101",1,8,11,"willm102",6,52
"LAN196004140",7,1,"mcdal101",0,9,1,"klinr102",1,52
"LAN196004140",7,1,"lillb101",1,8,12,"larkn101",11,53
"LAN196004140",8,0,"lillb101",1,8,6,"lillb101",12,54
"LAN196004140",8,0,"roebe101",1,9,1,"podrj101",1,57
"LAN196004140",9,0,"crowg101",0,8,11,"smith108",2,66
"LAN196004140",9,0,"millb106",0,8,12,"crowg101",11,67
"LAN196004140",9,0,"sawac101",0,9,11,"mcdal101",1,67
"LAN196004140",9,1,"flooc101",0,3,8,"musis101",3,68
"LAN196004140",9,1,"wagnl101",0,7,7,"wagnl101",9,68
"LAN196004140",9,1,"burte101",0,5,9,"niemb101",7,68
"LAN196004140",9,1,"whitb105",0,6,3,"whitb105",8,68
