"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"CHN196204130","19620413",0,"Friday",136,"F","D","SLN","CHN","CHI11","washr101","ellsd101","venzt901","pryop901","donaa901","secof101","","",9750,"Cubs","Ron Rakowski","Ron Rakowski","1999/02/07 9:49PM","",1,2,38,5,-1,4,1,1,280,15,8,5,16,13,1,0,8,14,"mcdal101","andeb102","andej102","","flooc101",8,"javij101",4,"minom101",7,"boyek101",5,"musis101",9,"whitb105",3,"olivg101",2,"gotaj101",6,"washr101",1,"brocl102",8,"hubbk101",4,"willb104",7,"banke101",3,"altmg101",9,"santr102",5,"rodga101",6,"tayls102",2,"ellsd101",1,"andej102","warnj104","","",,,90,,,,010000111000013,101001100000010,57,2,0,1,6,1,0,0,3,1,12,0,0,1,0,5,5,5,2,0,45,19,0,2,0,56,1,2,1,5,1,1,0,6,1,11,2,0,2,0,5,8,8,2,0,45,20,0,1,0,,,,,,,,,,,"Lindy McDaniel","Bob Anderson","John Anderson","landd101","Don Landrum","Curt Flood","Julian Javier","Minnie Minoso","Ken Boyer","Stan Musial","Bill White","Gene Oliver","Julio Gotay","Ray Washburn","Lou Brock","Ken Hubbs","Billy Williams","Ernie Banks","George Altman","Ron Santo","Andre Rodgers","Sammy Taylor","Dick Ellsworth",,
"CHN196204140","19620414",0,"Saturday",131,"F","D","SLN","CHN","CHI11","simmc101","cardd101","pryop901","donaa901","secof101","venzt901","","",10806,"Cubs","Ron Rakowski","Ron Rakowski","1999/02/07 7:58PM","",1,2,42,4,-1,4,1,1,154,9,7,4,9,7,1,2,6,3,"simmc101","cardd101","","","landd101",8,"javij101",4,"whitb105",3,"musis101",7,"boyek101",5,"sawac101",2,"clemd101",9,"gotaj101",6,"simmc101",1,"brocl102",8,"hubbk101",4,"santr102",5,"banke101",3,"willb104",7,"altmg101",9,"rodga101",6,"thacm101",2,"cardd101",1,"","warnj104","","",,,54,,,,211003000,000103000,32,1,1,1,5,1,0,0,7,1,7,1,0,1,0,1,2,2,1,0,27,8,0,3,0,31,1,0,1,4,0,1,0,2,0,11,0,0,3,0,5,6,6,1,0,27,10,0,3,0,,,,,,,,,,,"Curt Simmons","Don Cardwell","(none)","musis101","Stan Musial","Don Landrum","Julian Javier","Bill White","Stan Musial","Ken Boyer","Carl Sawatski","Doug Clemens","Julio Gotay","Curt Simmons","Lou Brock","Ken Hubbs","Ron Santo","Ernie Banks","Billy Williams","George Altman","Andre Rodgers","Moe Thacker","Don Cardwell",,
"CHN196204160","19620416",0,"Monday",0,"F","D","PIT","CHN","CHI11","vealb101","hobbg101","lands901","smitv101","steim901","boggd901","","",1642,"Cubs","Ron Rakowski","Ron Rakowski","1999/02/08 10:35AM","",1,2,0,6,-1,4,1,1,180,9,6,5,11,10,1,2,10,10,"olivd101","andeb102","facer101","","virdb101",8,"groad101",6,"skinb101",7,"stuad101",3,"clemr101",9,"burgs101",2,"hoakd101",5,"mazeb101",4,"vealb101",1,"white105",6,"hubbk101",4,"willb104",7,"banke101",3,"santr102",5,"mcknj101",9,"altmg101",8,"thacm101",2,"hobbg101",1,"facer101","balst101","","",,,54,,,,001040100,202001000,36,0,0,1,6,0,0,1,6,0,5,0,1,0,0,4,4,4,0,0,27,8,0,0,0,35,1,0,0,4,1,1,0,5,0,8,0,0,0,0,4,5,5,0,0,27,16,1,1,0,,,,,,,,,,,"Diomedes Olivo","Bob Anderson","Roy Face","hoakd101","Don Hoak","Bill Virdon","Dick Groat","Bob Skinner","Dick Stuart","Roberto Clemente","Smoky Burgess","Don Hoak","Bill Mazeroski","Bob Veale","Elder White","Ken Hubbs","Billy Williams","Ernie Banks","Ron Santo","Jim McKnight","George Altman","Moe Thacker","Glen Hobbie",,
"CHN196204170","19620417",0,"Tuesday",0,"F","D","PIT","CHN","CHI11","sturt101","curtj102","smitv101","steim901","boggd901","lands901","","",1937,"Cubs","Ron Rakowski","Ron Rakowski","1996/07/25 12:14PM","",1,2,0,0,-1,0,0,0,180,9,10,6,12,14,2,2,8,8,"haddh101","schub101","","","virdb101",8,"groad101",6,"clemr101",9,"stuad101",3,"clend101",7,"hoakd101",5,"leppd101",2,"mazeb101",4,"sturt101",1,"brocl102",8,"hubbk101",4,"willb104",7,"altmg101",9,"banke101",3,"santr102",5,"tayls102",2,"white105",6,"curtj102",1,"haddh101","balst101","","",,,54,,,,010300033,500000100,38,3,1,1,9,0,1,1,5,0,4,1,0,0,0,4,6,6,0,0,27,15,0,3,0,38,1,1,2,6,1,0,0,2,0,4,2,0,3,0,7,10,10,1,0,27,13,0,0,0,,,,,,,,,,,"Harvey Haddix","Barney Schultz","(none)","leppd101","Don Leppert","Bill Virdon","Dick Groat","Roberto Clemente","Dick Stuart","Donn Clendenon","Don Hoak","Don Leppert","Bill Mazeroski","Tom Sturdivant","Lou Brock","Ken Hubbs","Billy Williams","George Altman","Ernie Banks","Ron Santo","Sammy Taylor","Elder White","Jack Curtis",,
"CHN196204180","19620418",0,"Wednesday",0,"F","D","HOU","CHN","CHI11","woodh101","ellsd101","walsf901","conlj102","(none)","burkk101","","",3318,"Cubs","Ron Rakowski","Ron Rakowski","1999/02/07 11:57PM","",1,2,50,8,12,4,1,2,145,10,2,3,8,12,0,0,8,8,"ellsd101","farrt101","","","asprb101",5,"amalj101",4,"gernd101",3,"mejir101",9,"pendj101",7,"smith106",2,"heisa101",8,"buddd101",6,"woodh101",1,"white105",6,"hubbk101",4,"willb104",7,"banke101",3,"santr102",5,"mcknj101",9,"altmg101",8,"thacm101",2,"ellsd101",1,"farrt101","","","",,,59,,,,0001100000,1000001001,33,0,0,0,2,2,1,0,4,1,3,0,0,2,0,2,3,3,1,0,29,13,0,2,0,38,1,1,1,3,0,0,1,1,0,7,1,0,2,0,1,2,2,0,0,30,23,0,2,0,,,,,,,,,,,"Dick Ellsworth","Turk Farrell","(none)","banke101","Ernie Banks","Bob Aspromonte","Joey Amalfitano","Dick Gernert","Roman Mejias","Jim Pendleton","Hal Smith","Al Heist","Don Buddin","Hal Woodeshick","Elder White","Ken Hubbs","Billy Williams","Ernie Banks","Ron Santo","Jim McKnight","George Altman","Moe Thacker","Dick Ellsworth",,
"CHN196204190","19620419",0,"Thursday",0,"F","D","HOU","CHN","CHI11","stond102","cardd101","conlj102","burkk101","(none)","walsf901","","",3835,"Cubs","Ron Rakowski","Ron Rakowski","1999/02/07 12:13PM","",1,2,41,6,11,4,1,1,169,9,6,0,12,5,1,1,13,6,"stond102","cardd101","","","asprb101",5,"spana101",8,"mejir101",9,"browp103",3,"pendj101",7,"ranem101",2,"amalj101",4,"buddd101",6,"stond102",1,"white105",6,"hubbk101",4,"willb104",7,"banke101",3,"santr102",5,"mcknj101",9,"altmg101",8,"thacm101",2,"cardd101",1,"","warnj104","","",,,54,,,,010000104,000000000,38,2,1,1,6,2,1,2,3,0,8,1,0,0,0,1,0,0,0,0,27,12,1,1,0,31,0,0,0,0,0,0,1,1,0,3,0,1,1,0,4,3,3,0,0,27,12,0,0,0,,,,,,,,,,,"Dean Stone","Don Cardwell","(none)","spana101","Al Spangler","Bob Aspromonte","Al Spangler","Roman Mejias","Pidge Browne","Jim Pendleton","Merritt Ranew","Joey Amalfitano","Don Buddin","Dean Stone","Elder White","Ken Hubbs","Billy Williams","Ernie Banks","Ron Santo","Jim McKnight","George Altman","Moe Thacker","Don Cardwell",,
"CHN196204240","19620424",0,"Tuesday",0,"F","D","LAN","CHN","CHI11","koufs101","cardd101","boggd901","lands901","smitv101","steim901","","",8938,"Allan Roth","David W. Smith","David W. Smith","1994/05/05 10:46PM","",1,1,0,0,-1,0,0,0,161,9,10,2,12,6,0,1,7,7,"koufs101","cardd101","","","willm102",6,"gillj102",4,"moonw101",3,"snidd101",9,"davit103",7,"rosej101",2,"daviw102",8,"carea101",5,"koufs101",1,"brocl102",8,"hubbk101",4,"santr102",5,"banke101",3,"willb104",7,"willb106",9,"white105",6,"thacm101",2,"cardd101",1,"","elstd101","","",,,54,,,,021130102,000010001,37,1,1,3,9,1,1,0,5,0,6,3,1,0,0,1,2,2,0,0,27,6,0,0,0,32,2,0,1,2,0,0,0,4,0,18,0,0,0,0,4,9,9,1,1,27,12,0,0,0,,,,,,,,,,,"Sandy Koufax","Don Cardwell","(none)","davit103","Tommy Davis","Maury Wills","Jim Gilliam","Wally Moon","Duke Snider","Tommy Davis","John Roseboro","Willie Davis","Andy Carey","Sandy Koufax","Lou Brock","Ken Hubbs","Ron Santo","Ernie Banks","Billy Williams","Bob Will","Elder White","Moe Thacker","Don Cardwell",,
"CHN196204250","19620425",0,"Wednesday",0,"F","D","LAN","CHN","CHI11","podrj101","hobbg101","lands901","smitv101","steim901","boggd901","","",8344,"Allan Roth","David W. Smith","David W. Smith","1995/10/28 7:07PM","",1,1,0,0,-1,0,0,0,139,9,6,9,9,10,1,3,5,3,"elstd101","sherl101","","","willm102",6,"gillj102",4,"moonw101",3,"snidd101",9,"davit103",7,"rosej101",2,"daviw102",8,"carea101",5,"podrj101",1,"brocl102",8,"hubbk101",4,"santr102",5,"banke101",3,"willb104",7,"altmg101",9,"rodga101",6,"barrc101",2,"hobbg101",1,"sherl101","elstd101","","",,,51,,,,100140000,01300104x,36,1,0,2,4,1,0,0,1,1,3,0,0,1,0,2,9,9,1,0,24,8,0,1,0,31,2,0,3,9,0,1,1,3,1,3,0,1,1,0,3,3,3,0,0,27,9,0,1,0,,,,,,,,,,,"Don Elston","Larry Sherry","(none)","rodga101","Andre Rodgers","Maury Wills","Jim Gilliam","Wally Moon","Duke Snider","Tommy Davis","John Roseboro","Willie Davis","Andy Carey","Johnny Podres","Lou Brock","Ken Hubbs","Ron Santo","Ernie Banks","Billy Williams","George Altman","Andre Rodgers","Cuno Barragan","Glen Hobbie",,
"CHN196204260","19620426",0,"Thursday",0,"F","D","LAN","CHN","CHI11","richp102","ellsd101","smitv101","steim901","boggd901","lands901","","",6890,"Allan Roth","David W. Smith","David W. Smith","1995/10/28 7:32PM","",1,1,0,0,-1,0,0,0,177,9,12,5,14,10,3,5,6,11,"perrr101","ellsd101","","","willm102",6,"burrl101",4,"moonw101",3,"davit103",7,"howaf102",9,"spend101",5,"rosej101",2,"daviw102",8,"richp102",1,"brocl102",8,"hubbk101",4,"santr102",5,"banke101",3,"willb104",7,"altmg101",9,"rodga101",6,"barrc101",2,"ellsd101",1,"perrr101","balst101","","",,,54,,,,000431400,200111000,41,2,1,4,10,0,0,0,4,0,7,0,0,1,0,3,4,4,0,0,27,10,0,1,0,38,1,0,1,4,0,0,0,5,0,8,0,0,1,0,4,11,11,1,0,27,21,0,1,0,,,,,,,,,,,"Ron Perranoski","Dick Ellsworth","(none)","rosej101","John Roseboro","Maury Wills","Larry Burright","Wally Moon","Tommy Davis","Frank Howard","Daryl Spencer","John Roseboro","Willie Davis","Pete Richert","Lou Brock","Ken Hubbs","Ron Santo","Ernie Banks","Billy Williams","George Altman","Andre Rodgers","Cuno Barragan","Dick Ellsworth",,
"CHN196205040","19620504",0,"Friday",0,"F","D","SFN","CHN","CHI11","pierb101","ellsd101","secof101","pryop901","venzt901","donaa901","","",5011,"Bob Stevens","","Alan Boodman","1995/03/28 7:56AM","",0,0,41,4,3,0,0,0,178,9,11,6,14,12,0,1,7,7,"pierb101","ellsd101","larsd102","","motam101",7,"hillc101",4,"maysw101",8,"cepeo101",3,"alouf101",9,"baile101",2,"pagaj101",6,"davej101",5,"pierb101",1,"smitb104",8,"santr102",5,"willb104",7,"banke101",3,"altmg101",9,"rodga101",6,"mcknj101",4,"thacm101",2,"ellsd101",1,"larsd102","hobbg101","","",,,54,,,,013300040,100000302,39,4,1,1,11,0,0,0,6,2,8,0,0,1,0,2,6,6,0,0,27,10,0,1,0,38,0,1,1,6,0,0,0,2,0,7,0,0,0,0,5,10,10,1,0,27,12,0,1,0,,,,,,,,,,,"Billy Pierce","Dick Ellsworth","Don Larsen","hillc101","Chuck Hiller","Manny Mota","Chuck Hiller","Willie Mays","Orlando Cepeda","Felipe Alou","Ed Bailey","Jose Pagan","Jim Davenport","Billy Pierce","Bobby Smith","Ron Santo","Billy Williams","Ernie Banks","George Altman","Andre Rodgers","Jim McKnight","Moe Thacker","Dick Ellsworth",,
