"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"SLN196204110",4,0,"bouce101",0,9,11,"crair101",1,341962SLN.EVN.regular.sub.csv",2

"SLN196204110",4,1,"moorb102",0,9,1,"bouce101",11,361962SLN.EVN.regular.sub.csv",3

"SLN196204110",7,0,"landd101",1,4,9,"musis101",9,611962SLN.EVN.regular.sub.csv",4

"SLN196204110",7,1,"mofoh101",0,9,1,"moorb102",1,651962SLN.EVN.regular.sub.csv",5

"SLN196204110",8,1,"labic101",0,9,1,"mofoh101",1,721962SLN.EVN.regular.sub.csv",6

"SLN196204110",9,0,"marsj101",0,9,11,"labic101",1,791962SLN.EVN.regular.sub.csv",7

"SLN196204210",6,1,"steem101",0,9,1,"hobbg101",1,481962SLN.EVN.regular.sub.csv",8

"SLN196204210",6,1,"warwc101",1,2,11,"landd101",9,481962SLN.EVN.regular.sub.csv",9

"SLN196204210",7,0,"jamec102",1,4,7,"musis101",7,511962SLN.EVN.regular.sub.csv",10

"SLN196204210",7,0,"warwc101",1,2,9,"warwc101",11,511962SLN.EVN.regular.sub.csv",11

"SLN196204210",9,0,"mcknj101",0,9,11,"steem101",1,651962SLN.EVN.regular.sub.csv",12

"SLN196204221",5,0,"andej102",1,9,1,"sader101",1,401962SLN.EVN.regular.sub.csv",13

"SLN196204221",5,1,"schor101",1,9,11,"andej102",1,501962SLN.EVN.regular.sub.csv",14

"SLN196204221",6,0,"tothp101",1,9,1,"schor101",11,581962SLN.EVN.regular.sub.csv",15

"SLN196204221",6,1,"jamec102",1,9,11,"tothp101",1,671962SLN.EVN.regular.sub.csv",16

"SLN196204221",7,0,"lockb101",1,9,1,"jamec102",11,701962SLN.EVN.regular.sub.csv",17

"SLN196204221",7,0,"grama101",1,8,6,"gotaj101",6,701962SLN.EVN.regular.sub.csv",18

"SLN196204221",7,1,"andeb102",0,9,1,"ellsd101",1,771962SLN.EVN.regular.sub.csv",19

"SLN196204221",8,0,"landd101",1,6,7,"musis101",7,781962SLN.EVN.regular.sub.csv",20

"SLN196204221",8,1,"clemd101",1,9,11,"lockb101",1,861962SLN.EVN.regular.sub.csv",21

"SLN196204221",9,0,"baute101",1,9,1,"clemd101",11,871962SLN.EVN.regular.sub.csv",22

"SLN196204222",8,1,"schor101",1,9,11,"gibsb101",1,591962SLN.EVN.regular.sub.csv",23

"SLN196204222",9,0,"broge101",1,9,1,"schor101",11,631962SLN.EVN.regular.sub.csv",24

"SLN196204222",9,1,"warwc101",1,5,12,"sawac101",2,711962SLN.EVN.regular.sub.csv",25

"SLN196204222",9,1,"clemd101",1,8,11,"grama101",6,731962SLN.EVN.regular.sub.csv",26

"SLN196204222",9,1,"musis101",1,9,11,"broge101",1,741962SLN.EVN.regular.sub.csv",27

"SLN196204222",9,1,"olivg101",1,1,11,"flooc101",8,751962SLN.EVN.regular.sub.csv",28

"SLN196204270",6,0,"gainj101",0,9,11,"jay-j101",1,441962SLN.EVN.regular.sub.csv",29

"SLN196204270",6,1,"klipj101",0,9,1,"gainj101",11,471962SLN.EVN.regular.sub.csv",30

"SLN196204270",7,1,"clemd101",1,4,12,"musis101",9,561962SLN.EVN.regular.sub.csv",31

"SLN196204270",7,1,"millb102",0,9,1,"klipj101",1,581962SLN.EVN.regular.sub.csv",32

"SLN196204270",7,1,"olivg101",1,7,11,"sawac101",2,581962SLN.EVN.regular.sub.csv",33

"SLN196204270",7,1,"nunnh101",0,9,1,"millb102",1,641962SLN.EVN.regular.sub.csv",34

"SLN196204270",8,0,"clemd101",1,4,9,"clemd101",12,681962SLN.EVN.regular.sub.csv",35

"SLN196204270",8,0,"olivg101",1,7,2,"olivg101",11,681962SLN.EVN.regular.sub.csv",36

"SLN196204270",8,0,"grama101",1,8,6,"gotaj101",6,681962SLN.EVN.regular.sub.csv",37

"SLN196204270",8,0,"landd101",1,6,7,"minom101",7,681962SLN.EVN.regular.sub.csv",38

"SLN196204280",7,0,"schaj104",1,5,2,"olivg101",2,511962SLN.EVN.regular.sub.csv",39

"SLN196204280",7,0,"pavld101",0,9,11,"otooj101",1,551962SLN.EVN.regular.sub.csv",40

"SLN196204280",7,1,"brosj101",0,9,1,"pavld101",11,571962SLN.EVN.regular.sub.csv",41

"SLN196204280",9,0,"mcdal101",1,9,1,"sader101",1,711962SLN.EVN.regular.sub.csv",42

"SLN196204280",9,0,"lyncj102",0,8,11,"rojac101",4,711962SLN.EVN.regular.sub.csv",43

"SLN196204280",9,0,"keoum101",0,9,11,"brosj101",1,721962SLN.EVN.regular.sub.csv",44

"SLN196204291",3,1,"drabm101",0,9,1,"ellis101",1,251962SLN.EVN.regular.sub.csv",45

"SLN196204291",4,1,"pavld101",0,7,2,"edwaj101",2,381962SLN.EVN.regular.sub.csv",46

"SLN196204291",5,0,"landd101",1,4,9,"musis101",9,401962SLN.EVN.regular.sub.csv",47

"SLN196204291",5,0,"keoum101",0,9,11,"drabm101",1,441962SLN.EVN.regular.sub.csv",48

"SLN196204291",5,1,"klipj101",0,9,1,"keoum101",11,451962SLN.EVN.regular.sub.csv",49

"SLN196204291",6,0,"cookc101",0,2,12,"kaske101",5,531962SLN.EVN.regular.sub.csv",50

"SLN196204291",6,1,"cookc101",0,2,5,"cookc101",12,551962SLN.EVN.regular.sub.csv",51

"SLN196204291",7,0,"clemd101",1,6,9,"minom101",7,601962SLN.EVN.regular.sub.csv",52

"SLN196204291",7,0,"landd101",1,4,7,"landd101",9,601962SLN.EVN.regular.sub.csv",53

"SLN196204291",7,0,"schaj104",1,7,2,"sawac101",2,601962SLN.EVN.regular.sub.csv",54

"SLN196204291",7,0,"grama101",1,8,6,"gotaj101",6,601962SLN.EVN.regular.sub.csv",55

"SLN196204291",8,0,"lyncj102",0,9,11,"klipj101",1,731962SLN.EVN.regular.sub.csv",56

"SLN196204291",8,1,"millb102",0,9,1,"lyncj102",11,771962SLN.EVN.regular.sub.csv",57

"SLN196204292",4,1,"schor101",1,9,11,"broge101",1,341962SLN.EVN.regular.sub.csv",58

"SLN196204292",5,0,"andej102",1,9,1,"schor101",11,391962SLN.EVN.regular.sub.csv",59

"SLN196204292",6,1,"warwc101",1,9,11,"andej102",1,541962SLN.EVN.regular.sub.csv",60

"SLN196204292",7,0,"mcdal101",1,9,1,"warwc101",11,561962SLN.EVN.regular.sub.csv",61

"SLN196204292",7,1,"keoum101",0,5,7,"lyncj102",7,621962SLN.EVN.regular.sub.csv",62

"SLN196205010",1,1,"goldj102",0,9,1,"stond102",1,141962SLN.EVN.regular.sub.csv",63

"SLN196205010",2,1,"ranem101",0,6,2,"smith106",2,201962SLN.EVN.regular.sub.csv",64

"SLN196205010",7,0,"larkn101",0,9,11,"goldj102",1,571962SLN.EVN.regular.sub.csv",65

"SLN196205010",7,0,"baute101",1,9,1,"washr101",1,611962SLN.EVN.regular.sub.csv",66

"SLN196205010",7,1,"brucb101",0,9,1,"larkn101",11,631962SLN.EVN.regular.sub.csv",67

"SLN196205010",8,0,"asprb101",0,8,11,"buddd101",6,701962SLN.EVN.regular.sub.csv",68

"SLN196205010",8,0,"tausd101",0,9,11,"brucb101",1,711962SLN.EVN.regular.sub.csv",69

"SLN196205010",8,0,"shanb102",0,9,12,"tausd101",11,721962SLN.EVN.regular.sub.csv",70

"SLN196205010",8,1,"asprb101",0,8,5,"asprb101",11,731962SLN.EVN.regular.sub.csv",71

"SLN196205010",8,1,"lillb101",0,7,6,"lillb101",5,731962SLN.EVN.regular.sub.csv",72

"SLN196205010",8,1,"tiefb101",0,9,1,"shanb102",12,731962SLN.EVN.regular.sub.csv",73

"SLN196205020",8,0,"larkn101",0,9,11,"johnk102",1,611962SLN.EVN.regular.sub.csv",74

"SLN196205020",8,0,"shanb102",0,9,12,"larkn101",11,621962SLN.EVN.regular.sub.csv",75

"SLN196205020",8,1,"umbrj101",0,9,1,"shanb102",12,641962SLN.EVN.regular.sub.csv",76

"SLN196205020",9,0,"schaj104",1,7,2,"sawac101",2,671962SLN.EVN.regular.sub.csv",77

"SLN196205030",7,0,"heisa101",0,9,11,"giusd101",1,511962SLN.EVN.regular.sub.csv",78

"SLN196205030",7,1,"farrt101",0,9,1,"heisa101",11,521962SLN.EVN.regular.sub.csv",79

"SLN196205030",8,0,"schaj104",1,7,2,"olivg101",2,571962SLN.EVN.regular.sub.csv",80

"SLN196205030",9,0,"landd101",1,4,9,"musis101",9,661962SLN.EVN.regular.sub.csv",81

