"MIN196304090",1,"Debut game for Vic Davalillo"FILENAME_TX","LINE_NUMBER_CT"

"MIN196304090",2,"Debut game for Tony Martinez"1963MIN.EVA.regular.comment.csv",2

"MIN196304090",22,"387 feet"1963MIN.EVA.regular.comment.csv",3

"MIN196304090",56,"Debut game for Jimmie Hall"1963MIN.EVA.regular.comment.csv",4

"MIN196304090",61,"362 feet"1963MIN.EVA.regular.comment.csv",5

"MIN196304100",53,"350 feet"1963MIN.EVA.regular.comment.csv",6

"MIN196304160",26,"380 feet"1963MIN.EVA.regular.comment.csv",7

"MIN196304160",36,"426 feet"1963MIN.EVA.regular.comment.csv",8

"MIN196304170",57,"360 feet"1963MIN.EVA.regular.comment.csv",9

"MIN196305010",15,"370 feet"1963MIN.EVA.regular.comment.csv",10

"MIN196305010",53,"353 feet"1963MIN.EVA.regular.comment.csv",11

"MIN196305040",10,"410 feet"1963MIN.EVA.regular.comment.csv",12

"MIN196305040",22,"407 feet"1963MIN.EVA.regular.comment.csv",13

"MIN196305040",25,"434 feet"1963MIN.EVA.regular.comment.csv",14

"MIN196305050",46,"412 feet"1963MIN.EVA.regular.comment.csv",15

"MIN196305100",54,"Debut game for Tony LaRussa"1963MIN.EVA.regular.comment.csv",16

"MIN196305110",40,"309 feet"1963MIN.EVA.regular.comment.csv",17

"MIN196305250",48,"386 feet"1963MIN.EVA.regular.comment.csv",18

"MIN196305250",66,"391 feet"1963MIN.EVA.regular.comment.csv",19

"MIN196305260",18,"371 feet"1963MIN.EVA.regular.comment.csv",20

"MIN196305260",47,"379 feet"1963MIN.EVA.regular.comment.csv",21

"MIN196305260",67,"401 feet"1963MIN.EVA.regular.comment.csv",22

"MIN196305290",74,"378 feet"1963MIN.EVA.regular.comment.csv",23

"MIN196305310",66,"357 feet"1963MIN.EVA.regular.comment.csv",24

"MIN196306020",19,"379 feet"1963MIN.EVA.regular.comment.csv",25

"MIN196306020",43,"359 feet"1963MIN.EVA.regular.comment.csv",26

"MIN196306020",73,"ej,aguih101,P,nappl901,Bench jockeying ej,scheb101,M,nappl901,Bench jockeying Hank Aguirre and Tigers Manager Bob Scheffing ejected by HP umpire Larry Napp"1963MIN.EVA.regular.comment.csv",27

"MIN196306121",56,"392 feet"1963MIN.EVA.regular.comment.csv",28

"MIN196306121",75,"415 feet"1963MIN.EVA.regular.comment.csv",29

"MIN196306122",65,"361 feet"1963MIN.EVA.regular.comment.csv",30

"MIN196306130",32,"ej,mcgam801,C,hallb901,Arguing pickoff call $Athletics coach McGaha ejected by 1B umpire Haller for arguing pickoff call"1963MIN.EVA.regular.comment.csv",31

"MIN196306130",48,"371 feet"1963MIN.EVA.regular.comment.csv",32

"MIN196306130",67,"364 feet"1963MIN.EVA.regular.comment.csv",33

"MIN196306140",20,"389 feet"1963MIN.EVA.regular.comment.csv",34

"MIN196306140",28,"384 feet"1963MIN.EVA.regular.comment.csv",35

"MIN196306140",53,"371 feet"1963MIN.EVA.regular.comment.csv",36

"MIN196306150",22,"411 feet"1963MIN.EVA.regular.comment.csv",37

"MIN196306150",36,"380 feet"1963MIN.EVA.regular.comment.csv",38

"MIN196306150",84,"401 feet"1963MIN.EVA.regular.comment.csv",39

"MIN196306162",41,"374 feet"1963MIN.EVA.regular.comment.csv",40

"MIN196306162",43,"395 feet"1963MIN.EVA.regular.comment.csv",41

"MIN196306162",70,"364 feet"1963MIN.EVA.regular.comment.csv",42

"MIN196306180",43,"432 feet"1963MIN.EVA.regular.comment.csv",43

"MIN196306180",67,"382 feet"1963MIN.EVA.regular.comment.csv",44

"MIN196306190",8,"430 feet"1963MIN.EVA.regular.comment.csv",45

"MIN196306190",28,"373 feet"1963MIN.EVA.regular.comment.csv",46

"MIN196306190",33,"402 feet"1963MIN.EVA.regular.comment.csv",47

"MIN196306190",69,"362 feet"1963MIN.EVA.regular.comment.csv",48

"MIN196306190",73,"370 feet"1963MIN.EVA.regular.comment.csv",49

"MIN196306200",31,"359 feet"1963MIN.EVA.regular.comment.csv",50

"MIN196306200",44,"393 feet"1963MIN.EVA.regular.comment.csv",51

"MIN196306200",68,"371 feet"1963MIN.EVA.regular.comment.csv",52

"MIN196306250",24,"434 feet"1963MIN.EVA.regular.comment.csv",53

"MIN196306260",31,"383 feet"1963MIN.EVA.regular.comment.csv",54

"MIN196306260",49,"339 feet"1963MIN.EVA.regular.comment.csv",55

"MIN196306260",65,"373 feet"1963MIN.EVA.regular.comment.csv",56

"MIN196306260",66,"346 feet"1963MIN.EVA.regular.comment.csv",57

"MIN196306270",37,"$Vic Power and Phil Regan exchanged words during Power's plate appearance"1963MIN.EVA.regular.comment.csv",58

"MIN196306270",40,"ej,powev101,P,flahr901,Fighting $Power ejected by 1B umpire Flaherty for fighting; he punched Regan; both benches cleared"1963MIN.EVA.regular.comment.csv",59

"MIN196306270",77,"385 feet"1963MIN.EVA.regular.comment.csv",60

"MIN196307100",25,"423 feet"1963MIN.EVA.regular.comment.csv",61

"MIN196307100",26,"397 feet"1963MIN.EVA.regular.comment.csv",62

"MIN196307100",35,"409 feet"1963MIN.EVA.regular.comment.csv",63

"MIN196307100",84,"365 feet"1963MIN.EVA.regular.comment.csv",64

"MIN196307110",14,"362 feet"1963MIN.EVA.regular.comment.csv",65

"MIN196307110",50,"416 feet"1963MIN.EVA.regular.comment.csv",66

"MIN196307120",7,"383 feet"1963MIN.EVA.regular.comment.csv",67

"MIN196307120",51,"417 feet"1963MIN.EVA.regular.comment.csv",68

"MIN196307120",95,"415 feet"1963MIN.EVA.regular.comment.csv",69

"MIN196307130",10,"376 feet"1963MIN.EVA.regular.comment.csv",70

"MIN196307130",25,"387 feet"1963MIN.EVA.regular.comment.csv",71

"MIN196307130",26,"424 feet"1963MIN.EVA.regular.comment.csv",72

"MIN196307130",34,"365 feet"1963MIN.EVA.regular.comment.csv",73

"MIN196307130",56,"387 feet"1963MIN.EVA.regular.comment.csv",74

"MIN196307141",4,"366 feet"1963MIN.EVA.regular.comment.csv",75

"MIN196307141",22,"419 feet"1963MIN.EVA.regular.comment.csv",76

"MIN196307141",36,"372 feet"1963MIN.EVA.regular.comment.csv",77

"MIN196307141",68,"365 feet"1963MIN.EVA.regular.comment.csv",78

"MIN196307142",11,"415 feet"1963MIN.EVA.regular.comment.csv",79

"MIN196307142",50,"399 feet"1963MIN.EVA.regular.comment.csv",80

"MIN196307150",14,"367 feet"1963MIN.EVA.regular.comment.csv",81

"MIN196307150",27,"392 feet"1963MIN.EVA.regular.comment.csv",82

"MIN196307150",57,"422 feet"1963MIN.EVA.regular.comment.csv",83

"MIN196308090",11,"422 feet"1963MIN.EVA.regular.comment.csv",84

"MIN196308090",25,"413 feet"1963MIN.EVA.regular.comment.csv",85

"MIN196308090",36,"369 feet"1963MIN.EVA.regular.comment.csv",86

"MIN196308090",54,"384 feet"1963MIN.EVA.regular.comment.csv",87

"MIN196308090",63,"421 feet"1963MIN.EVA.regular.comment.csv",88

"MIN196308100",27,"371 feet"1963MIN.EVA.regular.comment.csv",89

"MIN196308100",31,"363 feet"1963MIN.EVA.regular.comment.csv",90

"MIN196308100",47,"382 feet"1963MIN.EVA.regular.comment.csv",91

"MIN196308100",68,"355 feet"1963MIN.EVA.regular.comment.csv",92

"MIN196308110",32,"371 feet"1963MIN.EVA.regular.comment.csv",93

"MIN196308110",41,"392 feet"1963MIN.EVA.regular.comment.csv",94

"MIN196308110",45,"376 feet"1963MIN.EVA.regular.comment.csv",95

"MIN196308120",30,"358 feet"1963MIN.EVA.regular.comment.csv",96

"MIN196308120",46,"363 feet"1963MIN.EVA.regular.comment.csv",97

"MIN196308120",50,"388 feet"1963MIN.EVA.regular.comment.csv",98

"MIN196308160",23,"355 feet"1963MIN.EVA.regular.comment.csv",99

"MIN196308160",28,"401 feet"1963MIN.EVA.regular.comment.csv",100

"MIN196308160",71,"376 feet"1963MIN.EVA.regular.comment.csv",101

"MIN196308170",1,"376 feet"1963MIN.EVA.regular.comment.csv",102

"MIN196308170",7,"340 feet"1963MIN.EVA.regular.comment.csv",103

"MIN196308170",16,"386 feet"1963MIN.EVA.regular.comment.csv",104

"MIN196308170",44,"379 feet"1963MIN.EVA.regular.comment.csv",105

"MIN196308180",26,"360 feet"1963MIN.EVA.regular.comment.csv",106

"MIN196308180",57,"426 feet"1963MIN.EVA.regular.comment.csv",107

"MIN196308180",73,"357 feet"1963MIN.EVA.regular.comment.csv",108

"MIN196308300",3,"$Frank Robinson called for interference"1963MIN.EVA.regular.comment.csv",109

"MIN196308300",12,"397 feet"1963MIN.EVA.regular.comment.csv",110

"MIN196308300",70,"407 feet"1963MIN.EVA.regular.comment.csv",111

"MIN196308300",71,"390 feet"1963MIN.EVA.regular.comment.csv",112

"MIN196308310",57,"386 feet"1963MIN.EVA.regular.comment.csv",113

"MIN196308310",58,"352 feet"1963MIN.EVA.regular.comment.csv",114

"MIN196309010",54,"375 feet"1963MIN.EVA.regular.comment.csv",115

