"CHA196705142",7,"ej,reicr101,P,salea901,Called third strike ej,rignb101,M,salea901,Called third strike Rick Reichardt and Angels Manager Bill Rigney ejected by HP umpire Al Salerno"FILENAME_TX","LINE_NUMBER_CT"

"CHA196705160",31,"$Ken Berry called for interference"1967CHA.EVA.regular.comment.csv",2

"CHA196705310",50,"$Walt Williams and Ken Berry swap positions a few times"1967CHA.EVA.regular.comment.csv",3

"CHA196706200",49,"$Don Buford called for obstruction"1967CHA.EVA.regular.comment.csv",4

"CHA196707050",49,"Debut game for Curt Motton"1967CHA.EVA.regular.comment.csv",5

"CHA196707142",20,"ej,lemob101,C,umonf901,Interference non-call $Angels coach Lemon ejected by 1B umpire Umont for fan interferred with Ward's ball so it should have been double, not home run"1967CHA.EVA.regular.comment.csv",6

"CHA196707162",70,"ej,darka101,M,neudj901,Balls and strikes (Reversed) Athletics Manager Al Dark ejected by HP umpire Jerry Neudecker"1967CHA.EVA.regular.comment.csv",7

"CHA196708152",1,"Debut game for Steve Jones"1967CHA.EVA.regular.comment.csv",8

"CHA196708181",0,"2 hour rain delay before start of game"1967CHA.EVA.regular.comment.csv",9

"CHA196708181",45,"Pete Richert left with injured back"1967CHA.EVA.regular.comment.csv",10

"CHA196708181",47,"ej,baueh101,M,flahr901,Boundary call (top of fence) $Orioles manager Bauer ejected by 2B umpire Flaherty for arguing that Ward's ball hit the top of the wall and was not a home run"1967CHA.EVA.regular.comment.csv",11

"CHA196708252",1,"Debut game for Cisco Carlos"1967CHA.EVA.regular.comment.csv",12

"CHA196708272",67,"George Thomas left with injured foot on play at 3B"1967CHA.EVA.regular.comment.csv",13

"CHA196709060",20,"missed squeeze"1967CHA.EVA.regular.comment.csv",14

"CHA196709090",72,"Debut game for Roger Nelson"1967CHA.EVA.regular.comment.csv",15

